"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",13.2652380952381,"Up",-14777000,-1771000,-13006000,-14777000,22000,22000,-14755000,-14755000,-14755000,-14755000,-14755000,-14755000,41001998,41001998,825966,825966,41827964,1228039,1380426,1380426,2608465,44436429,15541727,2410026,13131701,15541727,-35964826,-35964826,-35964826,-20423099,64859528,64859528,64859528,44436429,-14755000,69000,199000,5713000,-8774000,-397000,-9171000,-9171000,-9171000,-14708000,0,-0.22749,-0.33205,2.69133,-0.31488,0,-0.73628,-0.73628,3.2365,-0.51065,2.78773,2.77472
"2","2012_Q4",18.9643548387097,"Up",-25874000,-8094000,-17780000,-25874000,15000,15000,-25859000,-25859000,-25859000,-25859000,-25859000,-25859000,33346638,33346638,769879,769879,34116517,1168963,1211787,1211787,2380750,36497267,26659922,1018052,25641870,26659922,-61844916,-61844916,-61844916,-35184994,71682261,71682261,71682261,36497267,-25859000,69000,6823000,11323000,-7644000,-10999.9999999981,-7655000,-7655000,-7655000,-25805000,0,-0.36074,-0.70852,1.27969,-0.49085,0,-1.29037,-1.29037,3.57696,-2.62866,1.29225,1.28881
"3","2013_Q1",25.1793333333333,"Up",-21947000,-13665000,-8282000,-21947000,35000,35000,-21912000,-21912000,-21912000,-21912000,-21912000,-21912000,137408000,137408000,952000,952000,148972000,1479000,1248000,1248000,2727000,151699000,21701000,482000,21219000,21701000,-83503000,-83503000,-83503000,-61802000,213501000,213501000,213501000,151699000,-21912000,78000,12787000,-15762000,-24809000,-389000,104061000,104061000,104061000,-21869000,0,-0.10263,-0.14444,6.86475,-0.28947,0,-0.8181,-0.8181,7.97123,-0.16856,6.28323,6.2609
"4","2013_Q2",35.254375,"Up",-11806000,-2274000,-9532000,-11806000,26000,23000,-11780000,-11780000,-11780000,-11780000,-11780000,-11780000,118718000,91648000,2147000,2147000,138200000,1572000,1249000,1249000,2821000,141021000,21629000,6887000,14742000,21629000,-95259000,-95259000,-95259000,-73630000,214676000,214651000,214651000,141021000,-11780000,90000,1175000,-7966000,-18481000,-27279000,-45760000,-45760000,-45760000,-11716000,0,-0.05488,-0.08353,6.38957,-0.34302,4.03896783473158e-28,-0.41079,-0.41079,7.48521,-0.09867,10.13298,10.05573
"5","2013_Q3",53.90296875,"Up",-12707000,-2267000,-10440000,-12707000,57000,96000,-12650000,-12650000,-12650000,-12650000,-12650000,-12650000,107520000,60902000,1144000,1144000,123437000,1648000,2899000,2899000,4547000,127984000,19823000,7624000,12199000,19823000,-107886000,-107886000,-107886000,-88063000,216121000,216047000,216047000,127984000,-12650000,99000,1445000,132000,-10974000,-19772000,-30746000,-30746000,-30746000,-12608000,0,-0.05855,-0.09884,6.22696,-0.40761,0,-0.44113,-0.44113,7.5339,-0.11696,8.52792,8.46148
"6","2013_Q4",58.69234375,"Up",-14331000,-2263000,-12068000,-14331000,48000,8999.99999999999,-14283000,-14283000,-14283000,-14283000,-14283000,-14283000,95638000,51261000,3644000,3644000,110576000,1619000,2914000,2914000,4533000,115109000,19226000,9730000,9496000,19226000,-122182000,-122182000,-122182000,-102956000,218073000,218065000,218065000,115109000,-14283000,109000,1806000,354000,-12014000,2227000,-9641000,-9641000,-9641000,-14222000,0,-0.0655,-0.12408,5.75138,-0.47213,6.46234853557053e-27,-0.49798,-0.49798,7.60284,-0.14896,6.72465,6.6735
"7","2014_Q1",117.540163934426,"Up",-15989000,-2983000,-13006000,-15989000,43000,44000,-15946000,-15946000,-15946000,-15946000,-15946000,-15946000,83948000,43044000,2635000,2635000,96396000,1684000,6294000,6294000,7978000,104374000,19271000,10692000,8579000,19271000,1116000,1116000,1116000,20387000,223235000,83987000,83987000,104374000,-15946000,125000,3093000,-851000,-13579000,3293000,-8217000,-8217000,-8217000,-15864000,0,-0.18986,-0.15278,5.00213,0.24274,0,-0.55463,-0.55463,2.9212,-0.18737,5.29173,5.25036
"8","2014_Q2",71.1088888888889,"Down",-19819000,-3525000,-16294000,-19819000,25000,46000,-19794000,-19794000,-19794000,-19794000,-19794000,-19794000,196114000,163380000,2253000,2253000,211663000,1769000,6821000,6821000,8590000,220253000,20243000,15192000,5051000,20243000,-157822000,-157822000,-157822000,-137579000,357838000,357832000,357832000,220253000,-19794000,133000,5163000,-2549000,-17047000,7943000,120336000,120336000,120336000,-19686000,1.38777878078145e-17,-0.05532,-0.08987,10.45611,-0.38448,0,-0.66946,-0.66946,12.10238,-0.09897,9.96211,9.89525
"9","2014_Q3",205.7190625,"Up",-38905000,-3904000,-35001000,-38905000,61000,66000,-38844000,-38844000,-38844000,-38844000,-38844000,-38844000,178352000,55356000,3493000,3493000,183605000,1941000,10532000,10532000,12473000,196078000,27932000,18797000,9135000,27932000,-196782000,-196782000,-196782000,-168850000,365005000,364928000,364928000,196078000,-38844000,146000,7167000,14158000,-17373000,-90651000,-108024000,-108024000,-108024000,-38759000,0,-0.10644,-0.1981,6.57329,-0.46269,0,-1.28973,-1.28973,12.11668,-0.23101,4.60156,4.5843
"10","2014_Q4",221.693125,"Up",-35959000,-3867000,-32092000,-35959000,115000,111000,-35844000,-35844000,-35844000,-35844000,-35844000,-35844000,153860000,28263000,4477000,4477000,160097000,1910000,10046000,10046000,11956000,172053000,29359000,18448000,10911000,29359000,-232642000,-232642000,-232642000,-203283000,375454000,375336000,375336000,172053000,-35844000,159000,10449000,914000,-24322000,-2771000.00000001,-27093000,-27093000,-27093000,-35800000,2.22044604925031e-16,-0.0955,-0.20833,5.45308,-0.5416,-1.65436122510606e-24,-1.19013,-1.19013,12.46226,-0.25119,4.29777,4.27876
