"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",23.2680952380952,"Up",171373000,122683000,129334000,-6651000,48690000,32446000,16214000,-2100000,169273000,-82804000,-10430000,-72374000,86469000,86469000,86469000,-33234000,53235000,53235000,53235000,53235000,371622000,804198000,5795727000,11261530000,-135025000,11396555000,302059000,995492000,37107000,307404000,19892693000,16965527000,11164989000,5800538000,254444000,17368730000,2484074000,50204000,-10315000,2523963000,2523963000,19892693000,53235000,15291000,2100000,-4770000,-26456000,39400000,-776016000,-209151000,-16000,-985170000,-27891000,843423000,789576000,-156194000,-156194000,-156194000,101760000,9192000,0.50457,0.31064,0.02109,0.00268,6.88153,0.00046,0.38161,0.3816,1.22847,18.09282,0.19993,0.00408,0.52392,-3.56162,-4.19144
"2","2017_Q1",25.1558064516129,"Up",188707000,131250000,138313000,-7063000,57457000,40609000,15332000,-3900000,184807000,-90939000,-12221000,-78718000,93868000,93868000,93868000,-37316000,56552000,56552000,56552000,56552000,253827000,798231000,5506723000,11384884000,-135494000,11520378000,300788000,995492000,41971000,363104000,19661829000,16794532000,10801915000,5992617000,248716000,17185344000,2485646000,78850000,-88011000,2476485000,2476485000,19661829000,56552000,12390000,3900000,4361000,-36348000,40855000,156632000,-124824000,44000,31860000,-25482000,-170995000,-196477000,-123762000,-123762000,-123762000,106258000,9192000,0.49743,0.29968,0.02284,0.00288,6.93941,0.00047,0.4053,0.40525,1.35244,17.74864,0.18263,0.00417,0.45059,-2.30227,-2.60616
"3","2017_Q2",23.1280952380952,"Down",180404000,129345000,136921000,-7576000,51059000,34783000,16276000,-4500000,175904000,-85991000,-10308000,-75683000,89913000,89913000,89913000,-33173000,56740000,56740000,56740000,56740000,249953000,527659000,5690062000,11645649000,-135847000,11781496000,295608000,995492000,39386000,333176000,19792785000,16938178000,10917631000,6020547000,214753000,17286791000,2487991000,104695000,-86692000,2505994000,2505994000,19792785000,56740000,14363000,4500000,8284000,-18864000,65023000,-179492000,-263760000,-550000,-443792000,-30700000,143646000,104323000,-274446000,-274446000,-274446000,104276000,41000,0.4984,0.31452,0.02264,0.00287,6.89818,0,0.40661,0.40634,1.29279,17.95823,0.22,0.00442,0.54106,-2.39664,-2.77949
"4","2017_Q3",23.0279365079365,"Down",181812000,131254000,140019000,-8765000,50558000,33367000,17191000,-4400000,177412000,-86929000,-12388000,-74541000,90483000,90483000,90483000,-33588000,56895000,56895000,56895000,56895000,355752000,872013000,5559595000,11925509000,-136883000,12062392000,292959000,995492000,39739000,318038000,20373974000,17452262000,11580664000,5871598000,234669000,17821372000,2489486000,130767000,-67651000,2552602000,2552602000,20373974000,56895000,15857000,4400000,-1011000,17732000,93873000,147545000,-274170000,-496000,-127104000,-30700000,514084000,483384000,450153000,450153000,450153000,106340000,41000.0000000009,0.49767,0.31293,0.02229,0.00279,6.98165,0,0.40771,0.40741,1.30288,18.29211,0.22,0.0043,0.53959,-3.34503,-3.93125
"5","2017_Q4",23.5428571428571,"Up",182983000,133319000,145270000,-11951000,49664000,33565000,16099000,-4500000,178483000,-84784000,-10834000,-73950000,93699000,93699000,93699000,-35336000,58363000,58363000,58363000,58363000,321319000,793046000,5750580000,12012384000,-137327000,12149711000,289689000,995492000,44728000,344409000,20565627000,17595483000,11687849000,5907634000,253160000,17983769000,2490669000,158303000,-67114000,2581858000,2581858000,20565627000,58363000,16053000,4500000,-12250000,-11060000,55606000,-198778000,-85922000,-526000,-281396000,-30701000,143221000,112390000,-113400000,-113400000,-113400000,109752000,34000,0.51206,0.31895,0.02261,0.00284,6.96544,0,0.4182,0.41771,1.31117,18.50043,0.21999,0.00433,0.52604,-2.92737,-3.42891
"6","2018_Q1",23.5834426229508,"Up",189210000,134886000,148558000,-13672000,54324000,32204000,22120000,-5100000,184110000,-89850000,-11481000,-78369000,94260000,94260000,94260000,-82576000,11684000,11684000,11684000,11684000,367084000,667560000,5672668000,12140116000,-137253000,12277369000,289215000,995492000,47987000,369339000,20549461000,17612122000,11485269000,6126853000,270536000,18016910000,2490039000,139177000,-96383000,2532551000,2532551000,20549461000,11684000,15746000,5100000,62037000,-39295000,55272000,-6173999.99999994,-116425000,-472000,-118789000,-32827000,16639000,-16204000,-79721000,-79721000,-79721000,110006000,33999.9999999981,0.49818,0.06175,0.00461,0.000569999999999999,7.11414,0,0.0837,0.08369,1.35545,18.14249,0.23516,0.00217,2.80957,-3.33664,-3.89402
"7","2018_Q2",23.58078125,"Down",188372000,139672000,154936000,-15264000,48700000,32794000,15906000,-5950000,182422000,-90587000,-12287000,-78300000,91835000,91835000,91835000,-23877000,67958000,67958000,67958000,67958000,283135000,409357000,5516820000,12325591000,-138574000,12464165000,288565000,995492000,47499000,357824000,20242942000,17362422000,11312288000,6050134000,224940000,17722080000,2492306000,193522000,-164684000,2520862000,2520862000,20242942000,67958000,13220000,5950000,9711000,-43622000,53217000,83125000,-188594000,-7038000,-112507000,-33504000,-249700000,-282862000,-342152000,-342152000,-342152000,105055000,34000,0.48752,0.36076,0.02696,0.00336,7.03017,0,0.4868,0.48634,1.34936,18.05766,0.24,0.00501,0.49301,-2.69479,-3.08271
"8","2018_Q3",23.5798412698413,"Down",191200000,141403000,159019000,-17616000,49797000,34283000,15514000,-6020000,185180000,-91865000,-13005000,-78860000,93315000,93315000,93315000,-24262000,69053000,69053000,69053000,69053000,332102000,611698000,5.285e+09,12497085000,-140601000,12637686000,287746000,995492000,48528000,404408000,20479719000,17395538000,11430455000,5965083000,289833000,18020544000,2494052000,229615000,-182410000,2459175000,2459175000,20479719000,69053000,14337000,6020000,6821000.00000001,30598000,126829000,181818000,-175132000,-730999.999999998,5954999.99999997,-32792000,33116000,118524000,251308000,251308000,251308000,107652000,200034000,0.48805,0.36116,0.02808,0.00337,7.32788,0.00977,0.50076,0.5002,1.38654,17.83333,0.2378,0.00497,0.47488,-1.2268,-1.41529
"9","2018_Q4",20.551746031746,"Down",188663000,141258000,164052000,-22794000,47405000,34046000,13359000,-4460000,184203000,-93147000,-11478000,-81669000,91056000,91056000,91056000,-23668000,67388000,67388000,67388000,67388000,350967000,348526000,5040288000,12459214000,-141250000,12600464000,286374000,995492000,49407000,436633000,19983838000,16689273000,10881918000,5807355000,305554000,17560376000,2495833000,264463000,-204699000,2423462000,2423462000,19983838000,67388000,14336000,4460000,18129000,-18848000,85465000,36288000,193314000,-729000,228873000,-32370000,-706265000,-558645000,-244307000,-244307000,-244307000,105392000,430026000,0.48264,0.35719,0.02781,0.00337,7.24599,0.02152,0.49758,0.4968,1.39306,17.89449,0.23902,0.00499,0.48035,0.75014,0.86825
"10","2019_Q1",21.7196721311475,"Up",177076000,143985000,168044000,-24059000,33091000,34945000,22231000,-5750000,171326000,-89354000,-13005000,-76349000,81972000,81972000,81972000,-21977000,59995000,59995000,59995000,59995000,396836000,606801000,4944418000,12934473000,-141718000,13076191000,304996000,995492000,48920000,463742000,20695678000,17150068000,11142127000,6007941000,292836000,18170839000,2497250000,291919000,-132195000,2524839000,2524839000,20695678000,59995000,13010000,5750000,20213000,-13066000,85902000,56826000,-401514000,438000,-380130000,-32370000,460795000,598372000,304144000,304144000,304144000,94982000,600026000,0.46292,0.33881,0.02376,0.0029,7.19683,0.02899,0.4449,0.44435,1.31312,18.7231,0.24004,0.00446,0.53954,2.13925,2.47877
