"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.07703125,"Up",234662000,-58987000,175675000,-163131000,-8946000,-30887000,12544000,-2374000,-2469000,95000,10170000,-5997000,4173000,-1678000,2495000,2495000,2495000,2495000,34224830.8770645,34224830.8770645,80436990.4754966,80436990.4754966,18640209.2524348,6548548.54600855,133302030.604996,351979332.106277,660188395.580194,-308209063.473916,7464856.03034855,2019376.68338731,5459070.08537445,359444188.136626,492746218.741622,21131312.2730892,21131312.2730892,9140521.88489998,74493729.026211,74493729.026211,104765563.1842,109581911.869018,65176534.3414056,40753197.4279319,24423336.9134737,174758446.210424,279524009.394624,203235600.704495,13829454.6603218,-3842846.0178191,213222209.346997,213222209.346997,492746218.741622,2495000,8946000,606000,2431000,14478000,-951000,-951000,61094331.820716,52000,52000,52000,13579000,13579000,13579000,21490000,0,24648000,0.74863,0.05346,0.01063,0.0270663529311622,0.0120137768460422,9.87896,1.31097962768307,1.30987953970752,0.246070087115292,0.1058,0.09874,9.95111,9.07223525211668,1.04523,0.0154659262414856,-0.0742864868402141,6.42491516226186,16.769046415128
"2","2011_Q1",10.2017741935484,"Up",224432000,-60502000,163930000,-156749000,-8686000,-29049000,7181000,-2287000,-2375000,88000,4894000,-5377000,-483000.000000001,1188000,705000,705000,705000,705000,29045000,29045000,94569000,94569000,29882000,8984000,153496000,290938000,610572000,-319634000,7723000,1840000,5883000,298661000,452157000,37745000,37745000,17143000,50878000,50878000,105766000,72857000,67176000,39077000,28099000,140033000,245799000,202767000,6318000,-2727000,206358000,206358000,452157000,705000,8686000,1033000,-4981000,3859000,-2081000,-2081000,0,59000,59000,59000,1837000,1837000,1837000,15867000,9e+07,7617000,0.73042,0.032,0.00314,0.00342,0.00156,10.80426,1.45128,1.19113,0.19905,0.02988,0.02899,9.51124,8.74528,0.3228,0.00194,0.02095,3.84162,8.48837
"3","2011_Q2",10.4619047619048,"Up",243018000,-69941000,173077000,-161735000,-8573000,-30422000,11342000,-2907000,-2998000,91000,8435000,-7252000,1183000,-470000,713000,713000,713000,713000,20289889.7076452,20289889.7076452,106445586.508168,106445586.508168,32180513.5825217,19194317.1513305,158915989.798335,279709305.964574,608213118.139935,-328503812.175361,7549714.65655048,1715541.10553756,5829643.30487518,287259020.621125,446175010.419459,42530562.5756369,42530562.5756369,19810492.7050333,47379423.6579297,47379423.6579297,109720478.9386,60615612.7103272,69053738.5528648,39701267.5240227,29352471.0288421,129669351.263192,239389830.201792,202813966.431835,6225765.11322608,-2254551.32739363,206785180.217668,206785180.217668,446175010.419459,713000,8573000,742000,-11027000,-999000,-6045000,-6045000,-16793277.273572,143443.015558332,143443.015558332,-7995283.1377893,-7044000,-7044000,-7044000,19915000,0,3313000,0.7122,0.04667,0.00293,0.00408121568961258,0.00195957438465261,4.64656,1.44203179077231,1.15890182009749,0.180292470961569,0.03015,0.02949,10.27473,8.74103658262777,0.14007,0.00238302458617147,0.0459929956134047,2.86290411257938,4.95231369495732
"4","2011_Q3",8.98109375,"Down",265901000,-76186000,189715000,-173623000,-8803000,-34151000,16092000,-2936000,-2955000,19000,13156000,-7836000,5320000,-1962000,3358000,3358000,3358000,3358000,10716000,10716000,114661000,114661000,30019000,30019000,155396000,297492000,632669000,-335177000,7261000,1645000,5616000,304753000,460149000,41146000,41146000,19643000,54882000,54882000,115671000,61786000,71316000,42077000,29239000,133102000,248773000,203169000,10389000,-2182000,211376000,211376000,460149000,3358000,8803000,185000,-636000,11710000,-14573000,-14573000,-8571000,149000,149000,-8422000,-11285000,-11285000,-11285000,24895000,81429000,11648000,0.71348,0.06052,0.01263,0.01589,0.0073,3.46873,1.34343,1.17692,0.17696,0.14176,0.13806,11.22514,8.92334,0.49173,0.00922,0.03199,2.84045,4.3943
"5","2011_Q4",8.30492063492063,"Down",268285000,-75510000,192775000,-176389000,-9723000,-33206000,16386000,-2316000,-2194000,-122000,14070000,-6766000,7304000,-2475000,4829000,4829000,4829000,4829000,3522000,3522000,115166000,115166000,29311000,29311000,147999000,318823000,659406000,-340583000,7178000,1548000,5630000,326001000,4.74e+08,38231000,38231000,19643000,62768000,62768000,120642000,61786000,75033000,46181000,28852000,136819000,257461000,203563000,15218000,-2242000,216539000,216539000,4.74e+08,4829000,9723000,-215000,9605000,23942000,-31136000,-31136000,0,0,0,0,-7194000,-7194000,-7194000,26109000,81429000,7053000,0.71855,0.06108,0.018,0.0223,0.01019,1.46055,1.22676,1.18898,0.17179,0.20378,0.19995,11.32148,9.13782,0.29763,0.01295,0.01891,2.98391,4.75449
"6","2012_Q1",10.5579032258065,"Up",253020000,-71897000,181123000,-164730000,-10179000,-27443000,16393000,-2257000,-2321000,64000,14136000,-10213000,3923000,-1450000,2473000,2473000,2473000,2473000,1317000,1317000,107436000,107436000,34063000,11572000,142816000,324455000,669345000,-344890000,7615000,1450000,6165000,332070000,474886000,39783000,39783000,22143000,62422000,62422000,124348000,50714000,80523000,51289000,29234000,131237000,255585000,203809000,17691000,-2199000,219301000,219301000,474886000,2473000,10179000,9753000,1153000,23558000,-16145000,-16145000,-8572000,0,0,-9618000,-2205000,-2205000,-2205000,26572000,72857000,13030000,0.71584,0.06479,0.00977,0.01128,0.00521,5.2689,1.14852,1.16545,0.15342,0.10436,0.10234,10.6773,9.25438,0.54986,0.00664,0.03496,2.69231,4.36406
"7","2012_Q2",13.1368253968254,"Up",268690000,-79397000,189293000,-172071000,-11415000,-28956000,17222000,-1869000,-1964000,95000,15353000,-6174000,9179000,-3644000,5535000,5535000,5535000,5535000,60000,60000,120743000,120743000,29215000,29215000,150018000,357145000,700132000,-342987000,7761000,1378000,6383000,364906000,514924000,54307000,54307000,22143000,67346000,67346000,143796000,64309000,81243000,51289000,29954000,145552000,289348000,204571000,23226000,-2221000,225576000,225576000,514924000,5535000,11415000,-1249000,8348000,24049000,-39237000,-39237000,13595000,336000,336000,13931000,-1257000,-1257000,-1257000,28637000,86452000,1392000,0.7045,0.0641,0.0206,0.02454,0.01075,0.25149,1.04327,1.28271,0.16789,0.23306,0.22558,11.3135,9.49814,0.05861,0.01407,0.00354,3.0168,5.01637
"8","2012_Q3",14.3161904761905,"Up",287538000,-77354000,210184000,-182890000,-11951000,-30700000,27294000,-2192000,-2195000,3000,25102000,-6102000,1.9e+07,-7149000,11851000,11851000,11851000,11851000,826000,826000,123697000,123697000,27169000,27169000,151692000,372194000,718956000,-346762000,7978000,1305000,6673000,380172000,531864000,49033000,49033000,22143000,70704000,70704000,141880000,68588000,83200000,53158000,30042000,151788000,293668000,205384000,35077000,-2265000,238196000,238196000,531864000,11851000,11951000,3149000,-674000,26277000,-30067000,-30067000,4279000,277000,277000,4556000,766000,766000,766000,39245000,90731000,15653000,0.73098,0.09492,0.04122,0.04975,0.02228,1.32082,1.06916,1.23288,0.17059,0.49735,0.47635,12.06698,9.99626,0.6569,0.02876,0.03798,2.29087,3.29395
"9","2012_Q4",14.2377419354839,"Down",278024000,-76461000,201563000,-179014000,-12315000,-28167000,22549000,-1897000,-1941000,44000,20652000,-6133000,14519000,-5263000,9256000,9256000,9256000,9256000,804000,804000,124822000,124822000,31115000,31115000,156741000,368800000,722128000,-353328000,16721000,9558000,7163000,385521000,542262000,52442000,52442000,22143000,75039000,75039000,149624000,59034000,85325000,52822000,32503000,144359000,293983000,206175000,44333000,-2229000,248279000,248279000,542262000,9256000,12315000,-5000,5533000,27099000,-9975000,-17591000,-9554000,24000,24000,-9530000,-22000,-22000,-22000,34864000,81177000,35685000,0.72498,0.0811,0.03329,0.03728,0.01707,3.85534,1.04757,1.18408,0.1497,0.38806,0.37074,11.65621,10.40915,1.4961,0.02232,0.08603,2.30533,3.56437
"10","2013_Q1",19.2358333333333,"Up",264427000,-74964000,189463000,-173082000,-12304000,-24494000,16381000,-1637000,-1707000,70000,14744000,-6303000,8441000,-3035000,5406000,5406000,5406000,5406000,321000,321000,106814000,106814000,37028000,11540000,144163000,361704000,718527000,-356823000,13821000,4173000,4417000,375525000,519688000,43706000,43706000,22143000,75451000,75451000,141300000,38562000,85307000,55611000,29696000,123869000,265169000,206993000,49739000,-2213000,254519000,254519000,519688000,5406000,12304000,1323000,4217000,23250000,-3536000,-3536000,-20473000,276000,276000,-20197000,-483000,-483000,-483000,28685000,60705000,32401000,0.7165,0.06195,0.02044,0.02124,0.0104,5.99353,1.02026,1.04184,0.11681,0.22655,0.2173,11.08151,10.66629,1.35785,0.0135,0.0809,2.10507,3.68622
