"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.93359375,"Up",64886000,-52389000,12497000,-5166000,-5166000,7331000,-24000,40000,-64000,7307000,120425.184002287,7307000,-2134000,5173000,5173000,5173000,5173000,22700926.7877122,7739591.42736365,35689845.6787596,35689845.6787596,17256626.6056043,-7133689.4348436,2784813.01711971,20606132.5862714,2490348.81948062,68513709.6372325,42331353.0441059,746069.00755927,746069.007559263,42943931.0082463,111457640.645479,-39262120.8786441,-57700931.5299143,33802460.324295,-12685753.3371758,-11595250.1979175,-11595250.5290827,0.331165149303547,-11595250.1979175,-24281003.5350934,102955.534097591,135635688.646475,135738644.180572,135738644.180572,111457640.645479,5173000,2518000,801000,-7228000,1264000,-6473000,105000,-6578000,-6578000,453000,-4391000,-860000,78000,-938000,-11000,3098000,-29000,-29000,48000,9849000,0,-1718000,0.1926,0.11298,0.07972,0.188733526150795,0.142062926473439,-0.33211,3.88697784996864,-0.266956761658546,-2.90955882009161e-25,0.09258,0.09207,1.16129,2.3517659990433,-0.03075,0.319735043326217,0.343822399528323,-1.5303049440245,-1.6308451134207
"2","2011_Q1",7.77177419354839,"Up",65826000,-51635000,14191000,-5954000,-5954000,8237000,6000,55000,-48999.9999999999,8243000,73000,8316000,-2534000,5782000,5782000,5782000,5782000,11913000,2393000,39901000,39901000,33602000,6332000,656000,0,1529000,91748000,67418000,1111000,1111000,68529000,160277000,36246000,13017000,23229000,36246000,7292000,7292000,0,7292000,43538000,99000,116640000,116739000,116739000,160277000,5782000,2556000,620000,-477999.999999996,8480000,-3929000,31000,-4420000,-4420000,-453000,-2296000,-989000,114000,-1103000,25000,-7939000,-1755000,-1755000,-1756000,10793000,0,8920000,0.21558,0.12513,0.08784,0.04953,0.03608,1.54272,2.53126,0.37295,0,0.10198,0.10141,1.16104,2.05904,0.15733,0.07061,0.07192,-1.10377,-1.44628
"3","2011_Q2",8.68984126984127,"Up",59913000,-48275000,11638000,-5537000,-5537000,6101000,-479000,24000,-503000,5622000,-6000,5616000,-1966000,3650000,3650000,3650000,3650000,6499024.40409594,1179469.52421212,42400884.7737468,42400884.7737468,42531791.1314652,8272979.81161453,97978.9942934316,-6668979.55176283,792550.393506461,99704680.1209225,81213215.6519647,1215893.66414691,1215893.66414691,82473606.3305846,182178286.451507,58842206.959548,33209060.5099714,21006263.225235,56878334.4457253,11193750.0659725,11193750.1763609,-0.110388383101182,11193750.0659725,68072084.5116978,97931.4886341363,114008270.451175,114106201.939809,114106201.939809,182178286.451507,3650000,2703000,16000,-4954000,1415000,-10235000,35000,-10270000,-10270000,7000,-5220000,-684000,59000,-743000,10000,6965000,3160000,3160000,3160000,8804000,0,-4419000,0.19425,0.10183,0.06092,0.0135788246164015,0.00766152450885359,-1.21068,1.85331071667712,0.588883087219515,9.69852940030535e-26,0.06556,0.06505,1.07614,2.03924216698557,-0.07937,0.00112415222459433,-0.0258841331761076,-0.765915851991834,-1.11561162885977
"4","2011_Q3",7.7421875,"Down",69076000,-57339000,11737000,-5711000,-5711000,6026000,-138000,-73000,-65000.0000000001,5888000,14000,5902000,-2063000,3839000,3839000,3839000,3839000,4419000,2091000,42694000,42694000,45311000,5298000,422000,-4093906.06901711,266000,97722000,87482000,1156000,1156000,88638000,186360000,50634000,24621000,23047000,58262000,8069000,8069000,0,8069000,66331000,99000,119930000,120029000,120029000,186360000,3839000,2746000,531000,1644000,8760000,-14623000,14000,-14637000,-14637000,6999.99999999994,-11306000,-963000,73000,-1036000,67000,-915999.999999998,-3462000,-3462000,-3462000,8772000,-3.08148791101958e-33,-2144000,0.16991,0.08724,0.05558,0.03198,0.0206,-0.55848,1.67729,0.55262,0,0.06904,0.06846,1.24217,2.15845,-0.03855,0.0300400000000001,-0.0167400000000001,-0.50376,-0.73332
"5","2011_Q4",8.25269841269841,"Up",73829000,-59570000,14259000,-5451000,-5451000,8808000,-159000,-37000,-122000,8649000,6000.00000000006,8655000,-3029000,5626000,5626000,5626000,5626000,2850000,2278000,40082000,40082000,42256000,5611000,850000,3032120.44823717,26000,90799000,90365000,1090000,1090000,91455000,182254000,35183000,11260000,23923000,49148000,7832000,7832000,0,7832000,56980000,99000,125175000,125274000,125274000,182254000,5626000,2725000,-363000,-6888000,1100000,-5725000,6000,-5731000,-5731000,7000,-3740000,-642000,241000,-883000,99000,2827000,187000,187000,187000,11533000,0,1949000,0.19314,0.1193,0.0762,0.04491,0.03087,0.34643,1.84746,0.45484,0,0.10137,0.10065,1.33028,2.25724,0.03512,0.06456,0.01464,-0.24712,-0.32357
"6","2012_Q1",8.06951612903226,"Down",63402000,-54755000,8647000,-5611000,-5611000,3036000,120000,-93000,213000,3156000,-1816000,1340000,-469000,871000,871000,871000,871000,13000,13000,34137000,34137000,34948000,15289000,723000,10016000,27000,84387000,93502000,1092000,1092000,94594000,178981000,34112000,14118000,19994000,38687000,17790000,17790000,1.11022302462516e-16,17790000,56477000,98000,122406000,122504000,122504000,178981000,871000,3223000,12018000,-903000,15209000,-4849000,427000,-5276000,-5276000,6000,-4272000,-888000,121000,-1009000,35000,-13202000,-2265000,-2265000,-2265000,6259000,0,975999.999999999,0.13638,0.04788,0.01374,0.00711,0.00487,1.12055,2.18128,0.46102,9.18354961579912e-41,0.01571,0.0156,1.14388,2.21019,0.01761,0.0273,0.00696,-0.00208,-0.00427999999999995
"7","2012_Q2",7.85301587301587,"Down",64957000,-51439000,13518000,-5981000,-5981000,7537000,45000,-3000,48000,7582000,23000,7605000,-3038000,4567000,4567000,4567000,4567000,3245000,3245000,34523000,34523000,36755000,14950000,805000,10253000,27000,89473000,94184000,1108000,1108000,95292000,184765000,41335000,16224000,25111000,41335000,17302000,17302000,0,17302000,58637000,98000,126030000,126128000,126128000,184765000,4567000,3394000,284000,3326000,11571000,-2659000,3e+05,-2959000,-2959000,7000,-2652000,-1125000,55000,-1180000,13000,-5687000,3232000,3232000,3232000,10931000,0,14636000,0.20811,0.11603,0.07031,0.03621,0.02472,3.20473,2.16458,0.4649,0,0.08255,0.08194,1.17417,2.2799,0.26456,0.03184,0.10204,-0.29686,-0.43054
"8","2012_Q3",7.86539682539683,"Up",83333000,-62230000,21103000,-6899000,-6899000,14204000,-60000,-9000,-51000,14144000,-10000,14134000,-4837000,9297000,9297000,9297000,9297000,4336000,3082000,52087000,52087000,39142000,7627000,814000,197000,2286000,103192000,93198000,3085000,3085000,100362000,203554000,47584000,16978000,27656000,54843000,16722000,16722000,0,16722000,71565000,98000,131891000,131989000,131989000,203554000,9297000,3353000,-815000.000000002,-3830000,8005000,-5126000,6000,-5132000,-5132000,8000,-14746000,-701000,14000,-715000,20000,6578000,-163000.000000001,-163000.000000001,-163000,17557000,7.88860905221012e-31,13438000,0.25324,0.17045,0.11156,0.07044,0.04567,1.44541,1.88159,0.5422,-1.46936793852786e-39,0.16829,0.1671,1.50848,2.38925,0.24325,0.06252,0.09036,-0.24697,-0.30527
"9","2012_Q4",8.245,"Up",76816000,-59667000,17149000,-6747000,-6747000,10402000,77000,24000,53000,10479000,4000,10483000,-4476000,6007000,6007000,6007000,6007000,9094000,7017000,42371000,42371000,37650000,8179000,575000,2313000,1228000,97294000,92634000,3131000,3131000,98960000,196254000,42920000,13720000,29200000,42920000,16343000,16343000,0,16343000,59263000,347000,136644000,136991000,136991000,196254000,6007000,3332000,-82000,9580000,18837000,-4486000,5000,-4491000,-4491000,5000,-3427000,-1500000,984000,-2484000,234000,-11475000,3935000,3935000,3935000,13734000,0,23304000,0.22325,0.13541,0.0782,0.04385,0.03061,3.87947,2.26687,0.43261,0,0.10881,0.10823,1.39147,2.4815,0.42214,0.05841,0.15198,-0.66215,-0.87425
"10","2013_Q1",9.90783333333333,"Up",78008000,-59279000,18729000,-6634000,-6634000,12095000,21000,30000,-8999.99999999999,12116000,-21000,12095000,-4517000,7578000,7578000,7578000,7578000,5991000,3159000,43866000,43866000,32614000,9075000,740000,694000,3148000,91546000,90695000,3211000,3211000,101947000,193493000,39625000,13047000,26578000,39625000,15732000,15732000,1.4210854715202e-14,15732000,55357000,147000,137989000,138136000,138136000,193493000,7578000,3328000,-444000,2292000,12754000,-1865000,-3e+05,-1565000,-1565000,49000,-9510000,-1338000,943000,-2281000,126000,-7102000,-3858000,-3858000,-3858000,15423000,-1.26217744835362e-29,20367000,0.24009,0.15505,0.09714,0.05486,0.03916,2.68765,2.31031,0.40074,-1.17549435082229e-38,0.13733,0.13675,1.41366,2.50331,0.36909,0.08753,0.13237,-0.38845,-0.49533
