"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_expense","investments_in_affiliates","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2019_Q1",41.3539344262295,"Up",55114000,-8583000,46531000,-112256000,-9980000,-92627000,-9649000,-65725000,-22870000,-19428000,-3442000,-88595000,2746000,-85849000,116000,-85733000,-85733000,30920000,-54813000,-56038000,532857000,532857000,36926000,36926000,3094000,3094000,572877000,1751067000,552132000,123656000,29899000,398577000,2303199000,2876076000,127565000,127565000,127565000,1598053000,1598053000,1725618000,1124874000,-344132000,780770000,369688000,1150458000,2876076000,-85733000,92627000,11033000,22676000,40603000,-103220000,-103220000,-7483000,-72199000,-10031000,-7137000,-17168000,-48764000,-48764000,-48764000,26902000,1598053000,-53758000,0.84427,-1.19253,-1.01677,-0.04871,-0.01948,0.95931,4.49086,1.49994,0.55564,-1.57256,-1.57256,1.54663,21.90941,-1.50857,0.28149,-0.01674,-0.01956,-0.179,39.59542,-16.20686
"14","2019_Q2",43.9644444444444,"Up",43860000,-10237000,33623000,-46167000,-9759000,-26216000,-10192000,-12544000,-19634000,-20856000,1222000,-32178000,21261000,-10917000,23000,-10894000,-10894000,3927000,-6967000.00000001,-8192000,442625000,442625000,41740000,41740000,7510000,7510000,491875000,1774270000,573680000,101452000,52700000,419528000,2347950000,2839825000,118674000,118674000,118674000,1598171000,1598171000,1716845000,1124827000,-362606000,762249000,360731000,1122980000,2839825000,-10894000,26216000,-23511000,-8582000,-16771000,-85413000,-85413000,-9140000,-56595000,-10223000,-6643000,-16866000,-90232000,-90232000,-90232000,13672000,1598171000,-80346000,0.7666,-0.286,-0.18678,-0.00728999999999999,-0.00288,9.80786,4.14476,1.52883,0.56277,-0.22965,-0.22965,1.22957,21.36809,-2.25242,0.28659,0.000750000000000001,-0.02953,-1.24792,84.51916,-92.11942
"15","2019_Q3",41.0790625,"Down",40511000,-9302000,31209000,-38650000,-8297000,-20194000,-10159000,-7441000,-29910000,-19966000,-9944000,-37351000,11612000,-25739000,-146000,-25885000,-25885000,8982000,-16903000,-18128000,325505000,325505000,50388000,50388000,5277000,5277000,381170000,1853993000,563585000,96332000,48286000,418967000,2417578000,2798748000,104952000,104952000,104952000,1598276000,1598276000,1703228000,1144838000,-380734000,764132000,331388000,1095520000,2798748000,-25885000,20194000,-5962000,1894000,-9759000,-97147000,-97147000,-10478000,-90341000,-10191000,-6829000,-17020000,-117120000,-117120000,-117120000,12753000,1598276000,-82354000,0.77038,-0.18368,-0.44748,-0.01655,-0.00648,4.54292,3.63185,1.55472,0.57107,-0.49946,-0.49946,1.11616,21.0526,-2.26902,0.28078,-0.00295,-0.03057,-0.56217,99.80169,-171.04838
"16","2019_Q4",42.3446875,"Up",47628000,-11462000,36166000,-38887000,-8130000,-21593000,-9164000,-2721000,-26246000,-20630000,-5616000,-28967000,12445000,-16522000,40000,-16482000,-16482000,5604000,-10878000,-12103000,232320000,232320000,57186000,57186000,10213000,10213000,299719000,1908065000,585414000,91013000,65258000,429143000,2493479000,2793198000,115607000,115607000,115607000,1598382000,1598382000,1713989000,1146234000,-392837000,753425000,325784000,1079209000,2793198000,-16482000,21593000,-12130000,-4800000,-11819000,-96582000,-96582000,-13092000,-80030000,-1225000,-111000,-1336000,-93185000,-93185000,-93185000,18872000,1598382000,-82550000,0.75934,-0.05713,-0.25412,-0.01121,-0.00433,6.82062,2.59257,1.58819,0.57224,-0.32855,-0.32855,1.2929,20.45163,-2.24089,0.03325,-0.00406,-0.03083,-0.10121,72.38565,-502.0441
"17","2020_Q1",31.1916129032258,"Down",36634000,-11122000,25512000,-58628000,-12970000,-36578000,-9080000,-33116000,-29899000,-26243000,-3656000,-63015000,25786000,-37229000,-113000,-37342000,-37342000,12693000,-24649000,-25874000,139260000,139260000,54470000,54470000,5275000,5275000,199005000,1970633000,580974000,68153000,67744000,445077000,2551607000,2750612000,108755000,108755000,108755000,1598487000,1598487000,1707242000,1150102000,-418711000,731419000,311951000,1043370000,2750612000,-37342000,36578000,-19436000,889000,-19311000,31961000,-108544000,-21483000,-72524000,-1225000,0,-1225000,-93060000,-93060000,-93060000,3462000,1598487000,36425000,0.6964,-0.90397,-0.70628,-0.0248,-0.00941,-1.40778,1.82985,1.63628,0.58114,-0.70218,-0.70218,0.99419,19.84887,0.98852,0.03324,-0.00933,0.01379,-0.04734,421.49827,-44.06411
"18","2020_Q2",10.0592063492063,"Down",33317000,-10301000,23016000,-52742000,-9420000,-34097000,-9225000,-29726000,-22074000,-21180000,-894000,-51800000,20788000,-31012000,37000,-30975000,-30975000,10311000,-20664000,-21889000,96737000,96737000,48602000,48602000,3204000,3204000,148543000,2044533000,571292000,44121000,67525000,459646000,2615825000,2764368000,153407000,153407000,153407000,1598593000,1598593000,1.752e+09,1177939000,-440600000,737367000,275001000,1012368000,2764368000,-30975000,34097000,-15959000,2637000,-10200000,-73610000,-73610000,-16894000,-31024000,-1225000,-74000.0000000001,-1299000,-42523000,-42523000,-42523000,4371000,1598593000,-66639000,0.69082,-0.89222,-0.65699,-0.02162,-0.00792,3.04441,0.96829,1.7306,0.57829,-0.58791,-0.58791,0.89485,19.80391,-1.78983,0.0329,-0.00791,-0.02552,-0.05596,343.59552,-50.52331
"19","2020_Q3",12.236875,"Up",21819000,-8697000,13122000,-41730000,-8644000,-23702000,-9384000,-28608000,-23326000,-22004000,-1322000,-51934000,52064000,130000,-26000,104000,104000,-32000,72000,-1153000,81675000,81675000,65278000,65278000,3204000,3204000,150157000,2049520000,579260000,31950000,61977000,485333000,2628780000,2778937000,168277000,168277000,168277000,1598698000,1598698000,1766975000,1178654000,-441753000,736929000,275033000,1011962000,2778937000,104000,23702000,-47356000,15405000,-8145000,76821000,-65672000,-24172000,-5681000,-1225000,-11000,-1236000,-15062000,-15062000,-15062000,-4906000,1598698000,87346000,0.6014,-1.31115,-0.05284,-0.00114,-0.00041,-75.75542,0.89232,1.74609,0.57529,-0.02984,-0.02984,0.56476,19.0739,2.26086,0.03171,3e-05,0.03346,-1.06245,-309.2179,-53.02793
"20","2020_Q4",14.7859375,"Up",33707000,-11154000,22553000,-44337000,-11203000,-23647000,-9487000,-21784000,-21091000,-20756000,-335000,-42875000,-29300000,-72175000,-226000,-72401000,-72401000,22348000,-50053000,-51278000,118227000,118227000,39916000,39916000,10882000,10882000,169025000,1996022000,577968000,20756000,69788000,487424000,2573990000,2743015000,1.84e+08,1.84e+08,204416000,1598804000,1598804000,1803220000,1180113000,-493031000,687110000,252685000,939795000,2743015000,-72401000,23647000,27846000,13953000,-6955000,36602000,-55682000,-9594000,27008000,-1225000,0,19191000,39244000,39244000,39244000,1863000,1598804000,52644000,0.66909,-0.64628,-1.52129,-0.05456,-0.01869,-1.02664,0.82687,1.91874,0.58286,-1.32673,-1.32673,0.87211,17.77702,1.36207,0.03169,-0.01972,0.02074,-0.02389,794.72732,-67.96626
"21","2021_Q1",18.5327868852459,"Up",27652000,-11012000,16640000,-22805000,418000,-14551000,-8672000,-6165000,-26143000,-23982000,-2161000,-32308000,-17347000,-49655000,-37000,-49692000,-49692000,15311000,-34381000,-35606000,143728000,143728000,46570000,46570000,8390000,8390000,198688000,1910872000,539383000,18595000,67984165.775207,457033000,2450255000,2648943000,146882000,146882000,167307000,1598909000,1598909000,1766216000,1177649000,-528637000,649040000,233687000,882727000,2648943000,-49692000,14551000,14765000,-1638000,-22014000,45245000,-51856000,-12231000,52565000,-1225000,0,-1216000,29335000,29335000,29335000,8386000,1598909000,52030000,0.60176,-0.22295,-1.28765,-0.04034,-0.01344,-1.46127,1.18757,2.00086,0.6036,-0.92062,-0.92062,0.71497,16.78074,1.34528,0.03167,-0.01385,0.02097,-0.0344,173.52504,-236.03909
"22","2021_Q2",17.7444444444444,"Down",31281000,-10643000,20638000,-34529000,-11232000,-13142000,-10155000,-13891000,-19688000,-18526000,-1162000,-33579000,22508000,-11071000,138000,-10933000,-10933000,3213000,-7720000,-8945000,137940000,137940000,33964000,33964000,30967000,30967000,202871000,1870623000,538882000,17702000,61604000,459576000,2409505000,2612376000,121379000,121379000,141961000,1599015000,1599015000,1740976000,1201280000,-537582000,663726000,207674000,871400000,2612376000,-10933000,13142000,-19116000,-6190000,-23097000,28417000,-26804000,-9902000,18515000,-1225000,-137999.999999996,-1206000,-5788000,-5788000,-5788000,-749000,1599015000,21340000,0.65976,-0.44407,-0.28596,-0.01027,-0.00342,-2.38569,1.42906,1.99791,0.61209,-0.22659,-0.22659,0.79239,16.81227,0.54057,0.03103,-0.00312,0.00864,-0.13695,-1950.70093,-105.18141
"23","2021_Q3",15.76125,"Down",27874000,-11286000,16588000,-34379000,-11990000,-13328000,-9061000,-17791000,-30773000,-28446000,-2327000,-48564000,-46442000,-95006000,-298000,-95304000,-95304000,22464000,-72840000,-74065000,140058000,140058000,31192000,31192000,38073000,38073000,209323000,1745572000,547638000,16840000,62529000,468269000,2293210000,2502533000,107915000,107915000,128523000,1599121000,1599121000,1727644000,1230437000,-611647000,618818000,156071000,774889000,2502533000,-95304000,13328000,47880000,-10409000,-44505000,104896000,26804000,-11377000,93519000,-1225000,-45073000,-46272000,2742000,2742000,2742000,-4463000,1599121000,90322000,0.59511,-0.63827,-2.65714,-0.09558,-0.0296,-1.2195,1.62868,2.22954,0.639,-1.87616,-1.87616,0.70608,15.6747,2.28797,0.03103,-0.03068,0.03805,-0.01654,-326.92427,-82.0113
"24","2021_Q4",14.64875,"Down",29003000,-11585000,17418000,-30481000,-8780000,-13159000,-8542000,-13063000,-32208000,-26673000,-5535000,-45271000,18960000,-26311000,-37999.9999999999,-26349000,-26349000,5815000,-20534000,-21759000,153378000,153378000,27499000,27499000,19423000,19423000,200300000,1746927000,547479000,15970000,67265000,464244000,2294406000,2494706000,123178000,123178000,143791000,1599226000,1599226000,1743017000,1240747000,-625491000,615284000,136405000,751689000,2494706000,-26349000,13159000,-15005000,-755999.999999998,-28951000,72857000,28360327.0571907,-10443000,-5227000,-1225000,48906000,47498000,13320000,13320000,13320000,96000,1599226000,72235000,0.60056,-0.4504,-0.75023,-0.02895,-0.00871999999999999,-3.31978,1.39299,2.3188,0.64105,-0.51837,-0.51837,0.69094,14.65733,1.72086,0.02918,-0.00873,0.03073,-0.0563,15060.91667,-110.68269
"25","2022_Q1",11.0267741935484,"Down",28525000,-11493000,17032000,-29015000,-9947000,-11570000,-7498000,-11983000,-25247000,-25045000,-202000,-37230000,130829000,93599000,2000,93601000,93601000,-20656000,72945000,71720000,106602000,106602000,30619779.8390929,30619779.8390929,48466944.0794362,48466944.0794362,106602000,1696111000,611425000,14817000,74543259.1472813,498563000,2307536000,2414138000,109379000,109379000,130006000,1439332000,1439332000,1569338000,1241484000,-553771000,687741000,157059000,844800000,2414138000,93601000,11570000,-128378000,-16236000,-39443000,80597000,-4568991.87269682,-6922000,153900000,-1225000,-7000,-161232000,-46775000,-46775000,-46775000,-413000,1439332000,63946000,0.59709,-0.42009,2.51429,0.0849,0.02971,0.89161,0.81998,1.85764,0.59621,1.47584,1.47584,0.58698,14.15164,1.31587,0.02521,0.03194,0.028,0.01708,-3226.94915,-111.21839
"26","2022_Q2",8.91774193548387,"Down",30905000,-11032000,19873000,-29176000,-9092000,-11934000,-8150000,-9303000,-55653000,-22577000,-33076000,-64956000,-2005999.99999997,-66962000,-25000,-66987000,-66987000,14782000,-52205000,-53430000,53807000,53807000,38172000,38172000,99230000,99230000,191209000,1599514000,545250000,13151000,84713527.4418438,471271000,2144764000,2335973000,98773000,98773000,119412000,1439437000,1439437000,1558849000,1242020000,-607201000,634847000,142277000,777124000,2335973000,-66987000,11934000,34956000,-9951000,-30048000,-14007000,-22474000,-7613000,-21521000,-1225000,-82836903.3222704,-1225000,-52794000,-52794000,-52794000,2631000,1439437000,-21302000,0.64304,-0.30102,-1.72885,-0.06875,-0.02287,0.398690000000001,1.60125,2.00592,0.6162,-1.22456,-1.22456,0.70831,14.54939,-0.48822,0.02808,-0.02355,-0.00961,-0.02293,526.655259999998,-148.94443
"27","2022_Q3",11.44453125,"Up",29704000,-10801000,18903000,-28187000,-11093000,-10669000,-6425000,-9284000,-56284000,-22564000,-33720000,-65568000,-76312000,-141880000,-203000,-142083000,-142083000,31328000,-110755000,-111980000,149529000,149529000,42816000,42816000,117013000,117013000,309358000,1404147000,523808000,10295000,98125554.8836876,445152000,1927955000,2237313000,107720000,107720000,163372000,1439543000,1439543000,1602915000,1242602000,-719181000,523449000,110949000,634398000,2237313000,-142083000,10669000,107062000,-101000,-24453000,182193000,22474000,-7819000,174435000,-1225000,-53032000,-54257000,95725000,95725000,95725000,1385000,1439543000,183680000,0.63638,-0.31255,-3.76986,-0.17651,-0.05005,-1.64029,1.89358,2.52667,0.64342,-2.56382,-2.56382,0.68008,11.9839,4.20542,0.02805,-0.0534,0.08857,-0.01094,931.41805,-138.95024
