"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.6019047619048,"Up",1.153e+09,-9.09e+08,2.44e+08,-1.54e+08,-1.31e+08,-2.3e+07,9e+07,-1.15e+08,-1.15e+08,-2.5e+07,-4.1e+07,-6.6e+07,2.8e+07,-3.8e+07,-3.8e+07,-3.8e+07,-3.8e+07,822392759.517929,822392759.517929,226808991.892846,2917121387.89086,2748952999.00451,3966323139.30163,7195123164.88585,-281326085.812105,1973759671.10153,78270737.0149895,469035032.119647,864526222.980003,259579561.400134,302348117.586753,8887556750.17527,12853879889.4769,2726244608.56767,2726244608.56767,2578672.89926351,2728823281.46693,8366625734.40327,1893114385.18688,1298354437.8323,594759947.354578,10259740119.5902,12988563401.0571,9098534113.07902,-6071225654.29716,-3060964431.83002,-101027538.532016,-134683511.580181,-134683511.580181,12853879889.4769,-3.8e+07,-3.8e+07,2.9e+08,-1.2e+07,4e+07,-5e+06,4.5e+07,2.8e+08,-6.56e+08,1.838e+09,-2.494e+09,1.61e+08,-4.95e+08,2.38e+08,-3.8e+07,2e+08,-1.5e+07,-1.5e+07,3e+06,-1.2e+07,3.8e+08,0,-2.64e+08,0.21162,0.07806,-0.03296,-1.24920717794532,-0.0527304461536299,6.94737,1.74645695971477,110.94239848847,0.640720335246883,-0.37037,-0.37037,11.23782,-1.28362706365591,-2.5731,-0.0573970958971738,-0.646869322369772,44.1458986132148,235.464934605472
"2","2010_Q3",10.465,"Down",1.293e+09,-9.78e+08,3.15e+08,-1.66e+08,-1.43e+08,-2.3e+07,1.49e+08,-1.16e+08,-1.16e+08,3.3e+07,-2000000.00000001,3.1e+07,-3e+06,2.8e+07,2.8e+07,2.8e+07,2.8e+07,4.58e+08,4.58e+08,3.04e+08,1.012e+09,9.08e+08,1.774e+09,8.079e+09,1.28e+08,1.717e+09,7.6e+07,4.75e+08,6.03e+08,2.56e+08,3.07e+08,9.924e+09,1.1698e+10,1.364e+09,1.364e+09,8e+06,1.372e+09,8.083e+09,2.018e+09,1.269e+09,7.49e+08,1.0101e+10,1.1473e+10,8.919e+09,-5.963e+09,-2.703e+09,-2.8e+07,2.25e+08,2.25e+08,1.1698e+10,2.6e+07,2.6e+07,3.36e+08,-2.5e+07,4.3e+07,-2.1e+07,6.4e+07,3.8e+08,-1.68e+09,1.297e+09,-2.977e+09,-5.2e+07,-1.732e+09,1.348e+09,-7.45058059692383e-09,1.348e+09,-4e+06,-4e+06,-8e+06,-1.2e+07,4.85e+08,8.091e+09,-1.149e+09,0.24362,0.11524,0.02166,0.12444,0.00239,-41.03571,1.293,50.99111,0.69166,0.27158,0.22117,12.54122,2.18235,-11.14452,0.00271,-0.11119,15.73814,51.22819
"3","2010_Q4",13.14125,"Up",1.513e+09,-1.057e+09,4.56e+08,-1.8e+08,-1.56e+08,-2.4e+07,2.76e+08,-1.21e+08,-1.21e+08,1.55e+08,-1.4e+07,1.41e+08,-5.3e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,6.23e+08,6.23e+08,3.17e+08,4.07e+08,3e+08,1.347e+09,7.487e+09,2.11e+08,1.656e+09,7.6e+07,4.79e+08,5.44e+08,2.7e+08,2.87e+08,9.354e+09,1.0701e+10,9.28e+08,9.28e+08,9e+06,9.37e+08,7.396e+09,1.995e+09,1.287e+09,7.08e+08,9.391e+09,1.0328e+10,8.907e+09,-5.963e+09,-2.613e+09,4.2e+07,3.73e+08,3.73e+08,1.0701e+10,9e+07,9e+07,3.55e+08,2.43e+08,-1e+07,-8e+06,-2e+06,6.78e+08,2.04e+08,1.321e+09,-1.117e+09,7e+06,2.11e+08,-7.28e+08,-7e+06,-7.35e+08,1.54e+08,1.54e+08,1.1e+07,1.65e+08,6.31e+08,7.405e+09,8.78e+08,0.30139,0.18242,0.05816,0.23592,0.00822,9.97727,1.43757,27.68901,0.69199,0.85271,0.6951,14.66085,3.61434,8.50775,0.009,0.08984,10.74802,24.57246
"4","2011_Q1",15.3672580645161,"Up",1.226e+09,-9.59e+08,2.67e+08,-1.59e+08,-1.39e+08,-2e+07,1.08e+08,-1.22e+08,-1.22e+08,-1.4e+07,-2e+07,-3.4e+07,1e+07,-2.4e+07,-2.4e+07,-2.4e+07,-2.4e+07,9.11e+08,9.11e+08,3.15e+08,4.12e+08,2.82e+08,1.638e+09,6.847e+09,1.49e+08,1.693e+09,7.6e+07,4.81e+08,5.87e+08,2.9e+08,2.59e+08,8.689e+09,1.0327e+10,9.25e+08,9.25e+08,8e+06,9.33e+08,7.009e+09,1.975e+09,1.333e+09,6.42e+08,8.984e+09,9.917e+09,8.829e+09,-5.874e+09,-2.637e+09,9.2e+07,4.1e+08,4.1e+08,1.0327e+10,-2.4e+07,-2.4e+07,2.96e+08,1.19e+08,-8.9e+07,1.4e+07,999999.999999989,3.02e+08,3.73e+08,1.877e+09,-1.504e+09,4.2e+07,4.13e+08,-4.07e+08,-2.6e+07,-4.33e+08,2.82e+08,2.82e+08,6e+06,2.88e+08,4.04e+08,7.017e+09,6.78e+08,0.21778,0.08809,-0.01958,-0.05854,-0.00232,-28.25,1.75563,24.1878,0.67948,-0.23188,-0.15894,11.84541,3.96135,6.55072,-0.00255,0.07211,15.11386,56.53704
"5","2011_Q2",17.538253968254,"Up",1.235e+09,-9.35e+08,3e+08,-1.77e+08,-1.54e+08,-2.3e+07,1.23e+08,-1.1e+08,-1.1e+08,1.3e+07,-28838489.9424773,1.3e+07,-4e+06,9e+06,9e+06,9e+06,9e+06,9.13e+08,9.13e+08,3.49e+08,4.19e+08,2.89e+08,1.681e+09,7.501e+09,1.11e+08,1.747e+09,7.6e+07,4.83e+08,6.32e+08,3.05e+08,2.51e+08,9.359e+09,1.104e+10,9.04e+08,9.04e+08,7e+06,9.11e+08,7.603e+09,2.088e+09,1.384e+09,7.04e+08,9.691e+09,1.0602e+10,8.508e+09,-5.552e+09,-2.63e+09,1.12e+08,4.38e+08,4.38e+08,1.104e+10,7e+06,7e+06,3.05e+08,-2.9e+07,-6e+06,-1e+06,-5e+06,2.77e+08,-8.57e+08,1.677e+09,-2.534e+09,-3e+06,-8.6e+08,5.89e+08,-3e+06,5.86e+08,3e+06,3e+06,-1e+06,2e+06,4.28e+08,7.61e+09,-4.31e+08,0.24291,0.0996,0.00729,0.02055,0.000820000000000002,-47.88889,1.84523,24.20548,0.68931,0.08604,0.08427,11.80688,4.18738,-4.12046,0.00089,-0.04252,15.6472,54.44715
"6","2011_Q3",13.45578125,"Down",1.411e+09,-9.83e+08,4.28e+08,-1.89e+08,-1.68e+08,-2.1e+07,2.39e+08,-1.16e+08,-1.16e+08,1.23e+08,-3.6e+07,8.7e+07,-3.7e+07,5e+07,5e+07,5e+07,5e+07,6.45e+08,6.45e+08,4.17e+08,8.44e+08,7.12e+08,1.906e+09,8.59e+09,7.9e+07,1.866e+09,7.6e+07,4.84e+08,6.39e+08,3.16e+08,3.51e+08,1.0535e+10,1.2441e+10,1.006e+09,1.006e+09,6e+06,1.012e+09,8.779e+09,2.118e+09,1.43e+09,6.88e+08,1.0897e+10,1.1909e+10,8.501e+09,-5.539e+09,-2.578e+09,1.48e+08,5.32e+08,5.32e+08,1.2441e+10,5.2e+07,5.2e+07,3.58e+08,-4.5e+07,6e+07,-2.3e+07,8.3e+07,4.25e+08,-1.357e+09,1.368e+09,-2.725e+09,-7.1e+07,-1.829e+09,1.167e+09,-3.7e+07,1.13e+09,-2.74e+08,-2.74e+08,6e+06,-2.68e+08,5.97e+08,8.785e+09,-6.63e+08,0.30333,0.16938,0.03544,0.09398,0.00402,-13.26,1.8834,22.38534,0.70613,0.47438,0.33201,13.3871,5.04744,-6.29032,0.00437,-0.05798,13.63484,34.05858
"7","2011_Q4",11.9646031746032,"Down",1.623e+09,-1.088e+09,5.35e+08,-2.1e+08,-1.89e+08,-2.1e+07,3.25e+08,-1.22e+08,-1.22e+08,2.03e+08,-6.7e+07,1.36e+08,-5.4e+07,8.2e+07,8.2e+07,8.2e+07,8.2e+07,1.002e+09,1.002e+09,3.7e+08,7.84e+08,6.51e+08,2.156e+09,8.186e+09,1.67e+08,1.802e+09,7.6e+07,4.75e+08,6.34e+08,3.29e+08,2.88e+08,1.0155e+10,1.2311e+10,1.053e+09,1.053e+09,6e+06,1.059e+09,8.625e+09,2.075e+09,1.461e+09,6.14e+08,1.07e+10,1.1759e+10,8.502e+09,-5.535e+09,-2.496e+09,8.1e+07,5.52e+08,5.52e+08,1.2311e+10,8.2e+07,8.2e+07,3.71e+08,1.24e+08,-7e+06,-1.2e+07,5e+06,5.7e+08,-1.29e+08,1.343e+09,-1.472e+09,4.4e+07,-8.5e+07,-9.5e+07,-1.2e+07,-1.07e+08,3.78e+08,3.78e+08,-2.1e+07,3.57e+08,6.96e+08,8.631e+09,6.14e+08,0.32964,0.20025,0.05052,0.14855,0.00666,7.4878,2.03588,21.30254,0.70108,0.77873,0.63418,15.41311,5.24217,5.83096,0.00728,0.05454,10.96121,23.47385
"8","2012_Q1",13.5606451612903,"Up",1.631e+09,-1.242e+09,3.89e+08,-2.75e+08,-2.45e+08,-3e+07,1.14e+08,-1.57e+08,-1.57e+08,-4.3e+07,-1.57e+08,-2e+08,3e+07,-1.7e+08,-1.7e+08,-1.7e+08,-1.7e+08,5.34e+08,5.34e+08,5.07e+08,5e+08,3.8e+08,1.541e+09,8.849e+09,3.8e+08,2.168e+09,3.53e+08,7.13e+08,4.44e+08,3.43e+08,3.15e+08,1.1397e+10,1.2938e+10,1.433e+09,1.433e+09,3.7e+07,1.47e+09,8.732e+09,2.324e+09,9.82e+08,1.342e+09,1.1056e+10,1.2526e+10,8.533e+09,-5.533e+09,-2.666e+09,7.8e+07,4.12e+08,4.12e+08,1.2938e+10,-1.7e+08,-1.7e+08,3.61e+08,1.31e+08,-1.6e+07,6.5e+07,-6.3e+07,3.06e+08,8.29e+08,2.822e+09,-1.993e+09,1.2e+07,4.01e+08,-1.127e+09,-5.8e+07,-1.185e+09,-4.78e+08,-4.78e+08,1e+07,-4.68e+08,4.75e+08,8.769e+09,1.258e+09,0.2385,0.0699,-0.10423,-0.41262,-0.01314,-7.4,1.0483,30.40291,0.67777,-1.61137,-4.98534,15.45972,3.90521,11.92417,-0.01478,0.10934,17.33684,72.23684
"9","2012_Q2",14.0787301587302,"Up",1.623e+09,-1.211e+09,4.12e+08,-2.51e+08,-2.19e+08,-3.2e+07,1.61e+08,-1.47e+08,-1.47e+08,1.4e+07,-4e+07,-2.6e+07,3e+06,-2.3e+07,-2.3e+07,-2.3e+07,-2.3e+07,6.06e+08,6.06e+08,5.55e+08,5.6e+08,4.43e+08,1.721e+09,9.902e+09,2.65e+08,2.299e+09,3.59e+08,7.24e+08,5.1e+08,3.54e+08,3.52e+08,1.2466e+10,1.4187e+10,1.443e+09,1.443e+09,2.27e+08,1.67e+09,9.525e+09,2.557e+09,1.065e+09,1.492e+09,1.2082e+10,1.3752e+10,8.322e+09,-5.32e+09,-2.689e+09,1.22e+08,4.35e+08,4.35e+08,1.4187e+10,-2.3e+07,-2.3e+07,3.31e+08,3.8e+07,-9.3e+07,-2.8e+07,-6.5e+07,2.53e+08,-9.27e+08,2.146e+09,-3.073e+09,-4e+07,-9.67e+08,7.92e+08,-9e+06,7.83e+08,6.9e+07,6.9e+07,3e+06,7.2e+07,4.92e+08,9.752e+09,-5.31e+08,0.25385,0.0992,-0.01417,-0.05287,-0.00162,23.08696,1.03054,31.61379,0.68739,-0.21719,-0.21719,15.32578,4.10765,-5.01416,-0.0018,-0.04167,18.58943,56.80745
"10","2012_Q3",15.6884126984127,"Up",1.866e+09,-1.288e+09,5.78e+08,-2.63e+08,-2.33e+08,-3e+07,3.15e+08,-1.48e+08,-1.48e+08,1.67e+08,-3.9e+07,1.28e+08,-4.9e+07,7.9e+07,7.9e+07,7.9e+07,7.9e+07,4.54e+08,4.54e+08,6.38e+08,6.74e+08,5.57e+08,1.766e+09,1.1759e+10,2.07e+08,2.251e+09,3.44e+08,7.07e+08,4.75e+08,3.61e+08,3.64e+08,1.4217e+10,1.5983e+10,1.556e+09,1.556e+09,3.9e+07,1.595e+09,1.1267e+10,2.643e+09,1.068e+09,1.575e+09,1.391e+10,1.5505e+10,8.243e+09,-5.23e+09,-2.61e+09,7.5e+07,4.78e+08,4.78e+08,1.5983e+10,7.9e+07,7.9e+07,3.63e+08,2.6e+07,1e+06,-5.5e+07,5.6e+07,4.69e+08,-1.97e+09,1.944e+09,-3.914e+09,-2.3e+07,-1.998e+09,1.378e+09,999999.999999993,1.379e+09,-1.5e+08,-1.5e+08,-2e+06,-1.52e+08,6.78e+08,1.1306e+10,-1.242e+09,0.30975,0.16881,0.04234,0.16527,0.00494,-15.72152,1.10721,32.43724,0.70738,0.74039,0.54976,17.48828,4.47985,-11.64011,0.00548,-0.08609,16.0059,34.45079
