"","YQ","p","d","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","current_ratio","liabilities_to_equity_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q4",4.00619047619048,"Up",-2255209,-2064561,-2255209,-33700,-33700,-33700,-2288909,-2422421,-2422421,-2422421,-2422421,-2422421,198728,198728,556535,21567225,3948189,1977522,1970667,9973293,9973293,36271861,-24677929,11593932,11593932,21567225,-2422421,-799249,-2402422,2540040,137618,137618,137618,5416303,-0.20894,0.0558,0.86022,-0.46169,-0.46169,2.20968,-0.14241,-2.31357
"2","2018_Q1",3.67967213114754,"Down",-2402530,-1928000,-2402530,-784010,-784010,-784010,-3186540,-3043271,-3043271,-3043271,-3043271,-3043271,3204108,3204108,3424354,24416553,2268558,602431,1666127,2469165,2469165,49668588,-27721200,21947388,21947388,24416553,-3043271,-1465830,-3429390,6436896,3005380,3005380,3005380,172970,-0.13866,1.38685,0.1125,-0.44838,-0.44838,3.23365,-0.13758,1.26164
"3","2018_Q2",2.658125,"Down",-3242782,-2636261,-3242782,-3384,-3384,-3384,-3246166,-3246166,-3246166,-3246166,-3246166,-3246166,7370697,7370697,7481514,28473071,2426150,561160,1864990,2616757,2616757,56823680,-30967366,25856314,25856314,28473071,-3246166,257021,-2441082,6607671,4166589,4166589,4166589,172970,-0.12555,2.85908,0.1012,-0.37724,-0.37724,3.00479,-0.12471,2.21961
"4","2018_Q3",1.91063492063492,"Down",-4866944,-1427091,-4866944,-4706,-4706,-4706.00000000006,-4871650,-4421650,-4421650,-4421650,-4421650,-4421650,5007865,5007865,5072659,26063575,2388899,1400473,988426,2561869,2561869,58890722,-35389016,23501706,23501706,26063575,-4421650,441135,-4126408,1763576,-2362832,-2362832,-2362832,172970,-0.18814,1.98006,0.10901,-0.44237,-0.44237,2.35124,-0.18677,0.99341
"5","2018_Q4",1.36904761904762,"Down",-2017994,-1239138,-2017994,-3900,-3900,-3900,-2021894,-2021894,-2021894,-2021894,-2021894,-2021894,2761805,2761805,2834933,23825614,2017434,912337,1105097,2190404,2190404,59046120,-37410910,21635210,21635210,23825614,-2021894,-379799,-2246060,0,-2246060,-2246060,-2246060,172970,-0.09345,1.29425,0.10124,-0.18937,-0.18937,2.0263,-0.09271,1.28288
"6","2019_Q1",1.17737704918033,"Down",-3661423,-1923728,-3661423,814495,-3848,-3848,-2846928,-2846928,-2846928,-2846928,-2846928,-2846928,9184003,9184003,10060078,31050524,3011870,1573444,1438426,3184840,3184840,68123522,-40257838,27865684,27865684,31050524,-2846928,191489,-2504588,8926786,6422198,6422198,6422198,172970,-0.10217,3.15874,0.11429,-0.20857,-0.20857,2.04148,-0.10154,2.46107
"7","2019_Q2",1.13904761904762,"Down",-3872474,-1759373,-3872474,-2256,-2256,-4003,-3874730,-3874730,-3874730,-3874730,-3874730,-3874730,7041473,7041473,7088096,28078307,3727134,2083432,1643702,3900104,3900104,68310771,-44132568,24178203,24178203,28078307,-3874730,1544716,-2158530,16000,-2142530,-2142530,-2142530,172970,-0.16026,1.81741,0.16131,-0.21812,-0.21812,1.36108,-0.15912,1.77367
"8","2019_Q3",1.05453125,"Down",-3641968,-1942092,-3641968,10039,10039,-4105,-3631929,-3631929,-3631929,-3631929,-3631929,-3631929,3199097,3199097,3245720,24235696,3188041,1926086,1261955,3361011,3361011,68639182,-47764497,20874685,20874685,24235696,-3631929,-539093,-3849592,7216,-3842376,-3842376,-3842376,172970,-0.17399,0.9657,0.16101,-0.1966,-0.1966,1.12998,-0.17256,0.8309
"9","2019_Q4",0.58640625,"Down",-4426713,-1660453,-4426713,21130,21130,-4138,-4405583,-4405583,-4405583,-4405583,-4405583,-4405583,4510751,4510751,4557374,25544947,3864872,2430863,1434009,4037842,4037842,73677185,-52170080,21507105,21507105,25544947,-4405583,678998,-3522347,4834001,1311654,1311654,1311654,172970,-0.20484,1.12867,0.18774,-0.20025,-0.20025,0.97758,-0.20321,0.97991
"10","2020_Q1",0.845322580645161,"Up",-3657206,-1639545,-3657206,7304,7304,-4197,-3649902,-3649902,-3649902,-3649902,-3649902,-3649902,7893804,7893804,7941915,36746394,4434752,2713542,1721210,4607722,9593522,80198654,-53045782,27152872,27152872,36746394,-3649902,511299,-2907282,6290335,3383053,3383053,3383053,172970,-0.13442,1.72361,0.35332,-0.16287,-0.16287,1.21167,-0.11296,2.11113
