"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",4.64047619047619,"Down",837000,-155000,682000,-1472000,-1243000,-746000,-497000,-229000,-790000,-27000,-26000,-26000,-817000,-817000,-817000,-817000,-817000,-817000,7612000,7612000,157000,157000,223000,223000,7992000,5000,744000,744000,749000,8741000,1324000,139000,1185000,234000,234000,1665000,1801000,17109000,-10169000,6940000,6940000,8741000,-817000,47000,89000,-345000,-1026000,-120000,-120000,8024000,6878000,6878000,6878000,-743000,243000,0.81481,-0.94385,-0.97611,-0.11772,-0.09347,4.8,0.25951,0.0278,-1.03845,-1.03845,1.06387,8.8211,-0.11374,9.9179,9.32785
"2","2014_Q3",3.566875,"Down",846000,-171000,675000,-1683000,-1267000,-727000,-540000,-416000,-1008000,-24000,26000,26000,-1032000,-1032000,-1032000,-1032000,-1032000,-1032000,6554000,6554000,127000,127000,169000,169000,6850000,7000,8e+05,8e+05,807000,7657000,1427000,161000,1266000,105000,105000,1637000,1749000,17109000,-11201000,5908000,5908000,7657000,-1032000,45000,99000,20000,-868000,-164000,-164000,-26000,-1058000,-1058000,-1058000,-963000,217000,0.79787,-1.19149,-1.21986,-0.17468,-0.13478,4.18448,0.29604,0.02834,-1.31173,-1.31173,1.07531,7.50937,-0.16849,6.58048,6.28671
"3","2014_Q4",2.43857142857143,"Down",897000,-178000,719000,-2086000,-1825000,-1041000,-784000,-261000,-1367000,-99000,-112427.156112504,-112427.156112504,-1466000,-1466000,-1466000,-1466000,-1466000,-1466000,5973000,5973000,311000,311000,168000,168000,6452000,6000,769000,769000,775000,7227000,1689000,217000,1472000,805000,805000,2607000,2607000,17287000,-12667000,4620000,4620000,7227000,-1466000,48000,290000,762000,-366000,-112000,-112000,-103000,-581000,-581000,-581000,-1319000,113000,0.80156,-1.52397,-1.63434,-0.31732,-0.20285,2.47488,0.56429,0.01564,-0.35706,-0.35706,0.21847,1.12525,-0.30974,4.44276,4.28676
"4","2015_Q1",3.94524590163934,"Up",1055000,-188000,867000,-2043000,-1836000,-1209000,-627000,-207000,-1176000,-24000,-175000,-175000,-1200000,-1200000,-1200000,-1200000,-1200000,-1200000,4156000,4156000,355000,355000,2235000,135000,6746000,9000,745000,745000,754000,7500000,1452000,89000,1363000,612000,612000,4064000,4064000,17303000,-13867000,3436000,3436000,7500000,-1200000,56000,65000.0000000001,-483000,-1562000,-45000,-2145000,1890000,-1817000,-1817000,-1817000,-1120000,2e+06,0.8218,-1.11469,-1.13744,-0.34924,-0.16,1.65994,1.18277,0.26667,-0.29227,-0.29227,0.25696,0.83687,-0.22075,1.925,1.83333
"5","2015_Q2",3.52428571428571,"Down",1202000,-241000,961000,-2309000,-2e+06,-1207000,-793000,-309000,-1348000,-24000,-24000,-24000,-1372000,-1372000,-1372000,-1372000,-1372000,-1372000,2812963.08543331,2812963.08543331,331677.693201745,331677.693201745,3254906.249367,127633.673792751,6399547.02800213,15459.757646188,750025.283382576,750025.284200534,765485.041029458,7165032.06903159,1483139.16469475,141548.303240428,1342187.00540413,223047.358262975,223047.358137061,3164033.81727392,4632337.09152821,17847326.2384742,-15314631.2609709,2532694.97750338,2532694.97750338,7165032.06903159,-1372000,59000,127000,-317000,-1503000,-90000,-90000,498000,-1095000,-1095000,-1095000,-1289000,0,0.7995,-1.12146,-1.14143,0.481144560644345,-0.211541369321979,2.3133968245193,0.453430515233907,0.448906594613963,-0.28802,-0.28802,0.25233,0.925278445709689,1.00600713220821,0.365866400980812,0.227742516776276
"6","2015_Q3",3.081875,"Down",1303000,-261000,1042000,-2361000,-1955000,-1288000,-667000,-406000,-1319000,-22000,24000,24000,-1341000,-1341000,-1341000,-1341000,-1341000,-1341000,2340000,2340000,262000,262000,2225000,125000,4827000,48000,803000,803000,851000,5678000,1497000,116000,1381000,480000,480000,1977000,3980000,18278000,-16580000,1698000,1698000,5678000,-1341000,70000,90000,262000,-919000,-216000,-216000,414000,-721000,-721000,-721000,-1249000,2e+06,0.79969,-1.01228,-1.02916,-0.78975,-0.23617,2.44158,2.34393,0.35224,-0.28151,-0.28151,0.27353,0.35646,-0.36233,0.27222,0.25777
"7","2015_Q4",2.806875,"Down",1562000,-385000,1177000,-2724000,-2456000,-1314000,-1142000,-268000,-1547000,-33000,-38273.138702284,-38273.138702284,-1580000,-1580000,-1580000,-1580000,-1580000,-1580000,1925000,1925000,439000,439000,90000,90000,2454000,188000,878000,878000,1066000,3520000,1661000,61000,1600000,1328000,1328000,2989000,2989000,18691000,-18160000,531000,531000,3520000,-1580000,82000,612000,817000,-69000,-373000,1727000,-2073000,-415000,-415000,-415000,-1465000,0,0.75352,-0.9904,-1.01152,-2.97552,-0.44886,0.82101,5.629,0,-0.32056,-0.32056,0.31691,0.10773,-2.97552,1.31399,1.24434
"8","2016_Q1",2.15688524590164,"Down",2934000,-1960000,974000,-5179000,-4726000,-2457000,-2269000,-453000,-4205000,-3000.00000000001,-86000,-86000,-4208000,-4208000,-4208000,-4208000,-4208000,-4208000,405000,405000,1278000,1278000,69000,69000,1752000,497000,830000,830000,1327000,3079000,3199000,839000,2360000,952000,952000,4151000,4151000,21296000,-22368000,-1072000,-1072000,3079000,-4208000,104000,2247000,213000,-1644000,-425000,-425000,549000,-1520000,-1520000,-1520000,-4101000,0,0.33197,-1.4332,-1.43422,3.92537,-1.36668,0.42207,-3.8722,0,-0.85374,-0.85374,0.59527,-0.21749,3.92537,0.09876,0.0963100000000001
"9","2016_Q2",1.746875,"Down",1501000,-417000,1084000,-2016000,-1746000,-974000,-772000,-270000,-932000,-74000,-73000,-73000,-1006000,-1006000,-1006000,-1006000,-1006000,-1006000,1441000,1441000,599000,599000,132000,132000,2172000,473000,780000,780000,1253000,3425000,2227000,390000,1800000,933000,933000,3160000,5086000,21713000,-23374000,-1661000,-1661000,3425000,-1006000,110000,154000,-351000,-1093000,-71000,-71000,2200000,1036000,1036000,1036000,-822000,1888000,0.72219,-0.62092,-0.67022,0.60566,-0.29372,0.68734,-3.06201,0.55124,-0.19635,-0.19635,0.29296,-0.32419,-3.79623,-0.5438,-0.47961
"10","2016_Q3",1.863125,"Up",1635000,-533000,1102000,-1971000,-1789000,-1027000,-762000,-182000,-869000,-97000,-97000,-97000,-966000,-966000,-966000.000000001,-966000.000000001,-966000.000000001,-966000.000000001,1022000,1022000,607000,607000,126000,126000,1755000,452000,854000,854000,1306000,3061000,2741000,430000,2226000,667000,667000,3408000,5592000,21809000,-24340000,-2531000,-2531000,3061000,-966000.000000001,111000,219000,189000,-447000,-250000,-250000,278000,-419000,-419000,-419000,-758000,2184000,0.67401,-0.5315,-0.59083,0.38167,-0.31558,0.51496,-2.2094,0.71349,-0.18854,-0.18854,0.31911,-0.49399,2.78386,-1.53298,-1.33717
"11","2016_Q4",1.63555555555556,"Down",1982000,-398000,1584000,-1835000,-1653000,-951000,-702000,-182000,-251000,-111000,89000,89000,-362000,-362000,-362000,-362000,-362000,-362000,517000,517000,897000,897000,134000,134000,1548000,544000,868000,868000,1412000,2960000,2843000,281000,2352000,667000,667000,3510000,5766000,21896000,-24702000,-2806000,-2806000,2960000,-362000,115000,197000,-316000,-366000,-234000,-234000,95000,-505000,-505000,-505000,-136000,2256000,0.79919,-0.12664,-0.18264,0.12901,-0.1223,0.44103,-2.05488,0.76216,-0.07065,-0.07065,0.38684,-0.54767,0.65818,-12.78676,-6.92829
"12","2017_Q1",2.41564516129032,"Up",2316000,-525000,1791000,-1898000,-1666000,-875000,-791000,-232000,-107000,-113000,-43000,-43000,-220000,-220000,-220000,-220000,-220000,-220000,622000,622000,877000,877000,93000,93000,1592000,590000,890000,890000,1480000,3072000,2830000,450000,2185000,513000,513000,3424000,5991000,22003000,-24922000,-2919000,-2919000,3072000,-220000,116000,246000,-40000.0000000001,102000,-259000,-259000,262000,105000,105000,105000,9000,2613000,0.77332,-0.0461999999999999,-0.09499,0.07537,-0.07161,0.46495,-2.05242,0.85059,-0.04294,-0.04294,0.45203,-0.56972,0.811810000000001,221.22222,-18.60748
"13","2017_Q2",2.8784126984127,"Up",2055000,-540000,1515000,-2265000,-1826000,-988000,-838000,-439000,-750000,-121000,-73000,-73000,-871000,-871000,-871000,-871000,-871000,-871000,159000,159000,1181000,1181000,117000,117000,1457000,546000,1113000,1113000,1659000,3116000,2893000,310000,2349000,793000,793000,5812000,6354000,22555000,-25793000,-3238000,-3238000,3116000,-871000,134000,221000,11000,-505000,-402000,-402000,444000,-463000,-463000,-463000,-616000,2633000,0.73723,-0.36496,-0.42384,0.26899,-0.27953,0.25069,-1.96232,0.84499,-0.17,-0.17,0.40109,-0.63198,1.52807,-4.01623,-3.29867
"14","2017_Q3",3.41709677419355,"Up",2578000,-591000,1987000,-2541000,-2067000,-1165000,-902000,-474000,-554000,-118000,-72000,-72000,-672000,-851000,-851000,-851000,-851000,-851000,496000,496000,885000,885000,1e+05,1e+05,1481000,507000,1167000,1167000,1674000,3155000,3293000,546000,2612000,702000,702000,4991000,6790000,23009000,-26644000,-3635000,-3635000,3155000,-851000,133000,394000,759000,435000,-201000,-201000,103000,337000,337000,337000,-421000,2782000,0.77075,-0.2149,-0.3301,0.23411,-0.26973,0.29673,-1.86795,0.88177,-0.1661,-0.1661,0.50316,-0.70947,1.0131,-5.42993000000003,-4.12635
"15","2017_Q4",6.76428571428571,"Up",3606000,-724000,2882000,-2806000,-2374000,-1349000,-1025000,-432000,76000,-117000,-45000,-45000,-41000,-41000,-41000,-41000,-41000,-41000,578000,578000,1477000,1477000,158000,158000,2213000,470000,1188000,1188000,1658000,3871000,3692000,647000,2880000,875000,875000,5600000,7459000,23098000,-26686000,-3588000,-3588000,3871000,-41000,142000,270000,-120000,251000,-183000,-183000,14000,82000,82000,82000,218000,2879000,0.79922,0.02108,-0.01137,0.01143,-0.01059,0.39518,-2.07887,0.74374,-0.008,-0.008,0.70381,-0.70029,0.05891,10.55505,30.27632
"16","2018_Q1",7.9727868852459,"Up",4213000,-698000,3515000,-3140000,-2654000,-1576000,-1078000,-486000,375000,-113000,-41000,-41000,262000,262000,253000,253000,253000,253000,1457000,1457000,1315000,1315000,111000,111000,2883000,193000,1162000,1162000,1355000,4238000,3354000,488000,2670000,531000,531000,5140000,6821000,23849000,-26432000,-2583000,-2583000,4238000,253000,150000,506000,-469000,440000,-182000,-182000,621000,879000,879000,879000,525000,2923000,0.83432,0.08901,0.06005,-0.0979499999999999,0.0597,0.56089,-2.64073,0.68971,0.04218,0.03324,0.70235,-0.43061,0.71671,2.79238,3.90932999999999
"17","2018_Q2",11.1296875,"Up",4463000,-704000,3759000,-2946000,-2579000,-1705000,-874000,-367000,813000,-107000,-32000,-32000,706000,706000,706000,706000,706000,706000,419000,419000,2377000,2377000,204000,204000,3e+06,203000,1054000,1054000,1257000,4257000,2706000,341000,2284000,8e+05,8e+05,3804000,5781000,24217000,-25741000,-1524000,-1524000,4257000,706000,121000,343000,-1536000,-366000,-92000,-92000,-580000,-1038000,-1038000,-1038000,934000,2262000,0.84226,0.18216,0.15819,-0.46325,0.16584,0.78864,-3.79331,0.53136,0.1177,0.09275,0.74402,-0.25407,0.94008,1.97323,2.26691
"18","2018_Q3",23.2507936507937,"Up",5484000,-680000,4804000,-3269000,-2780000,-1779000,-1001000,-489000,1535000,-82000,-24000,-24000,1453000,1453000,1453000,1453000,1453000,1453000,2009000,2009000,1850000,1850000,216000,216000,4075000,247000,990000,990000,1237000,5312000,2482000,185000,2256000,535000,535000,5078000,5096000,24490000,-24274000,216000,216000,5312000,1453000,128000,266000,27000.0000000002,1874000,-151000,-151000,-133000,1590000,1590000,1590000,1663000,2067000,0.876,0.27991,0.26495,6.72685,0.27353,0.80248,23.59259,0.38912,0.24223,0.19088,0.91423,0.03601,0.63312,0.0348800000000002,0.0377900000000011
"19","2018_Q4",32.2380952380952,"Up",5579000,-615000,4964000,-3419000,-2832000,-1799000,-1033000,-587000,1545000,-78000,-1000,-1000,1467000,1467000,1467000,1467000,1467000,1467000,3087000,3087000,2480000,2480000,171000,171000,5738000,245000,1060000,1060000,1305000,7043000,2510000,251000,2259000,371000,371000,4719000,4731000,25118000,-22806000,2312000,2312000,7043000,1467000,124000,274000,-722000,1143000,-210000,-210000,145000,1078000,1078000,1078000,1669000,1838000,0.88977,0.27693,0.26295,0.63452,0.20829,1.21594,2.04628,0.26097,0.24456,0.19272,0.93007,0.38543,0.35247,-0.74835,-0.80841
"20","2019_Q1",39.9052459016393,"Up",5965000,-704000,5261000,-3812000,-3170000,-1919000,-1251000,-642000,1449000,-35000,-2000,-2000,1414000,1414000,1388000,1388000,1388000,1388000,3284000,3284000,2801000,2801000,153000,153000,6238000,223000,1258000,1258000,1481000,7719000,3077000,280000,2797000,446000,435000,3523000,3523000,25614000,-21418000,4196000,4196000,7719000,1388000,130000,217000,311000,2046000,-390000,-390000,-1459000,197000,197000,197000,1579000,0,0.88198,0.24292,0.23269,0.33079,0.17982,1.77065,0.839609999999997,0,0.23139,0.18234,0.99442,0.69951,0.33079,-2.0798,-2.26639
