"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.3468253968254,"Up",284897000,-166327000,118570000,-78540000,-78540000,40030000,141000,-89000,230000,40171000,-1498000,38673000,-11214000,27459000,27459000,-12744274.3705747,27459000,27459000,84944000,84944000,207735000,207735000,171833000,21925000,10564000,486437000,72184000,304277000,128191000,16034000,38253000,34937000,38967000,200375000,686812000,106822000,37539000,53327000,496000,3561000,3561000,110879000,496000,93585000,77008000,10423000,94081000,204960000,152684000,-350823000,728565000,-48574000,481852000,-85000392.329472,481852000,686812000,27459000,3861000,-3003000,-71847000,-43530000,-2168000,-509000,-2677000,-5416000,-537000,-24600000,-24600000,5049000,-25504000,-71711000,-71711000,-3784000,-75495000,43891000,992000,-18910000,0.41619,0.14051,0.09638,0.05699,0.03998,-0.68866,4.3871,0.42536,0.00144,0.2791,0.28031,2.89573,4.8976,-0.1922,0.05505,0.05703,-0.03281,0.19724,-1.91274,-2.09723
"2","2010_Q3",11.55484375,"Down",258199000,-154093000,104106000,-76720000,-76720000,27386000,-391000,4000,-395000,26995000,-2736000,24259000,-7037000,17222000,17222000,-6966564.62234482,17222000,17222000,110120000,110120000,183221000,183221000,170773000,20628000,10687000,484742000,70555000,305903000,130043000,16101000,38064000,35690000,40188000,200598000,685340000,106273000,43038000,55090000,492000,3340000,3340000,110105000,492000.00000003,96632000,80476000,10598000,97124000,207229000,157994000,-372966000,740472000,-47389000,478111000,-49200261.5529813,478111000,685340000,17222000,3993000,9540000.00000001,23108000,53863000,-2934000,-381000,-3315000,-5383000,537000.000000007,-22593000,-22593000,2480000,-24959000,25589000,25589000,-413000,25176000,31379000,984000,58590000,0.4032,0.10607,0.0667,0.03602,0.02513,3.40204,4.40254,0.43343,0.00144,0.17439,0.17484,2.61459,4.84147,0.5933,0.05451,0.03926,0.10177,0.31257,-3.47799,-3.9851
"3","2011_Q2",16.5336507936508,"Up",330872000,-193075000,137797000,-88342000,-88342000,49455000,354000,-226000,580000,49809000,-181859.709035681,49809000,-13946000,35863000,35863000,-3183282.31117241,35863000,35863000,91551000,91551000,251929000,251929000,249988000,27149000,13294000,620617000,75444000,287776000,133211000,16535000,39881000,37402000,39393000,208655000,829272000,140028000,60353000,57650000,536000,3e+07,3e+07,170564000,-352281503.037922,73001000,55435000,13192000,73001000,243565000,184591000,-383379000,819785000,-35290000,585707000,-24900156.9317888,585707000,829272000,35863000,3793000,-27741000,-94670000,-82755000,-4345000,-640000,-4985000,-5331000,29470000,-5063000,-5063000,7176000,26252000,-61488000,-61488000,2639000,-58849000,53248000,536000,-31821000,0.41647,0.14947,0.10839,0.06123,0.04325,-0.88729,3.63862,0.41585,0.00065,0.36378,0.36463,3.35622,5.94115,-0.32278,0.05408,0.06249,-0.04827,0.14865,-1.70927,-1.84036
"4","2011_Q3",15.8090625,"Down",310140000,-188021000,122119000,-88738000,-88738000,33381000,-1101000,-128000,-973000,32280000,2756424.30718525,32280000,-8300000,23980000,23980000,-994427.43705747,23980000,23980000,118478000,118478000,226739000,226739000,247234000,28620000,15356000,621071000,76739000,292559000,135687000,16646000,39888000,38620000,40533000,212426000,833497000,141930000,72599000,55095000,539000,2e+07,2e+07,162469000,-713694717.411987,76765000,59155000,13293000,76765000,239234000,191543000,-401437000,837920000,-33763000,594263000,-9900078.46589439,594263000,833497000,23980000,3762000,7303000,27991000,63036000,-4837000,-770000,-5607000,-5863000,-9999999.99999999,-18083000,-18083000,2690000,-31256000,26173000,26173000,754000,26927000,37143000,539000.000000002,68597000,0.39375,0.10763,0.07732,0.04035,0.02877,2.86059,3.8227,0.40257,0.00065,0.24252,0.24317,3.13655,6.00998,0.69374,0.05929,0.04444,0.10214,0.2445,-3.17527,-3.53312
"5","2012_Q2",17.2087301587302,"Up",322800000,-190600000,132200000,-95200000,-95200000,3.7e+07,-1400000,-4e+05,-1e+06,35600000,2407496.16981356,35600000,-4400000,31200000,31200000,0,31200000,31200000,123300000,123300000,2.61e+08,2.61e+08,262100000,44100000,33300000,690500000,77800000,296100000,138300000,57900000,157565146.13325,40600000,39800000,216100000,906600000,129100000,54600000,74500000,9790907.89886642,7e+07,7e+07,199100000,-718137573.080058,100400000,83300000,17100000,100400000,299500000,214500000,-451400000,915200000,-71200000,607100000,-2000026.15529813,607100000,906600000,31200000,3800000,-21600000,-77800000,-64400000,-2700000,-6e+05,-3300000,-6e+06,58500000,-2400000,-2400000,1600000,51700000,-1.6e+07,-1.6e+07,-7e+05,-16700000,40800000,0,-35300000,0.40954,0.11462,0.09665,0.05139,0.03441,-1.13141,3.46811,0.49333,0,0.32209,0.32394,3.33237,6.26728,-0.36441,0.06194,0.05258,-0.04989,0.19231,-3.02206,-3.33243
"6","2012_Q3",19.1836507936508,"Up",312700000,-194600000,118100000,-90400000,-90400000,27700000,-1e+06,-4e+05,-6e+05,26700000,-4900000,21800000,-1500000,20300000,20300000,2e+05,20500000,20500000,156600000,156600000,235200000,235200000,243900000,39600000,29200000,675300000,75800000,297200000,141200000,57600000,334525251.120653,4.2e+07,41600000,2.17e+08,892300000,132500000,60800000,71700000,23840766.6822616,2.8e+07,2.8e+07,160500000,2.38418579101562e-07,103200000,89300000,13900000,103200000,263700000,222800000,-451300000,929900000,-73800000,627600000,1e+06,628600000,892300000,20300000,3800000,10400000,45400000,79900000,-2e+06,-2300000,-4300000,-5800000,-4.2e+07,-1.86264514923096e-09,0,5200000,-42600000,3.3e+07,3.3e+07,3e+05,33300000,31500000,-2.98023223876953e-08,76400000,0.37768,0.08858,0.06556,0.03261,0.02297,3.72683,4.20748,0.4195,-1.38777878078145e-17,0.2105,0.21158,3.21085,6.44428,0.78449,0.05956,0.03594,0.1044,0.28293,-4.97143,-5.65343
"7","2013_Q2",21.7740625,"Up",645900000,-383800000,262100000,-1.96e+08,-1.96e+08,66100000,-13200000,-12900000,-3e+05,52900000,-15200000,37700000,-7900000,29800000,29800000,0,29800000,29800000,8.2e+07,8.2e+07,470700000,470700000,487300000,73900000,46600000,1113900000,146800000,388900000,1376400000,827300000,456100000,2e+05,92800000,1523200000,2637100000,276300000,136600000,139700000,33900000,4.1e+07,4.1e+07,351200000,1183400000,4.29e+08,166300000,23100000,1612400000,1963600000,100300000,-2100000,665400000,-91400000,672200000,1300000,673500000,2637100000,29800000,14200000,14200000,-147500000,-89300000,-2500000,-6e+05,-3100000,-5900000,8300000,171841.058852595,171855.483255693,2e+06,4400000,-8.8e+07,-8.8e+07,-1400000,-89400000,80300000,1217300000,-61800000,0.40579,0.10234,0.04614,0.04425,0.0113,-2.07383,3.1717,2.91552,0.46161,0.29961,0.30356,6.49398,6.7584,-0.62135,0.05932,0.01539,-0.02664,0.19799,14.13823,17.17549
"8","2013_Q3",25.04109375,"Up",587800000,-346800000,2.41e+08,-1.96e+08,-1.96e+08,4.5e+07,-13200000,-12500000,-7e+05,31800000,-7900000,23900000,-5800000,18100000,18100000,-2e+05,17900000,17900000,1.71e+08,1.71e+08,397900000,397900000,484700000,69100000,41500000,1122700000,148700000,397400000,1373300000,823200000,457800000,2e+05,92100000,1.522e+09,2644700000,328500000,192100000,136400000,37100000,50974324.9701205,50974324.9701205,365600000,1147600000,426900000,166900000,19900000,1574500000,1940100000,100500000,-2e+06,6.87e+08,-82400000,703100000,1500000,704600000,2644700000,18100000,11400000,11700000,135600000,176800000,-9400000,-2200000,-11600000,-5900000,-73600000,2601779.46067155,2601811.47625994,3700000,-75800000,89400000,89400000,-4e+05,8.9e+07,56400000,1184700000,188400000,0.41,0.07656,0.03045,0.0254,0.00677,10.52514,3.07084,2.75348,0.44795,0.17842,0.18145,5.85882,7.00805,1.87785,0.05881,0.01028,0.08134,0.32961,17.9734,22.52667
"9","2014_Q2",23.5131746031746,"Down",627600000,-371400000,256200000,-190500000,-190500000,65700000,-11700000,-10900000,-8e+05,5.4e+07,-2e+06,5.2e+07,-14800000,37200000,37200000,-1e+05,37100000,37100000,166800000,166800000,484100000,484100000,465600000,68600000,40300000,1185100000,147600000,414900000,1346700000,813900000,442300000,3400000,87100000,1494300000,2679400000,274900000,137400000,137500000,43600000,3.4e+07,3.4e+07,352500000,1096700000,358600000,74500000,27400000,1455300000,1807800000,116700000,-11100000,774300000,-12100000,867800000,3800000,871600000,2679400000,37200000,12600000,8300000,-114200000,-56100000,-5600000,-1100000,-6700000,-6300000,24300000,3730828.13215473,3730861.73113422,-3e+06,1.5e+07,-47800000,-47800000,4e+05,-47400000,78300000,1140300000,-26700000,0.40822,0.10468,0.05911,0.04257,0.01385,-0.71968,3.36199,2.07412,0.42558,0.36747,0.37146,6.21626,8.59539,-0.26446,0.0624,0.01831,-0.01126,0.16981,12.43295,14.81735
"10","2015_Q2",27.3714285714286,"Up",631400000,-3.7e+08,261400000,-198800000,-198800000,62600000,-8500000,-9500000,1e+06,54100000,1e+06,55100000,-1.5e+07,40100000,40100000,0,40100000,40100000,121300000,121300000,357200000,357200000,419800000,89800000,61900000,988100000,135300000,420300000,1304700000,799200000,434100000,2700000,68700000,1.44e+09,2428100000,235800000,96400000,139400000,4.2e+07,14500000,14500000,292300000,788400000,3.76e+08,129100000,26900000,1164400000,1456700000,158700000,-18700000,886300000,-59200000,967100000,4300000,971400000,2428100000,40100000,10900000,12800000,-106800000,-4.3e+07,-6400000,-7e+05,-7100000,-6100000,-43500000,0,0,1800000,-47800000,-97900000,-97900000,-4600000,-102500000,73500000,830400000,-24700000,0.414,0.09914,0.06351,0.04128,0.01651,-0.615960000000001,3.38043,1.49959,0.342,0.39116,0.39767,6.15912,9.43377,-0.24094,0.0595,0.02121,-0.01134,0.15212,9.64762,11.32748
