"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","premium_reserve_unearned","life_policy_benefits","other_insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"12","2013_Q1",20.3335,"Up",6.375e+09,5.643e+09,8.76e+08,-1.44e+08,-1.72e+08,2.8e+07,-3.989e+09,-1.384e+09,9.54e+08,-7.5e+07,-7.5e+07,8.79e+08,8.79e+08,-2.98e+08,5.81e+08,5.81e+08,5.81e+08,5.81e+08,1.16178e+11,2.3e+07,4.476e+09,2.041e+09,9.76e+08,9.658e+09,2.241e+09,1.31094e+11,9.772e+10,1.1904e+10,8.0497e+10,5.319e+09,1.0135e+10,2.909e+09,1.15116e+11,1.572e+09,6.7e+07,1.505e+09,-5.696e+09,1.7387e+10,2.715e+09,1.5978e+10,1.5978e+10,1.31094e+11,5.81e+08,1.17e+08,1.17e+08,2.803e+09,3.501e+09,-4.799e+09,2.84e+09,3.46e+08,-4.453e+09,-1.58e+08,4.9e+07,-9.2e+07,1.3e+07,-1.05e+08,3.65e+08,1.64e+08,-7.88e+08,-7.88e+08,-1.56e+08,-9.44e+08,4.352e+09,0.14965,0.09114,0.03636,0.00443,7.20466,0.0332,0.62156,0.6177,6.82001,17.09334,0.16903,0.00611,0.27194,2.42243
"13","2013_Q2",21.616875,"Up",6.208e+09,5.184e+09,8.33e+08,1.91e+08,1.56e+08,3.5e+07,-3.521e+09,-1.209e+09,1.432e+09,-7.1e+07,-7.1e+07,1.361e+09,1.361e+09,-4.69e+08,8.92e+08,8.92e+08,8.92e+08,8.92e+08,1.04804e+11,2.4e+07,3.3e+09,2.596e+09,1.71e+09,9.21e+09,2.218e+09,1.20538e+11,9.2951e+10,1.1963e+10,7.5954e+10,5.034e+09,4.006e+09,3.763e+09,1.05003e+11,1.599e+09,6.7e+07,1.532e+09,-5.829e+09,1.8114e+10,1.651e+09,1.5535e+10,1.5535e+10,1.20538e+11,8.92e+08,2.44e+08,2.44e+08,2.696e+09,3.832e+09,3.845e+09,7.165e+09,-6.93e+09,-3.085e+09,-1.59e+08,0,-1.37e+08,1.9e+07,-1.56e+08,1.4e+08,-1.56e+08,5.91e+08,5.91e+08,-3.6e+07,5.55e+08,4.283e+09,0.23067,0.14369,0.05742,0.0074,6.75912,0.03553,0.95613,0.95071,6.65435,16.65195,0.17043,0.00902,0.17825,1.17807
"14","2013_Q3",24.13921875,"Up",6.044e+09,5.013e+09,8.13e+08,2.18e+08,2.01e+08,1.7e+07,-3.411e+09,-1.158e+09,1.427e+09,-6.9e+07,-6.9e+07,1.358e+09,1.358e+09,-4.69e+08,8.89e+08,8.89e+08,8.89e+08,8.89e+08,1.01548e+11,2.2e+07,2.998e+09,2.388e+09,8.89e+08,9.028e+09,2.46e+09,1.16313e+11,9.0626e+10,1.1551e+10,7.4057e+10,5.018e+09,4.869e+09,2.176e+09,1.02617e+11,1.629e+09,6.7e+07,1.562e+09,-5.934e+09,1.8841e+10,-8.4e+08,1.3696e+10,1.3696e+10,1.16313e+11,8.89e+08,-7.7e+08,-7.7e+08,1.747e+09,1.866e+09,-3.281e+09,2.688e+09,5.56e+08,-2.725e+09,-1.56e+08,7e+08,-1.11e+08,2e+07,-1.31e+08,2.49e+08,6.82e+08,-1.77e+08,-1.77e+08,-3.1e+07,-2.08e+08,4.946e+09,0.2361,0.14709,0.06491,0.00764,7.49248,0.04252,0.95549,0.94984,6.49605,14.72036,0.16767,0.00938,0.17548,1.79257
"15","2013_Q4",26.4559375,"Up",5.886e+09,5.028e+09,8.21e+08,3.7e+07,2.2e+07,1.5e+07,-3.485e+09,-1.212e+09,1.14e+09,-7.1e+07,-7.1e+07,1.069e+09,1.069e+09,-3.67e+08,7.02e+08,7.02e+08,7.02e+08,7.02e+08,1.03961e+11,2.2e+07,3.409e+09,2.749e+09,9.5e+08,9.173e+09,3.083e+09,1.19916e+11,9.3937e+10,1.1601e+10,7.6597e+10,5.739e+09,3.883e+09,2.487e+09,1.0526e+11,1.672e+09,6.7e+07,1.605e+09,-5.933e+09,1.938e+10,-4.61e+08,1.4658e+10,1.4658e+10,1.19918e+11,7.02e+08,-5.25e+08,-5.25e+08,1.284e+09,1.461e+09,-1.188e+09,7.64e+09,-5.23e+08,-1.711e+09,-1.57e+08,0,0,2e+07,-2e+07,7.64e+08,6.07e+08,3.57e+08,3.57e+08,4e+06,3.61e+08,4.953e+09,0.19368,0.11927,0.04789,0.00585,7.18106,0.0413,0.75594,0.75151,6.33825,15.78424,0.16906,0.0074,0.22365,1.93333
"16","2014_Q1",25.7849180327869,"Down",5.801e+09,4.91e+09,8.26e+08,6.5e+07,2e+07,4.5e+07,-3.396e+09,-1.245e+09,1.11e+09,-8.2e+07,-8.2e+07,1.028e+09,1.028e+09,-3.53e+08,6.75e+08,6.75e+08,6.75e+08,6.75e+08,1.05916e+11,2.1e+07,3.41e+09,2.543e+09,1.165e+09,8.798e+09,2.885e+09,1.21307e+11,8.9402e+10,1.0642e+10,7.2899e+10,5.861e+09,9.538e+09,2.85e+09,1.06687e+11,1.711e+09,6.7e+07,1.644e+09,-6.413e+09,1.9885e+10,-5.63e+08,1.462e+10,1.462e+10,1.21307e+11,6.75e+08,1.053e+09,1.053e+09,1.66e+09,3.388e+09,-9.526e+09,2.08e+09,5.956e+09,-3.57e+09,-1.63e+08,0,-4.77e+08,2.9e+07,-5.06e+08,6.43e+08,3e+06,-1.79e+08,-1.79e+08,-2.7e+07,-2.06e+08,4.897e+09,0.19135,0.11636,0.04617,0.00556,7.29733,0.04037,0.73049,0.72506,6.27792,15.82196,0.1764,0.0075,0.24148,2.12072
"17","2014_Q2",25.4536507936508,"Down",5.64e+09,4.854e+09,8.27e+08,-4.1e+07,-4.6e+07,5e+06,-3.22e+09,-1.194e+09,1.184e+09,-8e+07,-8e+07,1.104e+09,1.104e+09,-3.72e+08,7.32e+08,7.32e+08,7.32e+08,7.32e+08,108952018919.996,22015575.7598926,2281469775.42029,2343777712.80979,1060105914.50336,8922887189.96783,2976516518.43513,124255306255.712,91884649374.28,10610723403.9091,74851195490.6115,6422730479.75947,9042720055.27931,2369893643.26362,108322494432,1736808826.87736,67001268.5816776,1669807558.29568,-6759377952.2417,20480423500.7556,474333670.026538,15932188045.4178,15932188045.4178,124254682477.418,7.32e+08,8e+07,8e+07,8.03e+08,1.615e+09,7.52e+08,5.349e+09,-2.875e+09,-2.123e+09,-1.63e+08,0,-4.05e+08,1.6e+07,-4.21e+08,5.36e+08,-3.2e+07,-5.4e+08,-5.4e+08,-9e+06,-5.49e+08,0,0.20993,0.12979,0.0484150588949365,0.00619503891427752,6.85382892472368,0.0404669122895533,0.80487,0.79965,6.20147,17.452135766557,0.17923,0.00810553493737353,0.22268,2.13352238890037
"18","2014_Q3",24.96390625,"Down",5.838e+09,4.888e+09,8.43e+08,1.07e+08,1.02e+08,5e+06,-3.293e+09,-1.182e+09,1.319e+09,-8.1e+07,-8.1e+07,1.238e+09,1.238e+09,-4.28e+08,8.1e+08,8.1e+08,8.1e+08,8.1e+08,1.12482e+11,2.3e+07,3.496e+09,2.252e+09,8.84e+08,9.117e+09,3.136e+09,1.27871e+11,9.5424e+10,1.0715e+10,7.7771e+10,6.938e+09,7.889e+09,2.075e+09,1.10313e+11,1.765e+09,6.7e+07,1.698e+09,-6.902e+09,2.1089e+10,1.606e+09,1.7558e+10,1.7558e+10,1.27871e+11,8.1e+08,2.2e+07,2.2e+07,6.85e+08,1.517e+09,-1.067e+09,1.336e+09,-4.04e+08,-1.471e+09,-1.61e+08,0,-9.6e+07,5e+06,-1.01e+08,4.9e+08,2.33e+08,2.79e+08,2.79e+08,-2.1e+07,2.58e+08,4.925e+09,0.22593,0.13875,0.04613,0.00633,6.28278,0.03852,0.89491,0.88937,6.44999,19.39858,0.17788,0.00809,0.19877,2.02654
"19","2014_Q4",24.39484375,"Down",5.736e+09,4.841e+09,8.41e+08,5.4e+07,1.6e+07,3.8e+07,-3.355e+09,-1.198e+09,1.151e+09,-7.7e+07,-7.7e+07,1.074e+09,1.074e+09,-3.68e+08,7.06e+08,7.06e+08,7.06e+08,7.06e+08,1.12025e+11,2.3e+07,7.027e+09,2.666e+09,8.7e+08,8.713e+09,2.979e+09,1.27253e+11,9.02e+10,9.742e+09,7.3891e+10,6.567e+09,1.1494e+10,3.148e+09,1.094e+11,1.793e+09,6.7e+07,1.726e+09,-7.068e+09,2.1628e+10,1.5e+09,1.7853e+10,1.7853e+10,1.27253e+11,7.06e+08,-4e+07,-4e+07,7.79e+08,1.445e+09,-1.196e+09,4.327e+09,6.46e+08,-5.5e+08,-1.62e+08,-3.35e+08,-1.72e+08,4e+06,-1.76e+08,1.46e+08,-5.23e+08,3.72e+08,3.72e+08,4.2e+07,4.14e+08,4.558e+09,0.20066,0.12308,0.03955,0.00555,6.12782,0.03582,0.78228,0.77757,6.35574,19.78189,0.1795,0.0075,0.22946,1.64379
"20","2015_Q1",25.3681967213115,"Up",5.514e+09,4.489e+09,8.08e+08,2.17e+08,1.43e+08,7.4e+07,-3.069e+09,-1.231e+09,1.154e+09,-7.9e+07,-7.9e+07,1.075e+09,1.075e+09,-3.72e+08,7.03e+08,7.03e+08,7.03e+08,7.03e+08,1.02683e+11,2.8e+07,2.84e+09,4.658e+09,8.42e+08,8.273e+09,3.311e+09,1.19767e+11,8.3933e+10,8.626e+09,6.9276e+10,6.031e+09,7.486e+09,4.719e+09,1.0142e+11,1.778e+09,6.7e+07,1.711e+09,-7.566e+09,2.2156e+10,1.979e+09,1.8347e+10,1.8347e+10,1.19767e+11,7.03e+08,3.2e+07,3.2e+07,1.238e+09,1.973e+09,8.21e+08,2.845e+09,-9.18e+08,-9.7e+07,-1.68e+08,7.5e+08,-5.04e+08,8e+06,-5.12e+08,9.7e+07,1.75e+08,2.051e+09,2.051e+09,-5.9e+07,1.992e+09,5.282e+09,0.20929,0.12749,0.03832,0.00587,5.52788,0.0441,0.78762,0.78296,6.17774,20.55548,0.18822,0.00776,0.23898,0.54073
"21","2015_Q2",26.4749206349206,"Up",5.226e+09,4.432e+09,7.82e+08,1.2e+07,1.3e+07,-1e+06,-2.952e+09,-1.137e+09,1.096e+09,-8.3e+07,-8.3e+07,1.013e+09,1.013e+09,-3.5e+08,6.63e+08,6.63e+08,6.63e+08,6.63e+08,1.04348e+11,2.8e+07,2.739e+09,4.363e+09,7e+08,8.319e+09,3.671e+09,1.21401e+11,8.5564e+10,8.46e+09,7.0965e+10,6.139e+09,7.937e+09,2.981e+09,1.02764e+11,1.812e+09,6.7e+07,1.745e+09,-8.155e+09,2.2648e+10,2.332e+09,1.8637e+10,1.8637e+10,1.21401e+11,6.63e+08,6e+06,6e+06,7.91e+08,1.46e+09,-6.51e+08,7.91e+08,-1.427e+09,-2.078e+09,-1.65e+08,9.89e+08,-5.97e+08,1.3e+07,-6.1e+08,9.5e+07,3.22e+08,-2.96e+08,-2.96e+08,1e+06,-2.95e+08,6.282e+09,0.20972,0.12687,0.03557,0.00546,5.51398,0.05175,0.75805,0.75353,5.97522,21.30888,0.18866,0.0073,0.24887,1.75091
