"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",50.43453125,"Up",395364000,-222247000,173117000,-139455000,-139455000,33662000,-8841000,-8841000,24821000,24821000,-7610000,17211000,17211000,15533000,15533000,30424000,30424000,159101000,159101000,62686000,35317000,31817000,287528000,312759000,716378000,102049000,88674000,1029137000,1316665000,183331000,38377000,10056000,134898000,3861000,187192000,579411000,347797000,81021000,158359000,108417000,927208000,1114400000,117633000,-61254000,133347000,-43779000,145947000,202265000,1316665000,17211000,14637000,1572000,18424000,51844000,-12454000,-17454000,-2297000,-15970000,0,-18267000,16123000,16123000,16123000,48299000,583272000,61879000,0.43787,0.08514,0.03929,0.0768,0.0118,3.98371,1.53601,5.5096,0.44299,2.17519,1.68361,55.36535,20.43789,8.66531,0.32166,0.01573,0.0546,0.14788,11.44637,16.4235
"2","2011_Q1",51.918064516129,"Up",354376000,-201388000,152988000,-137809000,-137809000,15179000,-8674000,-8674000,6505000,6505000,-2713000,3792000,3792000,3821000,3821000,45872000,45872000,124697000,124697000,64870000,29260000,25760000,264699000,322143000,720780000,102049000,93188000,1042923000,1307622000,172874000,41878000,5523000,125473000,3866000,176740000,578458000,368007000,114163000,143962000,109882000,946465000,1123205000,117710000,-61254000,134872000,-63433000,127895000,184417000,1307622000,3792000,14993000,888000,14330000,34003000,-16736000,-15350000,-2296000,-986000.000000002,77000,-3205000,15448000,15448000,15448000,30172000,582324000,30479000,0.43171,0.04283,0.01078,0.02072,0.00292,7.97671,1.49767,6.09057,0.44533,0.53508,0.41425,49.62554,17.90996,4.26817,0.32152,0.00539,0.02686,0.60089,17.7798,35.34172
"3","2011_Q2",62.8655555555556,"Up",359629000,-210468000,149161000,-129982000,-129982000,19179000,-8769000,-8769000,10410000,10410000,-3941000,6469000,6469000,5913000,5913000,30382000,30382000,134515000,134515000,72606000,30806000,27306000,268309000,319682000,743114000,102049000,115645000,1062796000,1331105000,170341000,41997000,10061000,118283000,3946000,174287000,596026000,370505000,113291000,144972000,112242000,966531000,1140818000,119037000,-61254000,138489000,-63063000,133209000,190287000,1331105000,6469000,14949000,2119000,-16184000,7353000,-19480000,-19480000,-2296000,-941000,-126000,-3363000,-15490000,-15490000,-15490000,34128000,599972000,2405000,0.41476,0.05333,0.01644,0.03107,0.00444,0.40673,1.53947,5.99525,0.45073,0.82804,0.64049,50.36115,18.65411,0.33679,0.32152,0.00707,0.00207,0.3883,16.68981,29.69863
"4","2011_Q3",55.065,"Down",422893000,-257320000,165573000,-137153000,-137153000,28420000,-9042000,-9042000,19378000,19378000,-7394000,11984000,11984000,11101000,11101000,26169000,26169000,161771000,161771000,75157000,27822000,24822000,290919000,319121000,742478000,102049000,115112000,1061599000,1352518000,187508000,46546000,5529000,135433000,4174000,191682000,594967000,365527000,111737000,141253000,112537000,960494000,1152176000,119037000,-61254000,147287000,-62689000,142381000,200342000,1352518000,11984000,15373000,363000,-16513000,11207000,-12654000,-12154000,-2303000,-963000,-5.82076609134674e-11,-3266000,-4213000,-4213000,-4213000,43793000,599141000,22020000,0.39152,0.0672,0.02625,0.05541,0.00821,1.98361,1.51772,5.75105,0.44298,1.55454,1.20037,59.22042,19.93852,3.0836,0.3225,0.01151,0.0189,0.20746,13.08364,20.16087
"5","2011_Q4",50.3539682539683,"Down",405858000,-243142000,162716000,-137752000,-137752000,24964000,-9087000,-9087000,15877000,15877000,-4892000,10985000,10985000,9768000,9768000,68549000,68549000,137472000,137472000,74373000,23800000,20800000,304194000,313511000,740363000,102049000,113100000,1053874000,1358068000,189958000,34518000,12717000,142723000,4373000,194331000,593824000,360508000,106546000,142226000,111736000,954332000,1148663000,119037000,-61254000,154753000,-62309000,150227000,209405000,1358068000,10985000,15835000,766000,27441000,55027000,-8706000,-8706000,-2302000,-971000,-668000,-3941000,42380000,42380000,42380000,40799000,598197000,64426000,0.40092,0.06151,0.02407,0.04665,0.00719,6.59562,1.56534,5.48537,0.44048,1.36788,1.05646,56.8349,21.03725,9.02199,0.32236,0.01033,0.05515,0.23567,12.98189,21.21647
"6","2012_Q1",56.8667741935484,"Up",372859000,-221066000,151793000,-136826000,-136826000,14967000,-9081000,-9081000,5886000,5886000,-3301000,2585000,2585000,1826000,1826000,90758000,90758000,130689000,130689000,66158000,34607000,31607000,322212000,302920000,737293000,102049000,110133000,1040213000,1362425000,179196000,42203000,5448000,131545000,124574000,303770000,472699000,396549000,138156000,144091000,114302000,869248000,1173018000,119098000,-61254000,152446000,-80820000,129470000,189407000,1362425000,2585000,15961000,8643000,8874000,36063000,-10544000,-10544000,-2302000,-964000,-44000,-3310000,22209000,22209000,22209000,30928000,597273000,32559000,0.40711,0.04014,0.0049,0.00964,0.00134,17.83078,1.06071,6.19311,0.43839,0.25571,0.19741,52.21384,18.13051,4.55945,0.32236,0.00349,0.02752,1.26068,16.37723,33.84212
"7","2012_Q2",57.3561904761905,"Up",377185000,-221591000,155594000,-136961000,-136961000,18633000,-9071000,-9071000,9562000,9562000,-4467000,5095000,5095000,4565000,4565000,57649000,57649000,158358000,158358000,75895000,31141000,31141000,323043000,298567000,738994000,102049000,111938000,1037561000,1360604000,187556000,47508000,12462000,127586000,124780000,312336000,471492000,382591000,124426000,141507000,116658000,854083000,1166419000,120519000,-61254000,154709000,-80256000,133718000,194185000,1360604000,5095000,15649000,2021000,-41139000,-18374000,-14333000,-11333000,-2302000,-1042000,-58000,-3402000,-33109000,-33109000,-33109000,34282000,596272000,-16723000,0.41251,0.0494,0.0121,0.02351,0.00336,-3.66331,1.03428,6.00674,0.43824,0.63927,0.4933,52.81963,18.72539,-2.34183,0.32236,0.00585,-0.01426,0.50427,15.71154,28.90694
"8","2012_Q3",61.8525396825397,"Up",430693000,-257280000,173413000,-144864000,-144864000,28549000,-9079000,-9079000,19470000,19470000,-7570000,11900000,11900000,10747000,10747000,78328000,78328000,156244000,156244000,76776000,31875000,31875000,343223000,294807000,738798000,102049000,111846000,1033605000,1376828000,196517000,43039000,5107000,148371000,124975000,321492000,470328000,380664000,122254000,143267000,115143000,850992000,1172484000,120519000,-61254000,163148000,-79689000,142724000,204344000,1376828000,11900000,15400000,2392000,4844000,34536000,-10331000,-10331000,-2308000,-1218000,0,-3526000,20679000,20679000,20679000,43949000,595303000,46032000,0.40264,0.06629,0.02495,0.05259,0.00781,4.28324,1.06759,5.7378,0.43237,1.50497,1.15933,60.3127,19.98656,6.44616,0.3232,0.01106,0.039,0.21476,11.76307,18.10834
"9","2012_Q4",62.6417741935484,"Up",419855000,-248927000,170928000,-143490000,-143490000,27438000,-9033000,-9033000,18405000,18405000,-7191000,11214000,11214000,10079000,10079000,112661000,112661000,145173000,145173000,74492000,29900000,29900000,362226000,291768000,737022000,102049000,110174000,1028790000,1391016000,201315000,45308000,12121000,143886000,125110000,326425000,469036000,381739000,119767000,145384000,116588000,850775000,1177200000,120519000,-61254000,170920000,-79124000,151061000,213816000,1391016000,11214000,15338000,2308000,19334000,48194000,-10329000,-10329000,-2307000,-1200000,-25000,-3532000,34333000,34333000,34333000,42776000,594146000,58972000,0.40711,0.06535,0.02401,0.04714,0.00725,5.85098,1.10968,5.50567,0.42713,1.41143,1.08715,58.79499,21.15404,8.25823,0.32306,0.01041,0.04957,0.22889,11.25596,17.54811
"10","2013_Q1",59.8088333333333,"Down",386700000,-232326000,154374000,-140308000,-140308000,14066000,-8155000,-8155000,5911000,5911000,-2661000,3250000,3250000,1826000,1826000,10399000,10399000,131921000,131921000,65924000,33068000,33068000,241312000,307467000,734695000,102049000,107951000,1042162000,1283474000,191082000,51651000,4060000,135371000,25230000,216312000,467737000,399987000,140719000,140965000,118303000,867724000,1084036000,120600000,-61254000,170439000,-94526000,135259000,199438000,1283474000,3250000,15197000,5044000,-4675000,18816000,-17577000,-17577000,-2307000,-101222000,28000,-103501000,-102262000,-102262000,-102262000,29263000,492967000,9672000,0.39921,0.03637,0.00472,0.00916000000000001,0.00142,5.29682,1.11557,5.43545,0.38409,0.25571,0.197,54.15208,18.94118,1.35443,0.32306,0.00378,0.00885,1.26342,16.49072,34.30741
