"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.3052380952381,"Up",17694000,-11489000,6205000,-6693000,-6236000,-4036000,-2200000,-457000,-488000,-173000,-173000,-661000,-661000,330000,-331000,-331000,-331000,-331000,5328000,5328000,8173000,8173000,13022000,1817000,975000,28340000,6222000,29749000,28866000,35971000,64311000,9181000,5177000,4004000,11022000,4760000,4760000,8553000,19575000,216963000,-172127000,-1e+05,44736000,44736000,64311000,-331000,589000,-194000,712000,776000,-1e+05,-1e+05,-6e+05,4000,4000,-596000,80000,80000,-152000,-72000,101000,5634000,383000,0.35068,-0.02758,-0.01871,-0.0074,-0.00515,-1.1571,2.57122,0.43757,0.08761,-0.05752,-0.06346,3.07454,7.77341,0.06655,3,-0.006,0.00695,3.0297,-0.62705
"2","2010_Q3",4.951875,"Down",15107000,-9260000,5847000,-6054000,-5666000,-3656000,-2010000,-388000,-207000,-122000,-122000,-329000,-329000,165000,-164000,-164000,-164000,-164000,5564000,5564000,7585000,7585000,12726000,1620000,778000,27495000,5856000,29910000,29044000,35766000,63261000,6689000,3126000,3563000,8541000,4504000,4504000,10087000,18628000,217081000,-172291000,-157000,44633000,44633000,63261000,-164000,569000,-132000,-1587000,-1314000,-80000,-80000,1601000,36000,36000,1637000,243000,243000,-6999.99999999994,236000,362000,7435000,-1470000,0.38704,-0.0137,-0.01086,-0.00367,-0.00259,8.96341,3.21918,0.41736,0.11753,-0.0285,-0.03144,2.62502,7.75552,-0.25543,3,-0.0029,-0.02598,5.16851,-9.03865
"3","2010_Q4",4.41,"Down",17635000,-11042000,6593000,-6228000,-5773000,-3912000,-1861000,-455000,365000,118000,118000,483000,483000,-242000,241000,241000,241000,241000,5745000,5745000,10934000,10934000,10894000,785000,731000,28358000,5560000,30515000,29553000,36075000,64433000,7804000,3561000,4243000,9377000,4790000,4790000,9779000,19156000,217175000,-172050000,152000,45277000,45277000,64433000,241000,559000,219000,-6e+05,419000,-5000,-5000,-595000,3000,3000,-592000,-178000,-178000,359000,181000,924000,6562000,561000,0.37386,0.0207,0.01367,0.00532,0.00374,2.3278,3.02421,0.42308,0.10184,0.04612,0.04612,3.37512,8.66545,0.10737,5,0.00426,0.00991,0.8842,2.23836
"4","2011_Q1",5.49193548387097,"Up",15015000,-8868000,6147000,-5459000,-5162000,-3122000,-2040000,-297000,688000,-112000,-112000,576000,576000,-304000,272000,272000,272000,272000,5492000,5492000,8866000,8866000,11901000,1020000,967000,27279000,5486000,30283000,29284000,35769000,63048000,7770000,4162000,3608000,9581000,4590000,4590000,7669000,17250000,217292000,-171778000,284000,45798000,45798000,63048000,272000,581000,421000,786000,2060000,-435000,-435000,-1910000,32000,32000,-1878000,-253000,-253000,0,-253000,1269000,4890000,1924000,0.40939,0.04582,0.01812,0.00594,0.00431,7.07353,2.8472,0.37665,0.07756,0.04726,0.0517,2.60904,7.95795,0.33432,5,0.00492,0.03481,-0.47439,-0.875
"5","2011_Q2",7.9052380952381,"Up",19505000,-11207000,8298000,-6758000,-6427000,-3960000,-2467000,-331000,1540000,-23000,-23000,1517000,1517000,-601000,916000,916000,916000,916000,5567000,5567000,11342000,11342000,11422000,1778000,879000,30109000,5105000,28934000,27911000,34039000,64148000,7324000,3342000,3982000,9372000,4521000,4521000,7900000,17272000,217402000,-170862000,336000,46876000,46876000,64148000,916000,608000,645000,-2320000,-151000,-97000,-97000,301000,15000,15000,316000,68000,68000,7000,75000,2148000,5427000,332000,0.42543,0.07895,0.04696,0.01954,0.01428,0.36245,3.21265,0.36846,0.0846,0.17411,0.17411,3.70747,8.91009,0.06311,6,0.01612,0.00584,-0.06518,-0.09091
"6","2011_Q3",8.99515625,"Up",17447000,-9978000,7469000,-6582000,-5879000,-3570000,-2309000,-703000,887000,-142000,-142000,745000,745000,-288000,457000,457000,457000,457000,5707000,5707000,9065000,9065000,11419000,2227000,899000,28418000,4998000,28407000,27279000,33405000,61823000,7467000,3516000,3951000,9708000,4379000,4379000,4379000,14087000,217545000,-170404000,595000,47736000,47736000,61823000,457000,510000,370000,2382000,3719000,-348000,-348000,-3380000,43000,43000,-3337000,33999.9999999999,33999.9999999999,106000,140000,1397000,2241000,3719000,0.4281,0.05084,0.02619,0.00957,0.00739,8.13786,2.92728,0.2951,0.03625,0.08566,0.08566,3.27029,8.9477,0.69709,7,0.00841,0.06842,-2.48103,-3.90755
"7","2011_Q4",7.25571428571429,"Down",17608000,-10781000,6827000,-6419000,-6108000,-3753000,-2355000,-311000,408000,64000,64000,472000,472000,-184000,288000,288000,288000,288000,7523000,7523000,8848000,8848000,11500000,2217000,918000,30088000,4732000,28202000,27154000,32934000,63022000,8707000,4593000,4114000,10889000,4200000,4200000,4200000,15089000,217655000,-170116000,394000,47933000,47933000,63022000,288000,510000,237000,1020000,2055000,-177000,-177000,0,1000,1000,1000,1879000,1879000,-63000,1816000,918000,2182000,1945000,0.38772,0.02317,0.01636,0.00601,0.00457,6.75347,2.76316,0.31479,0.03462,0.05319,0.05319,3.25171,8.85189,0.35919,7,0.0053,0.03581,-5.81808,-13.09069
"8","2012_Q1",8.93370967741935,"Up",15505000,-8912000,6593000,-6179000,-5874000,-3884000,-1990000,-305000,414000,218000,218000,632000,632000,-148000,484000,484000,484000,484000,6332000,6332000,7938000,7938000,12401000,2220000,1050000,28891000,4869000,28134000,27134000,33003000,61894000,7387000,3999000,3388000,9289000,4166000,4166000,4166000,13455000,217830000,-169633000,242000,48439000,48439000,61894000,484000,424000,228000,-1871000,-735000,-462000,-462000,4.65661287307739e-10,65000,65000,65000,-1132000,-1132000,-59000,-1191000,838000,1902000,-1347000,0.42522,0.0267,0.03122,0.00999,0.00782,-2.78306,3.11024,0.27777,0.03073,0.0841,0.08907,2.69418,8.41685,-0.23406,6,0.00888,-0.02471,-5.2864,-10.70048
"9","2012_Q2",11.6646031746032,"Up",19175000,-10252000,8923000,-7841000,-7507000,-4888000,-2619000,-334000,1082000,-142000,-142000,940000,940000,-356000,584000,584000,584000,584000,6008000,6008000,9666000,9666000,12764000,2234000,1225000,30672000,5080000,28192000,27151000,33272000,63944000,9060000,5164000,3364000,11022000,3984000,3984000,3984000,15006000,218169000,-169581000,350000,48938000,48938000,63944000,584000,413000,434000,-1686000,-255000,-271000,-271000,-673670.134259879,184000,184000,184000,-342000,-342000,18000,-324000,1495000,1962000,-106000,0.46535,0.05643,0.03046,0.01193,0.00913,-0.18151,2.7828,0.30663,0.03068,0.10747,0.10747,3.52871,9.00589,-0.01951,3,0.01064,-0.00193,-2.70635,-3.73937
"10","2012_Q3",9.14809523809524,"Down",18271000,-10223000,8048000,-7665000,-7462000,-4751000,-2711000,-203000,383000,56999.9999999999,56999.9999999999,440000,440000,-178000,262000,262000,262000,262000,7624000,7624000,8095000,8095000,11688000,2321000,1430000,29728000,5188000,28270000,27196000,33458000,63186000,8378000,3891000,3953000,10517000,3905000,3905000,3905000,14422000,218410000,-169852000,206000,48764000,48764000,63186000,262000,448000,180000,1435000,2325000,-271000,-271000,-369135.269474148,111000,111000,-421000,1633000,1633000,-17000,1616000,831000,2139000,2173000,0.44048,0.02096,0.01434,0.00537,0.00415,8.29389,2.82666,0.29575,0.03385,0.04679,0.04679,3.26268,8.70786,0.38804,5,0.01449,0.03965,-6.60048,-14.32115
