"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q2",1.06359375,"Up",10573000,-5506000,5067000,-5396000,-3725000,-1671000,-329000,13000,-6000,19000,-316000,-316000,-15000,-331000,-331000,-331000,-331000,4718000,4718000,2970000,2970000,8988000,680000,315000,365000,17356000,1476000,9990000,9488000,60000,11466000,28822000,4722000,2922000,1800000,5059000,4617000,9781000,308000,308000,446000,10227000,206545000,-188321000,371000,18595000,18595000,28822000,-331000,218000,306000,-465000,-272000,-15000,38000,-21000,-16000,-37000,-271000,-271000,-271000,-111000,138000,-576000,0.47924,-0.03112,-0.03131,-0.0178,-0.01148,1.74018,1.77446,0.54999,0.00479,-0.02192,-0.02192,0.70006,1.23121,-0.03814,-0.01738,-0.03025,41.26126,13.92097
"22","2016_Q3",1.31640625,"Up",9540000,-4951000,4589000,-5530000,-3814000,-1716000,-941000,19000,-9000,28000,-922000,-922000,-6000,-928000,-928000,-928000,-928000,4562000,4562000,2343000,2343000,7861000,1097000,615000,482000,15863000,1684000,9544000,9488000,56000,11228000,27091000,4230000,2575000,1655000,4417000,4417000,8647000,310000,310000,460000,9107000,206862000,-189249000,371000,17984000,17984000,27091000,-928000,205000,258000,347000,-118000,-88000,-88000,-15000,-30000,50000,-156000,-156000,-156000,-736000,150000,-471000,0.48103,-0.09864,-0.09727,-0.0516,-0.03425,0.50754,1.83451,0.50639,0.00554,-0.06122,-0.06122,0.62933,1.18636,-0.03107,-0.05031,-0.02554,5.99457,4.68863
"23","2016_Q4",1.55,"Up",9964000,-5186000,4778000,-5213000,-3469000,-1744000,-435000,-8000,-8000,0,-443000,-443000,-13000,-456000,-456000,-456000,-456000,4056000,4056000,3131000,3131000,7275000,889000,568000,321000,15351000,1593000,9542000,9488000,54000,11135000,26486000,3962000,2527000,1435000,4352000,4352000,8314000,324000,324000,458000,8772000,207048000,-189705000,371000,17714000,17714000,26486000,-456000,191000,278000,-127000,-114000,-375000,-375000,-17000,0,-17000,-506000,-506000,-506000,-244000,134000,-733000,0.47953,-0.04366,-0.04576,-0.02574,-0.01722,1.60746,1.8464,0.4952,0.00506,-0.02995,-0.02995,0.65436,1.16333,-0.04814,-0.02509,-0.04034,16.07377,9.01609
"24","2017_Q1",2.36016129032258,"Up",10515000,-5571000,4944000,-5167000,-3388000,-1779000,-223000,5000,-9000,14000,-218000,-218000,-29000,-247000,-247000,-247000,-247000,5962000,5962000,3164000,3164000,6584000,949000,580000,369000,16659000,1569000,9551000,9488000,63000,11120000,27779000,4538000,2721000,1817000,3060000,3060000,7598000,347000,347000,463000,8061000,209299000,-189952000,371000,19718000,19718000,27779000,-247000,145000,328000,438000,664000,-92000,-92000.0000000001,-718000,-2000,1334000,1906000,1906000,1906000,-78000,116000,297000,0.47019,-0.02121,-0.02349,-0.01253,-0.00889,-1.20243,2.19255,0.40881,0.00418,-0.01588,-0.01588,0.67616,1.26796,0.0191,-0.01224,0.01472,74.94872,26.21525
"25","2017_Q2",2.74634920634921,"Up",10940000,-5240000,5700000,-5787000,-3842000,-1945000,-87000,-10000,-7000,-3000,-97000,-97000,-7000,-104000,-104000,-104000,-104000,6097000,6097000,3189000,3189000,7390000,765000,479000,286000,17441000,1491000,9537000,9488000,49000,11028000,28469000,4706000,2825000,1881000,3501000,3501000,8207000,345000,345000,447000,8654000,209506000,-190062000,371000,19815000,19815000,28469000,-104000,151000,214000,-38000,223000,-72000,-72000,-16000,0,-16000,135000,135000,135000,64000,102000,-39000,0.52102,-0.00795,-0.00951,-0.00525,-0.00365,0.375,2.12514,0.43674,0.00358,-0.00603,-0.00603,0.63406,1.14843,-0.00226,-0.00513,-0.00192,-93.67188,68.90805
"26","2017_Q3",2.17206349206349,"Down",11222000,-5410000,5812000,-5746000,-3873000,-1873000,66000,-2000,-6000,4000,64000,64000,-23000,41000,41000,41000,41000,6698000,6698000,2866000,2866000,7614000,932000,566000,366000,18110000,1402000,9535000,9488000,47000,10937000,29047000,5113000,2280000,2833000,3388000,3388000,8501000,353000,353000,440000,8941000,209756000,-190021000,371000,20106000,20106000,29047000,41000,153000,260000,160000,614000,-27000,-27000,-16000,-87000,14000,601000,601000,601000,219000,87000,375000,0.51791,0.00588,0.00365,0.00204,0.00141,9.14634,2.13034,0.44469,0.003,0.00236,0.00236,0.64695,1.15911,0.02162,0.002,0.01825,-30.18721,-100.16667
"27","2017_Q4",2.02301587301587,"Down",11524000,-5126000,6398000,-6540000,-4414000,-2126000,-142000,-3000,-5000,2000,-145000,-145000,-17000,-162000,-162000,-162000,-162000,7389000,7389000,2827000,2827000,7664000,850000,536000,314000,18730000,1278000,9537000,9488000,49000,10815000,29545000,5342000,2719000,2623000,3460000,3460000,8802000,378000,378000,449000,9251000,210106000,-190183000,371000,20294000,20294000,29545000,-162000,151000,245000,393000,627000,-45000,-45000,-17000,-57000,109000,691000,691000,691000,9000,71000,374000,0.55519,-0.01232,-0.01406,-0.00798,-0.00548,-2.30864,2.12793,0.45585,0.0024,-0.00925,-0.00925,0.65769,1.1582,0.02134,-0.00781,0.01803,-813.11111,51.53521
"28","2018_Q1",2.21852459016393,"Up",11044000,-5374000,5670000,-5690000,-3674000,-2016000,-20000,-11000,-5000,-6000,-30999.9999999999,-30999.9999999999,-21000,-51999.9999999999,-51999.9999999999,-51999.9999999999,-51999.9999999999,8073000,8073000,3432000,3432000,6959000,916000,440000,476000,19380000,1218000,9534000,9488000,46000,10752000,30132000,5801000,2717000,3084000,3188000,3188000,8989000,396000,396000,455000,9444000,210552000,-190235000,371000,20688000,20688000,30132000,-51999.9999999999,139000,193000,328000,608000,-92000,-92000,-11000,-50000,168000,684000,684000,684000,119000,59000,376000,0.5134,-0.00181,-0.00471,-0.00251,-0.00173,-7.23077,2.15597,0.4565,0.00196,-0.00294,-0.00294,0.62459,1.17,0.02126,-0.00246,0.01778,-67.34454,400.7
"29","2018_Q2",2.5809375,"Up",10606000,-5012000,5594000,-6207000,-3986000,-2221000,-613000,-3000,-4000,1000,-616000,-616000,-25000,-641000,-641000,-641000,-641000,8223000,8223000,2687000,2687000,7258000,664000,320000,344000,18832000,1152000,9534000,9488000,46000,10686000,29518000,5315000,3500000,1815000,3352000,3352000,8667000,385000,385000,429000,9096000,210927000,-190876000,371000,20422000,20422000,29518000,-641000,117000,272000,363000,111000,-50000,-50000,-14000,-48000,89000,150000,150000,150000,-496000,44000,-158000,0.52744,-0.0578,-0.06044,-0.03139,-0.02172,0.24649,2.17284,0.4454,0.00149,-0.03588,-0.03588,0.59361,1.143,-0.00884,-0.03074,-0.00758,16.4899200000002,13.3425800000001
"30","2018_Q3",3.85396825396825,"Up",11336000,-5022000,6314000,-6047000,-4173000,-1874000,267000,-4000,-5000,1000,263000,263000,-38000,225000,225000,225000,225000,8423000,8423000,3962000,3962000,7061000,1017000,478000,539000,20463000,1113000,9533000,9488000,45000,10646000,31109000,6677000,4013000,2664000,2829000,2829000,9506000,355000,355000,383000,9889000,211500000,-190651000,371000,21220000,21220000,31109000,225000,109000,310000,-666000,-22000,-26000,-26000,-15000,-40000,248000,2e+05,2e+05,2e+05,376000,28000,-278000,0.55699,0.02355,0.01985,0.0106,0.00723,-1.23556,2.15264,0.46602,9e-04,0.01245,0.01245,0.62723,1.17413,-0.01538,0.01042,-0.01287,-22.32713,-31.44195
"31","2018_Q4",3.38952380952381,"Down",11601000,-5017000,6584000,-6205000,-4241000,-1964000,379000,-6000,-5000,-1000,373000,373000,-29000,344000,344000,344000,344000,8955000,8955000,3834000,3834000,7378000,1229000,508000,721000,21396000,1058000,9561000,9488000,73000,10619000,32015000,6298000,4173000,2125000,3519000,3519000,9817000,321000,321000,332000,10149000,211802000,-190307000,371000,21866000,21866000,32015000,344000,110000,457000,-275000,636000,-95000,-95000,-16000,-57000,-9000,532000,532000,532000,489000,11000,148000,0.56754,0.03267,0.02965,0.01573,0.01074,0.43023,2.17948,0.46415,0.00034,0.01889,0.01889,0.63707,1.20077,0.00813,0.0155,0.00667,-18.29039,-23.59894
"32","2019_Q1",2.89524590163934,"Down",12037000,-5161000,6876000,-6105000,-4099000,-2006000,771000,-13000,-4000,-9000,758000,758000,-6000,752000,752000,752000,752000,9568000,9568000,4244000,4244000,8439000,1019000,370000,649000,23270000,1036000,9549000,9488000,61000,10585000,33855000,6750000,3942000,2808000,2976000,2976000,9726000,316000,316000,316000,10042000,212997000,-189555000,371000,23813000,23813000,33855000,752000,106000,130000,-1204000,-216000,-58000,-58000,-16000,-68000,887000,613000,613000,613000,877000,0,-379000,0.57124,0.06405,0.06247,0.03158,0.02221,-0.503990000000001,2.39256,0.4217,0,0.04057,0.03345,0.64946,1.28483,-0.02045,0.03117,-0.01571,-10.90992,-12.40986
"33","2019_Q2",3.43968253968254,"Up",12279000,-5538000,6741000,-6770000,-4472000,-2298000,-29000,-14000,-4000,-10000,-43000,-43000,-40000,-83000,-83000,-83000,-83000,18925000,18925000,5917000,5917000,8032000,1348000,794000,554000,34222000,1031000,9545000,9488000,57000,10576000,44798000,5958000,3986000,1972000,3857000,3857000,9815000,283000,283000,283000,10098000,223385000,-189056000,371000,34700000,34700000,44798000,-83000,105000,478000,-974000,-474000,-64000,-64000,-15000,-113000,9895000,9357000,9357000,9357000,76000,0,-922000,0.54899,-0.00236,-0.00676,-0.00239,-0.00185,11.10843,3.4867,0.29101,0,-0.0043,-0.0043,0.63546,1.79579,-0.04772,-0.00237,-0.02636,-249.01316,652.58621
"34","2019_Q3",3.46515625,"Up",12114000,-5453000,6661000,-6438000,-4159000,-2279000,223000,68000,60000,8000,291000,291000,-14000,277000,277000,277000,277000,19367000,19367000,6134000,6134000,9352000,1171000,752000,419000,36024000,1184000,9543000,9488000,55000,10727000,46751000,7048000,4317000,2731000,3431000,3431000,10479000,256000,256000,256000,10735000,224424000,-188779000,371000,36016000,36016000,46751000,277000,114000,451000,-681000,161000,-291000,-291000,-16000,-56000,572000,442000,442000,442000,337000,-3.63797880709171e-12,-621000,0.54986,0.01841,0.02287,0.00769,0.00593,-2.24188,3.43773,0.29806,0,0.01252,0.01099,0.54767,1.62828,-0.02808,0.00764,-0.01712,-57.46884,-86.84753
"35","2019_Q4",3.37453125,"Down",12344000,-5254000,7090000,-6252000,-3867000,-2385000,838000,79000,91000,-12000,917000,917000,-60000,857000,857000,857000,857000,18212000,18212000,8351000,8351000,9809000,1323000,817000,506000,37695000,1353000,9541000,9488000,53000,10894000,48589000,6820000,5012000,1808000,4066000,4066000,10886000,228000,228000,228000,11114000,225026000,-187922000,371000,37475000,37475000,48589000,857000,122000,341000,-2604000,-1284000,-28000,-28000,-17000,-19000,157000,-1155000,-1155000,-1155000,960000,0,-1612000,0.57437,0.06789,0.06943,0.02287,0.01764,-1.88098,3.4627,0.29657,0,0.03848,0.03667,0.55431,1.68283,-0.07239,0.02273,-0.04276,-18.97083,-21.7326999999999
"36","2020_Q1",3.20516129032258,"Down",10153000,-4372000,5781000,-7026000,-4909000,-2117000,-1245000,88000,89000,-1000,-1157000,-1432000,-27000,-1459000,-1459000,-1459000,-1459000,18282000,18282000,7388000,7388000,10509000,2011000,687000,1324000,38190000,1199000,9555000,9488000,67000,10754000,48944000,6776000,4716000,2060000,4696000,4696000,11472000,206000,206000,206000,11678000,226276000,-189381000,371000,37266000,37266000,48944000,-1459000,123000,886000,299000,-151000,-508000,-508000,-7000.00000000012,-999.999999999993,729000,70000.0000000005,70000.0000000005,70000.0000000005,-1122000,5.82076609134674e-11,-1304000,0.56939,-0.12262,-0.1437,-0.03915,-0.02981,0.89376,3.32897,0.31337,0,-0.06453,-0.07919,0.44907,1.64828,-0.05768,-0.03894,-0.0348,16.29412,14.68434
"37","2020_Q2",3.11873015873016,"Down",12741000,-6546000,6195000,-7238000,-4473000,-2621000,-1043000,13000,56000,-43000,-1030000,-2422000,-48000,-2470000,-2470000,-2470000,-2470000,12028000,12028000,7845000,7845000,12423000,1693000,1274000,419000,33989000,1351000,15414000,12458000,1188000,16765000,50754000,8574000,5986000,2588000,6404000,6404000,14978000,384000,384000,384000,15362000,226872000,-191851000,371000,35392000,35392000,50754000,-2470000,147000,893000,351000,-1079000,-118000,-5191000,4476982.91956307,-129000,16000,-6254000,-6254000,-6254000,-896000,0,-615000,0.48623,-0.08186,-0.19386,-0.06979,-0.04867,0.24899,2.26926,0.43405,3.46944695195361e-18,-0.1078,-0.1078,0.55606,1.54463,-0.02684,-0.06904,-0.01719,13.42411,11.53212
"38","2020_Q3",4.3646875,"Up",13228000,-6451000,6777000,-7358000,-4871000,-2336000,-581000,-26000,-16000,-10000,-607000,-1314000,-37000,-1351000,-1351000,-1351000,-1351000,9347000,9347000,9379000,9379000,11024000,7680000,1307000,6373000,37430000,1412000,16113000,12458000,2040000,17525000,54955000,7313000,5065000,2248000,5337000,5337000,14122000,1137000,1137000,5555000,19677000,228109000,-193202000,371000,35278000,35278000,54955000,-1351000,156000,1093000,-2598000,-2700000,-162000,-162000,5886000,-40000,6181000,3319000,3319000,3319000,-425000,5890000,-3148000,0.51232,-0.04392,-0.10213,-0.0383,-0.02458,2.33013,2.65047,0.55777,0.10718,-0.05837,-0.05837,0.57153,1.52422,-0.13601,-0.03193,-0.07441,8.13412,5.95009
"39","2020_Q4",4.67890625,"Up",16512000,-9135000,7377000,-9083000,-5558000,-2724000,-1706000,46000,-83000,129000,-1660000,-5173000,-43000,-5216000,-5216000,-5216000,-5216000,6977000,6977000,11958000,11958000,15246000,2477000,2043000,434000,36658000,1594000,32425000,15813000,3225000,34019000,70677000,9683000,6164000,3519000,6896000,6896000,18051000,1631000,1631000,5681000,23732000,244992000,-198418000,371000,46945000,46945000,70677000,-5216000,1328000,871000,3361000,344000,-191000,-8520000,-368000,-63000,-194000,-8370000,-8370000,-8370000,-378000,5522000,2835000,0.44677,-0.10332,-0.31589,-0.11111,-0.0738,-0.54352,2.0308,0.50553,0.07813,-0.19284,-0.19284,0.61045,1.73555,0.10481,-0.09642,0.0524,3.84921,0.852869999999999
"40","2021_Q1",4.73032786885246,"Up",17397000,-10846000,6551000,-7631000,-4680000,-2010000,-1080000,-89000,-90000,999.999999999985,-1169000,-1685000,-16000,-1701000,-1701000,-1701000,-1701000,7691000,7691000,11411000,11411000,13781000,1627000,1290000,337000,34510000,1587000,31836000,15810000,3577000,33423000,67933000,7989000,5331000,2658000,6308000,6308000,15769000,1962000,1962000,5644000,21413000,246268000,-200119000,371000,46520000,46520000,67933000,-1701000,1174000,1071000,370000.000000001,914000,-101000,-100999.999999998,-382000,-158000,-99000,714000,714000,714000,94000.0000000001,5154000,378999.999999999,0.37656,-0.06208,-0.09778,-0.03656,-0.02504,-0.22281,2.18847,0.4603,0.07587,-0.06071,-0.06071,0.62094,1.66042,0.01353,-0.03171,0.00707,-26.98936,2.34907
