"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt"
"1","2010_Q2",8.5647619047619,"Up",2.97e+08,-2.68e+08,2.9e+07,-50400000,-30100000,-21400000,-9400000,-16800000,1500000,-30800000,-32100000,-10400000,-41800000,-42100000,-42100000,-42100000,0
"2","2010_Q3",6.67109375,"Down",447500000,-346300000,101200000,-52400000,-29400000,48800000,-13500000,-17700000,-1e+05,35300000,35400000,11900000,46400000,4.3e+07,42900000,42900000,773400000
"3","2010_Q4",7.7778125,"Up",322800000,-289100000,33700000,-48700000,-27700000,-1.5e+07,-10800000,-15300000,-4e+05,-25800000,-43600000,-2900000,-42800000,-58900000,-58800000,-58800000,719800000
"4","2011_Q1",9.35758064516129,"Up",316300000,-284500000,31800000,-49400000,-31600000,-17600000,10400000,-14100000,1200000,-7199999.99999999,-7599999.99999997,-24700000,-29400000,-26400000,-2.6e+07,-2.6e+07,721700000
"5","2011_Q2",7.82079365079365,"Down",331700000,2.95e+08,626700000,49400000,28800000,676100000,-8200000,-1.4e+07,1800000,667900000,673400000,-6800000,669900000,801200000,801300000,801300000,0
"6","2011_Q3",6.2265625,"Down",362400000,336300000,698700000,47200000,27600000,745900000,-45800000,-14400000,6e+05,700100000,702600000,-1e+07,7e+08,439740000,439840000,439840000,0
"7","2011_Q4",6.29857142857143,"Up",350600000,-1584600000,-1.234e+09,-229500000,-139300000,-1463500000,3.4e+07,-14200000,-4e+06,-1429500000,-1510500000,-24900000,-1529400000,-1423640000,-1423640000,-1423640000,439654866.736537
"8","2012_Q1",7.99983870967742,"Up",2.84e+08,-269300000,14700000.0000002,-4.5e+07,-27900000,-30300000.0000005,-9199999.99999999,-14300000,600000.000000001,-39500000.0000005,-55200000,-2400000,-47400000,-38400000,-38400000.0000002,-38400000.0000002,733100000
"9","2012_Q2",8.51047619047619,"Up",361500000,-313300000,48200000,-50200000,-31300000,-2e+06,-8500000,-12600000,-1e+05,-10500000,-10600000,-1200000,-1e+07,-10300000,-10300000,-10300000,737800000
"10","2012_Q3",11.3653968253968,"Up",427800000,-359900000,67899999.9999999,-48800000,-30700000,19100000,-12300000,-13100000,-2600000,6800000.00000006,-45500000,-11200000,-53900000,-54100000.0000001,-54099999.9999999,-54099999.9999999,892800000
"11","2012_Q4",14.8914516129032,"Up",4.48e+08,-353700000,94300000,-49800000,-30100000,44500000,-6200000,-10700000,4e+05,38300000,3.4e+07,7800000,39800000,42100000,42100000,42100000,0
"12","2013_Q1",19.2458333333333,"Up",453900000,-356300000,97600000,-50100000,-36300000,47500000,-42400000,-12900000,-32600000,5100000,56900000,11600000,64200000,60200000,60200000,60200000,0
"13","2013_Q2",16.629375,"Down",531100000,-387200000,143900000,-55400000,-35200000,88500000,-7800000,-10600000,-7e+05,80700000,80700000,22900000,96400000,96700000,96700000,96700000,0
"14","2013_Q3",15.1421875,"Down",5.67e+08,-4.18e+08,1.49e+08,-6.1e+07,-3.5e+07,8.8e+07,25600000,-9800000,32300000,113600000,114300000,24300000,134500000,134700000,134700000,134700000,0
"15","2013_Q4",15.5890625,"Up",507400000,-416500000,90900000,-43100000,-33400000,47800000,-5700000,-7600000,2e+05,42100000,41800000,4400000,46200000,48900000,48900000,48900000,0
"16","2014_Q1",16.0714754098361,"Up",479700000,-415200000,64500000,-85800000,-46600000,-21300000,-67300000,-8e+06,-61300000,-88600000,-88800000,-10500000,-99900000,-102900000,-102900000,-102900000,9.31322574615479e-10
