"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.53809523809524,"Up",39416000,-14340000,25076000,-21628000,-19789000,-1839000,3448000,-707000,-707000,2741000,2741000,-1947000,794000,794000,794000,794000,187833387.303582,187833387.303582,-23236280.5471432,-23236280.5471432,-17948512.4538222,-20747739.1423738,125900855.160242,9407084.01939274,80575684.7093786,63615537.440132,9079174.09090745,7880973.17833824,89982768.7287713,215883623.889014,169458744.462858,5005750.30721024,178549689.527785,747857.339675111,170206603.346597,-22348790.9493963,12667532.3944903,8495142.65363747,4172389.74085282,-9681258.55490604,160525344.791691,169198454.120486,-118912661.31136,1223992.80634061,3848493.48185578,55358279.0973232,55358279.0973232,215883623.889014,794000,1839000,2067000,-6849000,-2149000,-303000,-1001000,-1304000,1638000,73000,77000,-4000,1711000,-1742000,-1742000,-38000,-1780000,5287000,0,82000,0.63619,0.08748,0.02014,0.157966421971494,0.0669285338028133,0.10327,-3.00784484226734,2.26389230629406,-0.233249733260065,0.04662,0.04639,2.31423,5.11884527186679,0.00481,0.108111923903044,3.59146850442526,-8.65541900645301,26.913552260451
"2","2011_Q3",9.5071875,"Up",35479000,-12368000,23111000,-21624000,-19915000,-1709000,1487000,-633000,-633000,854000,854000,-547000,307000,307000,307000,307000,82217193.6517908,82217193.6517908,12221359.7264284,12221359.7264284,-5380256.22691111,-2603369.57118691,86454927.5801212,14994042.0096964,80471342.3546893,62971768.720066,9125587.04545372,8373986.58916912,95465384.3643857,181920311.944507,97638372.231429,8210875.15360512,95634844.7638926,786928.669837555,98425301.6732983,6525604.52530184,9820766.19724514,5773071.32681873,4047694.87042641,16346370.722547,114771672.395845,178283227.060243,-124874330.65568,9870496.40317031,3869246.74092789,67148639.5486616,67148639.5486616,181920311.944507,307000,1755000,1260000,7135000.00000001,10457000,-499000,-332000,-831000,-10039000,29000,73000,-44000,-10010000,-384000,-384000,-54000,-438000,3242000,0,10425000,0.6514,0.04191,0.00865,0.106818210985747,0.0487842669014066,33.95765,-0.61794742113367,1.56976615314703,0.00566013336996732,0.01807,0.01766,2.08823,4.79108263593339,0.6136,0.0728809619515222,1.61310925221263,-0.827779503226504,16.2471311302255
"3","2011_Q4",8.97809523809524,"Down",40896000,-15115000,25781000,-22922000,-21009000,-1913000,2859000,-665000,-665000,2194000,2194000,-1472000,722000,722000,722000,722000,25084731.2172636,25084731.2172636,28671786.5754761,28671786.5754761,1516581.2576963,7747210.1429377,63020309.1933737,18008014.0032321,80355114.1182298,62335256.240022,9156529.01515124,8863328.86305637,98363128.1214619,161383437.314836,55068124.077143,9371291.71786837,47410948.2546309,822976.223279185,55891100.5577661,22679868.1751006,8077588.73241505,4411023.77560624,3666564.9568088,30757456.9075157,86648557.4652818,183537409.020081,-127799776.885227,15233832.1343901,3763415.5803093,74734879.8495539,74734879.8495539,161383437.314836,722000,1812000,2015000,-6644000,-2095000,-1138000,-6122000,-7260000,9137000,95000,94000,1000,9232000,-123000,-123000,-14000,-137000,4671000,0,-1639000,0.6304,0.06991,0.01765,0.0665894036619156,0.0326514223004689,-2.27008,0.789444192955443,1.13904205104901,0.141376711123322,0.0423,0.04161,2.39606,4.61986754531113,-0.09603,0.0452869873171741,0.519143084070876,3.60223016559117,10.5493503767418
"4","2012_Q1",8.98516129032258,"Up",45013000,-15507000,29506000,-26188000,-24542000,-1646000,3318000,-661000,-661000,2657000,2657000,327000,2984000,2984000,2984000,2984000,3016000,3016000,32412000,32412000,4301000,12327000,52056000,19143000,80228000,61703000,9172000,9353000,99371000,151427000,34544000,9154000,25105000,857000,35401000,29507000,7203000,4084000,3119000,36710000,72111000,186128000,-128673000,18269000,3592000,79316000,79316000,151427000,2984000,1701000,1278000,3467000,9430000,-386000,4358000,-1439000,-5941000,-87000,84000,-171000,-6028000,1963000,1963000,-76000,1887000,5019000,30364000,7773000,0.6555,0.07371,0.06629,0.03762,0.01971,2.60489,1.47047,0.90916,0.20052,0.17215,0.16269,2.5968,4.57575,0.44843,0.02553,0.0665,5.44889,8.24231
"5","2012_Q2",9.21619047619048,"Up",39540000,-12998000,26542000,-22838000,-21373000,-1465000,3704000,-630000,-630000,3074000,3074000,-1412000,1662000,1662000,1662000,1662000,2591000,2591000,29739000,29739000,4532000,13159000,50021000,19093000,80091000,61072000,9172000,9847000,99184000,149205000,28862000,8226000,19944000,890000,29752000,30400000,6962000,4467000,2495000,37362000,67114000,187222000,-128478000,19931000,3416000,82091000,82091000,149205000,1662000,1489000,2063000,-4594000,620000,-554000,-1097000,-1651000,501000,99000,99000,-154047.696296491,6e+05,-431000,-431000,6000,-425000,5193000,31290000,1457000,0.67127,0.09368,0.04203,0.02025,0.01114,0.87665,1.68127,0.81756,0.20971,0.09372,0.09234,2.22974,4.62928,0.08216,0.01381,0.01211,5.52648,7.74811
"6","2012_Q3",10.631746031746,"Up",38627000,-13646000,24981000,-22199000,-20714000,-1485000,2782000,-623000,-623000,2159000,2159000,-997000,1162000,1162000,1162000,1162000,8214000,8214000,27367000,27367000,3837000,12805000,52223000,18518000,79491000,60447000,9172000,9872000,98009000,150232000,29053000,7040000,21633000,923000,29976000,29026000,6969000,5118000,1851000,35995000,65971000,187669000,-127786000,21093000,3285000,84261000,84261000,150232000,1162000,1493000,2158000,3745000,8558000,-459000,-570000,-1029000,-1986000,85000,106000,-21000,-1901000,5628000,5628000,-5000,5623000,4275000,29949000,8558000,0.64672,0.07202,0.03008,0.01379,0.00773,7.36489,1.74216,0.78294,0.19935,0.06542,0.06355,2.17458,4.74362,0.48179,0.00959,0.07062,5.08421,7.81272
"7","2012_Q4",12.08,"Up",41274000,-15130000,26144000,-22751000,-21448000,-1303000,3393000,-610000,-610000,2783000,2783000,-1166000,1617000,1617000,1617000,1617000,6465000,6465000,31593000,31593000,3775000,13288000,55121000,18112000,78429000,59825000,9172000,9432000,96541000,151662000,27913000,6263000,21399000,957000,28870000,28778000,6989000,5712000,1277000,35767000,64637000,188636000,-127581000,22710000,3260000,87025000,87025000,151662000,1617000,1321000,2156000,-5594000,-5e+05,-415000,-91000,-506000,-843000,115000,115000,0,-728000,-1734000,-1734000,-15000,-1749000,4714000,29735000,-129000,0.63343,0.08221,0.03918,0.01858,0.01066,-0.07978,1.90928,0.74274,0.19606,0.09085,0.08828,2.31889,4.88932,-0.00725,0.01307,-0.00104000000000001,4.93636,6.85824
"8","2013_Q1",13.7175,"Up",51015000,-15999000,35016000,-27315000,-25927000,-1388000,7701000,-601000,-601000,7100000,5731000,-2331000,3400000,3400000,3400000,3400000,11011000,11011000,38087000,38087000,4161000,10936000,64195000,18496000,81389000,59205000,9172000,13012000,99885000,164080000,35657000,7758000,27030000,992000,36649000,28515000,8361000,7001000,1360000,36876000,73525000,189147000,-128112000,26110000,3410000,90555000,90555000,164080000,3400000,1395000,2018000,71000,6884000,-851000,-355000,-1206000,-859000,-304000,115000,-419000,-1163000,4515000,4515000,31000,4546000,9096000,29507000,10647000,0.68639,0.15096,0.06665,0.03755,0.02072,3.13147,1.75162,0.81194,0.17983,0.19109,0.18047,2.86714,5.08936,0.59838,0.02648,0.08291,2.03342,2.40177
"9","2013_Q2",13.86546875,"Up",44061000,-14502000,29559000,-24267000,-22943000,-1324000,5292000,-452000,-452000,4840000,4693000,-1796000,2897000,2897000,2897000,2897000,7278000,7278000,35465000,35465000,3688000,11619000,58050000,18275000,81070000,58582000,9172000,13316000,99345000,157395000,26903000,6518000,19788000,1027000,27930000,28241000,8596000,6944000,1652000,36837000,64767000,182030000,-121561000,29007000,3152000,92628000,92628000,157395000,2897000,1324000,888000,-5405000,-296000,-970000,-493000,-1463000,-867000,-1072000,104000,-1176000,-1908000,-3667000,-3667000,-66000,-3733000,6616000,29268000,2037000,0.67087,0.12011,0.06575,0.03128,0.01841,0.70314,2.07841,0.69922,0.18595,0.15952,0.1503,2.42613,5.10038,0.11216,0.0222,0.01561,3.32376,4.15533
"10","2013_Q3",16.00765625,"Up",40430000,-13146000,27284000,-24031000,-22691000,-1340000,3253000,-448000,-448000,2805000,2669000,-1077000,1592000,1592000,1592000,1592000,15541000,15541000,31712000,31712000,3816000,8804000,59873000,17925000,80504000,57962000,9172000,13370000,98429000,158302000,26330000,6399000,19227000,1064000,27394000,27962000,8460000,6859000,1601000,36422000,63816000,209388000,-147972000,30599000,2471000,94486000,94486000,158302000,1592000,1344000,1377000,6162000,10475000,-462000,-568000,-1030000,-1097000,56000,97000,-40999.9999999998,-986000,8459000,8459000,-196000,8263000,4597000,29026000,11374000,0.67485,0.08046,0.03938,0.01685,0.01006,7.14447,2.18562,0.6754,0.18336,0.08582,0.08077,2.1794,5.09331,0.61312,0.01206,0.08618,2.93343,4.1454
