"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.29328125,"Up",8383000,-4927000,3456000,-2637000,-1368000,-798000,-471000,819000,52000,52000,-19000,71000,871000,-1160000,-289000,-288000,-288000,-288000,-288000,-91239757.6038652,-29144302.5541336,3221815.36646558,-38667538.3848394,1574486.77823157,-40242025.163071,-126685480.622239,901485593.858923,901485593.858923,14111746.3670492,14111746.36705,915597340.225972,788911859.603733,14489683.5549111,14062344.5711144,427338.983796647,14489670.8783064,702669370.050413,702669370.050413,717159040.92872,63742456.7560238,7734828.07501845,71477284.8310423,275533.843970949,71752818.6750132,788911859.603733,-288000,785000,419000,143000,1059000,-915000,-915000,-915000,-72557000,-4233762.49712541,-24000,1000,1000,-334000,-357000,-71855000,-71855000,-71855000,1604000,0,0.41226,0.0977,-0.03436,0.0666438506298272,0.048640517889222,-15.1145375560033,3.35123399376689,1.86086023400929,-0.03156,-0.03156,0.91868,40.0364219108772,0.74869167304924,0.0388881765712439,518.441209273177,117.334572730584,310.819295377081
"2","2011_Q1",9.89967741935484,"Down",12429000,-7433000,4996000,-3459000,-1207000,-1364000,-888000,1537000,-829000,-829000,-913000,84000,708000,-1024000,-316000,-287000,-287000,-287000,-287000,4768000,4768000,891000,3753000,735000,3018000,9412000,208080000,208080000,4710000,4710000,212790000,222202000,6905000,5248000,1657000,6905000,50133000,50133000,57038000,169180000,-4441000,164739000,425000,165164000,222202000,-287000,1355000,816000,1669000,3553000,-2680000,-2680000,-2680000,-52925000,-1657000,37723000,2.98023223876953e-08,0,-8771000,27295000,-22077000,-22077000,-22077000,2892000,50133000,0.40196,0.12366,-0.02309,-0.00174,-0.00129,1.36307,0.34534,0.22562,-0.045,-0.045,1.94893,25.83196,0.25983,0.00636,-5.77352,15.68638,29.51529
"3","2011_Q2",9.59634920634921,"Down",12487000,-7908000,4579000,-3744000,-1268000,-1444000,-1032000,835000,-767000,-767000,-773000,6000,68000,-85000,-17000,-19000,-19000,-19000,-19000,28346002.5346217,16648267.5180445,581228.211178142,19011512.7949465,1031587.74058948,17979925.054357,47938743.5407463,57551218.7136923,57551218.7136923,2616084.54431694,2616084.54431668,60167303.2580093,108106046.798756,5708355.4816963,3439718.47629519,2268637.00540112,5708359.70723119,-110545706.683471,-110545706.683471,-104837346.97624,221817681.081325,-9449526.02500615,212368155.056319,575238.71867635,212943393.774996,108106046.798756,-19000,1431000,563000,-1072000,903000,-4235000,-4235000,-4235000,-4628000,-1656000,-37881000,73600000,73600000,-4190000,29873000,26148000,26148000,26148000,2266000,0,0.3667,0.06687,-0.00152,-0.0183821168766091,-0.0144168392964073,6.03274501866777,-0.431817997922297,-0.209486744669762,-0.00161,-0.00161,1.05815,18.8391785297076,0.14033,-0.00194772552374797,-87.15789,-13.916811743528,-56.8052792923603
"4","2011_Q3",7.4809375,"Down",14903000,-8336000,6567000,-6457000,-1584000,-3805000,-1068000,110000,-636000,-636000,-642000,6000.00000000001,-526000,-1398000,-1924000,-1936000,-1936000,-1936000,-1936000,14971000,14971000,1351000,17431000,1794000,15637000,33753000,210543000,210543000,4546000,4546000,215089000,248842000,8109000,5645000,2464000,8109000,12173999.9999999,12173999.9999999,20283000.0000001,239066000,-11233000,227833000,726000,228559000,248842000,-1936000,3792000,905000,-34999.9999999995,2726000,-3325000,-3325000,-3325000,-15551000,-2464000,-77999.9999999925,-14999.9999999851,0,-563000,-3120000,-15945000,-15945000,-15945000,3902000,12174000,0.44065,0.00738,-0.12991,-0.00846999999999999,-0.00777999999999999,4.16241,0.0887399999999998,0.0489200000000001,-0.14072,-0.14072,1.08327,16.5607,0.1791,0.00218999999999999,-1.27273,-0.716809999999995,-25.42727
"5","2011_Q4",6.45984126984127,"Down",23577000,-12836000,10741000,-6449000,-1428000,-3398000,-1623000,4292000,-3082000,-3082000,-3088000,6000,1210000,-2104000,-894000,-955000,-955000,-955000,-955000,8150000,8150000,2144000,9993000,2152000,7841000,20287000,402631000,402631000,6844000,6844000,409475000,429762000,11357000,8893000,2464000,11357000,192946000,192946000,204303000,239188000,-14606000,224582000,877000,225459000,429762000,-955000,3381000,866000,1440000,4732000,-2079000,-2079000,-2079000,-54804000,-2463000,46612000,0,0,-898000,43251000,-6821000,-6821000,-6821000,7673000,192946000,0.45557,0.18204,-0.04051,-0.00424,-0.00222,1.7863,0.90616,0.44896,-0.06937,-0.06937,1.71266,16.3139,0.17892,0.0036,-2.57906,24.08393,43.05592
"6","2012_Q1",7.73209677419355,"Up",22129000,4104000,26233000,-23635000,-8364000,-3324000,-11947000,2598000,-4680000,-3683000,-3687000,4000,-2082000,-4119000,-6201000,-6195000,-6195000,-6195000,-6195000,40683000,4680000,2057000,6801000,1502000,5299000,49541000,402815000,402815000,6350000,6350000,409165000,458706000,12648000,10184000,2464000,12648000,228940000,228940000,241588000,239310000,-23220000,216090000,1028000,217118000,458706000,-6195000,3304000,1872000,1604000,585000,-3082000,-3082000,-3082000,-37540000,-2464000,35994000,0,0,-44999.9999999999,33485000,-3470000,-3470000,-3470000,5902000,228940000,1.18546,0.1174,-0.27995,-0.02853,-0.01351,3.9169,1.1127,0.4991,-0.44904,-0.44904,1.60401,15.66315,0.1786,-0.00836,-0.39774,31.89715,72.46228
"7","2012_Q2",8.22539682539682,"Up",22827000,-12987000,9840000,-6749000,-1777000,-3339000,-1633000,3091000,-4411000,-3846000,-3847000,1000,-1320000,-444000,-1764000,-1731000,-1731000,-1731000,-1731000,31185000,8842000,2003000,5483000,1814000,3669000,38671000,402633000,402633000,6085000,6085000,408718000,447389000,10835000,8347000,2488000,10835000,222990000,222990000,233825000,239780000,-27394000,212386000,1178000,213564000,447389000,-1731000,3321000,1462000,-3016000,36000,-1979000,-1979000,-1979000,12746000,-2464000,-5950000,-2378060.08521808,-2376968.92687177,-206000,-8620000,4162000,4162000,4162000,6412000,222990000,0.43107,0.13541,-0.07583,-0.00811,-0.00387,3.56908,1.09487,0.49843,-0.12548,-0.12548,1.65473,15.39588,0.17862,0.00168,-1.42345,29.91344,62.05273
"8","2012_Q3",9.01666666666667,"Up",26359000,-2819000,23540000,-18735000,-6516000,-4123000,-8096000,4805000,-3126000,-3829000,-3829000,0,1679000,-389000,1290000,1157000,1157000,1157000,1157000,25454000,8523000,1782000,4770000,1898000,2872000,32006000,399732000,399732000,5709000,5709000,405441000,437447000,11048000,8195000,2853000,11048000,214088000,214088000,225136000,240017000,-29029000,210988000,1323000,212311000,437447000,1157000,4104000,388000,634000,6283000,-1933000,-1933000,-1933000,4979000,-2478000,-8902000,1.86264514923096e-09,1.86264514923096e-09,-201000,-11581000,-319000.000000001,-319000.000000001,-319000.000000001,8909000,214088000,0.89305,0.18229,0.04389,0.00545,0.00264,2.89699,1.06041,0.4894,0.08378,0.0831800000000001,1.90866,15.2777,0.17943,0.00852,2.14175,21.17342,39.25786
"9","2012_Q4",9.04048387096774,"Up",27002000,-8634000,18368000,-12705000,-3993000,-3399000,-5313000,5663000,-3769000,-3574000,-3627000,53000,1894000,-435000,1459000,1498000,1498000,1498000,1498000,20796000,5744000,1866000,5896000,3298000,2598000,28558000,396666000,396666000,5186000,5186000,401852000,430410000,10298000,7434000,2864000,10298000,208713000,208713000,219011000,240255000,-30323000,209932000,1467000,211399000,430410000,1498000,3380000,1230000,-2009000,4099000,-622000,-622000,-622000,1336000,-2832000,-5375000,0,0,-7000,-8214000,-2779000,-2779000,-2779000,9043000,208713000,0.68025,0.20973,0.05548,0.00709,0.00348,2.77316,1.03601,0.48492,0.1084,0.1077,1.95392,15.19114,0.20493,0.01031,1.89052,20.78038,33.1833
"10","2013_Q1",10.7053333333333,"Up",24276000,-9711000,14565000,-13238000,-4599000,-3412000,-5227000,1327000,-4719000,-3337000,-3338000,1000.00000000001,-3392000,1032000,-2360000,-2374000,-2374000,-2374000,-2374000,17858000,4496000,2098000,4879000,1930000,2949000,24835000,426074000,426074000,6312000,6312000,432386000,457221000,11363000,8488000,2875000,11363000,239246000,239246000,250609000,240492000,-35491000,205001000,1611000,206612000,457221000,-2374000,3393000,2277000,1171000,4467000,-4056000,-4056000,-4056000,-32097000,-2836000,30533000,9.31322574615479e-10,9.31322574615479e-10,-1315000,26382000,-1248000,-1248000,-1248000,4720000,239246000,0.59998,0.05466,-0.09779,-0.01149,-0.00519,2.1856,1.21295,0.52326,-0.17175,-0.17412,1.7563,14.83127,0.20518,0.00104,-1.19461,46.90424,166.83346
