"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.2761904761905,"Up",9.739e+09,-8.325e+09,1.414e+09,1.414e+09,1.3e+07,-1.03e+08,8.9e+07,1.427e+09,-1.05e+08,1.322e+09,-4.78e+08,8.44e+08,8.44e+08,365018883.314153,8.44e+08,8.44e+08,3.204e+09,3.204e+09,5.972e+09,1.196e+09,2.573e+09,1.403e+09,1.2945e+10,1.7434e+10,3.5152e+10,-1.7718e+10,2.578e+09,3.6357e+10,5.371e+09,2.3794e+10,7.192e+09,5.6369e+10,6.9314e+10,6.684e+09,6.684e+09,2.642e+09,2.341e+09,2.341e+09,1.1667e+10,1.1189e+10,8.5e+09,2.958e+09,5.542e+09,1.9689e+10,3.1356e+10,2.7571e+10,-2.1019e+10,3.1225e+10,-1.597e+09,3.618e+10,1.778e+09,3.7958e+10,6.9314e+10,8.44e+08,4.23e+08,7.4e+07,-4.26e+08,9.15e+08,-3.07e+08,-1.6e+07,-2.54e+09,1.218e+09,-2.5e+07,26894518470.1981,2.33e+08,1.426e+09,-1.99e+08,-1.99e+08,-1.4e+07,-2.13e+08,1.837e+09,1.3831e+10,1.582e+09,0.14519,0.14519,0.08666,0.02224,0.01218,1.87441,1.10954,0.82607,0.19954,0.45206,0.44351,5.21639,19.37868,0.84735,0.014,0.02624,5.78498,7.51556
"2","2010_Q3",29.31734375,"Down",8.58e+09,-7.068e+09,1.512e+09,1.512e+09,9.4e+07,-1.3e+08,1.54e+08,1.606e+09,-7.1e+07,1.535e+09,-5.37e+08,9.98e+08,9.98e+08,-4.5e+07,9.53e+08,9.53e+08,3.075e+09,3.075e+09,5.478e+09,1.225e+09,2.709e+09,1.547e+09,1.2487e+10,1.7334e+10,3.5218e+10,-1.7884e+10,2.607e+09,3.6332e+10,5.091e+09,2.3691e+10,7.55e+09,5.6273e+10,6.876e+10,4.879e+09,4.879e+09,2.241e+09,2.932e+09,2.932e+09,1.0052e+10,1.1e+10,8.739e+09,3.085e+09,5.654e+09,1.9739e+10,2.9791e+10,2.81e+10,-2.1234e+10,3.2173e+10,-1.559e+09,3.748e+10,1.489e+09,3.8969e+10,6.876e+10,9.98e+08,4.24e+08,3.35e+08,-1.83e+08,1.574e+09,-5e+08,-9e+06,-4.38e+08,-4.87e+08,-2.15e+08,12698259235.0991,1.88e+08,-1.167e+09,-3.1e+07,-3.1e+07,-9.8e+07,-1.29e+08,1.936e+09,1.3241e+10,1.79e+09,0.17622,0.17622,0.11107,0.02446,0.01386,1.87828,1.24224,0.76448,0.19257,0.49149,0.48302,4.42496,19.32955,0.92316,0.02635,0.02937,5.25103,6.72354
"3","2010_Q4",31.70328125,"Up",1.0002e+10,-7.723e+09,2.279e+09,2.279e+09,9.3e+07,-8.9e+07,1.39e+08,2.372e+09,-3.6e+07,2.336e+09,-8.31e+08,1.505e+09,1.505e+09,-1.74e+08,1.331e+09,1.331e+09,2.951e+09,2.951e+09,5.744e+09,1.322e+09,2.584e+09,1.422e+09,1.2601e+10,1.7154e+10,3.4962e+10,-1.7808e+10,2.587e+09,3.5963e+10,5.065e+09,2.3709e+10,7.189e+09,5.5704e+10,6.8305e+10,5.1e+09,5.1e+09,1.823e+09,2.566e+09,2.566e+09,9.489e+09,1.0804e+10,8.411e+09,3.246e+09,5.165e+09,1.9215e+10,2.8704e+10,2.8542e+10,-2.2483e+10,3.3493e+10,-1.593e+09,3.7959e+10,1.642e+09,3.9601e+10,6.8305e+10,1.505e+09,4.32e+08,4.35e+08,-4.89e+08,1.883e+09,-5.06e+08,-1.5e+07,-4.85e+08,-5.16e+08,-1.249e+09,4671086411.69969,3.51e+08,-1.414e+09,-1.6e+07,-1.6e+07,-1.08e+08,-1.24e+08,2.711e+09,1.2627e+10,2.547e+09,0.22785,0.22785,0.13307,0.03361,0.01949,1.9136,1.32796,0.72483,0.18486,0.68432,0.67324,5.14242,19.5162,1.30951,0.02195,0.042,3.56916,4.24572
"4","2011_Q1",36.4962903225806,"Up",9.742e+09,-8.221e+09,1.521e+09,1.521e+09,-2.9e+07,-8.7e+07,5.8e+07,1.492e+09,-5.8e+07,1.434e+09,-4.68e+08,9.66e+08,9.66e+08,-1.31e+08,8.35e+08,8.35e+08,2.722e+09,2.722e+09,5.784e+09,1.442e+09,2.277e+09,1.259e+09,1.2225e+10,1.7806e+10,3.6179e+10,-1.8373e+10,2.513e+09,3.6662e+10,5.081e+09,2.41e+10,7.481e+09,5.6981e+10,6.9206e+10,6.109e+09,6.109e+09,2.35e+09,2.541e+09,2.541e+09,1.1e+10,1.013e+10,8.734e+09,2.63e+09,6.104e+09,1.8864e+10,2.9864e+10,2.8736e+10,-2.3663e+10,3.4327e+10,-1.881e+09,3.7519e+10,1.823e+09,3.9342e+10,6.9206e+10,9.66e+08,4.34e+08,-2.64e+08,1.07e+09,2.206e+09,-7.97e+08,-5e+07,-1.06e+09,-3.96e+08,-46999999.9999995,1.133e+09,-1.065e+09,-1.508e+09,-3.62e+08,-3.62e+08,1.33e+08,-2.29e+08,1.955e+09,1.248e+10,2.696e+09,0.15613,0.15613,0.08571,0.02122,0.01207,3.22874,1.11136,0.75909,0.18033,0.4374,0.43063,5.1032,19.65375,1.41226,0.01379,0.04452,4.9913,6.41552
"5","2011_Q2",35.962380952381,"Down",1.0716e+10,-8.776e+09,1.94e+09,1.94e+09,1.36e+08,-9.5e+07,1.56e+08,2.076e+09,-1.2e+07,2.064e+09,-7.3e+08,1.334e+09,1.334e+09,-3.2e+07,1.302e+09,1.302e+09,3.039e+09,3.039e+09,7.028e+09,1.416e+09,2.511e+09,1.459e+09,1.3994e+10,1.8486e+10,3.7087e+10,-1.8601e+10,2.491e+09,3.5979e+10,5.193e+09,2.4121e+10,6.665e+09,5.6956e+10,7.095e+10,7.118e+09,7.118e+09,2.822e+09,2.807e+09,2.807e+09,1.2747e+10,9.933e+09,8.531e+09,2.577e+09,5.954e+09,1.8464e+10,3.1211e+10,2.9271e+10,-2.446e+10,3.4873e+10,-1.887e+09,3.7797e+10,1.942e+09,3.9739e+10,7.095e+10,1.334e+09,4.47e+08,1.02e+08,-7.64e+08,1.119e+09,-1.213e+09,-6.1e+07,-8.81e+08,4.54e+08,-3.93e+08,4.04e+08,3.8e+07,9.9e+07,3.37e+08,3.37e+08,-2e+07,3.17e+08,2.387e+09,1.2755e+10,1.14e+09,0.18104,0.18104,0.1215,0.03276,0.01835,0.87558,1.09783,0.7854,0.17977,0.68852,0.67566,5.66684,19.98784,0.60286,0.02134,0.01868,4.07038,5.00825
"6","2011_Q3",30.686875,"Down",9.077e+09,-7.549e+09,1.528e+09,1.528e+09,39999999.9999999,-8.3e+07,1.23e+08,1.568e+09,7.45058059692383e-09,1.568e+09,-5.58e+08,1.01e+09,1.01e+09,-6.8e+07,9.42e+08,9.42e+08,3.094e+09,3.094e+09,6.075e+09,1.453e+09,2.598e+09,1.547e+09,1.322e+10,1.8898e+10,3.8054e+10,-1.9156e+10,2.499e+09,3.5971e+10,5.139e+09,2.4127e+10,6.705e+09,5.7368e+10,7.0588e+10,5.15e+09,5.15e+09,4.084e+09,3.569e+09,3.569e+09,1.2803e+10,8.688e+09,8.785e+09,2.841e+09,5.944e+09,1.7473e+10,3.0276e+10,2.9938e+10,-2.5265e+10,3.5814e+10,-1.837e+09,3.865e+10,1.662e+09,4.0312e+10,7.0588e+10,1.01e+09,4.56e+08,2.04e+08,2.79e+08,1.949e+09,-6.32e+08,-4.5e+07,-6.75e+08,-5.7e+07,-1.91e+08,6.14e+08,-3.02e+08,-1.306e+09,-31999999.9999999,-31999999.9999999,8.7e+07,5.5e+07,1.984e+09,1.2772e+10,2.189e+09,0.16834,0.16834,0.10378,0.02337,0.01335,2.32378,1.03257,0.75104,0.18094,0.49605,0.48733,4.77988,20.35282,1.15271,0.02745,0.03538,4.87802,6.33377
"7","2011_Q4",30.8722222222222,"Up",1.0675e+10,-8.229e+09,2.446e+09,2.446e+09,9.6e+07,-8.8e+07,1.84e+08,2.542e+09,-3.4e+07,2.508e+09,-8.45e+08,1.663e+09,1.663e+09,-1.87e+08,1.476e+09,1.476e+09,3.519e+09,3.519e+09,6.212e+09,1.542e+09,2.37e+09,1.319e+09,1.3643e+10,1.9207e+10,3.8798e+10,-1.9591e+10,2.505e+09,3.575e+10,5.094e+09,2.4136e+10,6.52e+09,5.7462e+10,7.1105e+10,5.602e+09,5.602e+09,4.062e+09,3.102e+09,3.102e+09,1.2766e+10,9.176e+09,8.241e+09,2.905e+09,5.336e+09,1.7417e+10,3.0183e+10,3.0159e+10,-2.6692e+10,3.7288e+10,-1.809e+09,3.8946e+10,1.976e+09,4.0922e+10,7.1105e+10,1.663e+09,4.76e+08,1.5e+08,-4.67e+08,1.822e+09,-7.16e+08,1.08e+08,-6.11e+08,4.15e+08,-1.344e+09,8.3e+07,1.04e+08,-8.25e+08,3.86e+08,3.86e+08,3.9e+07,4.25e+08,2.922e+09,1.3238e+10,2.584e+09,0.22913,0.22913,0.13827,0.03607,0.02076,1.75068,1.0687,0.73757,0.18618,0.78386,0.77197,5.66914,20.68295,1.37228,0.02365,0.04141,3.32615,3.97343
"8","2012_Q1",36.8833870967742,"Up",1.0425e+10,-8.558e+09,1.867e+09,1.867e+09,4.5e+07,-7.7e+07,1.22e+08,1.912e+09,-9e+06,1.903e+09,-6.52e+08,1.251e+09,1.251e+09,-1.64e+08,1.087e+09,1.087e+09,3.185e+09,3.185e+09,6.182e+09,1.595e+09,2.795e+09,1.308e+09,1.3757e+10,1.9695e+10,3.9267e+10,-1.9572e+10,2.435e+09,3.6237e+10,5.121e+09,2.4145e+10,6.971e+09,5.8367e+10,7.2124e+10,6.362e+09,6.362e+09,3.055e+09,2.671e+09,2.671e+09,1.2088e+10,1.0922e+10,9.661e+09,2.866e+09,6.795e+09,2.0583e+10,3.2671e+10,3.0296e+10,-2.8656e+10,3.8375e+10,-2.63e+09,3.7385e+10,2.068e+09,3.9453e+10,7.2124e+10,1.251e+09,4.62e+08,2.46e+08,1.45e+08,2.104e+09,-9.98e+08,-1.09e+08,-1.119e+09,8.35e+08,-1.937e+09,2.7e+07,-99000000.0000001,-1.201e+09,-2.16e+08,-2.16e+08,-1.18e+08,-3.34e+08,2.329e+09,1.3977e+10,2.128e+09,0.17909,0.17909,0.10427,0.02755,0.01507,1.95768,1.13807,0.8281,0.19379,0.59108,0.58315,5.66884,20.32898,1.15715,0.01723,0.03373,4.63375,5.7804
"9","2012_Q2",39.9271428571429,"Up",1.0779e+10,-8.587e+09,2.192e+09,2.192e+09,5.5e+07,-9e+07,1.45e+08,2.247e+09,-6e+06,2.241e+09,-7.2e+08,1.521e+09,1.521e+09,-5.7e+07,1.464e+09,1.464e+09,3.766e+09,3.766e+09,6.787e+09,1.523e+09,2.984e+09,1.495e+09,1.506e+10,1.976e+10,3.9521e+10,-1.9761e+10,2.685e+09,3.6372e+10,5.063e+09,2.417e+10,7.139e+09,5.8817e+10,7.3877e+10,7.671e+09,7.671e+09,3.16e+09,2.693e+09,2.693e+09,1.3524e+10,1.1226e+10,9.704e+09,2.879e+09,6.825e+09,2.093e+10,3.4454e+10,3.0525e+10,-2.9456e+10,3.8762e+10,-2.574e+09,3.7257e+10,2.166e+09,3.9423e+10,7.3877e+10,1.521e+09,4.85e+08,2.5e+08,-5.22e+08,1.734e+09,-6.34e+08,1.7e+07,-9.78e+08,5.65e+08,-6.86e+08,1.14e+08,-9e+06,-1.3e+08,6.26e+08,6.26e+08,-4.5e+07,5.81e+08,2.677e+09,1.4386e+10,2.241e+09,0.20336,0.20336,0.13582,0.03714,0.01982,1.53074,1.11358,0.87396,0.19473,0.81424,0.80263,5.99499,20.72136,1.24638,0.02305,0.03528,3.96713,4.84489
"10","2012_Q3",44.8006349206349,"Up",9.629e+09,-7.942e+09,1.687e+09,1.687e+09,2.27e+08,-9.5e+07,1.38e+08,1.914e+09,-3.8e+07,1.876e+09,-6.5e+08,1.226e+09,1.226e+09,-8.3e+07,1.143e+09,1.143e+09,3.731e+09,3.731e+09,6.283e+09,1.503e+09,3.02e+09,1.552e+09,1.4537e+10,2.0842e+10,4.1015e+10,-2.0173e+10,2.484e+09,3.737e+10,5.142e+09,2.5113e+10,7.115e+09,6.0696e+10,7.5233e+10,5.908e+09,5.908e+09,3.447e+09,3.369e+09,3.369e+09,1.2724e+10,1.2582e+10,1.0015e+10,3.206e+09,6.809e+09,2.2597e+10,3.5321e+10,3.0948e+10,-3.0325e+10,3.9907e+10,-2.481e+09,3.8049e+10,1.863e+09,3.9912e+10,7.5233e+10,1.226e+09,4.88e+08,5.8e+07,40000000.0000001,1.812e+09,-1.477e+09,2.4e+07,-1.803e+09,1.339e+09,-4.59e+08,4.1e+08,99999999.9999999,-9.6e+07,-86999999.9999999,-87000000.0000002,5.2e+07,-35000000.0000001,2.175e+09,1.6029e+10,1.388e+09,0.1752,0.1752,0.1187,0.02864,0.01519,1.21435,1.14249,0.88497,0.21306,0.63783,0.62871,5.37333,21.2327,0.77455,0.03364,0.02104,5.65425,7.28986
