"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.6855555555556,"Up",1.37e+09,-1.053e+09,3.17e+08,-1.28e+08,-9.5e+07,-3.3e+07,1.89e+08,-3.2e+07,-2.5e+07,-7e+06,1.57e+08,-418271043.273528,1.57e+08,-5.2e+07,1.05e+08,1.01e+08,1.01e+08,1.01e+08,4.83e+08,4.83e+08,6.87e+08,6.87e+08,5.88e+08,1.19e+08,1.19e+08,1.877e+09,3.167e+09,8.626e+09,-5.459e+09,6.04e+08,3.14e+08,2.9e+08,3.771e+09,5.648e+09,8.66e+08,8.66e+08,4e+06,8.7e+08,1.603e+09,1.606e+09,2.61e+08,1.345e+09,3.209e+09,4.079e+09,6.72e+08,-1.355e+09,2.64e+09,-3.88e+08,1.569e+09,1.569e+09,5.648e+09,1.01e+08,6.9e+07,2.8e+07,-4.23e+08,-2.25e+08,-2.7e+07,-2e+06,-4.7e+07,-3.2e+07,2e+06,-8e+06,-3.8e+07,-3.1e+08,-3.1e+08,4017051.18447336,-3.1e+08,2.58e+08,1.607e+09,-1.4e+08,0.23139,0.13796,0.07372,0.06437,0.01788,-1.38614,2.15747,2.59975,0.28453,0.69655,0.68801,9.44828,10.82069,-0.96552,0.22069,-20.9040244165567,0.02781,-0.02928,0.31683,4.35659,5.94709
"2","2010_Q3",22.67109375,"Down",1.502e+09,-1.118e+09,3.84e+08,-1.35e+08,-1.02e+08,-3.3e+07,2.49e+08,-3.2e+07,-2.5e+07,-7e+06,2.17e+08,-3e+06,2.14e+08,-7.3e+07,1.41e+08,1.48e+08,1.48e+08,1.48e+08,4.35e+08,4.35e+08,7.21e+08,7.21e+08,6.35e+08,1.18e+08,1.18e+08,1.909e+09,3.155e+09,8.631e+09,-5.476e+09,7.35e+08,3.76e+08,3.59e+08,3.89e+09,5.799e+09,8.8e+08,8.8e+08,6e+06,8.86e+08,1.605e+09,1.631e+09,2.85e+08,1.346e+09,3.236e+09,4.122e+09,6.98e+08,-1.388e+09,2.756e+09,-3.89e+08,1.677e+09,1.677e+09,5.799e+09,1.48e+08,7e+07,8e+06,-20000000.0000001,2.06e+08,-3.8e+07,-999999.999999996,-2.1e+08,-3.2e+07,-999999.999999993,-1.2e+07,-4.5e+07,-4.9e+07,-4.9e+07,1e+06,-4.8e+07,3.19e+08,1.611e+09,3.34e+08,0.25566,0.16578,0.09854,0.08825,0.02552,2.25676,2.15463,2.45796,0.27781,0.5146,0.50477,5.22253,5.83102,1.16134,0.11127,-6.34881302216356,0.03659,0.0679,0.21622,3.68652,4.72289
"3","2010_Q4",29.18640625,"Up",1.507e+09,-1.085e+09,4.22e+08,-1.56e+08,-1.14e+08,-4.2e+07,2.66e+08,-2.2e+07,-2.5e+07,3e+06,2.44e+08,0,2.44e+08,-8.2e+07,1.62e+08,1.7e+08,1.7e+08,1.7e+08,6.42e+08,6.42e+08,7.01e+08,7.01e+08,6.52e+08,1.06e+08,1.06e+08,2.101e+09,3.166e+09,8.712e+09,-5.546e+09,7.22e+08,3.77e+08,3.45e+08,3.888e+09,5.989e+09,9.36e+08,9.36e+08,4e+06,9.4e+08,1.602e+09,1.637e+09,2.97e+08,1.34e+09,3.239e+09,4.179e+09,7.11e+08,-1.403e+09,2.894e+09,-3.92e+08,1.81e+09,1.81e+09,5.989e+09,1.7e+08,7.3e+07,6.2e+07,1.1e+07,3.16e+08,-5.7e+07,-9e+06,-6.6e+07,-3.2e+07,-4e+06,-7e+06,-4.3e+07,2.07e+08,2.07e+08,0,2.07e+08,3.39e+08,1.606e+09,3.75e+08,0.28003,0.17651,0.11281,0.09392,0.02839,2.20588,2.23511,2.30884,0.26816,1.1822,1.15962,10.47983,12.58693,2.60779,0.22253,2.11919511668867,0.03998,0.07421,0.18824,2.84366,3.62406
"4","2011_Q1",34.2461290322581,"Up",1.463e+09,-1.127e+09,3.36e+08,-1.67e+08,-1.23e+08,-4.4e+07,1.69e+08,-2.3e+07,-2.4e+07,1e+06,1.46e+08,-1.41e+08,5e+06,5e+06,1e+07,8000000.00000003,6e+06,6e+06,5.16e+08,5.16e+08,5.45e+08,5.45e+08,6.08e+08,3.78e+08,1.61e+08,2.047e+09,3.219e+09,8.282e+09,-5.063e+09,7.2e+08,3.75e+08,3.45e+08,3.939e+09,5.986e+09,1.012e+09,1.012e+09,6e+06,1.07e+09,1.598e+09,1.691e+09,2.84e+08,1.407e+09,3.289e+09,4.359e+09,7.95e+08,-1.615e+09,2.879e+09,-4.32e+08,1.627e+09,1.627e+09,5.986e+09,8000000.00000003,6.8e+07,1.36e+08,6.6e+07,2.78e+08,-1.08e+08,-1e+07,-1.19e+08,-3.1e+07,-1.19e+08,-1.35e+08,-2.85e+08,-1.26e+08,-1.26e+08,0,-1.26e+08,2.37e+08,1.604e+09,1.9e+08,0.22967,0.11552,0.00410000000000001,0.00369,0.001,31.66667,1.91308,2.67916,0.26796,0.0416100000000001,0.0406,10.14563,11.28294,1.31761,0.21498,6,0.00752000000000001,0.0386,5.16667,4.59072,6.43787
"5","2011_Q2",37.4331746031746,"Up",1.758e+09,-1.3e+09,4.58e+08,-1.44e+08,-1.08e+08,-3.6e+07,3.14e+08,-1.3e+07,-1.9e+07,6e+06,3.01e+08,-87918772.2253712,3.01e+08,-1e+08,2.01e+08,2.4e+08,2.4e+08,2.4e+08,8.4e+08,6.4e+08,7.77e+08,7.77e+08,6.75e+08,1.42e+08,1.42e+08,2.434e+09,2.886e+09,8.01e+09,-5.124e+09,6.89e+08,3.78e+08,3.11e+08,3.575e+09,6.009e+09,1.048e+09,1.048e+09,7e+06,1.055e+09,1.596e+09,1.541e+09,2.26e+08,1.315e+09,3.137e+09,4.192e+09,8.56e+08,-1.688e+09,3.066e+09,-4.17e+08,1.817e+09,1.817e+09,6.009e+09,2.4e+08,6.8e+07,-1.84e+08,-2.7e+08,-1.46e+08,5.2e+08,-2.13e+08,3.07e+08,-3.4e+07,1e+06,-4e+06,-3.7e+07,1.24e+08,1.24e+08,-2.91038304567337e-11,1.24e+08,3.82e+08,1.603e+09,7.32e+08,0.26052,0.17861,0.13652,0.13209,0.03994,3.05,2.30711,2.3071,0.26677,1.69731,1.65975,12.43281,12.85007,5.1768,0.24045,6.79360162777044,0.05523,0.14755,0.14167,1.99738,2.42994
"6","2011_Q3",31.9146875,"Down",1.885e+09,-1.411e+09,4.74e+08,-1.56e+08,-1.18e+08,-3.8e+07,3.18e+08,-1.3e+07,-1.8e+07,5e+06,3.05e+08,15000000.0000001,3.2e+08,-1.01e+08,2.19e+08,2.2e+08,2.2e+08,2.2e+08,8.34e+08,6.34e+08,7.69e+08,7.69e+08,7.48e+08,1.57e+08,1.57e+08,2.508e+09,2.919e+09,8.125e+09,-5.206e+09,6.87e+08,3.79e+08,3.08e+08,3.606e+09,6.114e+09,1.037e+09,1.037e+09,1.55e+08,1.192e+09,1.446e+09,1.569e+09,2.45e+08,1.324e+09,3.015e+09,4.207e+09,8.77e+08,-1.791e+09,3.244e+09,-4.23e+08,1.907e+09,1.907e+09,6.114e+09,2.2e+08,6.7e+07,-8.7e+07,7e+06,2.07e+08,-8.2e+07,1999999.99999994,-8e+07,-3.3e+07,-1999999.99999999,-9.8e+07,-1.33e+08,-6e+06,-6e+06,0,-6000000.00000006,3.85e+08,1.601e+09,4.11e+08,0.25146,0.1687,0.11671,0.11536,0.03598,1.86818,2.10403,2.20608,0.26186,1.55587,1.51724,13.33098,13.48656,2.90665,0.23338,6,0.04983,0.08095,0.15,1.99221,2.41195
"7","2011_Q4",28.525873015873,"Down",1.812e+09,-1.379e+09,4.33e+08,-1.55e+08,-1.14e+08,-4.1e+07,2.78e+08,-1.7e+07,-2e+07,3e+06,2.61e+08,-7e+06,2.54e+08,-8e+07,1.74e+08,1.74e+08,1.74e+08,1.74e+08,6.49e+08,4.48e+08,7.11e+08,7.11e+08,8.5e+08,1.44e+08,1.44e+08,2.354e+09,3.058e+09,8.303e+09,-5.245e+09,7.71e+08,4.1e+08,3.61e+08,3.829e+09,6.183e+09,1.047e+09,1.047e+09,1.54e+08,1.201e+09,1.445e+09,1.628e+09,2.41e+08,1.387e+09,3.073e+09,4.274e+09,8.9e+08,-1.906e+09,3.372e+09,-4.47e+08,1.909e+09,1.909e+09,6.183e+09,1.74e+08,6.9e+07,4.4e+07,-7.5e+07,2.12e+08,-1.2e+08,3.1e+07,-2.43e+08,-3.3e+07,0,-1.23e+08,-1.56e+08,-1.87e+08,-1.87e+08,1e+06,-1.86e+08,3.47e+08,1.599e+09,2.32e+08,0.23896,0.15342,0.09603,0.09115,0.02814,1.33333,1.96003,2.23887,0.25861,1.2509,1.22191,13.0266,13.72394,1.66786,0.23724,6,0.0403,0.04517,0.18966,2.73775,3.41727
"8","2012_Q1",38.0051612903226,"Up",1.723e+09,-1.519e+09,2.04e+08,-1.85e+08,-1.41e+08,-4.4e+07,1.9e+07,-1.3e+07,-1.9e+07,6e+06,6e+06,-3.72529029846191e-09,6e+06,6999999.99999999,1.3e+07,1.3e+07,1.2e+07,1.2e+07,7.77e+08,5.77e+08,6.32e+08,6.32e+08,7.79e+08,1.14e+08,1.14e+08,2.302e+09,3.107e+09,8.383e+09,-5.276e+09,7.75e+08,4.06e+08,2.68e+08,3.882e+09,6.184e+09,9.61e+08,9.61e+08,1.53e+08,1.114e+09,1.445e+09,1.724e+09,2.1e+08,1.514e+09,3.169e+09,4.283e+09,9.02e+08,-1.93e+09,2.76e+09,1.38e+08,1.87e+09,1.901e+09,6.184e+09,1.3e+07,6.9e+07,2.12e+08,5.8e+07,3.52e+08,-1.24e+08,0,-1.26e+08,-3.6e+07,-3.6e+07,-2.2e+07,-9.7e+07,1.29e+08,1.29e+08,0,1.29e+08,8.8e+07,1.598e+09,1.5e+07,0.1184,0.01103,0.00695999999999998,0.00630999999999998,0.00194,1.25,2.06643,2.25302,0.25841,0.0876600000000001,0.0854700000000002,12.58583,13.65961,0.10957,0.26297,8,0.00919,0.00287,3,9.32955,43.21053
"9","2012_Q2",37.4112698412698,"Down",1.821e+09,-1.39e+09,4.31e+08,-1.67e+08,-1.26e+08,-4.1e+07,2.64e+08,-1.9e+07,-1.9e+07,0,2.45e+08,0,2.45e+08,-8.5e+07,1.6e+08,1.59e+08,1.58e+08,1.58e+08,6.49e+08,5.69e+08,7.4e+08,7.4e+08,7.68e+08,1.07e+08,1.07e+08,2.264e+09,3.136e+09,8.479e+09,-5.343e+09,7.91e+08,4.08e+08,3.83e+08,3.927e+09,6.191e+09,8.46e+08,8.46e+08,1.51e+08,9.97e+08,1.444e+09,1.725e+09,2.23e+08,1.502e+09,3.169e+09,4.166e+09,9.2e+08,-1.93e+09,2.882e+09,1.53e+08,2.025e+09,2.025e+09,6.191e+09,1.59e+08,6.9e+07,-1e+08,-1.09e+08,1.9e+07,-8.4e+07,8.4e+07,-1e+07,-3.6e+07,4e+06,1.5e+07,-1.7e+07,-8e+06,-8e+06,0,-8e+06,3.33e+08,1.595e+09,2.25e+08,0.23668,0.14498,0.08677,0.07802,0.02552,1.42405,2.27081,2.05728,0.25763,1.15076,1.12296,13.26293,14.74873,1.63875,0.2622,4,0.0363,0.0421,0.22785,2.84084,3.58333
"10","2012_Q3",40.8519047619048,"Up",1.853e+09,-1.372e+09,4.81e+08,-1.64e+08,-1.21e+08,-4.3e+07,3.17e+08,-4.8e+07,-2.8e+07,-2e+07,2.69e+08,-1.86264514923096e-09,2.69e+08,-9.1e+07,1.78e+08,1.8e+08,1.79e+08,1.79e+08,3e+09,3e+09,7.32e+08,7.32e+08,7.75e+08,1.23e+08,1.23e+08,4.63e+09,3.135e+09,8.509e+09,-5.374e+09,8.01e+08,4.04e+08,3.97e+08,3.936e+09,8.566e+09,8.94e+08,8.94e+08,5e+06,8.99e+08,3.83e+09,1.714e+09,2.29e+08,1.485e+09,5.544e+09,6.443e+09,9.38e+08,-1.929e+09,3.024e+09,9e+07,2.123e+09,2.123e+09,8.566e+09,1.8e+08,7.1e+07,9.2e+07,-2.7e+07,3.16e+08,-8.7e+07,7.8e+07,-8999999.99999988,-3.5e+07,2.16e+09,0,2.124e+09,2.431e+09,2.431e+09,0,2.431e+09,3.88e+08,3.835e+09,3.65e+08,0.25958,0.17107,0.0966,0.08431,0.0209,2.03911,5.15017,3.03486,0.4477,1.29616,1.26771,13.41781,15.37292,2.64301,0.25344,6,0.02789,0.04758,0.195530000000001,2.15206,2.63407
