"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.44640625,"Up",460767000,-361236000,99531000,-78308000,-65190000,-7469000,-5649000,21223000,-2564000,-2925000,-2926000,361000,18659000,-42928000,-24269000,-5148000,-29417000,-29417000,-642000,-30059000,-30059000,-191686529.984823,-191686529.984823,375809128.128179,375809128.128179,160271991.400079,314576520.270064,32832305.4011986,658971109.8135,64178695.1327233,1655398087.94438,972234400.133874,344817656.65935,6977028.43952028,1719576829.59102,2378547939.40452,161142023.691245,90044132.4668518,71097891.2243932,76838246.0278689,-46964762.6769155,239549597.597069,987101834.335024,284275095.037756,97487369.5847195,79243977.9237719,1271376929.37278,1510926526.96985,710687425.907865,-224624217.631841,-447667.122554933,485732566.23287,381888846.201797,867621412.434667,2378547939.40452,-29417000,-29417000,10254000,45335000,-4914000,21258000,-2485000,-2485000,-89968000,-30000,-92483000,-14238000,87600000,7271000,80581000,9356000,9356000,9356000,31477000,0,29226000,0.21601,0.04606,-0.06524,-0.167864990271777,-0.102570475011286,-0.97229,2.39975835631399,2.13844034680711,0.676972497155696,-0.82072,-0.82072,12.58067,3.82166579157463,0.79798,0.38875,-0.131737514864683,-0.099944078010337,-0.47367,8.86294183138838,137.392912995633
"2","2011_Q1",6.44,"Down",-714049000,596162000,-117887000,95415000,108448000,4046000,-17079000,-22472000,-2126000,-1206000,-1208000,-920000,-24598000,3140000,-21458000,581000,-20877000,677000.000000015,-1946000,-1269000.00000001,-1269000,13483000,13483000,83167000,83167000,77412000,159277000,18554000,333339000,28437000,622265000,196122000,237214000,5913000,650702000,984041000,79762000,44486000,35276000,69642000,3735000,151404000,9.4e+07,162727000,62618000,47682000,256727000,408131000,638763000,-150550000,-143000,488070000,87840000,575910000,984041000,677000,677000.000000015,14136000,10174000,-8973000.00000001,16014000,-3965000,-3965000,-43000,1000,-4007000.00000001,-14237000,-79800000,-6898000,-22939000,-10932000,-10932000,-10932000,-8336000,9.6e+07,-21855000,0.1651,0.03147,0.00177999999999999,-0.0022,-0.00129,17.22222,2.20165,0.70867,0.09756,-0.03465,-0.03465,-19.49622,13.32614,-0.59672,0.38872,0.01554,-0.02619,-11.21907,-9.89887,-3.67199
"3","2011_Q2",6.20698412698413,"Down",177326000,-121233000,56093000,-48212000,-36117000,-5323000,-6772000,7881000,-2094000,-2078000,-2080000,-16000,5787000,-8159000,-2372000,-3089000,-5461000,-6567000,-407000,-6974000,-6974000,51011343.3282743,51011343.3282743,81884873.9572737,81884873.9572737,64301836.1999736,68821743.243312,20302564.8662671,266019796.728833,25466268.2890922,396245887.351874,55632033.2887086,254231197.780217,16481157.1868266,421712140.136328,687731936.865161,96517825.4362517,41622622.5110494,54895202.9252023,50560584.657377,26255504.2256385,149159467.467644,-101367278.111675,138415551.654081,61424043.4717602,59415757.3587427,37048273.5424066,186207741.01005,623012024.697378,-150467094.12272,-5310.9591483557,472500227.922377,29023967.9327345,501524195.855111,687731936.865161,-6567000,-6567000,10314000,12239000,23772000,39758000,-4565000,-4565000,-226057877.319149,62000,-4503000,-15887000,-15500000,-284000,-31671000,3584000,3584000,3584000,18195000,0,40491000,0.31633,0.04444,-0.03933,0.0363874967572589,0.0220701583370954,-5.80599,1.96016804789534,0.442673217730963,-0.0317416657185654,-0.19042,-0.19042,4.84167,14.9767947361418,1.10556,0.43377,0.0509900049548943,0.00175635933677901,-2.27803,-7.83503727712946,-26.9148368318778
"4","2011_Q3",5.623125,"Down",100458000,-72098000,28360000,-19984000,-10835000,-4111000,-5038000,8376000,-1853000,-1869000,-1869000,16000.0000000001,6523000.00000001,-542000,5981000,-3201000,2780000,8266000,-1888000,6378000,6378000,9241000.00000003,9241000.00000003,208151000,208151000,88235000,28840000,28840000,334467000,39633000,602268000,252487000,319766000,30015000,641901000,976368000,150845000,58581000,92264000,29626000,29626000,182471000,85999999.9999999,160451000,75178000,85273000,246451000,428922000,638759000,-183854000,0,454905000,92541000.0000001,547446000,976368000,8266000,8266000,10486000,2572000,-12598000,8726000,-6802000,-6802000,-432244607.215806,88000,-6713999.99999999,-16821000,7500000,-570000.000000004,-9891000,-7879000,-7879000,-7879000,18862000,8.8e+07,2663000,0.28231,0.08338,0.06349,0.01165,0.00652999999999999,0.41753,1.83299,0.7835,0.0901300000000001,0.17414,0.17414,2.74288,12.42061,0.0727100000000003,0.45928,0.02915,0.00335,2.63735,4.17554,9.40293999999999
"5","2011_Q4",5.23063492063492,"Down",168667000,-117837000,50830000,-41896000,-30395000,-5509000,-5992000,8934000,-2232000,-2154000,-2156000,-78000,6702000,-542000,6160000,-3090000,3070000,12470000,-4374000,8096000,8096000,10564000,10564000,253541000,253541000,108970000,32464000,32464000,405539000,50329000,796244000,437015000,325312000,33917000,846573000,1252112000,160820000,63541000,97279000,24591000,24591000,187411000,290500000,163417000,76328000,87089000,453917000,641328000,658447000,-199652000,0,458795000,151989000,610784000,1252112000,12470000,12470000,12553000,2737000,-18447000,9313000,-3732000,-3732000,-258559000,-10000,-262301000,-16821000,204500000,46948000,254311000,1323000,1323000,1323000,21487000,292500000,2398000,0.30136,0.05297,0.048,0.01326,0.00647,0.2962,2.1639,1.05001,0.23361,0.17327,0.17327,3.60978,9.81905,0.05132,0.36,0.02336,0.00225,2.07769,13.12124,31.55764
"6","2012_Q1",6.18741935483871,"Up",160193000,-116332000,43861000,-50077000,-32684000,-7129000,-10264000,-6216000,-6382000,-6509000,-6538000,127000,-12598000,-23113000,-35711000,2521000,-33190000,58643000,-1184000,57459000,57459000,131973000,131973000,69114000,69114000,96312000,62822000,22758000,360221000,43579000,626106000,328070000,205567000,20831000,669685000,1029906000,72998000,36612000,36386000,42914000,19608000,118162000,2.14e+08,101266000,49088000,38689000,315266000,433428000,658361000,-160852000,237340.066600243,497509000,98969000,596478000,1029906000,58643000,58643000,15756000,-55659000,14837000,33577000,-6769000,-6769000,193796000,-129000,186898000,-17387000,-67499999.9999999,-13696000,-98668999.9999999,121806000,121806000,121806000,9540000,216250000,15087000,0.2738,-0.0388,0.35869,0.09633,0.05579,0.262570000000002,3.04854,0.72665,0.20997,1.22973,1.22973,3.42842,10.6476,0.32289,0.37211,0.08189,0.01651,0.302600000000001,8.83407,-13.55808
"7","2012_Q2",5.8984126984127,"Down",195327000,-133640000,61687000,-50601000,-40433000,-7176000,-2992000,11086000,-6264000,-5996000,-6029000,-268000,4822000,-356000,4466000,-4099000,367000,889000,-1675000,-786000,-786000,22363000,22363000,120338000,120338000,124631000,26446000,26446000,293778000,66367000,713047000,389655000,292829000,30563000,779414000,1073192000,116057000,70295000,45762000,5176000,5176000,123483000,293813000,119955000,80421000,39534000,413768000,537251000,658361000,-179963000,30000.0000000001,478428000,57513000,535941000,1073192000,889000,889000,13090000,327000,-19112000,-4806000,-3405000,-3405000,-119996000,268000,-123133000,-17388000,79438000,-44138000,17912000,-110027000,-110027000,-110007000,24176000,296063000,5758000,0.31581,0.05676,-0.00402,-0.00147,-0.00073,-7.3257,2.3791,1.00244,0.27587,-0.01682,-0.01682,4.18035,10.23923,0.12323,0.37213,0.01744,0.00605,-22.12214,11.32114,24.6888
"8","2012_Q3",6.4484126984127,"Up",230016000,-157115000,72901000,-54900000,-39901000,-7764000,-7235000,18001000,-6969000,-6841000,-6851000,-128000,11032000,-1341000,9691000,-5659000,4032000,2212000.00000001,-2136000,76000,76000.0000000075,16017000,16017000,118449000,118449000,139162000,27898000,27898000,301526000,64612000,638086000,355787000,259248000,23051000,702698000,1004224000,120511000,74383000,46128000,10071000,10071000,133132000,263062000,105379000,66239000,39140000,368441000,501573000,648036000,-197275000,-787000,449974000,52677000,502651000,1004224000,2211999.99999999,2212000.00000001,13353000,7392000.00000001,-23122000,-165000,-3539000,-3539000,52559000,814000,49833999.9999999,-17388000,-31667000,-6347000,-55402000,-5733000.00000003,-5733000.00000003,-6345999.99999997,31354000,265612000,10352000,0.31694,0.07826,0.00033000000000002,0.000149999999999983,7.99999999999983e-05,136.21053,2.26486,0.99786,0.26449,0.00162999999999996,0.00162999999999996,4.92276,9.63026,0.22155,0.37213,0.01999,0.01185,228.78947,7.96055,13.86562
"9","2012_Q4",6.58290322580645,"Up",241228000,-164281000,76947000,-56579000,-39422000,-7699000,-9458000,20368000,-5743000,-5916000,-5924000,173000,14625000,-485000,14140000,-7361000,6779000,6445000,-2959000,3486000,3486000,19989000,19989000,119532000,119532000,135499000,20949000,20949000,295969000,63733000,630109000,348218000,257014000,24877000,693842000,989811000,114214000,64028000,50186000,11105000,11105000,127869000,262285000,108264000,63723000,44541000,370549000,498418000,648036000,-211177000,-363000,436496000,54897000,491393000,989811000,6445000,6445000,11430000,7307000,1169000,26351000,-2774000,-2774000,-1607000.00000003,-108000,-4489000,-17388000,-1138000,242000,-18284000,3578000,3578000,3972000,31798000,264835000,37554000,0.31898,0.08443,0.01445,0.00709,0.00352,10.77281,2.31463,1.0143,0.26756,0.07217,0.07217,4.99437,9.03718,0.77752,0.36,0.02415,0.04344,4.98795,7.70004,12.02111
"10","2013_Q1",7.28716666666667,"Up",218150000,-150831000,67319000,-62957000,-41385000,-7629000,-13943000,4362000,-6208000,-6248000,-6197000,40000,-1846000,371000,-1475000,-3950000,-5425000,-5206000,-1512000,-6718000,-6718000,18241000,18241000,100647000,100647000,127283000,21488000,21488000,267659000,68488000,619054000,340666000,257527000,20861000,687542000,955201000,100346000,52207000,48139000,10903000,10903000,113799000,267008000,118182000,63982000,54200000,385190000,498989000,650043000,-235283000,-132000,414628000,41584000,456212000,955201000,-5206000,-5206000,11577000,11794000,13021000,31186000,-8828000,-8828000,2273000,-83000,-6638000.00000001,-17388000,4361999.99999999,-13432000,-26458000,-1910000,-1910000,-1748000,15939000,269558000,24082000,0.30859,0.02,-0.0308,-0.01473,-0.00703,-3.5847,2.35203,1.09377,0.2822,-0.13909,-0.13909,4.51656,8.58443,0.49859,0.36,0.01264,0.02853,-2.58826999999998,15.76743,57.61508
