"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","discontinued_operations_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","discontinued_operations_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_discontinued_operations_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.43032258064516,"Down",347836000,-273238000,74598000,-73737000,-73737000,861000,1699000,-1789000,3488000,2560000,989000,-2688000,-1699000,-1700000,-1700000,-1700000,169802000,169802000,252852000,252852000,268801000,120016000,55782000,1079000,811471000,314760000,627470000,233011000,360749000,5803000,27907000,942230000,1753701000,315171000,130006000,20901000,4289000,4289000,340361000,503935000,198690000,8446000,190244000,702625000,1042986000,710715000,1753701000,-1699000,11085000,5172000,19747000,34305000,-13896000,-5.42e+08,-555896000,0,348123000,2867000,0,-13092000,337898000,-183693000,-189000,-183882000,2051000,-181831000,11946000,524836000,20485000,0.21446,0.00248,-0.00489,-0.00239,-0.00097,-12.05,2.38415,1.46752,0.29927,-0.02883,-0.02834,5.89812,0.34736,0,-0.00119,0.01428,0,29.71991,412.35075
"2","2011_Q2",8.57952380952381,"Down",414402000,-326543000,87859000,-80445000,-80445000,7414000,-9069000,-11154000,2085000,-1655000,-3048000,1368000,-1680000,-1680000,-1680000,-1680000,176612044.712044,176612044.712044,232667236.452507,232667236.452507,315995936.466136,125154493.924883,83618011.2782361,1224687.01165776,850429711.555571,341302605.050103,652631809.69765,250289814.014115,368517426.502708,4165130.90111304,29659438.2797141,993934414.747754,1844364126.30332,256223129.355911,85740502.5920588,9046860.34184664,4382128.50581111,4382128.50581111,269652118.203568,584497426.93229,183112879.034737,6172509.74405884,176940369.290678,767610305.967027,1037262424.1706,807101702.132729,1844364126.30332,-1680000,13825000,12916000,-50017000,-24956000,-17930000,-855000,-17502000,0,12740000,20000,0,-1713000.00000001,11047000,-31411000,-367000,-31778000,383000,-31395000,21239000,-5.96046447753906e-08,-48076000,0.21201,0.01789,-0.00405000000000001,0.0047703602095436,0.00204941408102846,28.61667,3.15833984121244,1.20954269540138,0.320909099803405,-0.02834,-0.02834,6.99129,-0.81108,0,0.00286027231224994,0.0169016352526753,0,23.1099531399634,189.342535152517
"3","2011_Q3",6.65625,"Down",476129000,-374986000,101143000,-84363000,-84363000,16780000,-10045000,-11222000,1177000,6735000,-20641000,6640000,-14001000,-14001000,-14001000,-14001000,211714344.712044,211714344.712044,236533736.452507,236533736.452507,307860936.466136,129647893.924883,82027411.2782361,1330087.01165776,885756911.555571,351353805.050103,646545909.69765,245006614.014115,367053726.502708,3660530.90111304,30825038.2797141,997899714.747754,1883656626.30332,250481929.355911,80459802.5920588,11098160.3418466,4270228.50581111,4270228.50581111,265850318.203568,640386426.93229,187418479.034737,5535909.74405884,181882569.290678,827804905.967027,1093655224.1706,790001402.132729,1883656626.30332,-14001000,15553000,34514000,-47160000,-11094000,-22474000,0,-19882000,0,128248000,0,0,-27907000,100341000,69365000,-194000,69171000,759000,69930000,32333000,0,-43941000,0.21243,0.03524,-0.02941,0.0073113602095436,0.00297541408102846,3.13842,3.29314984121244,1.33423869540138,0.345399099803405,-0.23618,-0.23618,8.03187,-0.74124,0,0.00381727231224994,0.0202006352526753,0,17.4705891399634,71.0501741525165
"4","2011_Q4",6.92460317460317,"Up",455282000,-356113000,99169000,-82045000,-82045000,17124000,-12318000,-12463000,145000,4806000,2688000,2184000,4872000,4872000,4872000,4872000,246554000,246554000,253153000,253153000,276931000,131141000,65200000,1387000,907779000,351962000,627362000,230590000,361576000,3727000,31469000,979324000,1887103000,271151000,92559000,19307000,4042000,4042000,294500000,674530000,200748000,5729000,195019000,875278000,1169778000,717325000,1887103000,4872000,15700000,2800000,25733000,49105000,-23237000,0,-23237000,7.27595761418343e-12,17496000,9.31322574615479e-10,0,-5041000,12455000,38323000,-268000,38055000,162000,38217000,32824000,693837000,33136000,0.21782,0.03761,0.0107,0.00679,0.00258,6.80131,3.08244,1.63075,0.36767,0.08174,0.0805,7.63819,0.55592,2.16840434497101e-19,0.00302,0.02056,0,13.62671,26.12024
"5","2012_Q1",8.04258064516129,"Up",484989000,-379699000,105290000,-83516000,-83516000,21774000,-12302000,-12609000,307000,9472000,6652000,-3274000,3378000,3378000,3378000,3378000,243029000,243029000,267471000,267471000,263809000,124946000,48828000,1381000,899255000,350050000,615949000,223189000,357888000,3675000,31197000,965999000,1865254000,285921000,99631000,25164000,3794000,3794000,314879000,688247000,210220000,5786000,204434000,898467000,1213346000,651908000,1865254000,3378000,15634000,5e+06,-1682000,22330000,-22466000,0,-21712000,0,20733000,-15853000,-18139000,-6613000,-1733000,-1115000,-133000,-1248000,-2277000,-3525000,37408000,713411000,16534000,0.2171,0.0449,0.00697,0.00518,0.00181,4.89461,2.85587,1.86122,0.38247,0.05873,0.05969,8.43224,0.28747,0,0.00214,0.01049,0,12.57437,21.60292
"6","2012_Q2",6.79619047619048,"Down",451031000,-348323000,102708000,-83066000,-83066000,19642000,-12953000,-1.3e+07,47000,6689000,4894000,-2407000,2487000,2487000,2487000,2487000,177358000,177358000,270067000,270067000,296996000,109874000,46350000,1307000,854295000,352729000,629097000,234872000,360915000,3006000,30304000,981826000,1836121000,270752000,80472000,21302000,3611000,3611000,295665000,685270000,205987000,4979000,201008000,891257000,1186922000,649199000,1836121000,2487000,15515000,4146000,-35991000,-13843000,-19831000,-22432000,-42263000,-1184000,-6826000,-2351000,-2351000,816000,-9545000,-65651000,-277000,-65928000,257000,-65671000,35157000,706572000,-18258000,0.22772,0.04355,0.00551,0.00383,0.00135,-7.34138,2.8894,1.82829,0.38482,0.04439,0.04357,8.05053,-0.32589,0.02113,0.00235,-0.01169,0.47608,15.05288,26.94298
"7","2012_Q3",7.40984126984127,"Up",482431000,-379630000,102801000,-86153000,-86153000,16648000,-11890000,-12919000,1029000,4758000,4758000,-2732000,2026000,2026000,2026000,2026000,164879000,164879000,289834000,289834000,285542000,114736000,46458000,1312000,854991000,361456000,632833000,234591000,362931000,3050000,32261000,994289000,1849280000,271034000,96045000,16255000,3334000,3334000,290623000,689011000,206281000,4788000,201493000,895292000,1185915000,663365000,1849280000,2026000,16321000,3616000,-10328000,11635000,-20179000,0,-20179000,-1190000,-2903000,1000,1000,-15000,-4107000,-12651000,-487000,-13138000,659000,-12479000,32969000,705266000,5194000,0.21309,0.03451,0.0042,0.00305,0.0011,2.56367,2.94192,1.78773,0.38137,0.03615,0.03531,8.60915,0.09269,0.02124,0.00204,0.0033,0.58736,16.39076,32.45957
"8","2012_Q4",7.82483870967742,"Up",480247000,-364602000,115645000,-87442000,-87442000,28203000,-13209000,-12856000,-353000,14994000,14994000,-5944000,9050000,9050000,9050000,9050000,171912000,171912000,261854000,261854000,269878000,116737000,49897000,1303000,820381000,357627000,618878000,230176000,357916000,2974000,27812000,976505000,1796886000,240279000,240279000,17581000,3077000,3077000,260937000,685355000,197556000,4033000,193523000,882911000,1143848000,653038000,1796886000,9050000,16832000,3740000,2933000,32555000,-17404000,0,-17404000,-1190000,-2096000,-3320000,-3320000,3000.00000000047,-6603000,8547999.99999999,-926000,7622000,-589000,7033000,45035000,702936000,36508000,0.2408,0.05873,0.01884,0.01386,0.00504,4.03403,3.14398,1.75158,0.3912,0.16151,0.1574,8.57064,0.65153,0.02124,0.00659,0.0235,0.13149,11.79136,18.82864
"9","2013_Q1",9.09166666666667,"Up",447436000,-349785000,97651000,-85035000,-85035000,12616000,-12427000,-12940000,513000,189000,-2705000,6153000,3448000,3448000,3448000,3448000,209654000,209654000,239857000,239857000,257868000,118836000,47472000,587000,826215000,356879000,623098000,230473000,358372000,2936000,31317000,979977000,1806192000,252041000,110337000,17703000,3639000,3639000,273383000,681907000,196750000,3643000,193107000,878657000,1152040000,654152000,1806192000,3448000,17596000,3858000,34881000,59783000,-11128000,0,-11128000,-1179000,-4580000,-4712000,-4712000,33000,-10438000,38217000,-1111000,37106000,636000,37742000,30212000,699610000,47812000,0.21825,0.0282,0.00771,0.00527,0.00191,13.86659,3.02219,1.76112,0.38734,0.06206,0.06011,8.0532,0.86055,0.02122,0.00298,0.03084,0.34194,16.21726,38.83608
"10","2013_Q2",8.543125,"Down",423749000,-326079000,97670000,-82219000,-82219000,15451000,-12593000,-13079000,486000,2858000,1750000,-1192000,558000,558000,558000,558000,150065000,150065000,237305000,237305000,268109000,128732000,53582000,571000,784211000,357419000,619216000,228574000,359294000,2798000,28550000,976635000,1760846000,213685000,213685000,19081000,2084000,2084000,234850000,679538000,190255000,3395000,186860000,869793000,1104643000,656203000,1760846000,558000,17357000,4430000,-54847000,-32502000,-16233000,-1354043.87728896,-16233000,-1464000,-2116000,-7336000,-7336000,334000,-10582000,-59317000,-463000,-59780000,191000,-59589000,32808000,698619000,-37080000,0.23049,0.03646,0.00132,0.00085,0.00032,-66.45161,3.3392,1.68339,0.39675,0.01012,0.00974,7.68315,-0.67231,0.02654,0.00131,-0.024,2.62366,16.72013,35.50282
