"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q4",3.61703125,"Down",2088001,-914322,1173679,-2585743,-2110606,-647719,-1462887,-475137,-1412064,7464,-1404600,-1404600,-1404600,-1404600,-1404600,-1404600,3186636,3186636,523989,523989,1078653,1846579,672487,6635857,299295,1571625,1571625,1870920,8506777,3914759,638546,3276213,3914759,4933267,197306374,-193732875,3573510,3573510,8506777,-1404600,-9328,120460,-444364,-1737832,-33590,-33590,-1771422,-1771422,-1771422,-1421392,0,0.56211,-0.67628,-0.6727,-0.39306,-0.16512,1.69509,1.38051,0,-1.43242,-1.43242,2.12936,3.64428,2,-0.30588,2.24191,2.25672
"36","2020_Q1",2.66403225806452,"Down",1706903,-644559,1062344,-2721307,-1984470,-708212,-1276258,-736837,-1658963,602233,-1056730,-1056730,-1056730,-1056730,-1056730,-1056730,3126206,3126206,298967,298967,1163714,841927,652919,5430814,273448,1189424,1189424,1462872,6893686,2858232,725658,2132574,3446778,4363452,197319838,-194789605,2530234,2530234,6893686,-1056730,25846,455206,514538,-61140,-6899,-6899,-60430,-60430,-60430,-1633117,588546,0.62238,-0.97191,-0.61909,-0.41764,-0.15329,1.57562,1.72453,0.08537,-0.87143,-0.871429999999998,1.4076,2.08655,4,-0.26186,1.55388,1.52967
"37","2020_Q2",2.15761904761905,"Down",2172036,-620190,1551846,-2209715,-1676095,-424349,-1251746,-533620,-657869,498,-657371,-657371,-657371,-657371,-657371,-657371,2816485,2816485,386124,386124,1153560,521699,340369,4877868,250041,1078587,1078587,1328628,6206496,2290773,623193,1667580,2882143,3692378,197961093,-195446976,2514118,2514118,6206496,-657371,23407,274798,-404012,-763178,-4761.33501256076,-4092.02078589856,-309721,-309721,-309721,-634462,591370,0.71447,-0.30288,-0.30265,-0.26147,-0.10592,1.69244,1.46866,0.09528,-0.45111,-0.45111,1.49053,1.72528,1,-0.16788,3.50709,3.38231
"38","2020_Q3",1.8878125,"Down",1359979,-495086,864893,-1717888,-1057610,-379113,-678497,-660278,-852995,1051.00000000006,-851944,-851944,-851944,-851944,-851944,-851944,5434983,5434983,407661,407661,1191998,369040,187710,7403682,238359,963487,963487,1201846,8605528,1824758,190835,1633923,2418784,3116912,201787535,-196298920,5488616,5488616,8605528,-851944,22182,245862,-484682,-1068582,-10500,-10500,2618498,2618498,2618498,-830813,594026,0.63596,-0.62721,-0.62644,-0.15522,-0.099,3.06091,0.56789,0.06903,-0.28261,-0.28261,0.45114,1.82072,3,-0.12564,5.82677,5.67525
"39","2020_Q4",2.051875,"Up",2036228,-537614,1498614,-1756501,-1103830,-340927,-762903,-652671,-257887,774,-257113,-257113,-257113,-257113,-257113,-257113,4929175,4929175,633146,633146,1050293,677526,677526,7290140,205676,844222,844222,1049898,8340038,1789584,192356,1597228,2386363,2968266,201927804,-196556033,5371772,5371772,8340038,-257113,22183,216269,-497647,-516308,10500,10500,-505808,-505808,-505808,-235704,596779,0.73598,-0.12665,-0.12627,-0.04786,-0.03083,3.05492,0.55257,0.07156,-0.06773,-0.06773,0.53642,1.41513,4,-0.03925,18.38066,16.79959
"40","2021_Q1",3.79098360655738,"Up",1809732,-475527,1334205,-1660358,-1115611,-292417,-823194,-544747,-326153,386,-325767,-325767,-325767,-325767,-325767,-325767,5226213,5226213,334297,334297,1051282,478074,478074,7089866,183494,721215,721215,904709,7994575,1685758,142316,1543442,2285390,2746800,202129574,-196881800,5247775,5247775,7994575,-325767,22182,255939,328853,281207,10582.0498776804,20965.2816606018,297038,297038,297038,-303971,1061042,0.73724,-0.18022,-0.18001,-0.06208,-0.04075,3.10226,0.52342,0.13272,-0.08595,-0.08595,0.47747,1.38454,6,-0.05164,13.70253,12.7706
"41","2021_Q2",3.20555555555556,"Down",2155472,-576289,1579183,-1639378,-1406101,-393825,-1012276,-233277,-60195,412,-59783,-59783,-59783,-59783,-59783,-59783,5145167,5145167,477689,477689,979626,362921,362921,6965403,182765,572704,572704,755469,7720872,1521737,381248,1140489,2087993,2459820,202202634,-196941583,5261052,5261052,7720872,-59783,22182,195611,-191800,-33790,-21453,-21453,-81046,-81046,-81046,-38013,938083,0.73264,-0.02793,-0.02774,-0.01136,-0.00774,3.33593,0.46755,0.1215,-0.01575,-0.01575,0.56781,1.3859,5,-0.00964,110.67487,69.89092
"42","2021_Q3",11.1840625,"Up",2213499,-558221,1655278,-2187241,-1545716,-269493,-1276223,-641525,-531963,379,-531584,-531584,-531584,-531584,-531584,-531584,8364197,8364197,457033,457033,1029154,180838,180838,10031222,187256,550415,550415,737671,10768893,1125187,289760,835427,1582869,1933764,206308295,-197473167,8835129,8835129,10768893,-531584,57329,319863,-380556,-534948,-61820,-61820,3219030,3219030,3219030,-474634,808577,0.74781,-0.24033,-0.24016,-0.06017,-0.04936,6.33737,0.21887,0.07508,-0.14003,-0.14003,0.5831,2.32741,4,-0.05512,15.91883,14.20328
"43","2021_Q4",7.39234375,"Down",2064359,-619833,1444526,-2132497,-1407941,-402258.202464111,-1353724.58797163,-724556,-687971,882,-687089,-687089,-687089,-687089,-687089,-687089,23213537,23213537,639766,639766,996951,710136,710136,25560390,204939,528340,528340,733279,26293669,1391342,316969,1074373,1736489,2065658,222388266,-198160256,24228011,24228011,26293669,-687089,24083,196361,-525859,-992504,-41766,-41766,14849340,14849340,14849340,-663888,674316,0.69975,-0.33326,-0.33283,-0.02836,-0.02613,14.71958,0.08526,0.02565,-0.14945,-0.14945,0.44901,5.26973,2,-0.02759,33.95034,32.76188
"44","2022_Q1",4.4458064516129,"Down",1820163,-577490,1242673,-2247151,-1250094,-703358.337931707,-1283090.96507286,-997057,-1004478,1477,-1003001,-1003001,-1003001,-1003001,-1003001,-1003001,22572104,22572104,310818,310818,706553,598384,598384,24187859,198703,501630,501630,700333,24888192,1137191,284036,853155,1365697,1672406,222379042,-199163257,23215786,23215786,24888192,-1003001,-27216,652350,-134585,-512452,-6671,-6671,-641433,-641433,-641433,-1031694,535215,0.68273,-0.55186,-0.55105,-0.0432,-0.0403,17.711,0.07204,0.0215,-0.15014,-0.15014,0.27246,3.47517,4,-0.04223,21.35991,21.93865
"45","2022_Q2",3.73161290322581,"Down",2302391,-508874,1793517,-2755507,-2044930,-858839,-1186091,-710577,-961990,3428,-958562,-958562,-958562,-958562,-958562,-958562,23769380,23769380,683319,683319,711936,422616,422616,25587251,184346,476774,476774,661120,26248371,1578863,360855,1218008,1727254,2010463,224359726,-200121819,24237908,24237908,26248371,-958562,12877,44507,160797,-740381,-5395,-5395,1197276,1197276,1197276,-949113,431600,0.77898,-0.41782,-0.41633,-0.03955,-0.03652,14.81383,0.08295,0.01644,-0.14349,-0.14349,0.34464,3.62817,4,-0.03886,24.58904,24.2599
"46","2022_Q3",3.4309375,"Down",2138301,-686121,1452180,-2662498,-1746699,-566598,-1180101,-915799,-1210318,50395,-1159923,-1159923,-1159923,-1159923,-1159923,-1159923,22968146,6002329,547775,547775,869378,241651,241651,24626950,178983,451120,451120,630103,25257053,1439179,400572,1038607,1587570,1846482,224692312,-201281742,23410571,23410571,25257053,-1159923,13400,98084,210138,-838301,-8037,-16936579,-17767051,-17767051,-17767051,-1196918,407303,0.67913,-0.56602,-0.54245,-0.04955,-0.04592,15.51236,0.07887,0.01613,-0.16827,-0.16827,0.31021,3.3962,4,-0.0487,18.84911,18.64043
