"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",702.65203125,"Up",1314728,-578484,736244,-2335698,-1595374,-581079,-1014295,-740324,-1599454,1407,-1598047,-716264,-716264,-716264,-716264,-716264,7836168,7836168,619219,619219,544219,496165,490165,9495771,205307,1828,1828,207135,9702906,1782654,263231,1519423,1894924,3895729,148715625,-142908452,5807177,5807177,9702906,-716264,37099,-818958,-169224,-1667347,-11840,-11840,-1750267,-1750267,-1750267,-1562355,0,0.56,-1.21657,-0.5448,-0.12334,-0.07382,5.01116,0.67085,0,-83.92479,-83.92479,154.04693,680.42758,2,-0.09173,5.01561,4.89928
"12","2014_Q1",804.92868852459,"Up",1402152,-544830,857322,-2234610,-1523982,-538557,-985425,-710628,-1377288,1096,-1376192,-3703628,-3703628,-3703628,-3703628,-3703628,9195753,9195753,390922,390922,563036,416816,416816,10566527,229313,923,923,230236,10796763,1579096,322896,1256200,1647908,3601788,153807055,-146612080,7194975,7194975,10796763,-3703628,34265,2414347,30616,-1224400,-58271,-58271,1359585,1359585,1359585,-1343023,4.54747350886464e-13,0.61143,-0.98227,-2.64139,-0.51475,-0.34303,6.41209,0.5006,5.42101086242752e-20,-276.51977,-276.51977,104.68728,537.19024,4,-0.40482,6.84706,6.67671
"13","2014_Q2",633.907301587302,"Down",1331537,-615081,716456,-2456691,-1592973,-446216,-1146757,-863718,-1740235,1036,-1739199,-1224599,-1224599,-1224599,-1224599,-1224599,7583538,7583538,530666,530666,665695,476407,476407,9256306,198463,869,869,199332,9455638,1906320,577986,1328334,1969812,3408778,153883539,-147836679,6046860,6046860,9455638,-1224599,34965,-438116,19650,-1608100,-4115,-4115,-1612215,-1612215,-1612215,-1705270,0,0.53807,-1.30694,-0.91969,-0.20252,-0.12951,4.69908,0.56373,0,-66.07028,-66.07028,71.83986,326.24372,3,-0.16359,4.44712,4.35777
"14","2014_Q3",582.95046875,"Down",1343770,-655337,688433,-3307775,-1842942,-694664,-1148278,-1464833,-2619342,990,-2618352,-2170709,-2170709,-2170709,-2170709,-2170709,13693792,13693792,532837,532837,604066,349926,349926,15180621,180411,674.000000000001,674.000000000001,181085,15361706,2322876,534532,1788344,2372589,7751393,157617695,-150007388,7610313,7610313,15361706,-2170709,31328,-386963,689592,-1836752,-13277,-13277,6110254,6110254,6110254,-2588014,0,0.51231,-1.94925,-1.61539,-0.28523,-0.14131,6.39834,1.01854,0,-115.71861,-115.71861,71.63521,405.69885,3,-0.16712,5.29124,5.22795
"15","2014_Q4",547.60328125,"Down",1427828,-639025,788803,-2793146,-1847797,-537785,-1310012,-945349,-2004343,1336,-2003007,-1461713,-1461713,-1461713,-1461713,-1461713,11687021,11687021,611790,611790,630236,440906,440906,13369953,198045,555,555,198600,13568553,2515825,522714,1993111,2554541,7367606,157670044,-151469101,6200947,6200947,13568553,-1461713,36957,-470100,-15221,-1910077,-54590,-54590,-2006771,-2006771,-2006771,-1967386,0,0.55245,-1.40377,-1.02373,-0.23572,-0.10773,5.2338,1.18814,0,-59.40398,-59.40398,58.0269,252.00619,2,-0.13271,5.94038,5.83085
"16","2015_Q1",550.494754098361,"Up",1409629,-659159,750470,-3156599,-2354523,-1234447,-1120076,-802076,-2406129,1244,-2404885,-2909201,-2909201,-2909201,-2909201,-5864869,9221985,9221985,580240,580240,679740,608160,608160,11090125,311520,584.999999999985,585.000000000015,312105,11402230,2673100,522871,2150229,2698148,8015115,157765413,-154378302,3387115,3387115,11402230,-2909201,41850,585831,-42043.9999999999,-2323564,-155326,-155326,-2465036,-2465036,-2465036,-2364279,-3.5527136788005e-15,0.53239,-1.70692,-4.16058,-1.73152,-0.51436,4.11027,2.36635,-2.11758236813575e-22,-232.04155,-232.04155,55.77149,134.0099,1,-0.67381,3.90055,3.83271
"17","2015_Q2",375.439682539683,"Down",1282960,-637261,645699,-3904318,-3001776,-1455686,-1546090,-902542,-3258619,1089,-3257530,-2071228,-2071228,-2071228,-2071228,-2071228,6403123,6403123,921595,921595,635163,262937,262937,8222818,539718,368366,368366,908084,9130902,2982580,916519,2066061,3318933,7449259,158131170,-156449530,1681643,1681643,9130902,-2071228,29144,-1102303,500706,-2643681,-175181,-175181,-2818862,-2818862,-2818862,-3229475,0,0.50329,-2.53992,-1.61441,-1.23167,-0.22684,2.47755,4.42975,0,-80.10469,-80.10469,49.61845,65.03739,0,-0.35637,1.98271,1.96498
"18","2015_Q3",283.4359375,"Down",1224987,-595032,629955,-3969357,-2987104,-1762282,-1224822,-982253,-3339402,500,-3338902,-1203206,-1203206,-1203206,-1203206,-1203206,12638982,12638982,588686,588686,1221600,550072,550072,14999340,809519,224127,224127,1033646,16032986,2749023,875519,1873504,3361113,4412756,169272844,-157652736,11620230,11620230,16032986,-1203206,66342,-2047293,-362104,-3546261,-327847,-327847,6235859,6235859,6235859,-3273060,0,0.51425,-2.72607,-0.98222,-0.10354,-0.07505,4.46261,0.37975,0,-41.87666,-41.87666,42.63473,404.42894,2,-0.09495,3.86152,3.7848
"19","2015_Q4",222.06125,"Down",2054432,-1119186,935246,-4292591,-3351797,-1965627,-1386170,-940794,-3357345,1761,-3355584,-3203778,-3203778,-3203778,-3203778,-6754473,9116806,9116806,901895,901895,1072162,878533,878533,11969396,745133,214275,214275,959408,12928804,2845566,946146,1899420,3537810,4438348,169346876,-160856514,8490456,8490456,12928804,-3203778,65507,-77802,-214525,-3430598,-91578,-91578,-3522176,-3522176,-3522176,-3291838,0,0.45523,-1.6342,-3.28776,-0.79554,-0.52244,3.38328,0.52275,0,-177.58362,-177.58362,54.01361,223.22234,2,-0.71925,2.76952,2.71548
"20","2016_Q1",129.672950819672,"Down",2737451,-1599267,1138184,-4459004,-3389807,-2049376,-1340431,-1069197,-3320820,1882,-3318938,-2709136,-2709136,-2709136,-2709136,-11041348,12462872,12462872,807825,807825,1089084,852600,852600,15212381,683534,203686,203686,887220,16099601,3029418,1060135,1969283,3256590,3536893,176128337,-163565650,12562708,12562708,16099601,-2709136,61599,-553793,-277983,-3479313,0,2.91038304567337e-11,3346066,3346066,3346066,-3259221,2.77555756156289e-17,0.41578,-1.21311,-4.03344,-0.8789,-0.68582,4.67126,0.28154,0,-254.76026,-254.76026,63.16201,289.86256,3,-0.85972,3.82388,3.75295
"21","2016_Q2",142.3278125,"Up",2275247,-1482513,792734,-4989010,-3832220,-2407879,-1424341,-1156790,-4196276,6705,-4189571,-4095255,-4095255,-4095255,-4095255,-4095255,8739651,8739651,491259,491259,1513322,719569,719569,11463801,650539,193830,193830,844369,12308170,3266134,1381140,1884994,3269957,3455944,176513117,-167660905,8852226,8852226,12308170,-4095255,61638,-28304,443996,-3617925,-28643,-28643,-3723221,-3723221,-3723221,-4134638,0,0.34842,-1.84432,-1.79992,-0.46262,-0.33273,3.5058,0.3904,0,-80.09578,-80.09578,44.49971,173.13325,3,-0.4531,2.11376,2.08272
"22","2016_Q3",125.02015625,"Down",2647422,-1572370,1075052,-5252434,-4124584,-2832279,-1292305,-1127850,-4177382,4553,-4172829,-4095520,-4095520,-4095520,-4095520,-23941897,11330857,11330857,328981,328981,1048053,1070855,1070855,13778746,614961,183974,183974,798935,14577681,2493701,644862,1848839,2906005,3014683,183319402,-171756425,11562998,11562998,14577681,-4095520,62758,-21331.9999999999,-123488,-4177582,-27180,-27180,2591206,2591206,2591206,-4114624,0,0.40608,-1.57791,-9.04348,-2.07056,-1.64237,4.74147,0.26072,1.32348898008484e-23,-429.76771,-429.76771,47.5224,207.56058,3,-2.05128,2.7538,2.71243
"23","2016_Q4",93.4287301587302,"Down",3389427,-2031823,1357604,-5327777,-4125126,-2959311,-1165815,-1202651,-3970173,5772,-3964401,-3908153,-3908153,-3908153,-3908153,-3908153,7568186,7568186,571378,571378,1162156,1290700,1290700,10592420,582194,174118,174118,756312,11348732,2957411,714204,2243207,3586761,3639191,183374099,-175664578,7709541,7709541,11348732,-3908153,64828,-1553,183267,-3661611,-32061,-32061,-3762671,-3762671,-3762671,-3905345,0,0.40054,-1.17134,-1.15304,-0.50692,-0.34437,2.9532,0.47204,0,-61.03809,-61.03809,52.93655,120.4084,3,-0.5035,1.9379,1.90626
"24","2017_Q1",53.9504838709677,"Down",3715432,-2026299,1689133,-4553247,-3646185,-2655976,-990209,-907062,-2864114,2102,-2862012,-2814223,-2814223,-2814223,-2814223,-2814223,3949135,3949135,738729,738729,1252238,1646821,1646821,7586923,532706,164262,164262,696968,8283891,2690250,734048,1956202,3318486,3323127,183439547,-178478801,4960764,4960764,8283891,-2814223,62103,935,-871973,-3623158,-12615,-12615,-3619051,-3619051,-3619051,-2802011,-3.5527136788005e-15,0.45463,-0.77087,-0.75744,-0.5673,-0.33972,2.28626,0.66988,2.11758236813575e-22,-41.39446,-41.39446,54.65036,72.96771,3,-0.56677,1.40939,1.37883
