"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",25.5379365079365,"Down",343100000,-38700000,-38700000,2071460475.75465,11100000,-5400000,-4700000,5700000,6400000,-3200000,3200000,17300000,17300000,17300000,1.4e+07,1.4e+07,1.65e+08,1.65e+08,4.2e+07,3.3e+07,2.64e+08,1.651e+09,4.58e+08,1.29e+08,2.231e+09,2.495e+09,2.07e+08,1.37e+08,1.36e+08,3.53e+08,3.86e+08,6.2e+08,4.31e+08,5.4e+07,1.006e+09,1.359e+09,2.57e+08,9.72e+08,-8.2e+07,1.136e+09,1.136e+09,2.495e+09,5e+06,-8e+06,1.2e+07,-2.2e+07,-1.3e+07,3.3e+07,1e+06,3667190695.38382,2.1e+07,4e+06,4e+06,4e+06,5.22e+08,0.03235,0.05042,0.01523,0.00693,0.74788,1.1963,0.20922,0.42092,0.41889,8.34793,27.6399,0.3163,0.0133,0.75145,45.76577
"2","2010_Q3",26.05703125,"Up",396200000,-36900000,-36900000,138765587.069149,40800000,-6500000,-6300000,34300000,3.5e+07,-13100000,21900000,28900000,28900000,28900000,15048215.4435863,15048215.4435863,178726986.479439,178726986.479439,56267968.5093212,47731019.7561,334359819.569355,1493415451.25535,484623707.721214,167862722.140259,2082542843.71155,2416902663.28091,177222095.543662,112656029.268672,-4588428.6932646,181709442.741745,503859108.077069,601433172.867803,444116346.726557,54434440.6770219,1105292280.94487,1287001723.68662,252184289.526197,959210488.654562,-70491514.2509087,1129900939.59429,1129900939.59429,2416902663.28091,3.4e+07,-7e+06,0,-2.9e+07,-1.3e+07,2.2e+07,2e+06,2216960463.58922,1.1e+07,1.6e+07,1.6e+07,1.6e+07,0,0.10298,0.07294,0.0201491709029198,0.0094725141538549,1.60029998944183,1.13872919951511,0.20645563047999,0.70146,0.69807,9.6165,27.2809778154037,0.31553,-0.00597341471456005,0.44983,9.02460090781909
"3","2010_Q4",28.4175,"Up",436700000,-40400000,-40400000,-851612904.849069,42700000,-1800000,-6200000,40900000,40900000,-15500000,25400000,25700000,25700000,25700000,1.4e+07,1.4e+07,1.72e+08,1.72e+08,5.1e+07,4.2e+07,3.06e+08,1.551e+09,4.74e+08,1.54e+08,2.135e+09,2.441e+09,1.91e+08,1.22e+08,3.3e+07,2.34e+08,4.67e+08,6.08e+08,4.39e+08,5.4e+07,1.075e+09,1.309e+09,2.53e+08,9.65e+08,-7.5e+07,1.132e+09,1.132e+09,2.441e+09,4e+07,4e+06,0,-2.6e+07,-1.3e+07,-2.6e+07,1e+06,1203256278.15353,-3.8e+07,-2.4e+07,-2.4e+07,-2.4e+07,5e+08,0.09778,0.05885,0.0227,0.01053,1.30769,1.15636,0.20483,0.62228,0.61928,10.57385,27.4092,0.31477,0.01728,0.50584,11.38173
"4","2011_Q1",32.5916129032258,"Up",194600000,-1.142e+09,2700000,-1144700000,1.8e+07,18300000,9e+06,36300000,34900000,-14900000,2e+07,20200000,20200000,20200000,1.4e+07,1.4e+07,1.65e+08,1.65e+08,4.2e+07,3.3e+07,2.64e+08,1.651e+09,4.58e+08,1.29e+08,2.231e+09,2.495e+09,2.07e+08,1.37e+08,1.36e+08,3.53e+08,3.86e+08,6.2e+08,4.31e+08,5.4e+07,1.006e+09,1.359e+09,2.57e+08,9.72e+08,-8.2e+07,1.136e+09,1.136e+09,2.495e+09,81400000,-59100000,3.1e+07,48900000,-58200000,-57400000,2600000,549578139.076765,-1.13e+08,17300000,2e+06,2e+06,5.22e+08,0.0925,0.1038,0.01778,0.0081,0.74788,1.1963,0.20922,0.49029,0.48325,4.7233,27.57282,1.41262,0.03442,2.88119,28.22222
"5","2011_Q2",38.5196825396825,"Up",373300000,-37700000,-37700000,-985520698.383644,14900000,-5e+05,-6200000,14400000,14400000,-5300000,9100000,5200000,5200000,5200000,1.7e+07,1.7e+07,1.76e+08,1.76e+08,4.4e+07,3.6e+07,2.83e+08,1.633e+09,4.76e+08,1.44e+08,2.233e+09,2.516e+09,1.95e+08,1.36e+08,1.8e+08,3.83e+08,3.74e+08,6.24e+08,4.32e+08,5.5e+07,9.98e+08,1.381e+09,2.62e+08,9.64e+08,-8e+07,1.135e+09,1.135e+09,2.516e+09,-1.1e+07,-9e+06,8e+06,-1e+07,-1.3e+07,3.2e+07,5e+06,179426046.358922,2.4e+07,3e+06,3e+06,3e+06,5.54e+08,0.03991,0.01393,0.00458,0.00207,0.7389,1.21674,0.22019,0.1253,0.1244,8.99518,27.3494,0.31325,0.00787,2.5,36.04027
"6","2011_Q3",34.07375,"Down",333800000,-637500000,-18400000,-619100000,1.7e+07,7e+05,2400000,17700000,17700000,-6100000,11600000,18700000,18700000,18700000,1.5e+07,1.5e+07,1.89e+08,1.89e+08,4.5e+07,3.8e+07,2.98e+08,1.634e+09,4.98e+08,1.57e+08,2.258e+09,2.556e+09,2.3e+08,1.56e+08,4.6e+07,2.84e+08,5.1e+08,6.29e+08,4.35e+08,5.5e+07,1.139e+09,1.423e+09,2.68e+08,9.56e+08,-8e+07,1.133e+09,1.133e+09,2.556e+09,37100000,-1.8e+07,-8e+06,-1.7e+07,-13600000,-25900000,4e+06,16300000,-19200000,900000.000000004,-2e+06,-2e+06,5.56e+08,0.05093,0.05602,0.0165,0.00732,1.0493,1.25596,0.21753,0.44844,0.44313,8.0048,27.17026,0.32614,0.01393,0.727269999999999,31.82353
"7","2011_Q4",31.1820634920635,"Down",380600000,-352500000,-27700000,-324800000,28100000,9e+05,-1900000,2.9e+07,2.9e+07,-10600000,18400000,8700000,8700000,8700000,1.7e+07,1.7e+07,1.77e+08,1.77e+08,3.7e+07,2.9e+07,2.86e+08,1.639e+09,5.02e+08,1.53e+08,2.273e+09,2.559e+09,2.1e+08,1.42e+08,6.7e+07,2.85e+08,5.03e+08,6.26e+08,4.29e+08,5.7e+07,1.129e+09,1.414e+09,2.7e+08,9.64e+08,-7.8e+07,1.145e+09,1.145e+09,2.559e+09,45200000,-10800000,28900000,18100000,-13300000,-9200000,0,-16300000,-38800000,24500000,1500000,1500000,5.7e+08,0.07383,0.02286,0.0076,0.0034,1.00351,1.23493,0.22274,0.20913,0.20714,9.14904,27.52404,0.31971,0.0094,1.52874,19.67972
"8","2012_Q1",36.3009677419355,"Up",374900000,-364900000,-28700000,-336200000,1e+07,-2e+05,-2e+06,9800000,9800000,-3100000,6700000,1600000,1600000,1600000,9800000,9800000,167700000,167700000,93300000,25100000,2.75e+08,800500000,1468800000,1412300000,2269300000,2544300000,160300000,135500000,17500000,278700000,180100000,9.63e+08,255100000,24800000,1143100000,1421800000,272300000,9.53e+08,-91900000,1122500000,1122500000,2544300000,32800000,-7100000,11400000,4300000,-73200000,36400000,1100000,-5e+05,-36200000,9e+05,4800000,4800000,197600000,0.02667,0.00427,0.00143,0.00063,0.98672,1.26664,0.07766,0.03846,0.0381,9.01202,26.98317,1.75962,0.03276,45.75,18.78
"9","2012_Q2",39.7920634920635,"Up",366100000,-360800000,-28600000,-332200000,5300000,-1200000,-2e+06,4100000,4100000,-2100000,2e+06,3800000,3800000,3800000,1.9e+07,1.9e+07,1.68e+08,1.68e+08,3.8e+07,3.3e+07,2.89e+08,1.614e+09,5.17e+08,1.64e+08,2.285e+09,2.574e+09,2.13e+08,1.47e+08,5.5e+07,2.76e+08,5.41e+08,6.3e+08,4.19e+08,5.1e+07,1.171e+09,1.447e+09,2.86e+08,9.42e+08,-9e+07,1.127e+09,1.127e+09,2.574e+09,5100000,-8200000,12500000,4300000,-13300000,1800000,12800000,-12800000,-11500000,-2100000,-3e+06,-3e+06,5.96e+08,0.01448,0.01038,0.00337,0.00148,1.0471,1.28394,0.23155,0.09069,0.08983,8.73747,26.89737,0.31742,0.00727000000000001,3.5,108.86792
"10","2012_Q3",19.2984126984127,"Down",394200000,-363300000,-28200000,-335100000,30900000,-3e+05,-1900000,30600000,30600000,-15300000,15300000,7400000,7400000,7400000,35500000,35500000,170600000,170600000,26300000,24900000,236800000,7.83e+08,169700000,1.11e+08,952700000,1189500000,172200000,130200000,28400000,207700000,344400000,390100000,2.52e+08,3.3e+07,734500000,942200000,278700000,12300000,-43700000,247300000,247300000,1189500000,23400000,-8800000,12400000,3600000,-164800000,171600000,8900000,-11400000,4300000,31300000,1.7e+07,1.7e+07,372800000,0.07839,0.01877,0.02992,0.00622,1.14011,3.80995,0.31341,0.17494,0.1729,9.31915,5.84634,3.89598,0.17046,22.27027,10.91586
