"","YQ","p","d","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2016_Q1",4.74393442622951,"Down",-6842000,-1729000,-6842000,368000,68000,0,-6474000,-6474000,-6474000,-6474000,-6474000,-6474000,85746000,15443000,1123000,693000,86869000,87259000,5055000,4118000,5055000,101000,101000,101000,5156000,108486000,82103000,82103000,87259000,-6474000,199000,-5605000,50284000,4231000,4231000,4231000,0,-0.07885,-0.07419,17.18477,0.0628,0,-0.42025,-0.42025,5.32963,-0.07876,12.5323
"2","2016_Q2",3.11015625,"Down",-7040000,-2391000,-7040000,414000,114000,-138311.675496527,-6626000,-6626000,-6626000,-6626000,-6626000,-6626000,78466000,16326000,1609000,1203000,80075000,80382000,4310000,3115000,4310000,6000.00000000001,6000.00000000001,6000,4316000,108977000,76066000,76066000,80382000,-6626000,-1251000,-7314000,23704677.4527786,883000,883000,883000,0,-0.08711,-0.08243,18.57889,0.05674,0,-0.36317,-0.36317,4.16914,-0.0871,11.14574
"3","2016_Q3",5.06640625,"Up",-6791000,-1855000,-6791000,130000,-65000,-189000,-6661000,-6661000,-6661000,-6661000,-6661000,-6661000,80090000,12112000,1331000,1045000,81421000,81744000,4384000,3330000,4384000,27000,27000,7319000,11703000,109579000,70041000,70041000,81744000,-6661000,351000,-5825000,7452999.99999999,-4214000,-4214000,-4214000,7292000,-0.0951,-0.08149,18.57231,0.16709,0.08921,-0.35912,-0.35912,3.7762,-0.0861,10.71978
"4","2016_Q4",5.36126984126984,"Up",-7058000,-1742000,-7058000,132000,-63000,-194000,-6926000,-6926000,-6926000,-6926000,-6926000,-6926000,74568000,6783000,1147000,886000,75715000,76304000,5272000,4184000,5272000,58000,58000,7366000,12638000,110164000,63666000,63666000,76304000,-6926000,830000,-5472000,0,-5329000,-5329000,-5329000,7308000,-0.10879,-0.09077,14.36172,0.1985,0.09577,-0.36743,-0.36743,3.37751,-0.09751,9.52961
"5","2017_Q1",7.33387096774194,"Up",-7478000,-1975000,-7478000,131000,-64000,-194000,-7347000,-7347000,-7347000,-7347000,-7347000,-7347000,67790000,9725000,1020000,725000,68810000,69821000,5451000,4681000,5451000,170000,170000,7494000,12945000,110750000,56876000,56876000,69821000,-7347000,-10000,-6738000,0,2942000,2942000,2942000,7324000,-0.12918,-0.10523,12.62337,0.2276,0.1049,-0.38344,-0.38344,2.96832,-0.11414,8.08585
"6","2017_Q2",9.1015873015873,"Up",-7653000,-2140000,-7653000,120000,-75000,-203000,-7533000,-7533000,-7533000,-7533000,-7533000,-7533000,59153000,10642000,1475000,1134000,60628000,61919000,4116000,3688000,4116000,223000,223000,7562000,11678000,111649000,50241000,50241000,61919000,-7533000,-2026000,-8622000,5000,916999.999999999,916999.999999999,916999.999999999,7339000,-0.14994,-0.12166,14.72983,0.23244,0.11853,-0.38702,-0.38702,2.58123,-0.13032,6.77042
"7","2017_Q3",9.38650793650794,"Up",-7930000,-2278000,-7930000,110000,-85000,-209000,-7820000,-7820000,-7820000,-7820000,-7820000,-7820000,53244000,12154000,1491000,1187000,54735000,55847000,4576000,4179000,5076000,279000,279000,7134000,12210000,112868000,43637000,43637000,55847000,-7820000,672000,-6110000,188999.999999998,1512000,1512000,1512000,7355000,-0.17921,-0.14003,10.7831,0.27981,0.1317,-0.39517,-0.39517,2.20511,-0.15252,5.78676
"8","2017_Q4",14.7361904761905,"Up",-9499000,-2357000,-9499000,166000,-29000,-226000,-9333000,-9333000,-9333000,-9333000,-9333000,-9333000,100805000,23336000,1118000,909000,101923000,103115000,6538000,6196000,7562000,336000,336000,6354000,13916000,167755000,89199000,89199000,103115000,-9333000,1962000,-6235000,53711000,11182000,11182000,11182000,7042000,-0.10463,-0.09051,13.47831,0.15601,0.06829,-0.38338,-0.38338,3.66411,-0.09664,9.87083
"9","2018_Q1",19.4655737704918,"Up",-10995000,-2876000,-10995000,247000,52000,-250000,-10748000,-10748000,-10748000,-10748000,-10748000,-10748000,93145000,11433000,1496000,1280000,94641000,95851000,8500000,8284000,10031000,388000,388000,5955000,15986000,169204000,79865000,79865000,95851000,-10748000,1952000,-7474000,-338000.000000007,-11903000,-11903000,-11903000,7098000,-0.13458,-0.11213,9.43485,0.20016,0.07405,-0.36619,-0.36619,2.72103,-0.12304,7.82601
"10","2018_Q2",16.9375,"Down",-14991000,-3425000,-14991000,387000,192000,-258000,-14604000,-14604000,-14604000,-14604000,-14604000,-14604000,138200000,26518000,2161000,1904000,140361000,141458000,9057000,8724000,11351000,446000,446000,5307000,16658000,228762000,124800000,124800000,141458000,-14604000,-213000,-12851000,57650000,15085000,15085000,15085000,7155000,-0.11702,-0.10324,12.36552,0.13348,0.05058,-0.45883,-0.45883,3.92095,-0.1103,8.74158
