"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",65.5868852459016,"Down",894798000,-696993000,197805000,-61052000,-61052000,136753000,-354000,54999.9999999998,24000,-433000,136399000,136399000,-42966000,93433000,93433000,93433000,93433000,91430000,91430000,768842000,768842000,441789000,131214000,131214000,1433275000,1189099000,2380888000,-1191789000,468664000,344018000,124646000,1695225000,3128500000,727088000,129632000,516628000,727088000,0,357972000,357972000,357972000,1085060000,2043440000,2043440000,3128500000,93433000,51255000,14898000,6914000,166500000,-113756000,-112283000,-62583000,-62583000,-8366000,-8366000,-10919000,188008000,0,124132000,0.22106,0.15283,0.10442,0.04572,0.02987,1.32857,1.97125,0.531,0,0.86351,0.85864,8.26978,18.88559,1.14724,0.03891,0.05169,-0.48631,-0.66858
"17","2014_Q2",67.4131746031746,"Up",840201000,-650710000,189491000,-56629000,-56629000,132862000,-74000,-332000,-36000,294000,132788000,132788000,-41563000,91225000,91225000,91225000,91225000,106339000,106339000,785089000,785089000,437873000,126938000,126938000,1456239000,1245498000,2489805000,-1244307000,474473000,347909000,126564000,1756374000,3212613000,695441000,143323000,469856000,695441000,9e+07,336812000,336812000,426812000,1122253000,2090360000,2090360000,3212613000,91225000,53351000,17020000,-79406000,82190000,-102445000,-101421000,69242000,33976000,14745000,14745000,14909000,186213000,9e+07,45925000,0.22553,0.15813,0.10858,0.04364,0.0284,0.50343,2.09398,0.53687,0.02801,0.84335,0.83905,7.76741,19.32477,0.42456,0.03624,0.01824,-0.0877399999999999,-0.12298
"18","2014_Q3",63.71921875,"Down",927407000,-709192000,218215000,-56904000,-56904000,161311000,-766000,-357000,8000,-417000,160545000,160545000,-50250000,110295000,110295000,110295000,110295000,103330000,103330000,843161000,843161000,441497000,142724000,142724000,1530712000,1312585000,2608885000,-1296300000,504749000,370514000,134235000,1852472000,3383184000,767107000,176209000,494832000,767107000,8e+07,363447000,363447000,443447000,1210554000,2172630000,2172630000,3383184000,110295000,56057000,17677000,8070999.99999999,192100000,-117458000,-155975000,-39161000,-39161000,-3036000,-3036000,-3009000.00000001,217368000,8e+07,158231000,0.2353,0.17394,0.11893,0.05077,0.0326,1.43462,1.99543,0.55718,0.02365,1.02123,1.01728,8.58694,20.11657,1.46507,0.04216,0.06048,-0.10733,-0.14463
"19","2014_Q4",59.481875,"Down",973089000,-731234000,241855000,-59937000,-59937000,181918000,-930000,-547000,9000,-392000,180988000,180988000,-56650000,124338000,124338000,124338000,124338000,74592000,74592000,922382000,922382000,434379000,127036000,127036000,1558389000,1314764000,2647251000,-1332487000,484397000,360212000,124185000,1833066000,3391455000,725542000,143148000,510622000,725542000,2.5e+08,397040000,397040000,647040000,1372582000,2018873000,2018873000,3391455000,124338000,59621000,13143000,-85906000,111196000,-79467000,-78228000,141243000,-60175000,-27207000,-27207000,-28738000,241539000,2.5e+08,132816000,0.24854,0.18695,0.12778,0.06159,0.03666,1.06819,2.1479,0.67988,0.07371,1.16287,1.15763,9.10084,18.88156,1.24216,0.04664,0.04982,0.72621,0.96421
"20","2015_Q1",49.6190163934426,"Down",918927000,-709287000,209640000,-57401000,-57401000,152239000,-3083000,-3179000,-32000,128000,149156000,149156000,-46685000,102471000,102471000,102471000,102471000,430714000,430714000,778372000,778372000,375588000,128876000,128876000,1713550000,1305822000,2660788000,-1354966000,485568000,331474000,154094000,1791390000,3504940000,679137000,123688000,490260000,679137000,743469000,424863000,424863000,1168332000,1847469000,1657471000,1657471000,3504940000,102471000,60750000,20143000,152912000,336276000,-85086000,-83848000,-28705000,110720000,363148000,363148000,356122000,212989000,743469000,327500000,0.22814,0.16567,0.11151,0.06182,0.02924,3.19603,2.52313,1.11463,0.21212,0.9922,0.98708,8.89769,16.04879,3.17108,0.03626,0.1159,1.46841,2.05437
"21","2015_Q2",49.1411111111111,"Down",786772000,-623323000,163449000,-56799000,-56799000,106650000,-5487000,-5932000,-255000,7e+05,101163000,101163000,-31664000,69499000,69499000,69499000,69499000,304512000,304512000,774905000,774905000,379836000,150458000,150458000,1609711000,1272410000,2653250000,-1380840000,440512000,314799000,125713000,1744232000,3353943000,601842000,121087000,431131000,601842000,7.5e+08,418429000,418429000,1168429000,1770271000,1583672000,1583672000,3353943000,69499000,58003000,4794000,-124202000,8094000,-49300000,-48246000,-27738000,-83542000,-123694000,-123694000,-126202000,164653000,7.5e+08,22815000,0.20775,0.13555,0.08833,0.04388,0.02072,0.32828,2.67464,1.11783,0.22362,0.69867,0.6956,7.9094,15.92062,0.22936,0.02525,0.00829000000000002,2.70562,4.1771
"22","2015_Q3",38.9815625,"Down",810303000,-642758000,167545000,-59605000,-59605000,107940000,-12644000,-6161000,1000,-6484000,95296000,95296000,-29828000,65468000,65468000,65468000,65468000,190630000,190630000,795891000,795891000,376950000,156529000,156529000,1.52e+09,1310211000,2758145000,-1447934000,605959000,435610000,170349000,1948334000,3468334000,662986000,135779000,469088000,662986000,792917000,414267000,414267000,1207184000,1870170000,1598164000,1598164000,3468334000,65468000,63483000,8837000,54582000,192370000,-45303000,-274335000,-26661000,-21316000,-103281000,-103281000,-113882000,171423000,792917000,210530000,0.20677,0.13321,0.08079,0.04096,0.01888,3.21577,2.29266,1.1702,0.22862,0.66446,0.66201,8.22409,16.2204,2.13675,0.02334,0.07505,3.51346,5.57983
"23","2015_Q4",40.48703125,"Up",743613000,-575300000,168313000,-54849000,-54849000,113464000,-13699000,-6167000,1567000,-9099000,99765000,99765000,-31226000,68539000,68539000,68539000,68539000,271155000,271155000,702793000,702793000,373234000,163248000,163248000,1510430000,1272634000,2748734000,-1476100000,637566000,421603000,215963000,1910200000,3420630000,623827000,92937000,482294000,623827000,797495000,410392000,410392000,1207887000,1831714000,1588916000,1588916000,3420630000,68539000,62022000,4607000,37428000,172596000,-44229000,-62496000,-26418000,-26418000,83682000,83682000,80525000,175486000,797495000,199911000,0.22634,0.15258,0.09217,0.04314,0.02004,2.91675,2.42123,1.15281,0.23314,0.70049,0.69806,7.59991,16.23911,2.04314,0.02451,0.07148,2.99933,4.63883
"24","2016_Q1",29.6988524590164,"Down",722066000,-615944000,106122000,-60366000,-60366000,45756000,-5719000,-6183000,917000,-453000,40037000,40037000,-12532000,27505000,27505000,27505000,27505000,385235000,385235000,612785000,612785000,328453000,191020000,191020000,1517493000,1266731000,2772580000,-1505849000,645312000,426872000,218440000,1912043000,3429536000,615956000,118277000,497679000,615956000,795836000,439010000,439010000,1234846000,1850802000,1578734000,1578734000,3429536000,27505000,57727000,28820000,76741000,190793000,-60762000,-52103000,20830000,-29170000,109520000,109520000,114080000,103483000,795836000,131994000,0.14697,0.06337,0.03809,0.01742,0.00802,4.79891,2.46364,1.17233,0.23205,0.28117,0.27997,7.38143,16.13884,1.34933,0.00978,0.04691,3.96781,8.97371
"25","2016_Q2",31.403125,"Up",608344000,-510864000,97480000,-49381000,-49381000,48099000,-11559000,-6097000,526000,-5988000,36540000,36540000,-11437000,25103000,25103000,25103000,25103000,370853000,370853000,577213000,577213000,352122000,126307000,126307000,1426495000,1238139000,2791711000,-1553572000,699539000,443121000,256418000,1937678000,3364173000,523212000,76857000,435475000,523212000,800560000,428753000,428753000,1229313000,1752525000,1611648000,1611648000,3364173000,25103000,59781000,14517000,-46763000,52638000,-19625000,-37477000,-28494000,-28494000,-13333000,-13333000,-14382000,107880000,800560000,52929000,0.16024,0.07907,0.04126,0.01558,0.00746,2.10847,2.72642,1.08741,0.23797,0.25628,0.25541,6.21063,16.45345,0.54036,0.00884,0.01863,3.98319,8.9338
