"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",15.4918032786885,"Down",495095000,-462060000,33035000,-53730000,-53730000,-20695000,-10818000,-7909000,-519000,-2390000,-31513000,-107962000,43823000,-64139000,-64139000,-64139000,-64139000,354259000,354259000,368885000,368885000,194507000,327238000,327238000,1244889000,964670000,2837587000,-1872917000,615439000,413121000,202318000,1580109000,2824998000,409569000,102636000,306933000,494741000,786580000,128379000,128379000,914959000,1409700000,1409235000,1415298000,2824998000,-64139000,128916000,-18617000,-45249000,911000,-24206000,-16398000,-295695000,121000,-15366000,-15366000,-12891000,108221000,786580000,-5057000,0.06672,-0.0418,-0.12955,-0.04532,-0.0227,0.07884,2.51624,0.99604,0.27844,-0.65091,-0.65091,5.02446,14.30158,-0.05132,-0.02752,-0.00217,3.9948,-20.89012
"37","2019_Q2",17.7003174603175,"Up",493886000,-466299000,27587000,-49301000,-49301000,-21714000,-6265000,-6820000,-164000,719000,-27979000,-27979000,3152000,-24827000,-24827000,-24827000,-24827000,341763000,341763000,381455000,381455000,203010000,294164000,294164000,1220392000,955739000,2857688000,-1901949000,795387000,421572000,373815000,1751126000,2971518000,421643000,111741000,309902000,500311000,790969000,288738000,288738000,1079707000,1580018000,1385437000,1391500000,2971518000,-24827000,52486000,433000,-8968000,19124000,-29914000,-29914000,-2338000,-2338000,-13128000,-13128000,-12496000,30772000,790969000,-11262000,0.05586,-0.04397,-0.05027,-0.01784,-0.00835,0.45362,2.43927,1.13548,0.26618,-0.2515,-0.2515,5.0032,14.03486,-0.11409,-0.01005,-0.00456,14.59788,-20.68739
"38","2019_Q3",15.151875,"Down",495781000,-453798000,41983000,-51618000,-51618000,-9635000,-8344000,-8351000,0,7000.00000000093,-17979000,-17979000,-17203000,-35182000,-35182000,-35182000,-35182000,355838000,355838000,374173000,374173000,206671000,258511000,258511000,1195193000,947787000,2879197000,-1931410000,795655000,422312000,373343000,1743442000,2938635000,417518000,105171000,312347000,491044000,795639000,292919000,292919000,1088558000,1579602000,1352970000,1359033000,2938635000,-35182000,50304000,2129000.00000001,36334000,53585000,-39269000,-38205000,-344000,-344000,15036000,15036000,14075000,40669000,795639000,54937000,0.08468,-0.01943,-0.07096,-0.02589,-0.01197,-1.56151,2.43398,1.1623,0.27075,-0.35563,-0.35563,5.01143,13.67603,0.55531,-0.01437,0.02245,10.81416,-45.64619
"39","2019_Q4",13.90953125,"Down",497647000,-448586000,49061000,-54255000,-54255000,-5194000,-12399000,-9293000,554000,-3660000,-17593000,-17593000,-7930000,-25523000,-25523000,-25523000,-25523000,340323000,340323000,376027000,376027000,198749000,252098000,252098000,1167197000,946381000,2904879000,-1958498000,772114000,410449000,361665000,1718495000,2885692000,415453000,101634000,313819000,510414000,799855000,272344000,272344000,1072199000,1582613000,1297016000,1303079000,2885692000,-25523000,50567000,-11841000,26255000,39458000,-53258000,-51927000,362000,362000,-12107000,-12107000,-15515000,45373000,799855000,26300000,0.09859,-0.01044,-0.05129,-0.01959,-0.00884,-1.03044,2.28677,1.21452,0.27718,-0.25799,-0.25799,5.03029,13.11044,0.26584,-0.01075,0.01107,10.12787,-88.47362
"40","2020_Q1",10.4383870967742,"Down",560810000,-581197000,-20387000,-59717000,-59717000,-80104000,-13100000,-10354000,941000,-3687000,-93204000,-267270000,4358000,-262912000,-262912000,-262912000,-262912000,373655000,373655000,421360000,421360000,174744000,274677000,274677000,1244436000,776532000,2622185000,-1845653000,719695000,405079000,314616000,1496227000,2740663000,483614000,145933000,337681000,600956000,796516000,267782000,267782000,1064298000,1665254000,1069346000,1075409000,2740663000,-262912000,110070000,190601000,7643000.00000001,45402000,-15734000,-14741000,21000,21000,30682000,30682000,33332000,29966000,796516000,17517000,-0.03635,-0.14284,-0.46881,-0.24448,-0.09593,-0.06663,2.07076,1.54848,0.29063,-2.65756,-2.65756,5.66876,10.80912,0.17706,-0.12287,0.00819,14.11136,-5.2789
"41","2020_Q2",5.27444444444444,"Down",536668000,-489916000,46752000,-55741000,-55741000,-8989000,-17116000,-11185000,1197000,-7128000,-26105000,-397873000,30275000,-367598000,-367598000,-367598000,-367598000,307460000,307460000,372966000,372966000,166360000,305120000,305120000,1151906000,671828000,2450116000,-1778288000,341363000,73987000,267376000,1013191000,2165097000,423804000,124898000,298906000,485733000,806396000,236309000,236309000,1042705000,1528438000,630596000,636659000,2165097000,-367598000,356196000,67675000,-88423000,-32150000,-27111000,-26706000,-1668000,-1668000,-60524000,-60524000,-66195000,347207000,806396000,201398000,0.08712,-0.01675,-0.68496,-0.57739,-0.16978,-0.54788,2.37148,2.40072,0.37245,-3.71105,-3.71105,5.41788,6.36612,2.03319,-0.21889,0.11993,1.437,-55.50517
"42","2020_Q3",5.27609375,"Up",427216000,-384679000,42537000,-47719000,-47719000,-5181999.99999999,-14086000,-11100000,674000,-3660000,-19268000,-19268000,-5520000,-24788000,-24788000,-24788000,-24788000,333509000,333509000,353247000,353247000,160447000,284705000,284705000,1131908000,647864000,2424921000,-1777057000,349012000,74946000,274066000,996876000,2128784000,400681000,89411000,311270000,452444000,806006000,244925000,244925000,1050931000,1503375000,619346000,625409000,2128784000,-24788000,38697999.9999999,6835000.00000001,16773000,37518000,-9412000,-8611000,-279000,-279000,28628000,28628000,26049000,33516000,806006000,46397000,0.09957,-0.01213,-0.05802,-0.03963,-0.01164,-1.87175,2.50176,2.40383,0.37862,-0.2497,-0.2497,4.30345,6.23882,0.46737,-0.01479,0.02768,14.09765,-91.18043
"43","2020_Q4",5.8375,"Up",439743000,-410092000,29651000,-49396000,-49396000,-19745000,-11541000,-8836000,131000,-2836000,-31286000,-72161000,-7204000,-79365000,-79365000,-79365000,-79365000,358777000,358777000,331617000,331617000,148527000,286899000,286899000,1125820000,609426000,2418523000,-1809097000,302454000,34559000,267895000,911880000,2037700000,385609000,96481000,289128000,431175000,805631000,241475000,241475000,1047106000,1478281000,553356000,559419000,2037700000,-79365000,87551000,2347000,16462000,26995000,-7565000,-3397000,222000,222000,23820000,23820000,25268000,67806000,805631000,83907000,0.06743,-0.0449,-0.18048,-0.14187,-0.03895,-1.05723,2.61105,2.64253,0.39536,-0.79925,-0.79925,4.42847,5.57262,0.84499,-0.0494,0.05223,6.59018,-22.63125
"44","2021_Q1",11.0918032786885,"Up",424262000,-379261000,45001000,-42839000,-42839000,2162000,-10075000,-9696000,266000,-645000,-7913000,-9594999.99999997,-15405000,-2.5e+07,-2.5e+07,-2.5e+07,-2.5e+07,452016000,452016000,296214000,296214000,141241000,280792000,280792000,1170263000,591107000,2456602000,-1865495000,284472000,35016000,249456000,875579000,2045842000,387070000,94207000,292863000,437116000,805251000,245318000,245318000,1050569000,1487685000,552094000,558157000,2045842000,-2.5e+07,46450000,11562000,71272000,104284000,-14709000,-13876000,26000,26000.0000000002,90434000,90434000,93239000,48612000,805251000,120580000,0.10607,0.0051,-0.05893,-0.04479,-0.01222,-4.8232,2.67724,2.66535,0.3936,-0.25175,-0.25175,4.27231,5.55958,1.21424,-0.01554,0.07495,7.26642,163.38344
"45","2021_Q2",13.9422222222222,"Up",437553000,-380896000,56657000,-42874000,-42874000,13783000,-10807000,-9888000,534000,-1453000,2976000,2976000,-12341000,-9365000,-9365000,-9365000,-9365000,442743000,442743000,284480000,284480000,130612000,303682000,303682000,1161517000,561650000,2448726000,-1887076000,280357000,35065000,245292000,842007000,2003524000,368837000,92515000,276322000,416743000,804888000,233548000,233548000,1038436000,1455179000,542282000,548345000,2003524000,-9365000,36471000,-1035000,-27794000,-1723000,-8563000,-5007000,-1806000,-1806000,-8536000,-8536000,-9273000,50254000,804888000,26238000,0.12949,0.0315,-0.0214,-0.01708,-0.00467,-2.80171,2.78713,2.65377,0.40174,-0.09416,-0.09416,4.39924,5.45221,0.2638,-0.0059,0.01654,7.20629,26.27476
"46","2021_Q3",13.03625,"Down",498199000,-429802000,68397000,-45578000,-45578000,22819000,-10623000,-9046000,378000,-1955000,12196000,12196000,-5955000,6241000,6241000,6241000,6241000,456087000,456087000,334122000,334122000,129133000,309534000,309534000,1228876000,537909000,2454678000,-1916769000,294764000,35042000,259722000,832673000,2061549000,417535000,106778000,310757000,479523000,773423000,245871000,245871000,1019294000,1498817000,556669000,562732000,2061549000,6241000,35225000,2144000,6936000.00000003,50546000,-10849000,-7150000,22000,-30478000,12918000,12918000,13344000,58044000,773423000,60086000,0.13729,0.0458,0.01253,0.01109,0.00303,9.62762,2.56271,2.66347,0.37517,0.06275,0.06275,5.00899,5.59686,0.60412,0.00394,0.03798,5.46716,13.90666
"47","2021_Q4",12.95625,"Down",466814000,-406966000,59848000,-44079000,-44079000,15769000,-9579000,-8954000,189000,-814000,6190000,6190000,-13560000,-7370000,-7370000,-7370000,-7370000,447725000,447725000,293126000,293126000,128869000,315415000,315415000,1185135000,510728000,2446348000,-1935620000,286109000,34936000,251173000,796837000,1981972000,400492000,97836000,302656000,451246000,739980000,241649000,241649000,981629000,1432875000,543034000,549097000,1981972000,-7370000,34241000,2731000,6894000,36496000,-12275000,-10779000,57000,-32453000,-6736000,-6736000,-8362000,50010000,739980000,58189000,0.12821,0.03378,-0.01579,-0.01342,-0.00372,-7.89539,2.62636,2.60951,0.37336,-0.07394,-0.07394,4.68336,5.44805,0.58379,-0.00481,0.03801,5.84393,18.53352
"48","2022_Q1",14.3887096774194,"Up",466709000,-387546000,79163000,-91735000,-91735000,-12572000,-14499000,-8445000,-507000,-5547000,-27071000,-27071000,-11742000,-38813000,-38813000,-38813000,-38813000,538114000,538114000,262960000,262960000,153682000,233247000,233247000,1188003000,489596000,2452421000,-1962825000,285260000,34908000,250352000,774856000,1962859000,412986000,122327000,290659000,501161000,702067000,248607000,248607000,950674000,1451835000,504961000,511024000,1962859000,-38813000,33786000,31392000,113630000,139995000,-11411000,-11221000,45000,-36945000,91829000,91829000,90389000,21214000,702067000,135175000,0.16962,-0.02694,-0.08316,-0.07595,-0.01977,-3.48272,2.3705,2.84103,0.35768,-0.38747,-0.38747,4.65918,5.04105,1.34946,-0.02655,0.09248,7.72853,-13.04112
"49","2022_Q2",12.3,"Down",446159000,-400679000,45480000,-46519000,-46519000,-1039000,-7909000,-8647000,294000,444000,-8948000,-8948000,-10262000,-19210000,-19210000,-19210000,-19210000,438019000,438019000,303436000,303436000,162261000,239005000,239005000,1142721000,480259000,2476639000,-1996380000,279017000,34940000,244077000,759276000,1901997000,380666000,108015000,272651000,465435000,701808000,232699000,232699000,934507000,1399942000,495992000,502055000,1901997000,-19210000,32019000,5951000,-99261000,-80501000,-19283000,-19283000,-2202000,-2202000,-101986000,-101986000,-100095000,30980000,701808000,-77302000,0.10194,-0.00233,-0.04306,-0.03826,-0.0101,4.02405,2.45517,2.78842,0.36898,-0.19248,-0.19248,4.47049,4.96981,-0.77456,-0.01337,-0.05381,8.51482,-253.88739
"50","2022_Q3",9.40375,"Down",524031000,-447990000,76041000,-53191000,-53191000,22850000,-7951000,-8852000,318000,583000,14899000,14899000,-11179000,3720000,3720000,3720000,3720000,368412000,368412000,344533000,344533000,169245000,265574000,265574000,1147764000,455304000,2423350000,-1968046000,269355000,34382000,234973000,724659000,1872423000,416176000,129594000,286582000,472739000,701539000,221417000,221417000,922956000,1395695000,470665000,476728000,1872423000,3720000,30860000,-8228000,-70333000,-43981000,-12946000,-15812000,140000,140000,-59653000,-59653000,-69607000,53710000,701539000,-18390000,0.14511,0.0436,0.0071,0.0078,0.00199,-4.94355,2.4279,2.92765,0.37467,0.03711,0.03668,5.22693,4.69463,-0.18343,0.00266,-0.01314,6.20233,14.57886
