"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q4",1.01953125,"Down",108026,-539697,-431671,-2422187,-1579259,-842928,-2853858,-584,-2854442,-2854442,0,-2854442,-2854442,-2854442,-2854442,-2854442,281313,332968,-30735,-2270896,-28816,-28816,0,0,0,0,-2299712,-2299712,-2299712,-2572545,0,-3.99599,-26.41825,-26.42366,-0.03974,-0.03974,0.0015
"2","2011_Q1",1.26548387096774,"Up",243918,-364853,-120935,-2311490,-1726202,-585288,-2432425,-6783,-2439208,-2726657,0,-2726657,-2726657,-2726657,-2726657,-2726657,273648,721223,-254250,-1986036,-2433.99999999997,-2434,2389520,2389520,0,2900900,912430,912430,912430,-2158777,403432,-0.4958,-9.97231,-11.17858,-0.03797,-0.03797,0.0034
"3","2011_Q2",1.02365079365079,"Down",1043487,-710117,333370,-3589716,-2627492,-962224,-3256346,-91216,-3347562,-3347562,0,-3347562,-3347562,-3347562,-3347562,-3347562,450157,560851,546710,-1789844,-111927,-428344,1212175,1212175,-15376,1897799,-320389,-320389,-320389,-2806189,0,0.31948,-3.12064,-3.20805,-0.04661,-0.04661,0.01453
"4","2011_Q3",1.149375,"Up",1929399,-844941,1084458,-3500895,-2708943,-791952,-2416437,46449,-2369988,-2503505,-8.88178419700125e-16,-2503505,-2503505,-2503505,-2503505,-2503505,449659,604343,-680173,-2129676,-31500,-181500,2420549,2420549,-15555.9999999999,2904993,593817,593817,593817,-1966778,2207790,0.56207,-1.25243,-1.29756,-0.03486,-0.03486,0.02686
"5","2011_Q4",1.1084126984127,"Down",2152094,-886510,1265584,-2917941,-2356396,-561545,-1652357,-32678,-1685035,-1765724,0,-1765724,-1765724,-1765724,-1765724,-1765724,432966,399028,-155833,-1089563,-274473,-274473,406617,406617,-19739,386878,-977158,-977158,-977158,-1219391,2309760,0.58807,-0.76779,-0.82047,-0.02394,-0.02394,0.02917
"6","2012_Q1",1.22016129032258,"Up",2635466,-916341,1719125,-4149198,-2152698,-660592,-2430073,-40373,-2470446,-2577195,-1.4210854715202e-14,-2577195,-2577195,-2577195,-2577195,-2577195,449628,415816,56063,-1655688,-68191,-68191,-3743588,-3743588,3942601,5199013,3475134,3475134,3475134,-1980445,5169373,0.6523,-0.92207,-0.97789,-0.03557,-0.03557,0.03638
"7","2012_Q2",1.3368253968254,"Up",3705808,-958855,2746953,-3378318,-2637269,-407072,-631365,-151810,-783175,-1093652,0,-1093652,-1093652,-1093652,-1093652,-1093652,444365,811462,-1450114,-1287939,-46794,-46794,171000,171000,0,243673,-1091060,-1091060,-1091060,-187000,4798160,0.74126,-0.17037,-0.29512,-0.01461,-0.01461,0.0495
"8","2012_Q3",2.54047619047619,"Up",4884256,-1114926,3769330,-3886846,-3049783,-503086,-117516,-153804,-271320,-744069,1.13686837721616e-13,-744069,-744069,-744069,-744069,-744069,455080,1057964,-1079847,-310872,-191704,-191704,144295,144295,-9255.99999999953,136004,-366572,-366572,-366572,337564,5285712,0.77173,-0.0240600000000001,-0.15234,-0.00931,-0.00931,0.06109
"9","2012_Q4",3.08032258064516,"Up",7954046,-1425336,6528710,-7044940,-5756559,-838689,-516230,-145582,-661812,-4219371,0,-4219371,-4219371,-4219371,-4219371,-4219371,572626,4227028,-1442585,-862302,-163366,-163366,569739,569739,-2314,5992200,4966532,4966532,4966532,56396,4667386,0.8208,-0.0649,-0.53047,-0.0433,-0.04994,0.08162
"10","2013_Q1",4.64716666666667,"Up",10508890,-1688883,8820007,-9545896,-8147389,-1136153,-725889,-141804,-867693,-1605908,1.81898940354586e-12,-1605908,-1605908,-1605908,-1605908,-1605908,372929,1521546,-1159454,-870887,-235136,-235136,167966,167966,-5430.00000000003,238123,-867900,-867900,-867900,-352960,4012442,0.83929,-0.06907,-0.15281,-0.02161,-0.0184,0.14142
"11","2013_Q2",6.454375,"Up",11556493,-1905020,9651473,-9878363,-8369010,-1246757,-226890,-14804,-241694,-1570133,-50275,-1620408,-1620408,-1620408,-1620408,-1620408,361347,2313231,-3152356,-2098186,-73534,-73534,232531,232531,-14813,1142342,-1029378,-1029378,-1029378,134457,0,0.83516,-0.01963,-0.14022,-0.0174,-0.0174,0.12409
"12","2013_Q3",5.54609375,"Down",13514742,-2198482,11316260,-12060477,-10868374,-924465,-744217,-13172,-757389,-757389,-7.27595761418343e-12,-757389,-757389,-757389,-757389,-757389,406821,1502447,-1907241,-755362,-1322091,-1322091,310310,310310,-7381,545929,-1531524,-1531524,-1531524,-337396,-4.65661287307739e-10,0.83733,-0.05507,-0.05604,-0.00789,-0.00789,0.1408
"13","2013_Q4",6.1234375,"Up",16115708,-2113438,14002270,-14258161,-12711223,-1287363,-255891,-4527,-260418,-260418,-46700,-307118,-307118,-307118,-307118,-307118,444165,1667766,-75928,1728885,-1139348,-1139348,973739,973739,-7603,1278636,1868173,1868173,1868173,188274,0,0.86886,-0.01588,-0.01906,-0.00317,-0.00316,0.16629
"14","2014_Q1",7.34950819672131,"Up",17994057,-3111060,14882997,-15926999,-14278393,-1384415,-1044002,-12497,-1056499,-1424060,-3025,-1427085,-1427085,-1427085,-1427085,-1427085,478667,2259556,-470475,840663,-491027,-491027,37066420,37066420,-27203,37667093,38016729,38016729,38016729,-565335,-2.91038304567337e-11,0.82711,-0.05802,-0.07931,-0.0144,-0.01444,0.18156
"15","2014_Q2",5.85396825396825,"Down",19559000,-2977000,16582000,-17473000,-15852000,-1390000,-891000,-21000,-912000,-912000,-10000,-922000,-922000,-922000,-922000,-922000,494000,2372000,-3556000,-1612000,-634000,-634000,445000,445000,-33000,1187000,-1059000,-1059000,-1059000,-397000,0,0.84779,-0.04555,-0.04714,-0.00875,-0.00875,0.18564
"16","2014_Q3",6.97078125,"Up",25573000,-2740000,22833000,-23225000,-21193000,-1800000,-392000,-8000,-4e+05,-4e+05,10000,-390000,-390000,-390000,-390000,-390000,520000,2767000,-1717000,1180000,-8e+05,-8e+05,330000,330000.000000007,-4592000,-4154000,-3774000,-3774000,-3774000,128000,-1.81898940354586e-12,0.89286,-0.01533,-0.01525,-0.00369,-0.00369,0.24181
"17","2014_Q4",9.8778125,"Up",33518000,-3348000,30170000,-26439000,-24193000,-2014000,3731000,-10000,3721000,3721000,-22000,3699000,3699000,3699000,3699000,3699000,545000,3022000,1682000,8948000,-873000,-873000,722000,722000,-776000,-68000,8007000,8007000,8007000,4276000,0,0.90011,0.11131,0.11036,0.03498,0.03279,0.31693
"18","2015_Q1",9.35934426229508,"Down",39573000,-3600000,35973000,-31321000,-29242000,-1846000,4652000,-9000,4643000,4643000,-810000,3833000,3833000,3833000,3833000,3833000,566000,3292000,595000,8286000,-9845000,-9845000,973000,973000,-328000,889000,-670000.000000002,-670000.000000002,-670000.000000002,5218000,0,0.90903,0.11755,0.09686,0.03606,0.02966,0.37228
"19","2015_Q2",10.2895238095238,"Up",40767000,-5148000,35619000,-31372000,-29308000,-1831000,4247000,-14000,4233000,4233000,-146000,4087000,4087000,4087000,4087000,4087000,587000,3933000,-4397000,4210000,-1048000,-1048000,1276000,1276000,-12324000,-11048000,-7886000,-7886000,-7886000,4834000,0,0.87372,0.10418,0.10025,0.03862,0.03596,0.38525
"20","2015_Q3",10.55578125,"Up",45679000,-5089000,40590000,-34938000,-32652000,-2054000,5652000,1000,5653000,5653000,-223000,5430000,5430000,5430000,5430000,5430000,654000,4253000,-7404000,2933000,-117000.000000001,-117000.000000001,1465000,1465000,-4376000,-2911000,-95000.0000000009,-95000.0000000009,-95000.0000000009,6306000,0,0.88859,0.12373,0.11887,0.05112,0.04755,0.43008
"21","2015_Q4",8.66484375,"Down",49015000,-4980000,44035000,-37321000,-34900000,-2187000,6714000,-5000,6709000,6709000,-158000,6551000,6551000,6551000,6551000,6551000,705000,4378000,-4326000,7308000,-1105000,-1105000,724000,724000,-4455000,-3731000,2472000,2472000,2472000,7419000,0,0.8984,0.13698,0.13365,0.06151,0.05719,0.46019
"22","2016_Q1",8.31,"Down",51835000,-4985000,46850000,-39099000,-36524000,-2341000,7751000,-68000,7683000,7683000,5695000,13378000,13378000,13378000,13378000,13378000,786000,-2707000,-7101000,4356000,1592000,1592000,1164000,1164000,-19745000,-18535000,-12587000,-12587000,-12587000,8537000,0,0.90383,0.14953,0.25809,0.1272,0.1193,0.49285
