"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.0115873015873,"Up",1.308e+09,-5.33e+08,-5.33e+08,7.75e+08,-2.64e+08,-1.21e+08,-5.6e+07,-6.5e+07,-1.43e+08,5.11e+08,0,0,5.11e+08,5.11e+08,-1.3e+08,3.81e+08,3.81e+08,3.81e+08,3.81e+08,3.342e+09,2.695e+09,1.34e+08,1.34e+08,8.16e+08,8.16e+08,4.486e+09,1.31e+08,8.226e+09,1.032e+09,7.15e+09,4.4e+07,8.38e+09,1.2866e+10,7.7e+08,1.47e+08,6.23e+08,7.72e+08,1.542e+09,4.56e+08,2.54e+08,2.02e+08,4.56e+08,1.998e+09,1.2234e+10,1.2234e+10,2e+07,-4.4e+07,1.0868e+10,1.0868e+10,1.2866e+10,3.81e+08,3.3e+07,2.18e+08,4.4e+07,9e+07,8.4e+07,-4.05e+08,5.93e+08,-1.46e+08,-8.92e+08,2.27e+08,-1.2e+07,-1.2e+07,-1.7e+08,-1.84e+08,-9.1e+07,1.6e+07,4e+06,-8.7e+07,-4.4e+07,-4.4e+07,-2.9e+07,-7.3e+07,5.44e+08,0,2.57e+08,0.59251,0.39067,0.29128,0.03506,0.02961,0.67454,2.90921,0.18384,0,0.30529,0.30142,1.04808,8.70833,0.20593,40.3995081482917,0.03365,0.0227,-6.14338,-6.54012
"2","2010_Q3",10.00671875,"Down",9.67e+08,-3.7e+08,-3.7e+08,5.97e+08,-2.97e+08,-2.03e+08,-1.25e+08,-7.8e+07,-9.4e+07,3e+08,999999.999999996,999999.999999996,3.01e+08,3.01e+08,-8.2e+07,2.19e+08,2.19e+08,2.19e+08,2.19e+08,2.846e+09,2.214e+09,1.9e+08,1.9e+08,7.75e+08,7.75e+08,3.968e+09,1.6e+08,8.242e+09,1.02e+09,7.147e+09,7.5e+07,8.425e+09,1.2393e+10,6.08e+08,1.49e+08,4.59e+08,4.82e+08,1.09e+09,4.45e+08,2.49e+08,1.96e+08,4.45e+08,1.535e+09,1.226e+10,1.226e+10,2.39e+08,-5.7e+07,1.0858e+10,1.0858e+10,1.2393e+10,2.19e+08,2.6e+07,6e+07,1.7e+07,-9000000.00000003,5.2e+07,-3.31e+08,-6.8e+07,2e+06,-3.03e+08,-2.6e+07,-2.7e+07,-2.7e+07,-3e+07,-4.3e+07,-2.28e+08,1.4e+07,2e+06,-4.13e+08,-4.82e+08,-4.82e+08,999999.999999985,-4.81e+08,3.26e+08,0,5e+07,0.61737,0.31024,0.22647,0.02017,0.01767,0.228310000000001,3.64037,0.14137,0,0.17776,0.17548,0.7849,8.81331,0.04058,21.5464043457556,0.03592,0.00442,-8.73006,-9.48667
"3","2010_Q4",10.528125,"Up",7.44e+08,-3.46e+08,-3.46e+08,3.98e+08,-3.44e+08,-2.2e+08,-1.1e+08,-1.1e+08,-1.24e+08,5.4e+07,1.4e+07,1.4e+07,6.8e+07,6.8e+07,-1.7e+07,5.1e+07,5.1e+07,5.1e+07,5.1e+07,2.849e+09,2.123e+09,2.46e+08,2.46e+08,7.95e+08,7.95e+08,4.148e+09,1.69e+08,8.23e+09,9.99e+08,7.144e+09,8.7e+07,8.422e+09,1.257e+10,7.71e+08,2.38e+08,5.33e+08,6.22e+08,1.393e+09,4.31e+08,2.31e+08,2e+08,4.31e+08,1.824e+09,1.2313e+10,1.2313e+10,2.9e+08,-9e+06,1.0746e+10,1.0746e+10,1.257e+10,5.1e+07,3.8e+07,3.8e+07,3.3e+07,-3e+07,3.5e+07,5.5e+07,-5.4e+07,8.4e+07,1.22e+08,1.82e+08,-3.7e+07,-3.7e+07,-8e+06,-9.6e+07,-2.4e+08,2.4e+07,5e+06,-2.35e+08,-1.49e+08,-1.49e+08,5.8e+07,-9.1e+07,9.2e+07,0,1.27e+08,0.53495,0.07258,0.06855,0.00475,0.00406,2.4902,2.97775,0.16974,0,0.04208,0.04156,0.61386,8.86634,0.10479,10.3299016296583,0.00456,0.01136,-30.96739,-52.75926
"4","2011_Q1",10.1762903225806,"Down",1.428e+09,-8.86e+08,-8.86e+08,5.42e+08,-6.12e+08,-3.47e+08,-2.25e+08,-1.22e+08,-2.65e+08,-7e+07,8e+06,8e+06,-6.2e+07,-3.88e+08,1.55e+08,-2.33e+08,-2.33e+08,-2.33e+08,-2.33e+08,3.508e+09,2.812e+09,6.73e+08,6.73e+08,1.139e+09,1.139e+09,5.432e+09,1.69e+08,7.823e+09,5.93e+08,7.132e+09,9.8e+07,8.015e+09,1.3447e+10,1.234e+09,3.63e+08,8.71e+08,1.726e+09,2.96e+09,2.84e+08,1.2e+08,1.64e+08,2.84e+08,3.244e+09,1.2353e+10,1.2353e+10,5.7e+07,-1.3e+07,1.0203e+10,1.0203e+10,1.3447e+10,-2.33e+08,1.01e+08,1.61e+08,3.7e+07,-3.29e+08,4.53e+08,9.64e+08,-4.28e+08,1.3e+08,1.119e+09,9.93e+08,-2.1e+07,-2.1e+07,-7.3e+07,1.1e+07,-3.19e+08,2.7e+07,3e+06,-3.18e+08,6.86e+08,6.86e+08,3000000.00000001,6.89e+08,3.1e+07,1.13686837721616e-13,8.19e+08,0.37955,-0.04902,-0.16317,-0.02284,-0.01733,-3.51502,1.83514,0.31795,0,-0.19482,-0.19336,1.19398,8.53094,0.68478,5,-0.02203,0.0781,-113.16129,50.11429
"5","2011_Q2",10.3931746031746,"Up",1.449e+09,-4.52e+08,-4.52e+08,9.97e+08,-3.04e+08,-1.62e+08,-6e+07,-1.02e+08,-1.42e+08,6.93e+08,2e+06,2e+06,6.95e+08,6.76e+08,-1.73e+08,5.03e+08,5.03e+08,5.03e+08,5.03e+08,3.359e+09,2.658e+09,9.5e+07,9.5e+07,7.92e+08,7.92e+08,4.349e+09,1.65e+08,7.838e+09,5.85e+08,7.134e+09,1.19e+08,8.028e+09,1.2377e+10,8.48e+08,1.72e+08,6.76e+08,1.043e+09,1.891e+09,2.49e+08,8.3e+07,1.66e+08,2.49e+08,2.14e+09,1.2382e+10,1.2382e+10,3.66e+08,2.6e+07,1.0237e+10,1.0237e+10,1.2377e+10,5.03e+08,2.6e+07,2.41e+08,2.3e+07,1.5e+08,6.8e+07,-6.36e+08,5.54e+08,-1.99e+08,-1.002e+09,1.34e+08,-4e+06,-4e+06,-7e+06,-1.4e+07,-3.38e+08,5e+06,1e+06,-3.37e+08,-2.17e+08,-2.17e+08,6.3e+07,-1.54e+08,7.19e+08,0,2.52e+08,0.68806,0.47826,0.34714,0.04914,0.04064,0.50099,2.29984,0.20905,0,0.42882,0.42555,1.23529,8.7272,0.21483,3.80669945678056,0.04797,0.02403,-4.67177,-4.84704
"6","2011_Q3",10.6071875,"Up",1.146e+09,-3.44e+08,-3.44e+08,8.02e+08,-3.32e+08,-2.16e+08,-9e+07,-1.26e+08,-1.16e+08,4.7e+08,3e+06,3e+06,4.73e+08,4.7e+08,-1.35e+08,3.35e+08,3.35e+08,3.35e+08,3.35e+08,2.944e+09,2.334e+09,1.4e+08,1.4e+08,7.77e+08,7.77e+08,3.954e+09,1.63e+08,7.83e+09,5.77e+08,7.13e+09,1.23e+08,8.018e+09,1.1972e+10,6.45e+08,1.56e+08,4.89e+08,6.01e+08,1.246e+09,2.61e+08,9.7e+07,1.64e+08,2.61e+08,1.507e+09,9.735e+09,9.735e+09,7.01e+08,2.9e+07,1.0465e+10,1.0465e+10,1.1972e+10,3.35e+08,2.6e+07,4.1e+07,2e+07,-3.1e+07,52000000.0000001,-4.8e+08,-3.6e+07,-1.7e+07,-4.37e+08,-7.8e+07,-1.4e+07,-1.4e+07,8.1e+07,7.7e+07,-1.37e+08,2.1e+07,3e+06,-3.26e+08,-3.27e+08,-3.27e+08,3000000.00000001,-3.24e+08,4.96e+08,-1.81898940354586e-12,1.37e+08,0.69983,0.41012,0.29232,0.03201,0.02798,0.408959999999999,3.17335,0.144,-5.29395592033938e-23,0.2936,0.2913,1.00438,9.17178,0.12007,5,0.04913,0.01277,-5.93548,-6.26383
"7","2011_Q4",11.4661904761905,"Up",7.53e+08,-2.37e+08,-2.37e+08,5.16e+08,-3.51e+08,-2.19e+08,-1.14e+08,-1.05e+08,-1.32e+08,1.65e+08,2e+06,2e+06,1.67e+08,1.65e+08,-1.7e+07,1.48e+08,1.48e+08,1.48e+08,1.48e+08,2.901e+09,2.469e+09,1.39e+08,1.39e+08,8.35e+08,8.35e+08,4.082e+09,1.67e+08,7.839e+09,5.71e+08,7.126e+09,1.42e+08,8.031e+09,1.2113e+10,7.92e+08,2.5e+08,5.42e+08,4.87e+08,1.279e+09,2.63e+08,9.5e+07,1.68e+08,2.63e+08,1.542e+09,9.751e+09,9.751e+09,8.49e+08,-2.9e+07,1.0571e+10,1.0571e+10,1.2113e+10,1.48e+08,2.5e+07,3.4e+07,1.8e+07,5e+06,1.1e+07,-1.61e+08,-2e+06,9.9e+07,-1.41e+08,4.6e+07,-2.9e+07,-2.9e+07,2.04e+08,1.47e+08,-1e+07,1.3e+07,1.7e+07,5e+06,1.98e+08,1.98e+08,-6.3e+07,1.35e+08,1.9e+08,0,1.7e+07,0.68526,0.21912,0.19655,0.014,0.01222,0.11486,3.19156,0.14587,0,0.12982,0.12892,0.66053,9.27281,0.01491,7,0.01385,0.00157,-15.26842,-17.58182
"8","2012_Q1",11.2182258064516,"Down",1.407e+09,-7.39e+08,-7.39e+08,6.68e+08,-6.43e+08,-4.04e+08,-2.81e+08,-1.23e+08,-2.39e+08,2.5e+07,-4e+06,-4e+06,2.1e+07,2e+07,7.9e+07,9.9e+07,9.9e+07,9.9e+07,9.9e+07,3.525e+09,3.165e+09,6.49e+08,6.49e+08,1.062e+09,1.062e+09,5.38e+09,1.63e+08,7.718e+09,5.21e+08,7.111e+09,8.6e+07,7.897e+09,1.3277e+10,1.084e+09,3.9e+08,6.94e+08,1.472e+09,2.556e+09,2.29e+08,5.5e+07,1.74e+08,2.29e+08,2.785e+09,9.616e+09,9.616e+09,9.48e+08,-7.2e+07,1.0492e+10,1.0492e+10,1.3277e+10,9.9e+07,7.1e+07,1.49e+08,4.2e+07,-4.9e+07,1.56e+08,5.31e+08,-5.03e+08,1.48e+08,8.32e+08,8.5e+08,-2.5e+07,-2.5e+07,5.5e+07,5.6e+07,-1.38e+08,3e+07,-1.2e+07,-1.5e+08,7.56e+08,7.56e+08,-6e+07,6.96e+08,9.6e+07,1.45519152283669e-11,5.23e+08,0.47477,0.01777,0.07036,0.00944,0.00746,5.28283,2.10485,0.26544,0,0.08699,0.08654,1.23638,9.21968,0.45958,8,0.00923,0.04878,-36.71875,-141
"9","2012_Q2",11.267619047619,"Up",1.172e+09,-3.64e+08,-3.64e+08,8.08e+08,-2.95e+08,-1.81e+08,-7.9e+07,-1.02e+08,-1.14e+08,5.13e+08,1e+06,1e+06,5.14e+08,5.14e+08,-1.3e+08,3.84e+08,3.84e+08,3.84e+08,3.84e+08,3.476e+09,3.049e+09,1.03e+08,1.03e+08,8.41e+08,8.41e+08,4.566e+09,1.54e+08,7.745e+09,5.18e+08,7.109e+09,1.18e+08,7.916e+09,1.2482e+10,8.57e+08,1.81e+08,6.76e+08,9.17e+08,1.774e+09,2.22e+08,5.7e+07,1.65e+08,2.22e+08,1.996e+09,9.391e+09,9.391e+09,1.128e+09,-3.3e+07,1.0486e+10,1.0486e+10,1.2482e+10,3.84e+08,2.3e+07,1.14e+08,2.1e+07,6.5e+07,2.8e+07,-3.68e+08,5.53e+08,-2.15e+08,-7.06e+08,1.53e+08,-9e+06,-9e+06,-7.2e+07,-7.7e+07,-2.46e+08,1.5e+07,0,-2.46e+08,-1.7e+08,-1.7e+08,5.4e+07,-1.16e+08,5.36e+08,0,2.89e+08,0.68942,0.43771,0.32765,0.03662,0.03076,0.7526,2.57384,0.19035,0,0.34286,0.34073,1.04643,9.3625,0.25804,5,0.03586,0.02699,-6.48507,-6.77583
"10","2012_Q3",10.982380952381,"Down",1.075e+09,-3.77e+08,-3.77e+08,6.98e+08,-4.71e+08,-3.26e+08,-1.37e+08,-1.89e+08,-1.45e+08,2.27e+08,2e+06,2e+06,2.29e+08,2.29e+08,-4.4e+07,1.85e+08,1.85e+08,1.85e+08,1.85e+08,3.192e+09,2.786e+09,2.27e+08,2.27e+08,7.85e+08,7.85e+08,4.332e+09,1.49e+08,7.771e+09,5.16e+08,7.108e+09,1.47e+08,7.937e+09,1.2269e+10,5.79e+08,1.63e+08,4.16e+08,9.05e+08,1.484e+09,2.21e+08,6.1e+07,1.6e+08,2.21e+08,1.705e+09,9.375e+09,9.375e+09,1.313e+09,-1.24e+08,1.0564e+10,1.0564e+10,1.2269e+10,1.85e+08,2.2e+07,6.3e+07,2.8e+07,-3.6e+07,7.1e+07,-1.78e+08,-1.32e+08,-1.3e+07,-4.8e+07,92000000.0000001,-1.7e+07,-1.7e+07,2.3e+07,3e+06,-4.6e+07,8e+06,0,-2.5e+08,-1.55e+08,-1.55e+08,-1.08e+08,-2.63e+08,2.49e+08,-2.3283064365387e-10,9.8e+07,0.6493,0.21116,0.17209,0.01751,0.01508,0.52973,2.91914,0.1614,2.71050543121376e-20,0.16682,0.16592,0.96934,9.5257,0.08837,3,0.03607,0.00909,-12.81928,-14.06167
