"","YQ","p","d","revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.2304761904762,"Up",361708000,-266794000,94914000,4256000,-67234000,-48496000,-18738000,31936000,-879000,-699000,-180000,31057000,31057000,-11286000,19771000,19771000,19771000,19771000,324770629.534773,324770629.534773,26907629.2908577,26907629.2908577,-99336563.4756552,82205100.0725458,53116656.9004372,334546795.422521,205768612.552463,82352328.3138565,40875044.5021303,-342602928.095623,317795234.068088,652342029.490609,83608752.782959,-109922874.141896,-16427263.7839149,209958890.708769,-287164297.621597,119981376.978635,125926452.349402,510573699.758798,-118468145.183834,-18257485.0288429,15182477.2091847,-136725630.212677,373848069.546121,1.77124117310768,64435556.3353145,223037462.980277,-8979061.14234522,278493959.944488,278493959.944488,652342029.490609,19771000,16037000,1466000,-33468000,3806000,-8126000,141042698.774648,-5512000,-13096000,-11635550864.2447,-5041000,22125000,-27166000,-14139000,-15845000,-15845000,-255645791.619567,-15845000,47973000,0,17665000,0.26241,0.08829,0.05466,-0.0592512582040391,-0.00542783149541697,0.89348,0.732403581585222,1.78627785823595,0.291668777834727,0.29894,0.2929,5.46899,3.93254243593341,0.26709,0.19801,0.00349088947337227,0.354273739683304,0.66238,0.0550226504234615,0.758489882886797
"2","2010_Q3",22.514375,"Up",430907000,-317823000,113084000,4245000,-74386000,-55874000,-18512000,42943000,-3047000,-729000,-2318000,39896000,39127000,-13503000,25624000,25624000,25624000,25624000,166272000,166272000,96638000,96638000,222608000,82321000,22483000,567839000,184572000,59436000,27579000,-211250285.397082,253469000,821308000,171228000,102037000,4099000,65092000,-74087848.8107983,190925000,189075000,362153000,2e+08,19357000,5659000,219357000,581510000,0,25193000,211949000,2656000,239798000,239798000,821308000,25624000,15525000,6611000,5416000,53176000,-12799000,54356566.2582162,-6145000,-13193000,-7269590576.16311,7630000,7862000,-232000,-5154000,41877000,41877000,-131213674.97174,41877000,58468000,2e+08,64588000,0.26243,0.09966,0.05947,0.10686,0.0312,2.52061,1.56795,2.425,0.24351,0.38527,0.37409,6.47883,3.60544,0.9711,0.19836,0.08454,0.14067,0.51487,0.57686,0.78541
"3","2010_Q4",28.33625,"Up",580082000,-429383000,150699000,4136000,-87139000,-64882000,-22257000,67696000,761000,-721000,1482000,68457000,70051000,-22830000,47221000,47221000,47221000,47221000,264511000,264511000,98151000,98151000,279778000,86139000,17443000,728579000,180936000,61359000,27880000,-117117171.238249,243478000,972057000,197632000,138044000,4559000,55029000,48468817.0630672,257717000,255867000,455349000,2e+08,18793000,4045000,218793000,674142000,0,50468000,241459000,5988000,297915000,297915000,972057000,47221000,18054000,-1975000,36631000,99931000,-14115000,11166000,-5116000,-13249000,-4149288345.69787,13578000,13666000,-88000,3424000,98239000,98239000,-54044337.48587,98239000,85750000,2e+08,131096000,0.25979,0.1167,0.0814,0.1585,0.04858,2.77622,1.60005,2.26287,0.20575,0.70676,0.68681,8.68217,4.45894,1.96213,0.1983,0.11703,0.25371,0.28057,-0.75231,-0.95295
"4","2011_Q1",30.4098387096774,"Up",618442000,-446926000,171516000,4219000,-97589000,-72156000,-25433000,78146000,160000,-531000,691000,78306000,78306000,-23784000,54522000,54522000,54522000,54522000,393927000,393927000,89294000,89294000,235927000,88997000,21628000,808145000,184011000,69491000,31313000,-54052585.6191246,253502000,1061647000,195540000,113248000,2604000,79688000,1e+08,288670000,288670000,584210000,1e+08,6446000,5509000,106446000,690656000,0,79924000,285169000,5898000,370991000,370991000,1061647000,54522000,16903000,-19571000,88852000,140706000,-20678000,-2429000,-25345000,-13505000,-2068411172.84893,24452000,24452000,-1.86264514923096e-09,14055000,129416000,129416000,-13471779.1619567,129416000,95049000,2e+08,187007000,0.27734,0.12636,0.08816,0.14696,0.05136,3.42994,1.38331,1.86165,0.18839,0.80016,0.77545,9.07618,5.44462,2.74449,0.1982,0.11781,0.32386,0.2477,-2.04028,-2.4816
"5","2011_Q2",39.7411111111111,"Up",537198000,-385363000,151835000,5286000,-87538000,-64539000,-22999000,69583000,2690000,-511000,3201000,72273000,72273000,-24963000,47310000,47310000,47310000,47310000,345921000,345921000,121696000,121696000,244436000,89419000,20556000,801472000,184553000,70068000,31551000,-15905528.5397082,255611000,1057083000,196718000,132210000,12245000,52263000,1e+08,264543000,262993000,561261000,1e+08,6646000,5835000,106646000,667907000,4.44089209850063e-16,64683000,317489000,7004000,389176000,389176000,1057083000,47310000,18782000,-442000,-60866000,4784000,-18968000,-170000,-19138000,-15315000,-820726057.616312,-21959000,9005000,-30964000,-34822000,-49176000,-49176000,1170000,-48006000,88365000,2e+08,33494000,0.28264,0.12953,0.08807,0.12156,0.04476,0.70797,1.42798,1.71621,0.1892,0.69028,0.66952,7.83807,5.67833,0.4887,0.22346,0.10511,0.05621,0.32372,-1.65134,-2.09708
"6","2011_Q3",42.52515625,"Up",607921000,-430317000,177604000,5526000,-106209000,-80710000,-25499000,76921000,-2627000,-985000,-1642000,74294000,74294000,-25565000,48729000,48729000,48729000,48729000,262174000,262174000,136903000,136903000,286137000,112082000,28622000,797296000,193071000,100895000,60878000,3475000,293966000,1091262000,217987000,148208000,2271000,67508000,68588935.4934967,315650000,314100000,533637000,1e+08,6184000,6184000,106184000,639821000,0,89396000,350857000,11188000,451441000,451441000,1091262000,48729000,16213000,-9077000,1122999.99999999,56988000,-21633000,4043000,-45550000,-15360000,-2e+08,12186000,14078000,-1891999.99999999,-95732000,-84294000,-84294000,547000,-83747000,93134000,1e+08,98189000,0.29215,0.12653,0.08016,0.10794,0.04465,2.015,1.49408,1.41729,0.09164,0.70816,0.68425,8.83465,6.56059,1.42694,0.22322,0.11493,0.17608,0.31521,-1.7413,-2.10832
"7","2011_Q4",46.4268253968254,"Up",729861000,-523025000,206836000,6327000,-102873000,-77123000,-25750000,110290000,-6750000,-1270000,-5480000,103540000,103540000,-35903000,67637000,67637000,67637000,67637000,335747000,335747000,108889000,108889000,338285000,109068000,37762000,891989000,198018000,108053000,59658000,10240000,306071000,1198060000,250574000,187780000,1598000,61196000,28390198.6326377,345111000,343561000,595685000,1e+08,7156000,7156000,107156000,702841000,7.105427357601e-15,73323000,403020000,18876000,495219000,495219000,1198060000,67637000,15697000,1171000,51802000,136307000,-21873000,-579000,-22452000,-15472000,2.98023223876953e-08,-24684000,4922000,-29606000,-36689000,77166000,77166000,-3593000,73573000,125987000,1e+08,191819000,0.28339,0.15111,0.09267,0.13658,0.05646,2.83601,1.49742,1.41925,0.08347,0.98117,0.94876,10.58767,7.18385,2.78261,0.22444,0.13797,0.31844,0.22875,-1.8712,-2.13752
"8","2012_Q1",52.0670967741936,"Up",781969000,-577661000,204308000,6953000,-118131000,-86748000,-31383000,93130000,3389000,-1221000,4610000,96519000,96519000,-32620000,63899000,63899000,63899000,63899000,325336000,325336000,115302000,115302000,298042000,136357000,33969000,875037000,213778000,139209000,77718000,10601000,352987000,1228024000,223894000,146743000,639000,76512000,2652999.99999999,359786000,359786000,586333000,104600000,37035000,37035000,141635000,727968000,0,166202000,321831000,12023000,500056000,500056000,1228024000,63899000,15698000,-15481000,40335000,104451000,-22010000,-3932000,-54005000,-15438000,-2333000,-52261000,17649000,-69910000,-60273000,-9827000,-9827000,-584000,-10411000,108828000,107253000,159773000,0.26127,0.1191,0.08172,0.12778,0.05203,2.5004,1.49239,1.45577,0.08734,0.92762,0.89923,11.3518,7.25929,2.31942,0.22411,0.12313,0.24796,0.2416,-2.00392,-2.34171
"9","2012_Q2",59.7452380952381,"Up",673750000,-478787000,194963000,7183000,-110599000,-80133000,-30466000,91547000,1065000,-1512000,2577000,92612000,92612000,-32534000,60078000,60078000,60078000,60078000,285889000,285889000,139626000,139626000,314042000,125380000,45714000,864937000,219779000,138117000,78187000,10709000,357896000,1222833000,243219000,182645000,167000,60407000,2736000,314185000,314185000,560140000,105314000,8120000,8120000,113434000,673574000,0,186076000,350917000,12266000,549259000,549259000,1222833000,60078000,16807000,-2167000,-75380000,-662000,-20957000,-1227000,-22184000,-25328000,-766000.000000004,658000,6529000,-5871000,-17633000,-40479000,-40479000,1032000,-39447000,108354000,108050000,44551000,0.28937,0.13588,0.08917,0.10938,0.04913,0.74155,1.54414,1.22633,0.08836,0.8753,0.84826,9.81613,8.00237,0.64908,0.36901,0.12835,0.06695,0.42159,-1.64128,-1.9426
"10","2012_Q3",61.0609523809524,"Up",755446000,-538697000,216749000,8215000,-114530000,-83314000,-31216000,110434000,-1676000,-1466000,-210000,108758000,108758000,-38935000,69823000,69823000,69823000,69823000,289294000,289294000,134876000,134876000,357960000,134635000,46706000,916765000,223777000,135809000,76379000,12738000,359586000,1276351000,265984000,192113000,1873000,71998000,2630000,324002000,324002000,592616000,104959000,8437000,8437000,113396000,706012000,0,219789000,342243000,8307000,570339000,570339000,1276351000,69823000,15870000,5228000,-11886000,79035000,-20634000,3385000,-17632000,-25421000,-656000,-34602000,8161000,-42763000,-56064000,5339000,5339000,-1934000,3405000,126304000,107589000,132719000,0.28692,0.14618,0.09243,0.12242,0.05471,1.90079,1.54698,1.23788,0.08429,1.01262,0.9812,10.95596,8.27142,1.92477,0.36867,0.13877,0.19337,0.36408,-1.43863,-1.64537
