"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.8344444444444,"Down",1.96e+09,-7.43e+08,-5.76e+08,-6.2e+07,-1.05e+08,1.217e+09,-9e+06,1.208e+09,1.208e+09,-4.45e+08,7.63e+08,7.63e+08,7.63e+08,7.63e+08,4.185e+09,4.16e+09,2.5e+07,5.36e+08,5.36e+08,4.032e+09,2.12e+08,3.225e+09,8.753e+09,1.203e+09,1.59e+08,2.16e+10,1.0883e+10,1.0208e+10,5.09e+08,2.2962e+10,3.1715e+10,2.496e+09,8.7e+07,2.409e+09,1.129e+09,1.129e+09,3.897e+09,4.3e+09,3.806e+09,4.94e+08,4.341e+09,8.238e+09,2.0957e+10,2.691e+09,-1.75e+08,2.3473e+10,2.3478e+10,3.1716e+10,7.63e+08,4.36e+08,8.4e+07,-1.312e+09,-2.9e+07,-3.7e+07,-3.7e+07,-3.7e+07,4.1e+07,1.8e+07,2.2e+07,-9.3e+07,-4.24e+08,8e+06,-4.32e+08,7.5e+07,-4.52e+08,-4.59e+08,-4.59e+08,2e+06,-4.57e+08,1.653e+09,3.13e+08,7.49e+08,0.62092,0.38929,0.0325,0.02406,0.98165,2.24609,0.35088,0.00987,0.1374,0.11455,0.35296,4.22708,0.13488,0.01675,0.03047,0.02666,0.12189,-2.34241,-3.18159
"2","2010_Q3",16.5378125,"Down",1.959e+09,-8.37e+08,-6.77e+08,-6.2e+07,-9.8e+07,1.122e+09,-8999999.99999999,1.113e+09,1.113e+09,-4.01e+08,7.12e+08,7.12e+08,7.13e+08,7.13e+08,4.582e+09,4.56e+09,2.2e+07,5.02e+08,5.02e+08,4.031e+09,4.13e+08,3.148e+09,9.115e+09,1.183e+09,1.54e+08,2.1616e+10,1.0883e+10,1.0208e+10,5.25e+08,2.2953e+10,3.2068e+10,2.34e+09,7.8e+07,2.262e+09,1.185e+09,1.185e+09,3.733e+09,4.31e+09,3.808e+09,5.02e+08,4.348e+09,8.081e+09,2.0883e+10,3.199e+09,-9.9e+07,2.3983e+10,2.3987e+10,3.2068e+10,7.12e+08,4.34e+08,1.05e+08,-6.42e+08,6.09e+08,-4.1e+07,-4.2e+07,-4.2e+07,3000000.00000001,6.8e+07,3e+07,-9.2e+07,-2.19e+08,1.3e+07,-2.32e+08,73000000.0000001,-2.43e+08,3.96e+08,3.96e+08,4e+06,4e+08,1.556e+09,2.46e+08,1.274e+09,0.57274,0.36396,0.02972,0.02223,1.78682,2.44174,0.33689,0.00767,0.13104,0.10941,0.36004,4.40783,0.23415,0.01691,0.0282,0.04463,0.12903,-2.78663,-3.86453
"3","2010_Q4",17.38734375,"Up",2.029e+09,-8.92e+08,-7.26e+08,-6.3e+07,-1.03e+08,1.137e+09,-1.5e+07,1.122e+09,1.122e+09,-4.06e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,5.234e+09,5.205e+09,2.9e+07,5.01e+08,5.01e+08,4.115e+09,2.84e+08,3.383e+09,9.85e+09,1.185e+09,1.28e+08,2.1533e+10,1.0883e+10,1.0208e+10,4.42e+08,2.2846e+10,3.2696e+10,2.206e+09,9.4e+07,2.112e+09,1.264e+09,1.264e+09,3.614e+09,4.367e+09,3.798e+09,5.69e+08,4.402e+09,8.016e+09,2.0936e+10,3.822e+09,-8.2e+07,2.4676e+10,2.468e+10,3.2696e+10,7.16e+08,4.56e+08,4.2e+07,4e+06,1.218e+09,-6.5e+07,-6.5e+07,-6.5e+07,5e+06,-2e+06,-6.2e+07,-9.3e+07,1.5e+07,1.5e+07,0,-4.25e+08,-5.07e+08,6.49e+08,6.49e+08,-4e+06,6.45e+08,1.593e+09,1.79e+08,1.938e+09,0.56037,0.35288,0.02901,0.0219,2.7067,2.72551,0.3248,0.00547,0.13745,0.11561,0.38952,4.73719,0.37205,0.01785,0.02768,0.06631,0.12989,-3.17326,-4.44591
"4","2011_Q1",16.6974193548387,"Down",2.117e+09,-1.004e+09,-8.07e+08,-7.8e+07,-1.19e+08,1.113e+09,8.2e+07,1.195e+09,1.195e+09,-4.22e+08,7.73e+08,7.73e+08,7.74e+08,7.74e+08,3.991e+09,3.867e+09,1.24e+08,4.76e+08,4.76e+08,4.267e+09,2.42e+08,3.402e+09,8.734e+09,1.357e+09,2.4e+07,2.3293e+10,1.1478e+10,1.1447e+10,3.68e+08,2.4674e+10,3.3408e+10,2.169e+09,1.37e+08,2.032e+09,1.317e+09,1.317e+09,3.564e+09,4.798e+09,4.181e+09,6.17e+08,4.83e+09,8.394e+09,2.0794e+10,4.368e+09,-1.51e+08,2.5011e+10,2.5014e+10,3.3408e+10,7.73e+08,4.99e+08,5999999.99999999,-3.85e+08,8.93e+08,-9.5e+07,-9.7e+07,-9.7e+07,7e+06,-1e+06,-1.894e+09,-9e+07,-3.16e+08,2e+07,-3.36e+08,71000000.0000001,-3.4e+08,-1.341e+09,-1.341e+09,3e+06,-1.338e+09,1.612e+09,1.1e+08,1.554e+09,0.52574,0.36561,0.03094,0.02317,2.00775,2.45062,0.33557,0.00329,0.15044,0.12711,0.41147,4.86122,0.30204,0.01749,0.02888,0.05194,0.11628,-2.40757,-3.48697
"5","2011_Q2",17.9047619047619,"Up",2.238e+09,-8.72e+08,-7.25e+08,-6.7e+07,-8e+07,1.366e+09,1.6e+07,1.382e+09,1.382e+09,-4.98e+08,8.84e+08,8.84e+08,8.84e+08,8.84e+08,3.816e+09,3.684e+09,1.32e+08,5.27e+08,5.27e+08,5.012e+09,1.79e+08,4.288e+09,9.355e+09,1.38e+09,1.3e+07,2.3241e+10,1.1463e+10,1.1447e+10,3.31e+08,2.4634e+10,3.3989e+10,2.316e+09,9.5e+07,2.221e+09,1.351e+09,1.351e+09,3.679e+09,4.737e+09,4.186e+09,5.51e+08,4.766e+09,8.445e+09,2.0668e+10,5.023e+09,-1.5e+08,2.5541e+10,2.5544e+10,3.3989e+10,8.84e+08,4.72e+08,1.05e+08,-4.55e+08,1.006e+09,-7.5e+07,-7.5e+07,-7.5e+07,0,2e+06,-7.3e+07,-1.08e+08,-2.8e+08,2.6e+07,-3.06e+08,-7.23e+08,-1.121e+09,-1.88e+08,-1.88e+08,5e+06,-1.83e+08,1.838e+09,4.1e+07,1.806e+09,0.61037,0.395,0.03461,0.02601,2.04299,2.54281,0.33061,0.00121,0.17344,0.14741,0.43908,5.01099,0.35433,0.02119,0.03272,0.05956,0.12217,-2.05386,-2.76354
"6","2011_Q3",20.05015625,"Up",2.245e+09,-8.62e+08,-7.12e+08,-7e+07,-8e+07,1.383e+09,-6000000.00000001,1.377e+09,1.377e+09,-4.97e+08,8.8e+08,8.8e+08,8.81e+08,8.81e+08,3.643e+09,3.512e+09,1.31e+08,5.38e+08,5.38e+08,5.425e+09,4.46e+08,4.482e+09,9.606e+09,1.453e+09,7e+06,2.3356e+10,1.1464e+10,1.1588e+10,3.04e+08,2.4816e+10,3.4422e+10,2.052e+09,8.6e+07,1.966e+09,1.401e+09,1.401e+09,3.465e+09,4.778e+09,4.205e+09,5.73e+08,4.803e+09,8.268e+09,2.0583e+10,5.707e+09,-1.39e+08,2.6151e+10,2.6154e+10,3.4422e+10,8.8e+08,5.21e+08,9.5e+07,-8.93e+08,6.03e+08,-7.2e+07,-7.2e+07,-7.2e+07,1e+07,1.01e+08,-1.23e+08,-1.07e+08,-2.17e+08,1.3e+07,-2.3e+08,-3.29e+08,-6.58e+08,-1.78e+08,-1.78e+08,6e+06,-1.72e+08,1.904e+09,3.7e+07,1.436e+09,0.61604,0.39243,0.03369,0.02559,1.62997,2.77229,0.31613,0.00107,0.26697,0.30847,0.6803,7.92455,0.43515,0.03242,0.0319,0.04637,0.12145,-1.89391,-2.60738
"7","2011_Q4",21.7255555555556,"Up",2.322e+09,-9.77e+08,-8.12e+08,-7.4e+07,-9.1e+07,1.345e+09,1.98e+08,1.543e+09,1.543e+09,-5.39e+08,1.004e+09,1.004e+09,1.005e+09,1.005e+09,3.755e+09,3.6e+09,1.55e+08,5.51e+08,5.51e+08,5.21e+09,2.14e+08,4.489e+09,9.516e+09,1.51e+09,7e+06,2.3414e+10,1.1453e+10,1.1668e+10,2.93e+08,2.4931e+10,3.4447e+10,2.015e+09,9.3e+07,1.922e+09,1.503e+09,1.503e+09,3.531e+09,4.842e+09,4.254e+09,5.88e+08,4.864e+09,8.395e+09,2.0056e+10,6.13e+09,-1.36e+08,2.605e+10,2.6052e+10,3.4447e+10,1.004e+09,5.22e+08,-1.35e+08,4e+06,1.395e+09,-8.9e+07,-8.9e+07,-8.9e+07,-2.5e+07,-9e+06,-2.29e+08,-1.05e+08,-1.04e+09,2.4e+07,-1.064e+09,7.4e+07,-1.075e+09,9.1e+07,9.1e+07,-3e+06,8.8e+07,1.867e+09,3.5e+07,2.321e+09,0.57924,0.43282,0.03858,0.02918,2.30945,2.69499,0.32224,0.00102,0.0879,0.18691,0.2031,2.27849,0.20301,0.00918,0.03589,0.07504,0.10448,-1.9925,-2.7658
"8","2012_Q1",25.6316129032258,"Up",2.383e+09,-1.021e+09,-8.38e+08,-7.7e+07,-1.06e+08,1.362e+09,-8e+06,1.354e+09,1.354e+09,-4.76e+08,8.78e+08,8.78e+08,8.8e+08,8.8e+08,3.341e+09,2.127e+09,1.214e+09,5.6e+08,5.6e+08,5.289e+09,2.65e+08,4.535e+09,9.19e+09,1.541e+09,7.11e+08,2.3318e+10,1.1436e+10,1.1668e+10,2.14e+08,2.557e+10,3.476e+10,1.992e+09,1.69e+08,1.823e+09,1.459e+09,1.459e+09,3.451e+09,4.872e+09,4.205e+09,6.67e+08,4.872e+09,8.323e+09,1.9907e+10,6.706e+09,-1.76e+08,2.6437e+10,2.6437e+10,3.476e+10,8.78e+08,6.53e+08,2.7e+07,-6.9e+08,8.68e+08,-1.17e+08,-1.17e+08,-1.17e+08,-1.766e+09,9e+06,-1.874e+09,-1.03e+08,-3.88e+08,3.6e+07,-4.24e+08,75999999.9999999,-4.5e+08,-1.456e+09,-1.456e+09,-1.7e+07,-1.473e+09,2.015e+09,0,1.684e+09,0.57155,0.36928,0.03329,0.02532,1.91364,2.663,0.31482,0,0.19887,0.10959,0.53853,5.97446,0.38056,0.02328,0.0314,0.05379,0.11705,-1.65806,-2.45301
"9","2012_Q2",27.6428571428571,"Up",2.547e+09,-9.29e+08,-7.51e+08,-8e+07,-9.8e+07,1.618e+09,-1e+06,1.617e+09,1.617e+09,-5.9e+08,1.027e+09,1.027e+09,1.029e+09,1.029e+09,2.676e+09,1.942e+09,7.34e+08,6.29e+08,6.29e+08,6.673e+09,1.72e+08,6.04e+09,9.978e+09,1.542e+09,8.99e+08,2.3349e+10,1.1454e+10,1.1668e+10,2.27e+08,2.579e+10,3.5768e+10,2.014e+09,8.7e+07,1.927e+09,1.523e+09,1.523e+09,3.537e+09,4.93e+09,4.212e+09,7.18e+08,4.93e+09,8.467e+09,1.9929e+10,7.544e+09,-1.72e+08,2.7301e+10,2.7301e+10,3.5768e+10,1.027e+09,5.61e+08,1.7e+07,-3.19e+08,1.286e+09,-9.9e+07,-1.01e+08,-1.01e+08,2.91e+08,2e+06,1.94e+08,-1.52e+08,-3.1e+07,4.4e+07,-7.5e+07,-1.477e+09,-1.665e+09,-1.85e+08,-1.85e+08,-5331995.81971377,-1.85e+08,2.179e+09,0,2.351e+09,0.63526,0.404,0.03769,0.02877,2.28474,2.82103,0.31014,0,0.23212,0.20125,0.57455,6.15858,0.53034,0.03429,0.03664,0.07294,0.14772,-1.22809,-1.65389
"10","2012_Q3",29.9850793650794,"Up",2.578e+09,-9.72e+08,-7.89e+08,-8e+07,-1.03e+08,1.606e+09,2999999.99999999,1.609e+09,1.609e+09,-3.17e+08,1.292e+09,1.292e+09,1.292e+09,1.292e+09,2.891e+09,2.042e+09,8.49e+08,6.55e+08,6.55e+08,6.749e+09,3.32e+08,5.987e+09,1.0295e+10,1.54e+09,1.696e+09,2.3315e+10,1.1437e+10,1.1668e+10,2.1e+08,2.6551e+10,3.6846e+10,1.939e+09,7.5e+07,1.864e+09,1.648e+09,1.648e+09,3.587e+09,4.738e+09,3.941e+09,7.97e+08,4.738e+09,8.325e+09,2.0009e+10,8.688e+09,-1.76e+08,2.8521e+10,2.8521e+10,3.6846e+10,1.292e+09,5.77e+08,-2.04e+08,-5.68e+08,1.097e+09,-6.1e+07,-6.1e+07,-6.1e+07,-9.01e+08,-2e+06,-9.64e+08,-1.48e+08,3.3e+07,3.3e+07,0,7.9e+07,-37000000.0000005,9.6e+07,9.6e+07,3999999.99999999,1e+08,2.183e+09,0,1.871e+09,0.62296,0.50116,0.0453,0.03506,1.44814,2.87009,0.29189,0,0.29464,0.56444,0.58791,6.50422,0.42668,0.03375,0.0433,0.05626,0.11455,-1.32432,-1.80012
