"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.90828125,"Up",227540000,-167526000,60014000,-40555000,-41991000,19459000,-1544000,-1844000,3e+05,17915000,-1388000,16527000,-5430000,11097000,-1441000,-1441000,9656000,9656000,9656000,23872182.7344425,23872182.7344425,216451566.51398,-2603416.42038195,5757292.3981344,273294490.663584,49029322.7856532,-29796797.7313096,-38262748.2830702,-26328712.5147663,19872062.1040644,14922600.9624627,19232525.0543437,292527015.717927,100154079.356077,20709995.697322,79444083.6587548,30996172.7566902,-71566839.8651451,-71566839.8651451,59583412.2476219,297262.888233468,90728376.7322034,36303841.3136759,91025639.6204369,150609051.868059,121963789.053817,-28460844.4686448,66892344.1221716,-18477324.857475,141917963.849868,141917963.849868,292527015.717927,11097000,3357000,332000,-6842000,7944000,-3275000,-1589000,-1130000,-7339000,0,0,-8525000,-2170000,-2170000,860000,-1310000,22816000,0,18129000,0.26375,0.08552,0.04244,-0.169035592586851,-0.0767430757819783,1.87749,2.42949733528415,1.12303119423668,0.063799137940977,0.42731,0.41138,10.06943,6.41724379777962,0.80227,0.05001,-0.142133159043686,0.308530661963686,0.11703,1.32932581887795,2.26339811593912
"2","2011_Q1",10.1658064516129,"Up",172971000,-127586000,45385000,-38804000,-38974000,6581000,-1472000,-1417000,-54999.9999999999,5109000,-72000,5037000,-2362000,2675000,-431000,-431000,2244000,2244000,2244000,12135000,12135000,241158000,26427000,8076000,384706000,60666000,47429000,1437000,11050000,21347000,13595000,108095000,492801000,126074000,49919000,76155000,12402000,76355000,76355000,214831000,307000,67780000,46736000,68087000,282918000,125343000,-13711000,97535000,716000,209883000,209883000,492801000,2675000,3544000,2917000,14006000,23142000,-1694000,-322000,-1132000,-22338000,52000,0,-24471000,-1651000,-1651000,379000,-1272000,10125000,12709000,24799000,0.26239,0.03805,0.01297,0.01069,0.00455,11.05125,1.79074,1.34798,0.02579,0.09948,0.09914,7.66822,9.30462,1.0994,0.05018,0.01163,0.0854,0.50446,0.05669,0.08722
"3","2011_Q2",11.347619047619,"Up",220230000,-167078000,53152000,-40371000,-40640000,12781000,-1090000,-1357000,267000,11691000,-343000,11348000,-4337000,7011000,-304000,-304000,6707000,6707000,6707000,10220772.4218525,10220772.4218525,243667894.49534,30961888.806794,8735319.20062187,426942753.112139,63237975.7381156,66825015.9104365,14931999.4276901,20954404.1715888,18012979.2986452,12925633.0125124,130062991.648552,557005744.760691,152255306.881308,67425418.1008927,84829888.7804151,3129525.74776992,111682863.288382,111682863.288382,267067695.917459,290329.037255511,55094374.4225989,47483886.2287747,55384703.4598544,322452399.377314,126518903.648728,-9570635.1771184,109802385.292609,7802691.61915832,234553345.383377,234553345.383377,557005744.760691,7011000,3419000,1571000,-23881000,-11880000,-2323000,-1323000,-1586000,15509000,43000,1030741.30361768,13967000,764000,764000,733000,1497000,16200000,0,-5667000,0.24135,0.05803,0.03045,0.0673926975289504,0.0297335252606594,-0.84494,1.59359672157195,1.38355793525444,0.00684612068634099,0.29538,0.29344,9.699,10.3085170674068,-0.24958,0.06985,0.0607260530145618,0.0827756126787713,0.23647,-0.423304439625982,-0.611694371979708
"4","2011_Q3",10.9075,"Down",244005000,-180832000,63173000,-39754000,-40016000,23419000,-869000,-1045000,176000,22550000,-125000,22425000,-8732000,13693000,-355000,-355000,13338000,13338000,13338000,13094000,13094000,236451000,24295000,8350000,426459000,61240000,57308000,14304000,17075000,13352000,12577000,118548000,545007000,170489000,74421000,96068000,107999.999999998,87246000,87246000,257843000,258000,49780000,43834000,50038000,307881000,126577000,-11273000,114394000,7428000,237126000,237126000,545007000,13693000,3625000,1151000,14422000,32891000,-2206000,-28515000,-1600000,-3343000,102000,0,-4826999.99999999,-451000,-451000,-87000,-538000,27044000,366000,47992000,0.2589,0.09598,0.05466,0.05625,0.02447,3.59814,1.65395,1.29839,0.00067,0.58328,0.57501,10.67047,10.36964,2.09872,0.06997,0.052,0.16706,0.11996,-0.47064,-0.54349
"5","2011_Q4",14.4755555555556,"Up",236220000,-171732000,64488000,-41422000,-41680000,23066000,-527000,-757000,230000,22539000,-275000,22264000,-8164000,14100000,-1055000,-1055000,13045000,13045000,13045000,14898000,14898000,233995000,22485000,7085000,408899000,60114000,54730000,14304000,16474000,11956000,11996000,114844000,523743000,165613000,68060000,97553000,107000,65864000,65864000,231584000,221000,48945000,43027000,49166000,280750000,126595000,-13835000,125837000,4396000,242993000,242993000,523743000,14100000,3385000,1473000,17319000,36277000,-2118000,-1203000,-1602000,-26203000,-3226000,-3285000,-31292000,3782000,3782000,-1978000,1804000,26451000,328000,49816000,0.273,0.09765,0.05522,0.05368,0.02491,3.81878,1.76566,1.15538,0.00063,0.57057,0.56612,10.33196,10.6282,2.17889,0.07007,0.05012,0.17045,0.12281,-0.55083,-0.63167
"6","2012_Q1",17.5261290322581,"Up",174170000,-125836000,48334000,-41357000,-41509000,6977000,2035000,-662000,2697000,9012000,-601000,8411000,21112000,29523000,-212000,-212000,29311000,29311000,29311000,10871000,10871000,248097000,37904000,5705000,400987000,64039000,85696000,26124000,31718000,16937000,10917000,149735000,550722000,131736000,50880000,80856000,109000,97036000,97036000,228881000,190000,49698000,49698000,49888000,278769000,127661000,-12562000,153555000,3299000,271953000,271953000,550722000,29523000,3716000,-20613000,5393000,18019000,-4390000,-44849000,-1593000,22385000,1508000,-851000,22718000,-4112000,-4112000,85000.0000000002,-4027000,10693000,299000,-9416000,0.27751,0.04006,0.16829,0.10778,0.05322,-0.32124,1.75195,1.02506,0.00054,1.28887,1.23064,7.65866,11.9584,-0.41404,0.07005,0.09599,-0.02925,0.05435,-0.98868,-1.51526
"7","2012_Q2",11.4461904761905,"Down",211711000,-157161000,54550000,-44723000,-44776000,9827000,-755000,-713000,-42000,9072000,-124000,8948000,-3454000,5494000,-3e+05,-3e+05,5194000,5194000,5194000,9282000,9282000,259913000,40757000,8900000,432130000,63642000,84093000,26124000,30742000,15780000,11447000,147735000,579865000,156020000,72454000,83566000,113000,93432000,93432000,249565000,165000,49633000,43781000,49798000,299363000,129955000,-10234000,156694000,4087000,280502000,280502000,579865000,5494000,3828000,2550000,-20908000,-9036000,-2442000,-2436000,-2055000,10847000,307000,0,9106000,-2366000,-2366000,777000,-1589000,13655000,278000,-6241000,0.25766,0.04642,0.02453,0.01852,0.00896,-1.20158,1.73153,1.06724,0.00048,0.22713,0.22481,9.25815,12.26639,-0.27292,0.08987,0.02194,-0.01889,0.39565,-0.65939,-0.91625
"8","2012_Q3",13.6438095238095,"Up",268875000,-199531000,69344000,-46641000,-46609000,22703000,-866000,-842000,-23999.9999999995,21837000,-12999.9999999999,21824000,-8103000,13721000,-317000,-317000,13404000,13404000,13404000,9242000,9242000,265960000,39071000,8208000,472029000,63994000,100087000,35827000,38883000,14602000,10775000,164081000,636110000,185676000,81262000,104414000,114000,114694000,114694000,300484000,132000,48703000,43466000,48835000,349319000,130401000,-14847000,168032000,3205000,286791000,286791000,636110000,13721000,4070000,1935000,10493000,30219000,-2854000,-41448000,-2066000,18866000,-4999000,-4999000,11798000,568999.999999999,568999.999999999,-609000,-39999.9999999998,26773000,246000,42515000,0.2579,0.08444,0.04985,0.04674,0.02107,3.17181,1.5709,1.21803,0.00039,0.58603,0.58014,11.75532,12.53862,1.85877,0.09033,0.04608,0.12663,0.15413,-0.33601,-0.39625
"9","2012_Q4",15.9154838709677,"Up",275975000,-198167000,77808000,-50504000,-50937000,27304000,-702000,-702000,0,26602000,-642000,25960000,-8516000,17444000,-604000,-604000,16840000,16840000,16840000,10887000,10887000,246291000,38845000,7553000,457371000,64049000,97240000,35827000,37493000,13538000,10382000,161289000,618660000,184755000,67335000,117420000,117000,82204000,82204000,267076000,105000,48111000,43038000,48216000,315292000,129386000,-13266000,182831000,4417000,303368000,303368000,618660000,17444000,4195000,2834000,17194000,41667000,-2707000,-2704000,-2041000,-36761000,27000,0,-38543000,420000,420000,1225000,1645000,31499000,222000,54502000,0.28194,0.09894,0.06102,0.05551,0.02722,3.23646,1.71251,1.03931,0.00036,0.74216,0.73895,12.16254,13.36978,2.40197,0.08995,0.05368,0.15497,0.1212,-0.33858,-0.3906
"10","2013_Q1",20.8088333333333,"Up",192355000,-134388000,57967000,-44933000,-45173000,13034000,-1161000,-531000,-630000,11873000,-658000,11215000,-4905000,6310000,-395000,-395000,5915000,5915000,5915000,13074000,13074000,267468000,39446000,6188000,418553000,64422000,93619000,35827000,36546000,11085000,10161000,158041000,576594000,160388000,62283000,98105000,120000,61664000,61664000,222172000,75000,46760000,46760000,46835000,269007000,130220000,-13205000,186693000,3879000,307587000,307587000,576594000,6310000,4373000,2198000,17829000,30710000,-3808000,-3324000,-2053000,-23217000,14999.9999999991,-4.65661287307739e-10,-25148000,2238000,2238000,-51000.0000000002,2187000,17407000,195000,36333000,0.30135,0.06776,0.03075,0.01923,0.01026,6.14252,1.88391,0.87457,0.00034,0.25923,0.25492,8.43012,13.48026,1.59232,0.08997,0.02247,0.10248,0.34708,-0.73987,-0.98811
"11","2013_Q2",26.734375,"Up",230708000,-164880000,65828000,-49380000,-49610000,16448000,-768000,-572000,-196000,15680000,-418000,15262000,-5696000,9566000,-392000,-392000,9174000,9174000,9174000,9722000,9722000,293308000,44780000,10963000,474858000,64072000,102669000,37834000,38830000,10592000,15413000,166741000,641599000,185814000,84552000,101262000,122000,91510000,91510000,277446000,41000,46457000,46457000,46498000,323944000,132981000,-11551000,193357000,2868000,317655000,317655000,641599000,9566000,4273000,3752000,-44420000,-26829000,-2581000,-15937000,-2510000,43068000,-512000,-602000,40050000,-2716000,-2716000,-636000,-3352000,20721000,163000,-20584000,0.28533,0.07129,0.03976,0.02888,0.0143,-2.24373,1.71153,1.0198,0.00025,0.40143,0.39722,10.09509,13.89963,-0.90069,0.10983,0.03207,-0.05651,0.2736,-0.46132,-0.58116
"12","2013_Q3",27.720625,"Up",270126000,-192330000,77796000,-50376000,-50588000,27420000,-710000,-646000,-64000.0000000001,26710000,-2e+05,26510000,-10110000,16400000,-357000,-357000,16043000,16043000,16043000,12275000,12275000,296815000,44612000,9878000,505491000,64119000,103683000,37836000,37291000,9625000,18931000,167802000,673293000,208172000,90157000,118015000,103000,88331000,88331000,296606000,30000,46028000,46028000,46058000,342664000,133743000,-11801000,206873000,1814000,330629000,330629000,673293000,16400000,4272000,3465000,-9707000,14430000,-2970000,-2970000,-2527000,-3925000,-497000,-549000,-8148000,3312000,3312000,-759000,2553000,31692000,133000,29125000,0.288,0.10151,0.05939,0.04852,0.02383,1.81543,1.70425,1.0364,2e-04,0.69809,0.68899,11.75415,14.38685,1.26733,0.10996,0.04928,0.0773,0.15751,-0.38313,-0.44282
"13","2013_Q4",29.13703125,"Up",264162000,-184081000,80081000,-50291000,-50615000,29790000,-170000,-403000,233000,29620000,-1913000,27707000,-10021000,17686000,-389000,-389000,17297000,17297000,17297000,10097000,10097000,269205000,46481000,11639000,467762000,63883000,104246000,37959000,36262000,9906000,20119000,168129000,635891000,186661000,65165000,121496000,82000,55885000,55885000,242628000,23000,45951000,45951000,45974000,288602000,133702000,-10722000,221641000,2668000,347289000,347289000,635891000,17686000,4658000,1241000,22465000,46050000,-2916000,-2916000,-2529000,-44168000,-521000,-521000,-46146000,-3012000,-3012000,834000,-2178000,34448000,105000,64018000,0.30315,0.11277,0.06548,0.04981,0.0272,3.7011,1.9279,0.83101,0.00017,0.75205,0.74693,11.48539,15.09963,2.78341,0.10996,0.0504,0.16275,0.14621,-0.29006,-0.33541
"14","2014_Q1",28.9904918032787,"Down",218708000,-151959000,66749000,-50187000,-50443000,16562000,-253000,-281000,28000,16309000,-826000,15483000,-6092000,9391000,-455000,-455000,8936000,8936000,8936000,5559000,5559000,269447000,45870000,10237000,446077000,63646000,105800000,38005000,34861000,10278000,22656000,169446000,615523000,173630000,71469000,102161000,59000,46627000,46627000,220316000,16000,45759000,45759000,45775000,266091000,135435000,-15825000,228036000,1786000,349432000,349432000,615523000,9391000,4392000,3249000,6933000,23965000,-2943000,-2939000,-2541000,-17453000,-5183000,-5192000,-25051000,-4025000,-4025000,-513000,-4538000,20954000,75000,31036000,0.3052,0.07573,0.04086,0.02557,0.01452,3.47314,2.02471,0.7615,0.00012,0.38744,0.37957,9.48262,15.15047,1.34564,0.11017,0.02904,0.07852,0.28436,-0.26172,-0.33112
"15","2014_Q2",34.4634920634921,"Up",232752000,-164842000,67910000,-47334000,-47594000,20576000,-721000,-308000,-413000,19855000,-171000,19684000,-7277000,12407000,-682000,-682000,11725000,11725000,11725000,4423000,4423000,284468000,45269000,9562000,460061000,63955000,116905000,50554000,33629000,10597000,22125000,180860000,640921000,190946000,81725000,109221000,27000,48796000,48796000,239769000,16000,45305000,45305000,45321000,285090000,137174000,-19190000,236777000,1070000,355831000,355831000,640921000,12407000,4084000,2019000,-9278000,9232000,-2763000,-14988000,-2984000,12531000,-4460000,-4526000,5123000,-633000,-633000,-503000,-1136000,24660000,43000,19896000,0.29177,0.0884,0.05038,0.03295,0.01829,1.69689,1.91877,0.80119,7e-05,0.51095,0.50485,10.14292,15.50648,0.86703,0.13004,0.03666,0.04959,0.2545,-0.17762,-0.21287
"16","2014_Q3",33.0396875,"Down",272540000,-195141000,77399000,-48574000,-48847000,28825000,-150000,-457000,307000,28675000,-11205000,17470000,-6301000,11169000,-529000,-529000,10640000,10640000,10640000,6217000,6217000,292459000,53376000,17851000,496343000,64724000,141254000,55173000,37147000,10734000,38200000,205978000,702321000,215936000,90112000,125824000,24000,77891000,77891000,293851000,8000,44908000,44908000,44916000,338767000,138270000,-20046000,244446000,884000,363554000,363554000,702321000,11169000,4356000,2419000,-9558000,8386000,-3616000,-29106000,-2971000,26873000,-1303000,-1334000,22715000,1995000,1995000,-201000,1794000,33181000,32000,26308000,0.28399,0.10576,0.03904,0.02927,0.01515,2.47256,1.6891,0.93182,5e-05,0.46516,0.45869,11.91484,15.89376,1.15013,0.12989,0.03332,0.0644,0.27923,-0.1864,-0.21457
