"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2010_Q4",2.3034375,"Up",47178000,-32594000,14584000,-13580000,-13580000,1004000,-1212000,-1212000,-208000,-208000,0,-208000,-208000,-208000,-208000,-208000,3650000,1302000,-419000,4325000,-1350000,-1139000,-26000,0,-26000,3160000,3160000,3160000,4654000,0,2885000,0.30913,0.02128,-0.00441,-13.87019,-0.00388,-0.00388,0.8793,0.05377
"2","2011_Q1",2.3808064516129,"Up",29300000,-26274000,3026000,-12290000,-12290000,-9264000,-2805000,-2748000,-12069000,-12811000,5661000,-7150000,-7150000,-7150000,-7150000,-7150000,4629000,-1408000,4399000,470000,140000,2946000,-7020000,-27265000,-33388000,-29972000,-29972000,-29972000,-4635000,-7.45058059692383e-09,-5757000,0.10328,-0.31618,-0.24403,0.805169999999997,-0.13326,-0.13326,0.54609,-0.1073
"3","2011_Q4",1.22825396825397,"Down",45751000,-32999000,12752000,-11361000,-11361000,1391000,-1150000,-1114000,241000,241000,5123711.89437964,241000,241000,241000,241000,241000,3764000,731000,-547000,4189000,-1028000,-822000,-2528000,-33804899.3389215,-3188000,179000,179000,179000,5155000,45579000,-3927352.01971995,0.27873,0.0304,0.00527,2.6497974704317,0.00449,0.00449,0.85264,-0.0731790930755148
"4","2012_Q1",1.54322580645161,"Up",35709000,-26753000,8956000,-11627000,-11627000,-2671000,-7000,-881000,-2678000,-8637000,2324000,-6313000,-6313000,-6313000,-6313000,-6313000,3303000,3469000,2418000,2877000,-7000.00000000023,237000,-29000,-26859718.59737,-30000,3084000,3084000,3084000,632000.000000001,45550000,719000.000000002,0.25081,-0.0748,-0.17679,-0.11389,-0.11764,-0.11764,0.66544,0.0134
"5","2012_Q2",2.40587301587302,"Up",38100000,-26164000,11936000,-11708000,-11708000,228000,-880000,-858000,-652000,-652000,565364.801357359,-652000,-652000,-652000,-652000,-652000,3137000,409000,1131000,4025000,-931000,-915000,-30000,-13913888.1863578,-30000,3080000,3080000,3080000,3365000,0,2311637.67493579,0.31328,0.00598,-0.01711,-0.618876187640466,-0.01215,-0.01215,0.70997,0.0430057536869563
"6","2012_Q3",3.19,"Up",46486000,-30006000,16480000,-11905000,-11905000,4575000,-817000,-939000,3758000,3758000,-68000.0000000009,3690000,3690000,3690000,3690000,3690000,3091000,603000,-2473000,4911000,-1196000,-1212000,-2020000,-2451838.51689701,-2020000,1679000,1679000,1679000,7666000,7.45058059692383e-09,4065000,0.35452,0.09842,0.07938,1.10163,0.06875,0.06774,0.86614,0.07574
"7","2012_Q4",3.96,"Up",44743000,-29500000,15243000,-11593000,-11593000,3650000,-868000,-878000,2782000,2782000,-60000,2722000,2722000,2722000,2722000,2722000,3033000,437000,1303000,7495000,-564000,-564000,-3e+06,42000,-2958000,3973000,3973000,3973000,6683000,40500000,7482000,0.34068,0.08158,0.06084,2.74871,0.0507,0.04923,0.83339,0.13936
"8","2013_Q1",5.48533333333333,"Up",45211000,-29202000,16009000,-11888000,-11888000,4121000,-944000,-762000,3177000,3177000,17999.9999999999,3195000,3195000,3195000,3195000,3195000,2972000,596000,-6000,6757000,-647000,-647000,-3e+06,-3896000,-7039000,-929000.000000001,-929000.000000001,-929000.000000001,7093000,37500000,6422000,0.3541,0.09115,0.07067,2.01002,0.05977,0.05545,0.84573,0.12013
"9","2013_Q2",7.855,"Up",49563000,-32004000,17559000,-13024000,-13024000,4535000,-1029000,-813000,3506000,5701000,-437000,5264000,5264000,5264000,5264000,5264000,2861000,-1324000,-4947000,1854000,6833000,6833000,-7500000,-5640000,-13140000,-4453000,-4453000,-4453000,7396000,3e+07,9719000,0.35428,0.0915,0.10621,1.84631,0.10023,0.09252,0.94375,0.18506
"10","2013_Q3",10.08234375,"Up",62847000,-41817000,21030000,-14286000,-14286000,6744000,-1157000,-696000,5587000,5587000,4335000,9922000,9922000,9922000,9922000,9922000,2742000,-2893000,-4220000,5551000,-1484000,-1484000,5e+07,-49225000,-2782000,1285000,1285000,1285000,9486000,78030000,-553000,0.33462,0.10731,0.15788,-0.0557300000000003,0.19865,0.1867,1.25827,-0.01107
"11","2013_Q4",9.88203125,"Down",64858000,-43938000,20920000,-13507000,-13507000,7413000,-786000,-1055000,6627000,6294000,-5000,6289000,6289000,6289000,6289000,6289000,2783000,317000,-475000,8914000,-2971000,-2971000,0,2261000.00000001,2227000,8170000,8170000,8170000,10196000,78143000,6755000,0.32255,0.1143,0.09697,1.0741,0.13602,0.12768,1.40273,0.1461
