"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",7.25809523809524,"Down",42600000,-33293000,9307000,-18587000,-10745000,-5049000,-5696000,-7842000,-9280000,-839000,-1479000,-1479000,640000,-10119000,-10119000,-65000,-10184000,-10184000,-10184000,-10184000,31903000,31903000,13447000,13447000,25661000,2308000,2308000,73319000,22736000,7320000,7320000,30056000,103375000,35355000,24797000,10558000,17363000,16587000,58155000,12234000,4305000,7929000,40672000,98827000,9833000,-98992000,111000,4548000,4548000,103375000,-10184000,1085000,1020000,-5992000,-14071000,-4605000,-4605000,-718000,24000,24000,-973000,-19649000,-19649000,28000,-19621000,-8195000,33875000,-18727000,0.21847,-0.21784,-0.23906,-2.23923,-0.09852,1.83886,1.26075,21.72977,0.32769,-5.96952,-5.96952,24.97069,-52.19695,-10.97714,-0.20104,-0.36968,-0.24063,-0.2125
"2","2012_Q3",5.3915873015873,"Down",55697000,-42096000,13601000,-21106000,-12451000,-6360000,-6091000,-8655000,-7505000,-3729000,-3405000,-3405000,-324000,-11234000,-11234000,-151000,-11385000,-11385000,-11385000,-11385000,66969000,66969000,9960999.99999999,9960999.99999999,30966000,2581000,2581000,110477000,24652000,1360000,1360000,26012000,136489000,38063000,25551000,12512000,615000.000000002,615000.000000002,45166000,14401000,5067000,9334000,21240000,66406000,180360000,-110377000,1e+05,70083000,70083000,136489000,-11385000,1366000,4181000,-11936000,-17774000,-3408000,-3408000,-821000,58629000,58629000,56259000,35077000,35077000,-11000,35066000,-6139000,13327000,-21332000,0.2442,-0.13475,-0.20441,-0.16245,-0.08341,1.87369,2.44602,0.947529999999997,0.09764,-0.28851,-0.28851,1.41144,1.77601,-0.540579999999999,-0.1164,-0.21809,8.73791,7.1475
"3","2012_Q4",3.13274193548387,"Down",60813000,-44489000,16324000,-24521000,-13950000,-7039000,-6911000,-10571000,-8197000,-580000,-527000,-527000,-53000,-8777000,-8777000,-130000,-8907000,-8907000,-8907000,-8907000,41717000,41717000,32734000,32734000,16650000,7030000,2030000,98131000,24926000,1042000,1042000,25968000,124099000,30528000,15197000,15331000,769000,769000,38141000,18327000,6151000,12176000,23430000,61571000,181814000,-119284000,-2000,62528000,62528000,124099000,-8907000,1487000,1577000,-14586000,-20429000,-3041000,-3041000,-1479000,3000,3000,-1680000,-25150000,-25150000,-102000,-25252000,-6710000,11947000,-24207000,0.26843,-0.13479,-0.14647,-0.14245,-0.07177,2.71775,2.57285,0.98469,0.09627,-0.21855,-0.21855,1.49216,1.53424,-0.59396,-0.09598,-0.26085,4.43666,3.63182
"4","2013_Q1",4.66716666666667,"Up",57568000,-41512000,16056000,-22235000,-13702000,-7525000,-6177000,-8533000,-6179000,-1258000,-1025000,-1025000,-233000,-7437000,-7437000,-305000,-7742000,-7742000,-7742000,-7742000,45294000,45294000,27743000,27743000,19843000,2118000,2118000,94998000,25541000,1752000,1752000,27293000,122291000,30538000,11272000,19266000,933000,933000,33855000,23104000,7537000,15567000,31781000,65636000,183629000,-127026000,52000,56655000,56655000,122291000,-7742000,1630000,3433000,10308000,7629000,-1936000,-1936000,-1181000,208000,208000,-2170000,3523000,3523000,54000,3576999.99999999,-4549000,11061000,4128000,0.2789,-0.10733,-0.13448,-0.13665,-0.06331,-0.5332,2.80603,1.15852,0.09045,-0.18865,-0.18865,1.4028,1.38055,0.10059,-0.08525,0.04545,7.52539,5.54022
"5","2013_Q2",7.08171875,"Up",45577000,-33376000,12201000,-21912000,-12886000,-6850000,-6036000,-9026000,-9711000,-513000,-464000,-464000,-49000,-10224000,-10224000,-182000,-10406000,-10406000,-10406000,-10406000,36434000,36434000,24908000,24908000,22309000,2492000,2492000,86143000,25281000,1641000,1641000,26922000,113065000,27578000,9057000,18521000,1068000,1068000,31086000,25824000,8378000,17446000,33870000,64956000,185667000,-137432000,-126000,48109000,48109000,113065000,-10406000,1660000,1543000,231000,-6972000,-1682000,-1682000,-631000,603000,603000,-28000,-8682000,-8682000,-178000,-8860000,-8051000,10486000,-9320000,0.2677,-0.21307,-0.22832,-0.2163,-0.09204,0.89564,2.77112,1.35018,0.09274,-0.25289,-0.25289,1.10761,1.16914,-0.22649,-0.12327,-0.1104,3.22295,2.67202
"6","2013_Q3",7.2134375,"Up",58167000,-41883000,16284000,-21775000,-13291000,-7365000,-5926000,-8484000,-5491000,-781000,-484000,-484000,-297000,-6272000,-6272000,-124000,-6396000,-6396000,-6396000,-6396000,33976000,33976000,32104000,32104000,17906000,2708000,2708000,86694000,25141000,1513000,1513000,26654000,113348000,29360000,10012000,19348000,1258000,1258000,33983000,28487000,9303000,19184000,35018000,69001000,188082000,-143828000,93000,44347000,44347000,113348000,-6396000,1709000,1641000,2056000,-990000,-1785000,-1785000,-605000,931000,931000,326000,-2449000,-2449000,-9000,-2458000,-3782000,9896000,-3387000,0.27995,-0.0944,-0.10996,-0.14423,-0.05643,0.52955,2.5511,1.55593,0.08731,-0.15369,-0.15369,1.39767,1.0656,-0.08139,-0.07731,-0.04094,6.367,4.38536
"7","2013_Q4",7.32265625,"Up",62046000,-44611000,17435000,-22780000,-14487000,-8550000,-5937000,-8293000,-5345000,-815000,-437000,-437000,-378000,-6160000,-6160000,-141000,-6301000,-6301000,-6301000,-6301000,31778000,31778000,34744000,34744000,24392000,3153000,3153000,94067000,24823000,1420000,1420000,26243000,120310000,36012000,15103000,20909000,2980000,2980000,42424000,31692000,10325000,21367000,37553000,79977000,190265000,-150129000,197000,40333000,40333000,120310000,-6301000,1753000,2840000,1219000,-489000,-1419000,-1419000,-619000,138000,138000,-481000,-2389000,-2389000,191000,-2198000,-3592000,9293000,-3651000,0.281,-0.08615,-0.10155,-0.15622,-0.05237,0.57943,2.21731,1.98292,0.07724,-0.1508,-0.1508,1.48489,0.96525,-0.08738,-0.07749,-0.0449,6.25974,4.20674
"8","2014_Q1",7.73754098360656,"Up",67056000,-45560000,21496000,-23107000,-14386000,-8315000,-6071000,-8721000,-1611000,-783000,-670000,-670000,-113000,-2394000,-2394000,-416000,-2810000,-2810000,-2810000,-2810000,38190000,38190000,32084000,32084000,16580000,3655000,3655000,90509000,24853000,1307000,1021000,26160000,116669000,27085000,7363000,19722000,2773000,2773000,33365000,37928000,11284000,26644000,43098000,76463000,192916000,-152939000,229000,40206000,40206000,116669000,-2810000,1859000,2012000,6518000,7579000,-1371000,-1371000,-632000,757000,757000,125000,6333000,6333000,79000,6412000,248000,8677000,5811000,0.32057,-0.02402,-0.04191,-0.06989,-0.02409,-2.06797,2.71269,1.90178,0.07437,-0.06685,-0.06685,1.59517,0.95644,0.13824,-0.03237,0.06694,-119.00403,18.31968
"9","2014_Q2",8.11285714285714,"Up",57580000,-38925000,18655000,-24440000,-15354000,-8828000,-6526000,-9086000,-5785000,-342000,-449000,-449000,107000,-6127000,-6127000,-109000,-6236000,-6236000,-6236000,-6236000,39935000,39935000,28450000,28450000,14113000,4283000,4283000,86781000,24809000,1570000,1570000,26379000,113160000,28825000,9353000,19472000,1900000,1900000,34095000,38170000,12064000,26106000,42627000,76722000,195383000,-159175000,230000,36438000,36438000,113160000,-6236000,1910000,2147000,6460000,4281000,-2172000,-2172000,-866000,454000,454000,-412000,1697000,1697000,48000,1745000,-3875000,7827000,522000,0.32398,-0.10047,-0.1083,-0.17114,-0.05511,-0.08371,2.54527,2.10555,0.06917,-0.14776,-0.14776,1.36429,0.86336,0.01237,-0.07565,0.00633,8.28594,5.55022
"10","2014_Q3",12.67125,"Up",82004000,-55172000,26832000,-29320000,-18172000,-10493000,-7679000,-11148000,-2488000,-428000,-486000,-486000,58000,-2916000,-2916000,-115000,-3031000,-3031000,-3031000,-3031000,37621000,37621000,46537000,46537000,15724000,5588000,5588000,105470000,25127000,1486000,1486000,26613000,132083000,46969000,19509000,27460000,2182000,2182000,51956000,39247000,13398000,25849000,42973000,94929000,199124000,-162206000,236000,37154000,37154000,132083000,-3031000,1992000,3290000,-2398000,-147000,-2161000,-2161000,-1311000,1247000,1247000,-64000,-2372000,-2372000,58000,-2314000,-496000,6531000,-4940000,0.3272,-0.03034,-0.03696,-0.08158,-0.02295,1.62983,2.02999,2.55501,0.04945,-0.07107,-0.07107,1.92281,0.87118,-0.11583,-0.03655,-0.05957,62.68145,12.49598
