"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",37.5426984126984,"Down",6839587000,-6044124000,795463000,-602266000,-602266000,193197000,-24893000,-23400000,-1493000,168304000,168304000,-40358000,127946000,127946000,127946000,127946000,814371000,814371000,5060519000,5060519000,2705400000,181768000,181768000,8762058000,529294000,1695894000,1321037000,207593000,2225188000,10987246000,3939955000,3301493000,638462000,463251000,4403206000,1625759000,164122000,164122000,1789881000,6193087000,1513309000,3345896000,-64436000,4794159000,4794159000,10987246000,127946000,127946000,34691000,49703000,-252995000,-40655000,-36580000,-36580000,-36580000,2157000,-34423000,18045000,-2053000,-18388000,-93466000,-93466000,-21134000,-114600000,227888000,2089010000,-21329000,0.1163,0.02825,0.01871,0.02669,0.01164,-0.1667,1.98993,1.2918,0.19013,0.92507,0.90838,49.4515,34.66267,-0.15421,0.02129,-0.00303,5.59327,6.59761
"22","2015_Q3",35.6225,"Down",7551879000,-6714373000,837506000,-587219000,-587219000,250287000,-30190000,-24666000,-5524000,220097000,220097000,-56391000,163706000,163706000,163706000,163706000,903331000,903331000,5696642000,5696642000,2493576000,196111000,196111000,9289660000,541904000,1659530000,1298805000,208460000,2201434000,11491094000,4522871000,3850295000,672576000,409184000,4932055000,1692307000,161802000,161802000,1854109000,6786164000,1527351000,3399098000,-220955000,4704930000,4704930000,11491094000,163706000,163706000,34271000,36225000,30877000,265079000,-47062000,-47062000,-47062000,-10952000,-58014000,21541000,-3386000,-100469000,106596000,106596000,-17636000,88960000,284558000,2101491000,324764000,0.1109,0.03314,0.02168,0.03479,0.01425,1.98382,1.88353,1.44235,0.18288,1.19895,1.17798,55.30851,34.458,2.37851,0.02662,0.04661,4.2106,4.78714
"23","2015_Q4",38.65796875,"Up",6736860000,-5962506000,774354000,-570642000,-570642000,203712000,-32816000,-23870000,-8946000,170896000,170896000,-49368000,121528000,121528000,121528000,121528000,803468000,803468000,4994751000,4994751000,2474402000,211336000,211336000,8483957000,548433000,1582115000,1262533000,184745000,2130548000,10614505000,3890695000,3272030000,618665000,350277000,4240972000,1725238000,146785000,146785000,1872023000,6112995000,1530703000,3461011000,-489688000,4501510000,4501510000,10614505000,121528000,121528000,34587000,50228000,-146215000,60128000,-49780000,-49780000,-49780000,30000,-49750000,-25958000,-8554000,-94716000,-84338000,-84338000,-15525000,-99863000,238299000,2075515000,91672000,0.11494,0.03024,0.01804,0.027,0.01145,0.75433,2.00047,1.35799,0.19554,0.89329,0.88242,49.51935,33.08839,0.67384,0.02131,0.01363,5.33803,6.24434
"24","2016_Q1",35.4593442622951,"Down",-3473007000,3275819000,-197188000,203138000,203138000,5950000,6264000,-15144000,21408000,12214000,12214000,59981000,72195000,158733000,158733000,158733000,932553000,932553000,5054307000,5054307000,2482183000,115858000,115858000,8584901000,568779000,1646273000,1278756000,267786000,2215052000,10799953000,3941181000,3338052000,603129000,331115000,4272296000,1646501000,196135000,196135000,1842636000,6114932000,1543918000,3582599000,-441038000,4685021000,4685021000,10799953000,72195000,158733000,-21358000,-9489000.00000001,-8045000,299331000,66000.0000000075,66000,66000,-2940000,-44156000,-49752000,491000,-127415000,127760000,127760000,1325000,129085000,-15408000,1977616000,-83368000,0.05678,-0.00170999999999999,-0.0457,0.03388,0.0147,-0.52521,2.00943,1.30521,0.18311,1.16838,1.15341,-25.5637,34.48494,-0.61365,0.02631,-0.01215,-67.826,175.64084
"25","2016_Q2",36.15046875,"Up",4600802000,-4037546000,563256000,-393269000,-393269000,169987000,-21150000,-22032000,882000,148837000,148837000,-37849000,110988000,130254000,130254000,130254000,824695000,824695000,4903250000,4903250000,2805012000,181566000,181566000,8714523000,579471000,1570462000,1266337000,213219000,2149933000,10864456000,3923842000,3339844000,583998000,1036413000,4960255000,1075752000,197178000,197178000,1272930000,6233185000,1562218000,3548669000,-479219000,4631271000,4631271000,10864456000,110988000,130254000,19173000,37142000,-194781000,-33741000,-31205000,-31205000,-31205000,1568000,-32032000,135711000,-2503000,-33289000,-99062000,-99062000,-8796000,-107858000,189160000,2112165000,1023000,0.12243,0.03695,0.02831,0.02812,0.01199,0.00785,1.75687,1.34589,0.19441,0.97362,0.95546,34.39003,34.61778,0.00765,0.02202,0.00015,6.80625,7.57393
"26","2016_Q3",35.47953125,"Down",4088865000,-3590894000,497971000,-365250000,-365250000,132721000,-23016000,-20965000,-2051000,109705000,109705000,-9628000.00000001,100077000,156012000,156012000,156012000,916088000,916088000,5395005000,5395005000,2650220000,181074000,181074000,9142387000,587216000,1572749000,1283408000,197970000,2159965000,11302352000,4227080000,3628073000,599007000,1136218000,5363298000,1072188000,192864000,192864000,1265052000,6628350000,1576822000,3643248000,-545699000,4674002000,4674002000,11302352000,100077000,156012000,18852000,18814000,-39684000,117983000,-43187000,-43187000,-43187000,7543000,-54237000,72243000,1423000,36828000,100574000,100574000,-9181000,91393000,151573000,2208406000,78330000,0.12179,0.03246,0.03816,0.03338,0.0138,0.50208,1.70462,1.41813,0.19539,1.18272,1.15635,30.99762,35.43353,0.59382,0.02522,0.01107,8.52604000000002,9.73710000000004
"27","2016_Q4",38.974126984127,"Up",4081961000,-3561019000,520942000,-370918000,-370918000,150024000,-19935000,-21388000,1453000,130089000,130089000,-22297000,107792000,123459000,123459000,123459000,1036485000,1036485000,4874179000,4874179000,2826858000,200579000,200579000,8938101000,610747000,1576612000,1295406000,194217000,2187359000,11125460000,3857678000,3297981000,559697000,706742000,4564420000,1610539000,190300000,190300000,1800839000,6365259000,1571490000,3602702000,-413671000,4760201000,4760201000,11125460000,107792000,123459000,18664000,24418000,-39344000,212885000,-32384000,-32384000,-32384000,448000,-36040000,96330000,-10948000,-76177000,100668000,100668000,19729000,120397000,168688000,2317281000,119257000,0.12762,0.03675,0.03025,0.02594,0.0111,0.96596,1.95821,1.33718,0.20829,0.95107,0.93778,31.44566,36.67053,0.9187,0.02,0.01641,7.59269,8.53727
"28","2017_Q1",40.5490322580645,"Up",3968969000,-3473192000,495777000,-375597000,-375597000,120180000,-30798000,-27551000,-3247000,89382000,89382000,-17330000,72052000,96806000,96806000,96806000,1031478000,1031478000,2769906000,2769906000,2559921000,2642668000,73786000,9003973000,453209000,1782623000,621852000,239133000,2235832000,11239805000,1985665000,1590777000,394888000,1152599000,4942493000,1339204000,266822000,223053000,1606026000,6548519000,1579790000,3632271000,-520775000,4691286000,4691286000,11239805000,72052000,96806000,22901000,113511000,-439450000,-72812000,-30599000,-30599000,-30599000,6015000,-30204000,187107000,579999.999999998,105993000,2977000,2977000,-7984000,-5006999.99999997,143081000,2491803000,-309638000,0.12491,0.03028,0.02439,0.02064,0.00861,-3.19854,1.82175,1.39589,0.22169,0.75671,0.74582,31.02454,36.67073,-2.42037,0.0159,-0.04156,10.20628,12.15115
"29","2017_Q2",34.8903174603175,"Down",4118104000,-3595449000,522655000,-393141000,-393141000,129514000,-40970000,-27236000,-13734000,88544000,88544000,-20856000,67688000,68843000,68843000,68843000,1196545000,1196545000,2876346000,2876346000,2418761000,3208101000,76514000,9699753000,471321000,875049000,620850000,233376000,1346370000,11046123000,1.883e+09,1463555000,419445000,98017000,3433868000,2609617000,213612000,213612000,2823229000,6257097000,1598300000,3679438000,-488495000,4789026000,4789026000,11046123000,67688000,68843000,21624000,34702000,-13602000,-136000,-34729000,-34729000,-34729000,432000,-34392000,219538000,682000,193788000,159260000,159260000,5807000,165067000,151138000,2707634000,123663000,0.12692,0.03145,0.01672,0.01438,0.00623,1.7963,2.82473,1.30655,0.24512,0.53981,0.53053,32.291,37.55186,0.96967,0.01174,0.01604,9.99807,11.66738
"30","2017_Q3",33.8868253968254,"Down",4273559000,-3687374000,586185000,-461955000,-461955000,124230000,-63262000,-26748000,-36514000,60968000,60968000,-28503000,32465000,103218000,103218000,103218000,1270142000,1270142000,2996110000,2996110000,2697796000,4113051000,59564000,11077099000,565108000,1613788000,1098471000,219259000,2178896000,13255995000,2230418000,1774021000,456397000,246729000,4809793000,3382431000,351909000,351909000,3734340000,8544133000,1619104000,3760906000,-667975000,4711862000,4711862000,13255995000,32465000,103218000,35751000,20204000,104382000,240226000,-35695000,-35695000,-35695000,7334000,-829725000,716266000,13143000,695910000,106411000,106411000,-32814000,73597000,159981000,3629160000,257171000,0.13717,0.02907,0.02415,0.02191,0.00779,2.49153,2.30303,1.81332,0.27377,0.80701,0.79187,33.41302,36.83992,2.0107,0.01438,0.02958,14.74561,18.98912
"31","2017_Q4",35.5834920634921,"Up",4441896000,-3811910000,629986000,-515703000,-515703000,114283000,-8095000,-27534000,19439000,106188000,106188000,-16268000,89920000,271771000,271771000,271771000,1390782000,1129233000,3237440000,3237440000,2771236000,273534000,273534000,7672992000,526025000,1646761000,1140978000,220393000,2172786000,9845778000,2612069000,1731275000,880794000,32574000,2644643000,1724234000,377328000,377328000,2101562000,4746205000,1619003000,3872407000,-391706000,5099573000,5099573000,9845778000,89920000,271771000,40610000,-18127000,-275151000,-424720000,-37536000,-37536000,-37536000,10638000,2208781000,-1811218000,2013000,-1936902000,-152841000,-152841000,11932000,-140909000,154893000,1756808000,-141526000,0.14183,0.02573,0.06118,0.05329,0.0276,-0.52075,2.90133,0.93071,0.17843,2.11516,2.09974,34.57078,39.68941,-1.10148,0.04076,-0.01956,2.36309,3.2028
