"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",10.4606349206349,"Up",1764000,-771000,-386000,-259000,-126000,487000,3000,0,3000,490000,-40000,450000,-69000,381000,381000,381000,381000,0,0.27608,0.21599,0.22588,0.22588,1.04579
"2","2010_Q3",10.6453125,"Up",1997000,-791000,-335000,-309000,-147000,594000,5000,0,5000,599000,-41000,558000,166000,724000,724000,724000,724000,0,0.29745,0.36254,0.42994,0.42592,1.18591
"3","2010_Q4",12.996875,"Up",1987000,-796000,-392000,-274000,-130000,441000,-30000,-33000,3000,411000,-43000,368000,-297000,71000,71000,71000,71000,0,0.22194,0.03573,0.04184,0.04184,1.17082
"4","2011_Q1",17.5041935483871,"Up",2458000,-908000,-402000,-323000,-183000,466000,8000,7000,1000,474000,-42000,432000,-6000.00000000012,426000,426000,426000,426000,0,0.18959,0.17331,0.24013,0.24231,1.38556
"5","2011_Q2",16.3396825396825,"Down",2525000,-776000,-442000,-196000,-138000,948000,4000,-3000,7000,952000,-41000,911000,-246000,665000,665000,665000,665000,0,0.37545,0.26337,0.38827,0.38827,1.47424
"6","2011_Q3",13.3390625,"Down",2545000,-936000,-507000,-229000,-2e+05,783000,60000,-3.63797880709171e-12,60000,843000,-41000,802000,-73999.9999999999,728000,728000,728000,728000,2.27373675443232e-13,0.30766,0.28605,0.42553,0.42553,1.48762
"7","2011_Q4",14.5533333333333,"Up",3866000,-1186000,-473000,-363000,-350000,1697000,1000,0,1000,1698000,-43000,1655000,-503000,1152000,1152000,1152000,1152000,0,0.43895,0.29798,0.67504,0.67504,2.26536
"8","2012_Q1",20.156935483871,"Up",2776000,-1231000,-654000,-328000,-249000,606000,4000,-3000,7000,610000,-47000,563000,171000,734000,734000,734000,734000,-3.63797880709171e-12,0.2183,0.26441,0.43009,0.43009,1.62662
"9","2012_Q2",18.974126984127,"Down",2347000,-1171000,-681000,-294000,-196000,319000,2000,0,2000,321000,-43000,278000,-8000,270000,270000,270000,270000,0,0.13592,0.11504,0.15691,0.15691,1.36397
"10","2012_Q3",14.8793650793651,"Down",2809000,-1350000,-627000,-461000,-262000,617000,7000,999.999999999998,6000,624000,-44000,579999.999999999,-92000,488000.000000001,488000.000000001,488000,488000,-5.82076609134674e-11,0.21965,0.17373,0.2836,0.2836,1.63246
"11","2012_Q4",16.3979032258065,"Up",2834000,-1485000,-669000,-577000,-239000,465000,47000,-4000,51000,512000,-43000,469000,-101000,368000,368000,368000,368000,2e+06,0.16408,0.12985,0.21386,0.21386,1.64699
"12","2013_Q1",17.0301666666667,"Up",9520000,-18341000,-1303000,-10859000,-6122000,-6238000,-280000,-221000,-59000,-6518000,-48130000,-54648000,201000,-54447000,-54447000,-54447000,-54447000,4e+06,-0.65525,-5.71922,-31.64213,-31.64213,5.53259
"13","2013_Q2",14.23625,"Down",11686000,-7579000,-1412000,-3380000,-2787000,4107000,-141000,-145000,4000,3966000,-1226000,2740000,-141076.431301067,2740000,2740000,2740000,2740000,5e+06,0.35145,0.23447,1.60156,1.60156,6.83061
"14","2013_Q3",14.954375,"Up",-3419000,3721000,60000,1614000,2047000,-1457000,79000,68000,11000,-1378000,1128000.00000001,-249999.999999993,-573000,-822999.999999993,-822999.999999993,-823000.000000007,-823000.000000007,8e+06,0.42615,0.240710000000001,-0.481270000000001,-0.481270000000005,-1.99934
"15","2013_Q4",17.63171875,"Up",4474000,-2132000,-628000,-1036000,-468000,1279000,2000,-48000,50000,1281000,-52000,1229000,-296000,933000,933000,933000,933000,8e+06,0.28587,0.20854,0.52539,0.52539,2.51937
"16","2014_Q1",19.6090163934426,"Up",17323000,-31013000,-5771000,-14309000,-8443000,-10868000,-411000,-362000,-49000,-11279000,-12315000,-23594000,869000,-22725000,-22725000,-22725000,-22725000,10825000,-0.62737,-1.31184,-13.1319,-13.1319,10.01029
"17","2014_Q2",26.1720634920635,"Up",11320000,-13499000,-2571000,-5924000,-5004000,-2179000,-75000,-169000,94000,-2254000,555000,-1699000,585000,-1114000,-1114000,-1114000,-1114000,8e+06,-0.19249,-0.09841,-0.12209,-0.12209,1.24062
"18","2014_Q3",33.39046875,"Up",12145000,-9070000,-1802000,-4383000,-2885000,3075000,-149000,-152000,3000,2926000,-1396000,1530000,-12229645.4133538,1530000,1530000,1530000,1530000,7e+06,0.25319,0.12598,0.167680000000001,0.167680000000001,1.33104
