"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",15.8784375,"Down",392008000,-227015000,164993000,-8860000,-8860000,156133000,-1651000,-2137000,486000,154482000,154482000,-36309000,118173000,118173000,-49542000,68631000,68631000,89988000,89988000,58106000,58106000,5551000,303000,303000,153948000,806648000,61679000,5814000,55865000,868327000,1022275000,34953000,30954000,3999000,34953000,188523000,1512000,1507000,190035000,224988000,83573000,83573000,797287000,1022275000,118173000,19219000,2318000,-32641000,107069000,-38157000,-3.8e+07,3600984.43586963,37120055.2119912,20919000,89988000,89988000,89988000,175352000,188523000,140863000,0.42089,0.39829,0.17508,0.08608,0.06714,2.05247,4.40443,0.28219,0.18442,2.53251,2.53251,14.46524,3.08387,5.1979,-0.0708488679737153,0.06951,0.14267,-1.00068999359001,0.56193,0.6311
"2","2015_Q1",14.7419672131148,"Down",273543000,-171584000,101959000,-6453000,-6453000,95506000,-650000,-666000,16000,94856000,94856000,-926999.999999993,93929000,93929000,-85367000,8562000.00000001,8562000,133750000,133750000,56049000,56049000,6634000,212000,212000,196645000,842057000,57733000,5814000,51919000,899790000,1096435000,31984000,20084000,11900000,31984000,227638000,1863000,1848000,229501000,261485000,87524000,834950000,834950000,1096435000,93929000,19110000,641000,4341999.99999999,118022000,-58475000,-58475000,-4611000,-51655000,-15785000,43762000,43762000,43762000,114616000,227638000,61410000,0.37273,0.34914,0.0313,0.01025,0.00780999999999999,7.17239,6.14823,0.31317,0.20762,0.337460000000001,0.337460000000001,10.7812,32.90803,2.42036,0.18173,0.01238,0.05769,0.53854,0.81915,0.98306
"3","2015_Q2",13.6057142857143,"Down",258391000,-162164000,96227000,-6e+06,-6e+06,90227000,-1371000,-1376000,5000,88856000,88856000,-467000,88389000,88389000,-79889000,8500000,8500000,144918000,144918000,54979000,54979000,4564000,122000,122000,204583000,866546000,53832000,5814000,48018000,920378000,1124961000,34581000,27991000,6590000,34581000,257829000,1930000,1902000,259759000,294340000,88583000,830621000,830621000,1124961000,88389000,19803000,55000,4988000,113235000,-39540000,-39540000,-7441000,-85277000,-62527000,11168000,11168000,11168000,110030000,257829000,75945000,0.37241,0.34919,0.0329,0.01023,0.00756,8.93471,5.91605,0.35436,0.22919,0.31365,0.31365,9.53472,30.65022,2.8024,0.27458,0.01462,0.06965,0.87541,1.02618,1.25141
"4","2015_Q3",11.80890625,"Down",251705000,-157177000,94528000,-5995000,-5995000,88533000,-1331000,-1364000,33000,87202000,87202000,41000.0000000005,87243000,87243000,-76800000,10443000,10443000,137291000,137291000,57957000,57957000,3856000,30000,30000,199134000,914270000,50018000,5814000,44204000,964288000,1163422000,54397000,36941000,17456000,54397000,280992000,1649000,1614000,282641000,337038000,91370000,826384000,826384000,1163422000,87243000,20392000,4999.99999999994,9024000,116664000,-55974000,-55974000,-7656000,-83824000,-68317000,-7627000,-7627000,-7627000,108925000,280992000,61934000,0.37555,0.35173,0.04149,0.01264,0.00898,5.93067,3.66075,0.40785,0.24152,0.38535,0.38535,9.28801,30.49387,2.28539,0.28251,0.01632,0.05585,0.73312,1.31927,1.62313
"5","2015_Q4",10.58625,"Down",248619000,-154474000,94145000,-5831000,-5831000,88314000,-1127000,-1054000,-73000,87187000,87187000,-141000,87046000,87046000,-76943000,10103000,10103000,154257000,154257000,58514000,58514000,3272000,382000,382000,216425000,962221000,46542000,5814000,40728000,1008763000,1225188000,56511000,34159000,22352000,56511000,330495000,1708000,1489000,332203000,388714000,93598000,836474000,836474000,1225188000,87046000,20442000,29000,-6213000,101304000,-57058000,-57058000,-7875000,-68908000,-27280000,16966000,16966000,16966000,108756000,330495000,45626000,0.37867,0.35522,0.04064,0.01208,0.00825,4.51608,3.82979,0.46471,0.26975,0.3728,0.3728,9.17413,30.8662,1.68362,0.29059,0.01538,0.03904,0.77947,1.62049,1.99558
"6","2016_Q1",11.035737704918,"Up",248506000,-150524000,97982000,-5724000,-5724000,92258000,-978000,-1173000,195000,91280000,91280000,-105000,91175000,91175000,-80390000,10785000,10785000,169559000,169559000,51582000,51582000,3879000,267000,267000,225287000,1020469000,44593000,5814000,38779000,1065062000,1290349000,57694000,34287000,23407000,57694000,384006000,1482000,1392000,385488000,443182000,96281000,847167000,847167000,1290349000,91175000,20573000,1437000,8154000,121339000,-78613000,-78613000,-8102000,-72833000,-27424000,15302000,15302000,15302000,112831000,384006000,42477000,0.39428,0.37125,0.0434,0.01273,0.00836,3.93853,3.90486,0.52313,0.2976,0.5342,0.5342,12.30903,41.96198,2.10398,0.40131,0.01532,0.03446,0.75123,1.9006,2.32443
"7","2016_Q2",12.11609375,"Up",252604000,-142190000,110414000,-6097000,-6097000,104317000,-1147000,-1231000,84000,103170000,103170000,-399000,102771000,102771000,-90687000,12084000,12084000,178676000,178676000,62109000,62109000,2590000,157000,157000,243532000,1096354000,44191000,5814000,38377000,1140545000,1384077000,73338000,36711000,36627000,73338000,443525000,1991000,1571000,445516000,518854000,100031000,865223000,865223000,1384077000,102771000,20396000,506000,-11098000,112575000,-78993000,-78993000,-8334000,-75650000,-24465000,9117000,9117000,9117000,124713000,443525000,35021000,0.4371,0.41297,0.04784,0.01397,0.00873,2.89813,3.32068,0.59968,0.32045,0.4459,0.4459,9.32118,31.92705,1.29229,0.30753,0.01558,0.02672,0.68967,2.12367,2.53889
"8","2016_Q3",13.926875,"Up",210841000,-122460000,88381000,-5848000,-5848000,82533000,-1044000,-1203000,159000,81489000,81489000,-297000,81192000,81192000,-71848000,9344000,9344000,151257000,151257000,68738000,68738000,2493000,73000.0000000001,73000,222561000,1203249000,126424000,5814000,120610000,1329673000,1552234000,170794000,93725000,77069000,170794000,515338000,2352000,1712000,517690000,688484000,100799000,863750000,863750000,1552234000,81192000,20786000,2318000,-31594000,72702000,-89442000,-89442000,-8576000,-73916000,-10679000,-27419000,-27419000,-27419000,103319000,515338000,-17420000,0.41918,0.39145,0.04432,0.01082,0.00602,-1.8643,1.3031,0.79709,0.332,0.3448,0.3448,7.78011,31.87269,-0.6428,0.31646,0.01297,-0.01261,0.91781,3.52385,4.41134
"9","2016_Q4",13.3546031746032,"Down",229354000,-142553000,86801000,-5788000,-5788000,81013000,-4960000,-4947000,-13000,76053000,76053000,-194000,75859000,75859000,-67198000,8661000,8661000,75006000,75006000,113844000,113844000,3428000,-1847438.65874015,168050.478952299,192278000,1217451000,126930000,5814000,121116000,1344381000,1536659000,47577000,26624000,20953000,47577000,595083000,2024000,1781000,597107000,644684000,100596000,891975000,891975000,1536659000,75859000,26290000,201000,-110257000,-7907000,-100055000,-100055000,-8864000,-39170000,31711000,-76251000,-76251000,-76251000,107303000,595083000,-102815000,0.37846,0.35322,0.03776,0.00971,0.00564,-11.87103,4.04141,0.72276,0.38726,0.31959,0.31959,8.46325,32.91421,-3.79391,0.32708,0.01177,-0.06905,1.02344,4.84681,6.41967
"10","2017_Q1",15.2916129032258,"Up",293937000,-188202000,105735000,-7154000,-7154000,98581000,-4855000,-5226000,371000,93726000,93726000,-145000,93581000,93581000,-82730000,10851000,10851000,88900000,88900000,139062000,139062000,3934000,269000,269000,232165000,1222238000,100825000,5814000,95011000,1323063000,1555228000,37777000,22060000,15717000,37777000,594629000,1859000,1736000,596488000,634265000,59750000,920963000,920963000,1555228000,93581000,30738000,734000,-14697000,110356000,-31148000,-30991000,-9163000,-55854000,-65471000,13894000,13894000,13894000,129319000,594629000,83619000,0.35972,0.33538,0.03692,0.01178,0.00698,7.70611,6.14567,0.6887,0.38234,0.53747,0.53747,14.55932,43.51045,4.14183,0.45386,0.01319,0.0551,0.84444,3.91071,5.13009
