"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",23.3961904761905,"Up",508912000,-414800000,94112000,-68835000,-46174000,-5894000,-16767000,25277000,-21749000,3528000,3528000,-1988000,1540000,1540000,1540000,1540000,122601000,122601000,700353000,7153000,693132000,822954000,26648000,490825000,80497000,517473000,1340427000,28029000,28029000,680537000,674136000,715155000,595647000,75749000,55310000,671396000,1386551000,420212000,-466120000,-46124000,-46124000,1340427000,1540000,22028000,-2502000,9271000,30337000,-5064000,-1e+06,-6064000,-216641000,218902000,219353000,-451000,4014000,28287000,28287000,28245000,47305000,602236000,53500000,0.18493,0.04967,0.00303,-0.03339,0.00115,34.74026,1.15074,-30.06138,0.44929,0.0918,0.07939,30.3366,-2.74948,3.18917,0.00244,0.08467,10.1392,18.97516
"2","2014_Q3",25.78671875,"Up",525006000,-434229000,90777000,-70748000,-47674000,-6565000,-16509000,20029000,-8885000,11144000,11144000,-4923000,6221000,6221000,6221000,6221000,100288000,100288000,705730000,9094000,696568000,806018000,30389000,496641000,99580000,527030000,1333048000,36240000,36240000,670275000,667983000,712576000,569650000,87481000,62075000,657131000,1369707000,424222000,-460711000,-36659000,-36659000,1333048000,6221000,17042000,16644000,-16587000,23320000,-3645000,-15789000,-19434000,-26572000,-945999.99999997,-108999.99999997,-837000,-26242000,-22356000,-22356000,-22313000,37071000,575711000,21762000,0.17291,0.03815,0.01185,-0.1697,0.00467,3.49815,1.13113,-37.36346,0.43188,0.09009,0.08562,7.6029,-0.530879999999999,0.31515,0.00993,0.03473,12.82466,23.73673
"3","2014_Q4",29.48734375,"Up",555951000,-460759000,95192000,-73946000,-51162000,-6776000,-16008000,21246000,-18283000,2963000,2963000,-2238000,725000,725000,725000,725000,97952000,97952000,759535000,9636000,749831000,857487000,32353000,503465000,112526000,535818000,1393305000,42960000,42960000,703439000,703439000,767093000,529542000,145583000,72462000,675125000,1442218000,411449000,-460120000,-48913000,-48913000,1393305000,725000,28684000,12352000,2978000,44739000,-8373000,0,-8373000,-25475000,340000,474000,-134000,-38639000,-2273000,-2273000,-2336000,49930000,550236000,46773000,0.17122,0.03822,0.0013,-0.01482,0.00052,64.51448,1.11784,-29.48537,0.39491,0.01049,0.00994,8.04154,-0.7075,0.67655,0.00112,0.0723,9.05836,21.28796
"4","2015_Q1",34.4398360655738,"Up",603662000,-510783000,92879000,-72640000,-48913000,-6866000,-16861000,20239000,-4798000,15441000,15441000,-8430000,7011000,7011000,7011000,7011000,134341000,134341000,1689997000,9336000,1680661000,1824338000,32298000,483944000,113369000,516242000,2340580000,41452000,41452000,1699387000,1640858000,1761577000,524412000,80350000,80350000,604762000,2366339000,442682000,-468127000,-25759000,-25759000,2340580000,7011000,16649000,40497000,-10654000,53503000,-3470000,-8086000,-11556000,-5168000,-11354000,3664000,-15018000,-5505000,36442000,36442000,36389000,36888000,545150000,31194000,0.15386,0.03353,0.01161,-0.27218,0.003,4.44929,1.03563,-91.86455,0.23291,0.10062,0.0957,8.66355,-0.36968,0.44769,0.01169,0.05201,11.13666,20.29789
"5","2015_Q2",31.2920634920635,"Down",625578000,-519573000,106005000,-74964000,-53088000,-7225000,-14651000,31041000,-4754000,26287000,26287000,-10476000,15811000,15811000,15811000,15811000,104401000,104401000,962147000,10001000,952146000,1066548000,33769000,519898000,138954000,553667000,1620215000,38597000,38597000,926769000,926769000,985671000,494533000,155110000,89397000,649643000,1635314000,462655000,-477341000,-15099000,-15099000,1620215000,15811000,14653000,-13453000,-3684000,13327000,-3853000,0,-3853000,-30305000,-21826000,3199000,-25025000,-39278000,-29804000,-29804000,-29940000,45694000,514838000,48633000,0.16945,0.04962,0.02527,-1.04716,0.00976,3.0759,1.08205,-108.30611,0.31776,0.22523,0.21555,8.91162,-0.21509,0.6928,0.02414,0.07427,8.9823,13.22242
"6","2015_Q3",20.44734375,"Down",640007000,-555666000,84341000,-78356000,-56920000,-7633000,-13803000,5985000,-4696000,1289000,1289000,-2597000,-1308000,-1308000,-1308000,-1308000,128413000,128413000,891909000,14541000,877368000,1020322000,36134000,500589000,130124000,536723000,1557045000,38604000,38604000,842941000,842941000,901817000,489553000,173617000,105840000,663170000,1564987000,476426000,-483982000,-7942000,-7942000,1557045000,-1308000,13291000,-6853000,26721000,31851000,-6496000,0,-6496000,-5020000,-1170000,4163000,-5333000,-1370000,23985000,23985000,24012000,19276000,509825000,42098000,0.13178,0.00935000000000001,-0.00204,0.16469,-0.000840000000000002,-32.18502,1.13141,-197.052,0.32743,-0.0186,-0.0186,9.10327,-0.11296,0.59879,-0.00194,0.06232,19.78689,63.72799
"7","2015_Q4",18.96890625,"Down",668008000,-572021000,95987000,-84305000,-62723000,-6991000,-14591000,11682000,-4330000,7352000,7352000,-4255000,3097000,3097000,3097000,3097000,146315000,146315000,919559000,12794000,906765000,1065874000,36352000,507345000,142599000,543697000,1609571000,49422000,49422000,872540000,872540000,942236000,484484000,196950000,127722000,681434000,1623670000,485873000,-499467000,-14099000,-14099000,1609571000,3097000,14092000,-6393000,48547000,59343000,-4398000,-13714000,-22862000,-5168000,-16757000,1825000,-18582000,-18449000,18032000,18032000,17902000,25774000,504758000,74178000,0.14369,0.01749,0.00464,-0.21966,0.00192,23.95157,1.13122,-115.16207,0.3136,0.04409,0.04296,9.51067,-0.20073,1.0561,0.0045,0.10788,13.90715,30.68336
"8","2016_Q1",14.1924590163934,"Down",725407000,-615740000,109667000,-80375000,-63269000,-6151000,-10955000,29292000,-4220000,25072000,25072000,-10672000,14400000,14400000,14400000,14400000,166178000,166178000,1401986000,8579000,1393407000,1568164000,37844000,486441000,150462000,524285000,2092449000,41867000,41867000,1435540000,1380899000,1510377000,460965000,113026000,113026000,573991000,2084368000,494397000,-485595000,8081000,8081000,2092449000,14400000,10964000,40699000,-19584000,46479000,-4253000,-286000,-4789000,-4507000,2753000,2813000,-59999.9999999963,-21903000,19787000,19787000,20026000,40256000,493935000,27091000,0.15118,0.04038,0.01985,1.78196,0.00688,1.88131999999998,1.03826,257.93441,0.23606,0.20521,0.18884,10.3376,0.11516,0.38607,0.02341,0.04405,8.14182,11.1893
"9","2016_Q2",18.31109375,"Up",732939000,-615394000,117545000,-91643000,-76358000,-6389000,-8896000,25902000,-5084000,20818000,20818000,-9241000,11577000,11577000,11577000,11577000,195938000,195938000,1052481000,9457000,1043024000,1248419000,41879000,491258000,159959000,533137000,1781556000,47309000,47309000,1034950000,1034950000,1117617000,454107000,183090000,128317000,637197000,1754814000,501786000,-474674000,26742000,26742000,1781556000,11577000,8746000,4195000,15913000,40431000,-6807000,1500000,-5607000,-5072000,-152000,504000,-656000,-5224000,29600000,29600000,29760000,34648000,489465000,52995000,0.16037,0.03534,0.0158,0.43291,0.0065,4.57761,1.11704,65.62015,0.27474,0.16416,0.16136,10.39319,0.37921,0.75148,0.01656,0.07578,8.47169,11.33221
"10","2016_Q3",21.2928125,"Up",745846000,-640707000,105139000,-78772000,-62751000,-6457000,-9564000,26367000,-4875000,21492000,21492000,-9210000,12282000,12282000,12282000,12282000,166664000,166664000,984771000,12922000,971849000,1151435000,47320000,497721000,171427000,545041000,1696476000,42305000,42305000,954600000,954600000,1021911000,447399000,193703000,138888000,641102000,1663013000,513439000,-479680000,33463000,33463000,1696476000,12282000,9173000,-11331000,-6887999.99999999,3236000,-9907000,8539000,-1368000,-17738000,-13268000,4020000,-17288000,-31006000,-29138000,-29138000,-29274000,35540000,472405000,27955000,0.14097,0.03535,0.01647,0.36703,0.00724,2.2761,1.12675,49.69707,0.27846,0.17365,0.16983,10.54512,0.47312,0.39524,0.01756,0.03996,8.60273,11.59559
