"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.5415873015873,"Down",1.74e+09,-1.297e+09,4.43e+08,-2.42e+08,-9.7e+07,-1.37e+08,-8e+06,2.01e+08,1.1e+07,-4.5e+07,-4.7e+07,2e+06,5.6e+07,2.12e+08,2.12e+08,7e+06,-1.7e+07,2.02e+08,2.02e+08,2.04e+08,2.04e+08,1.565e+09,1.565e+09,1.091e+09,1.037e+09,7.6e+07,7.6e+07,3.769e+09,6.876e+09,3.66e+08,7.15e+08,3.34e+08,3.81e+08,7.957e+09,1.1726e+10,1.059e+09,1.059e+09,6.18e+08,5.65e+08,2.242e+09,2.143e+09,2.5e+08,2.5e+08,2.393e+09,4.635e+09,7.372e+09,8.5e+07,7.287e+09,-2.181e+09,4e+06,5.195e+09,7.091e+09,1.1726e+10,2.02e+08,4.91e+08,-8e+06,3.1e+07,-3.9e+07,-3.59e+08,-3.24e+08,-5.9e+07,6.6e+07,-4.2e+07,3.26e+08,-3.1e+07,-6.2e+07,329118252.489354,6e+06,-2.5e+07,-2.8e+08,5.9e+07,-2.21e+08,8e+07,8e+07,8e+07,6.92e+08,2.761e+09,2.95e+08,0.2546,0.11552,0.11724,0.02877,0.0174,1.44608,1.68109,0.65365,0.23546,0.24105,0.20386,2.05601,6.13849,0.34858,0.02019,0.0292,1.72832,5.95025
"2","2010_Q3",7.43703125,"Down",1.961e+09,-1.319e+09,6.42e+08,-2.27e+08,-1e+08,-1.48e+08,2.1e+07,4.15e+08,-4.5e+07,-4.4e+07,-4.6e+07,2e+06,-1000000.00000001,3.7e+08,3.7e+08,-4e+06,1.3e+07,3.79e+08,3.79e+08,3.65e+08,3.65e+08,2938326902.39904,2938365643.25479,1618225639.49215,1340346270.23871,322688644.397767,322688644.397767,6219587456.52767,6077647068.95149,468653980.47827,703423331.735994,335367653.859596,368051171.848856,7249724381.16576,13469311837.6934,863528656.05568,863528656.05568,1007837744.99224,451345060.061691,2322711461.10961,2264344546.3062,435873363.622259,435873363.622259,2700217909.92846,5022929371.03807,8105416458.36026,91950113.9389859,8013466344.42127,-1371028165.4897,17984628.5632103,6752372921.40169,8446382466.65535,13469311837.6934,3.79e+08,4.46e+08,49999999.9999999,2.2e+07,28000000.0000001,-7.1e+07,1.4e+07,-4.3e+07,2.98023223876953e-08,-4.2e+07,8.04e+08,-8.8e+07,-9.3e+07,170399029.160752,-7e+06,-2.38e+08,-89999999.9999999,-1.71e+08,-2.61e+08,3.05e+08,3.05e+08,3.05e+08,8.61e+08,0,7.06e+08,0.32738,0.21163,0.18613,0.0545597453572603,0.0353414958435067,1.93425,2.57920178683827,0.597494845863939,0.24192972181752,0.43063,0.36308,2.31359,7.20987528854038,0.83294,0.040286748063927,0.0708380694224951,0.490184949088446,1.4339476316848
"3","2010_Q4",7.68078125,"Up",2.288e+09,-1.44e+09,8.48e+08,-3.08e+08,-1.9e+08,-1.42e+08,2.4e+07,5.4e+08,-3.9e+07,-4e+07,-4.4e+07,4e+06,1e+06,5.01e+08,9.38e+08,4.1e+07,-1.9e+07,9.6e+08,9.6e+08,9.39e+08,9.39e+08,3237526902.39904,3237565643.25479,1693325639.49215,1583846270.23871,435788644.397767,435788644.397767,6950487456.52767,6125847068.95149,542353980.47827,761723331.735994,329367653.859596,432351171.848856,7429924381.16576,14380411837.6934,1094328656.05568,1094328656.05568,972437744.992238,444345060.061691,2511111461.10961,2031444546.3062,514173363.622259,514173363.622259,2545617909.92846,5056729371.03807,8445816458.36026,96450113.9389859,8349366344.42127,-845428165.489705,14084628.5632103,7614472921.40169,9323682466.65535,14380411837.6934,9.6e+08,4.76e+08,-4.22e+08,2e+07,-3.98e+08,-1.25e+08,-2.46e+08,1.4e+07,9.9e+07,8e+06,8.89e+08,-6.4e+07,-1.14e+08,63359611.664301,2.1e+07,4.4e+07,-3.78e+08,-1.12e+08,-4.9e+08,4.43e+08,4.43e+08,4.43e+08,1.016e+09,0,7.86e+08,0.37063,0.23601,0.4104,0.0522377453572603,0.0344214958435067,0.83706,2.72167278683827,0.543631845863939,0.20924172181752,1.06054,0.8948,2.58414,7.88311128854038,0.88773,0.039336748063927,0.0746880694224951,-0.232375050911554,-0.617857368315204
"4","2011_Q1",10.4006451612903,"Up",2.493e+09,-1.712e+09,7.81e+08,-3.48e+08,-1.41e+08,-1.97e+08,-1e+07,4.33e+08,-3.3e+07,-3.1e+07,-4.1e+07,1e+07,-2e+06,4e+08,4e+08,-2.5e+07,-1.6e+07,3.59e+08,3.59e+08,3.42e+08,3.42e+08,2.913e+09,2.913e+09,1.531e+09,1.77e+09,4.54e+08,4.54e+08,6.668e+09,6.601e+09,5.82e+08,8.42e+08,3.23e+08,5.19e+08,8.025e+09,1.4693e+10,1.509e+09,1.509e+09,7.12e+08,4.81e+08,2.702e+09,1.648e+09,5.27e+08,5.27e+08,2.175e+09,4.877e+09,8.545e+09,9.9e+07,8.446e+09,-5.36e+08,1.1e+07,8.02e+09,9.816e+09,1.4693e+10,3.59e+08,5.09e+08,1.13e+08,2e+07,9.4e+07,9.6e+07,4e+07,-3.3e+07,3.6e+07,5.3e+07,1.077e+09,-3.39e+08,-3.47e+08,0,-2.99e+08,-2.29e+08,-91999999.9999999,-1.35e+08,-2.48e+08,6e+08,6e+08,6e+08,9.42e+08,2.36e+09,7.24e+08,0.31328,0.17369,0.13718,0.03484,0.02328,2.11696,2.4678,0.49684,0.16062,0.35232,0.29807,2.56825,8.26208,0.74585,0.02692,0.05699,-0.58705,-1.27714
"5","2011_Q2",9.74047619047619,"Down",2.252e+09,-1.728e+09,5.24e+08,-1.34e+08,-1.4e+08,-1.85e+08,1.91e+08,3.9e+08,-1.44e+08,-3e+07,-3.8e+07,8e+06,-1.14e+08,2.46e+08,2.46e+08,-4.8e+07,-2.6e+07,1.72e+08,1.72e+08,1.55e+08,1.55e+08,2.411e+09,2.411e+09,1.362e+09,1.892e+09,4.55e+08,4.55e+08,6.12e+09,7.044e+09,5.81e+08,8.72e+08,3.12e+08,5.6e+08,8.497e+09,1.4617e+10,1.823e+09,1.823e+09,4.68e+08,4.67e+08,2.758e+09,1.348e+09,5.17e+08,5.17e+08,1.865e+09,4.623e+09,8.572e+09,1e+08,8.472e+09,-3.81e+08,3.5e+07,8.226e+09,9.994e+09,1.4617e+10,1.72e+08,5e+08,1.73e+08,1.9e+07,1.54e+08,-1.13e+08,1.73e+08,-1.28e+08,-1.92e+08,3.4e+07,7.32e+08,-4.31e+08,-4.65e+08,-27679805.8321505,-5e+06,-4.36e+08,-6.35e+08,-1.63e+08,-7.98e+08,-5.02e+08,-5.02e+08,-5.02e+08,8.9e+08,1.816e+09,3.94e+08,0.23268,0.17318,0.06883,0.01551,0.0106,2.54194,2.219,0.46258,0.12424,0.15932,0.1503,2.31473,8.45513,0.40497,0.01257,0.03196,-0.66854,-1.52564
"6","2011_Q3",6.57125,"Down",2.257e+09,-1.822e+09,4.35e+08,-2.56e+08,-1.46e+08,-1.86e+08,7.6e+07,1.79e+08,-2.1e+07,-2.1e+07,-2.8e+07,7e+06,0,1.58e+08,1.58e+08,-3.5e+07,-4.8e+07,7.5e+07,7.5e+07,7.2e+07,7.2e+07,2.184e+09,2.184e+09,1.393e+09,1.957e+09,4.58e+08,4.58e+08,5.992e+09,7.055e+09,5.35e+08,8.16e+08,3.09e+08,5.07e+08,8.406e+09,1.4398e+10,1.815e+09,1.815e+09,4.2e+08,3.55e+08,2.59e+09,1.32e+09,5.26e+08,5.26e+08,1.846e+09,4.436e+09,8.67e+09,1e+08,8.57e+09,-3.09e+08,1.01e+08,8.462e+09,9.962e+09,1.4398e+10,7.5e+07,5.03e+08,8e+07,1.9e+07,6.1e+07,1.51e+08,-1.9e+07,-6.8e+07,2.86e+08,-4.8e+07,8.09e+08,-6.62e+08,-7.24e+08,-27679805.8321505,3e+07,-8.02e+08,-1.77e+08,-5.7e+07,-2.34e+08,-2.27e+08,-2.27e+08,-2.27e+08,6.82e+08,1.74e+09,2.06e+08,0.19273,0.07931,0.0319,0.00723,0.005,2.86111,2.31351,0.44529,0.12085,0.07287,0.06941,2.28418,8.56391,0.20848,0.00589,0.01685,-0.65103,-2.48045
"7","2011_Q4",5.6015873015873,"Down",2.139e+09,-1.661e+09,4.78e+08,-2.41e+08,-1.51e+08,-2.11e+08,1.21e+08,2.37e+08,-1.2e+07,-2.2e+07,-2.8e+07,6e+06,1e+07,2.25e+08,2.25e+08,-1.04e+08,-4.4e+07,7.7e+07,7.7e+07,7.5e+07,7.5e+07,2.395e+09,2.395e+09,1.495e+09,2.068e+09,1e+08,1e+08,6.058e+09,7.103e+09,4.99e+08,9.1e+08,4.24e+08,4.86e+08,8.512e+09,1.457e+10,1.912e+09,1.912e+09,1.84e+08,4.92e+08,2.588e+09,1.388e+09,5.62e+08,5.62e+08,1.95e+09,4.538e+09,8.698e+09,1e+08,8.598e+09,-2.34e+08,1.19e+08,8.583e+09,1.0032e+10,1.457e+10,7.7e+07,5.47e+08,1.24e+08,1.9e+07,4e+06,-1.59e+08,-4.4e+07,-1.49e+08,-5.4e+07,8.8e+07,5.89e+08,-4.65e+08,-4.93e+08,-7999999.99999999,3.5e+08,2.5e+07,-3.27e+08,-7.6e+07,-4.03e+08,2.11e+08,2.11e+08,2.11e+08,7.84e+08,1.572e+09,2.64e+08,0.22347,0.1108,0.03506,0.00748,0.00515,3.52,2.3408,0.45235,0.10789,0.07508,0.072,2.14136,8.59245,0.26429,0.00616,0.0217,-1.04974,-3.47257
"8","2012_Q1",7.93693548387097,"Up",2.14e+09,-1.819e+09,3.21e+08,-4.41e+08,-1.55e+08,-2.09e+08,-7.7e+07,-1.2e+08,-3.3e+07,-2.8e+07,-3e+07,2e+06,-5e+06,-1.53e+08,-77999999.9999999,-1.6e+07,-4e+07,-1.34e+08,-1.34e+08,-1.35e+08,-1.35e+08,2.16e+09,2.16e+09,1.497e+09,2.08e+09,9.5e+07,9.5e+07,5.832e+09,7.555e+09,5.35e+08,8.3e+08,4.14e+08,4.16e+08,8.92e+09,1.4752e+10,1.83e+09,1.83e+09,1.4e+08,5.1e+08,2.48e+09,1.861e+09,5.59e+08,5.59e+08,2.42e+09,4.9e+09,8.708e+09,9.8e+07,8.61e+09,-3.7e+08,1.32e+08,8.47e+09,9.852e+09,1.4752e+10,-1.34e+08,5.55e+08,2.3e+07,1.9e+07,1999999.99999999,-9e+07,-5.6e+07,-1.2e+07,-1.28e+08,1.06e+08,3.54e+08,-8.65e+08,-8.68e+08,0,4.5e+07,-8.29e+08,-76000000.0000001,4.51e+08,2.4e+08,-2.35e+08,-2.35e+08,-2.35e+08,4.35e+08,2.001e+09,-5.04e+08,0.15,-0.05607,-0.06308,-0.0137,-0.00915,3.73333,2.35161,0.49736,0.13564,-0.13607,-0.14679,2.15704,8.53745,-0.50801,-0.01088,-0.04061,-0.36552,1.325
"9","2012_Q2",6.25777777777778,"Down",2.09e+09,-1.785e+09,3.05e+08,-3.87e+08,-1.51e+08,-2.3e+08,-6e+06,-8.2e+07,-3.3e+07,-3.3e+07,-3.5e+07,2e+06,0,-1.15e+08,-1.15e+08,2e+06,-7.4e+07,-1.87e+08,-1.87e+08,-1.87e+08,-1.87e+08,1.915e+09,1.915e+09,1.383e+09,2.097e+09,9.6e+07,9.6e+07,5.491e+09,7.472e+09,3.97e+08,8.51e+08,4.01e+08,4.5e+08,8.72e+09,1.4211e+10,1.413e+09,1.413e+09,1.46e+08,4.62e+08,2.021e+09,1.973e+09,5.08e+08,5.08e+08,2.481e+09,4.502e+09,8.727e+09,9.9e+07,8.628e+09,-5.57e+08,1.01e+08,8.271e+09,9.709e+09,1.4211e+10,-1.87e+08,5.64e+08,1.11e+08,2e+07,9.1e+07,-8.4e+07,1.01e+08,-1.7e+07,-9.7e+07,-7.1e+07,4.04e+08,-6.88e+08,-6.97e+08,-1.49011611938477e-08,-2.6e+07,-7.14e+08,-4.8e+07,1.13e+08,6.5e+07,-2.45e+08,-2.45e+08,-2.45e+08,4.82e+08,2.119e+09,-2.92e+08,0.14593,-0.03923,-0.08947,-0.01926,-0.01316,1.5615,2.71697,0.46369,0.14911,-0.19054,-0.19054,2.12961,8.42776,-0.29753,-0.01516,-0.02367,0.42324,-2.4878
"10","2012_Q3",6.25507936507937,"Down",2.009e+09,-1.799e+09,2.1e+08,-4.03e+08,-1.74e+08,-2.22e+08,-7e+06,-1.93e+08,-7e+06,-3.3e+07,-3.5e+07,2e+06,2.6e+07,-2e+08,-2e+08,-9e+06,-7.3e+07,-2.82e+08,-2.82e+08,-2.82e+08,-2.82e+08,2.094e+09,2.094e+09,1.241e+09,2.081e+09,2.43e+08,2.43e+08,5.659e+09,7.357e+09,3.35e+08,7.88e+08,4e+08,3.88e+08,8.48e+09,1.4139e+10,1.457e+09,1.457e+09,1.5e+08,4.95e+08,2.102e+09,2.165e+09,5.13e+08,5.13e+08,2.678e+09,4.78e+09,8.757e+09,9.9e+07,8.658e+09,-8.39e+08,6.8e+07,7.986e+09,9.359e+09,1.4139e+10,-2.82e+08,5.69e+08,1.38e+08,3e+07,1.08e+08,1.49e+08,1.24e+08,1.6e+07,5.7e+07,-4.8e+07,5.74e+08,-3.53e+08,-3.92e+08,4.1e+07,-1.57e+08,-4.69e+08,-5.3e+07,1.27e+08,7.4e+07,1.79e+08,1.79e+08,1.79e+08,3.76e+08,2.315e+09,1.81e+08,0.10453,-0.09607,-0.14037,-0.03013,-0.01994,-0.64184,2.6922,0.51074,0.16373,-0.28694,-0.28694,2.04416,8.12576,0.18417,-0.02314,0.01485,0.58777,-1.14508
