"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.48,"Up",1219938000,-2615084026.54987,-611635112.08707,-1153668000,-304712000,-637951000,66270000,-31841000,-33336000,1495000,34429000,-11937000,22492000,-9620000,12872000,-499000,-499000,12373000,12373000,12373000,345023383.674426,345023383.674426,520421277.951202,520421277.951202,56662609.582407,70571577.3068843,70571577.3068843,992678848.514919,4425910174.20277,4425910174.20277,1124364335.73348,137373791.470812,627487138.369214,359503405.89345,5550274509.93625,6542953358.45117,758606894.850158,287791367.59952,470815527.250637,-87408020.1571106,671198874.693047,3051584626.14407,1603599577.12535,965660561.345907,637939015.77944,4655184203.26941,5326383077.96246,769193315.20451,26234162.7927254,742959152.411785,1010662010.07716,-563285044.792966,1216570280.48871,1216570280.48871,6542953358.45117,12872000,12373000,499000,211005000,-1080000,-11070000,9990000,48999000,-410000,-423000,311000,49521000,271796000,-200101000,-200101000,-200101000,67326000,-135184000,-13384000,-78671000,-5.2e+07,-26671000,-27381000,-23083000,1991000,-25074000,-58000,-115196000,21416000,-3118000,18298000,-1696000,16602000,277275000,0,135793000,-0.515117121377367,0.05432,0.01014,0.0118720106863347,0.00160072747347774,10.97495,1.19413353926831,4.2811620860326,0.451097967527982,0.22482,0.22458,22.16658,22.75818967897,2.46739,0.24319,0.00350691632976219,0.00314835328155283,1.08171,21.1265415321432,449.538239010563
"2","2010_Q3",28.93765625,"Down",1286123000,-1862543815.92992,-255924867.252242,-1193082000,-310241000,-676080000,93041000,-30807000,-31152000,345000,62234000,-10027000,52207000,-21607000,30600000,-759000,-759000,29841000,29841000,29841000,108414000,108414000,622773000,622773000,51214000,125145000,125145000,907546000,4788866000,4788866000,641641000,37416000,216286000,387939000,5430507000,6338053000,789470000,363500000,425970000,380909000,1170379000,2091167000,1701828000,1012159000,689669000,3792995000,4963374000,764536000,26209000,738327000,1014994000,-404851000,1374679000,1374679000,6338053000,30600000,29841000,759000,206761000,-4902000,-11924000,7022000,27473000,-30330000,-746000,17630000,40919000,259932000,-344288000,-344288000,-344288000,70914000,-273374000,-13170000,53548000,239700000,-186152000,-199030000,-27641000,4950000,-32591000,-98000,12639000,-803000,-3983000,-4786000.00000001,-1927000,-6713000,299802000,2472076000,4594000,-0.20657227282642,0.07234,0.0232,0.02171,0.00471,0.153950000000002,0.77543,3.61057,0.39004,0.5699,0.56859,24.56214,26.25337,0.0877400000000002,0.25152,0.00775,0.00083,0.44134,7.88408,25.40452
"3","2010_Q4",32.10859375,"Up",1316948000,-1416430407.96496,-826933.626120806,-1216179000,-314706000,-691544000,100769000,-29212000,-31897000,2685000,71557000,-9559000,61998000,-22324000,39674000,-839000,-839000,38835000,38835000,38835000,134696000,134696000,623951000,623951000,53378000,137807000,137807000,949832000,4812024000,4812024000,647899000,37356000,217204000,393339000,5459923000,6409755000,714702000,305097000,409605000,463466000,1178168000,2066319000,1756969000,1063951000,693018000,3823288000,5001456000,761084000,25869000,735215000,1017536000,-370321000,1408299000,1408299000,6409755000,39674000,38835000,839000,209929000,49949000,44562000,5387000,-26477000,1373000,-1963000,-8607000,-17280000,273075000,-316513000,-316513000,-316513000,65054000,-255839000,-14049000,52074000,-235700000,287774000,-13149000,-30078000,4183000,-34261000,-2039000,5908000,23144000,-491000,22653000,3629000,26282000,310698000,2529785000,-9968000,0.000783863586789835,0.07652,0.02949,0.02758,0.00606,-0.25668,0.80619,3.55142,0.39468,0.75543,0.75358,25.61757,27.39455,-0.1939,0.27328,0.00929,-0.00175,0.36176,7.70874,23.76811
"4","2011_Q1",34.8109677419355,"Up",1313426000,-1204705802.65499,169286688.791293,2773330000,274284000,1871351000,20378000,-31020000,-33609000,2589000,-10642000,60250000,49608000,-8146000,41462000,-4341000,-4341000,37121000,37121000,37121000,213053000,213053000,615003000,615003000,58701000,136544000,136544000,1023301000,4808061000,4808061000,821012000,72269000,355842000,392901000,5629073000,6652374000,711395000,294380000,417015000,420124000,1131519000,2326878000,1789664000,1108856000,680808000,4116542000,5248061000,761127000,25587000,735540000,1019785000,-376599000,1404313000,1404313000,6652374000,41462000,37121000,4341000,206146000,26600000,19529000,7071000,-50223000,11347000,-4376000,-2428000,-54766000,223985000,-209190000,-209190000,-209190000,96231000,-318067000,-13871000,213489000,222939000,-9450000,-9108000.00000001,-25470000,5904000,-31374000,-87000,174061000,79979000,-3339000,76640000,1717000,78357000,226524000,2747002000,-24743000,0.126331287862263,0.01552,0.02826,0.02643,0.00558,-0.66655,0.90436,3.7371,0.41294,0.73165,0.72732,25.88746,27.67883,-0.48768,0.2734,0.00858,-0.00416,0.37367,11.18623,124.34729
"5","2011_Q2",37.2971428571429,"Up",1425376000,-1155332000,270044000,-207738000,-173109000,-34629000,62306000,-30277000,-34419000,4142000,32029000,11581000,43610000,-17753000,25857000,-732000,-732000,25125000,25125000,25125000,155640000,155640000,679336000,679336000,62914000,147222000,147222000,1045112000,5073476000,5073476000,863595000,82006000,378746000,402843000,5937071000,6982183000,912425000,466955000,445470000,467974000,1380399000,2341142000,1820366000,1135461000,684905000,4161508000,5541907000,767007000,25672000,741335000,1022569000,-349300000,1440276000,1440276000,6982183000,25857000,25125000,732000,205937000,12809000,12781000,28000,-26491000,-51090000,-3750000,31408000,-3059000,218112000,-313218000,-313218000,-313218000,85727000,-311267000,-13945000,58915000,-290132000,349047000,-820000,-6814000,5222000,-12036000,-1732000,36424000,-56731000,-1023000,-57754000,341000,-57413000,268243000,2809116000,-53713000,0.18945,0.04371,0.01763,0.01744,0.0036,-2.13783,0.75711,3.84781,0.40233,0.49629,0.49254,28.15502,28.44933,-1.06098,0.27545,0.00644,-0.00885,0.55502,9.89206,42.58781
"6","2011_Q3",34.56375,"Down",1513344000,-1196271000,317073000,-225342000,-195168000,-30174000,91731000,-32379000,-32974000,595000,59352000,15658000,75010000,-34096000,40914000,-881000,-881000,40033000,40033000,40033000,130156000,130156000,752863000,752863000,64884000,157558000,157558000,1105461000,5450476000,5450476000,888352000,85975000,381499000,420878000,6338828000,7444289000,891298000,395490000,495808000,293882000,1185180000,2947899000,1851931000,1159365000,692566000,4799830000,5985010000,778477000,25566000,752911000,1027281000,-346479000,1459279000,1459279000,7444289000,40914000,40033000,881000,214858000,27811000,27342000,469000,-27504000,-33318000,-967000,-9887000,16668000,256079000,-504159000,-504159000,-504159000,89739000,-679228000,-13880000,429572000,453527000,-23955000,-375630000,-14976000,15035000,-30011000,-5049000,395667000,-27482000,-523000,-28005000,2521000,-25484000,306589000,3241781000,-190978000,0.20952,0.06061,0.02645,0.02743,0.00538,-4.77051,0.93274,4.10135,0.43547,0.79201,0.78491,29.93994,28.87032,-3.7783,0.2746,0.00823,-0.02914,0.34671,10.14917,33.92119
"7","2011_Q4",35.2604761904762,"Up",1570720000,-1239948000,330772000,-230364000,-200096000,-30268000,100408000,-31023000,-32745000,1722000,69385000,18270000,87655000,-30722000,56933000,-409000,-409000,56524000,56524000,56524000,115786000,115786000,758693000,758693000,64462000,159465000,159465000,1098406000,5455260000,5455260000,892109000,86021000,379239000,426849000,6347369000,7445775000,907540000,408460000,499080000,255359000,1162899000,2943235000,1888213000,1190812000,697401000,4831448000,5994347000,785865000,25563000,760302000,1062460000,-396897000,1451428000,1451428000,7445775000,56933000,56524000,409000,224466000,23440000,28031000,-4591000,4848000,-20112000,-152000,-1234000,26346000,309687000,-347758000,-347758000,-347758000,97415000,-263943000,-14864000,-42007000,-265359000,223352000,-41505000,-3422000,5956000,-9378000,-1235000,-61528000,-15784000,428000,-15356000,986000,-14370000,324874000,3198594000,12686000,0.21059,0.06392,0.03599,0.03894,0.00759,0.22444,0.94454,4.12997,0.42959,1.12091,1.11373,31.14839,28.78276,0.25157,0.29476,0.01092,0.00194,0.26297,9.48924,30.70281
"8","2012_Q1",39.1804838709677,"Up",1541094000,-1214325000,326769000,-236980000,-202871000,-34109000,89789000,-30392000,-33026000,2634000,59397000,13715000,73112000,-25448000,47664000,431000,431000,48095000,48095000,48095000,104572000,104572000,754644000,754644000,65912000,163045000,163045000,1088173000,5673851000,5673851000,855811000,84820000,377306000,393685000,6529662000,7617835000,899457000,391827000,507630000,274366000,1173823000,3107779000,2018080000,1121493000,896587000,5125859000,6299682000,794955000,25572000,769383000,1090363000,-567165000,1318153000,1318153000,7617835000,47664000,48095000,-431000,227001000,22138000,21862000,275999.999999999,-37015000,12500000,-1285000,4370000,-52600000,259788000,-533454000,-533454000,-533454000,130457000,-402734000,-14815000,147384000,148713000,-1329000,-1332000,-1118000,7146000,-8264000,478000,131929000,-11017000,432000,-10585000,-629000,-11214000,316790000,3382145000,-228231000,0.21204,0.05826,0.03121,0.03649,0.00631,-4.74542,0.92703,4.77917,0.44398,0.95425,0.94776,30.57666,26.15331,-4.5283,0.29394,0.00936,-0.03397,0.30804,10.3462,36.50306
"9","2012_Q2",32.7169841269841,"Down",1536276000,-1250186000,286090000,-229233000,-194984000,-34249000,56857000,-30285000,-34765000,4480000,26572000,21126000,47698000,-12822000,34876000,-555000,-555000,34321000,34321000,34321000,113621000,113621000,789256000,789256000,67283000,152181000,152181000,1122341000,6155297000,6155297000,871004000,83126000,377829000,410049000,7026301000,8148642000,1174876000,720599000,454277000,586872000,1761748000,3006302000,2009212000,1117929000,891283000,5015514000,6777262000,809745000,25637000,784108000,1101309000,-539674000,1371380000,1371380000,8148642000,34876000,34321000,555000,226608000,6692000,14356000,-7664000,-81111000,-26520000,-1166000,9448000,-62873000,187065000,-470969000,-470969000,-470969000,107276000,-365769000,-14853000,202838000,-164298000,367136000,-2784000,1236000,13156000,-11920000,-2211000,187010000,8306000,-917000,7389000,1660000,9049000,283465000,3593174000,-255793000,0.18622,0.03701,0.02234,0.02503,0.00421,-7.45296,0.63706,4.94193,0.44095,0.67983,0.674,30.43035,27.16411,-5.06671,0.29421,0.00705,-0.03668,0.43277,12.27507,61.19832
"10","2012_Q3",28.6044444444444,"Down",1563860000,-1248218000,315642000,-222996000,-189332000,-33664000,92646000,-34281000,-35622000,1341000,58365000,15404000,73769000,-27002000,46767000,-44000,-44000,46723000,46723000,46723000,72559000,72559000,793599000,793599000,63826000,129302000,129302000,1059286000,6183105000,6183105000,874567000,80706000,377539000,416322000,7057672000,8116958000,979995000,494420000,485575000,381561000,1361556000,3364087000,2006907000,1144068000,862839000,5370994000,6732550000,813096000,25562000,787534000,1125868000,-554556000,1384408000,1384408000,8116958000,46767000,46723000,44000,233473000,21139000,23086000,-1947000,-15455000,-2599000,3308000,-20609000,4445000,285924000,-733016000,-733016000,-733016000,274088000,-459278000,-14803000,157773000,352233000,-194460000,-202540000,-8755000,2615000,-11370000,-147000,134068000,-39286000,-1332000,-40618000,-444000,-41062000,326119000,3745648000,-395350000,0.20184,0.05924,0.02988,0.03375,0.00576,-8.46157,0.778,4.86313,0.46146,0.92644,0.92161,31.00866,27.45044,-7.83911,0.29352,0.00862,-0.05539,0.31682,11.26303,39.64649
