"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.83765625,"Up",27039000,21999000,29172000,-7173000,5040000,0,3944000,1096000,-9739000,17300000,-18959000,-18959000,-1659000,-1659000,-1659000,760000,-899000,-899000,-899000,-1706000,43814000,306867000,314101000,1614048000,-34072000,1648120000,66056000,3097000,956109.921214552,86720000,2434703000,2099002000,1863356000,235646000,13186000,97295694.7160671,48548000,2160736000,190505000,35947000,-2460000,273967000,273967000,2434703000,-899000,791000,5831000,26662000,32385000,13039000,3069000,-15678000,-57320000,-56890000,-686000,-4414000,0,18975000,13875000,-10630000,-10630000,-10630000,-868000,13186000,38073000,-0.06136,-0.06309,-0.00623,-7e-04,-22.31712,7.88685,0.00542,-0.07238,-0.07238,1.14723,9.50367,1.61538,0.02911,-0.00042,0.01564,-0.40211,35.28571,18.46172
"2","2011_Q1",9.13709677419355,"Up",35280000,23006000,30811000,-7805000,12274000,5.82076609134674e-11,4500000,7774000,-11404000,23876000,-21915000,-21915000,1961000,1961000,1961000,-98000,1863000,1863000,1863000,1052000,74326000,28545000,799856000,1895172000,-34576000,1929748000,66589000,4261000,956000,102463000,2972168000,2535426000,2233455000,301971000,68184000,43495000,51656000,2698761000,190913000,3.7e+07,-4627000,273407000,273407000,2972168000,1863000,797000,-10421000,-1199000,-8960000,16203000,22577000,76895000,187336000,150985000,-664000,44271000,131000,-155251000,-111513000,30512000,30512000,30512000,2758000,111679000,17860000,0.05558,0.02982,0.00385,0.00035,16.97719,9.87086,0.03757,0.03607,0.03607,1.2095,7.65491,0.61229,0.02276,0.00058,0.00601,0.63118,13.54351,19.04793
"3","2011_Q2",8.34222222222222,"Down",30400000,24207000,32137000,-7930000,6193000,224000,4506000,1463000,-7043000,23357000,-21155000,-21155000,2202000,2202000,2202000,-824000,1378000,1378000,1378000,580000,88386000,264508000,377813000,1836550000,-35443000,1871993000,66359000,3973000,956000,279878000,2918423000,2572689000,2256629000,316060000,20257000,20221152.6419665,51620000,2644566000,191097000,37580000,-5089000,273857000,273857000,2918423000,1378000,1112000,-380000,7144000,9254000,8111000,16556000,37682000,-2744000,59605000,-650000,-91422000,10000,37263000,-54799000,14060000,14060000,14060000,3314000,20257000,19393000,0.07243,0.01908,0.00212,2e-04,33.43621,9.65674,0.00694,0.02474,0.02471,1.29693,9.53874,0.82735,0.02773,0.00042,0.00665,1.12069,-20.55794,-30.9396
"4","2011_Q3",8.3115625,"Down",34721000,28747000,35923000,-7176000,5974000,14000.0000000001,4941000,1019000,-9115000,25606000,-22596000,-22596000,3010000,3010000,3010000,-896000,2114000,2114000,2114000,1307000,68552000,218330000,569240000,1812029000,-34523000,1846552000,65925000,3745000,956000,118460000,2857237000,2511363000,2193359000,318004000,17136000,16410652.6419665,51580000,2580079000,191272000,38888000,-3421000,277158000,277158000,2857237000,2114000,1056000,3573000,-6140000,602999.999999998,11896000,-25294000,-3863000,61936000,44675000,-655000,-3121000,-10000,-61326000,-65112000,-19834000,-19834000,-19834000,4066000,17136000,10718000,0.08669,0.03764,0.00472,0.00046,8.20046,9.30905,0.006,0.05574,0.0556,1.48064,9.66904,0.45706,0.02793,0.00069,0.00375,0.50115,-12.64535,-17.08173
"5","2011_Q4",8.94222222222222,"Up",61524000,27802000,34788000,-6986000,33722000,0,5058000,28664000,-7552000,53972000,-29263000,-29263000,24709000,24709000,24709000,-8249000,16460000,16460000,16460000,15643000,55761000,170349000,682421000,1929085000,-35238000,1964323000,71848000,3471000,956000,96488000,3010379000,2628892000,2274458000,354434000,13180000,2.1e+07,52885000,2715957000,191464000,54530000,-2144000,294422000,294422000,3010379000,16460000,1080000,-20484000,28725000,25781000,8420000,41510000,15252000,57310000,160509000,-666000,-3956000,-66624.7964284136,-194459000,-199081000,-12791000,-12791000,-12791000,25789000,34180000,71183000,0.40162,0.25426,0.05313,0.0052,4.55047,9.22471,0.01135,0.66773,0.66261,2.6262,10.40893,3.0385,0.02843,0.00542,0.02365,0.04257,-0.83683,-0.87341
"6","2012_Q1",10.3956451612903,"Up",39686000,32768000,38223000,-5455000,6918000,0,4823000,2095000,-9019000,30667000,-28939000,-28939000,1728000,1728000,1728000,-586999.999999999,1141000,1141000,1141000,321999.999999998,65528000,28515000,882946000,1868419000,-35156000,1903575000,73124000,3250000,956000,71569000,2994307000,2591566000,2196219000,395347000,37665000,2e+07,51306000,2700537000,191726000,54852000,-3535000,293770000,293770000,2994307000,1141000,1131000,13452000,-5196000,10528000,13078000,856999.999999985,41575000,-41794000,13716000,-664000,23485000,28000,-37326000,-14477000,9767000,9767000,9767000,2859000,57665000,11328000,0.04354,0.00811000000000003,0.00109999999999998,0.00011,35.18012,9.19269,0.01926,0.0137200000000001,0.01367,1.69114,10.3568,0.48272,0.0283,0.00033,0.00378,2.06211,-2.75026,-4.55035
"7","2012_Q2",10.9719047619048,"Up",54991000,27727000,32282000,-4555000,27264000,76584.8704136254,4777000,22487000,-12882000,42109000,-34246000,-34246000,7863000,7863000,7863000,-2498000,5365000,5365000,5365000,4550000,64963000,194172000,703440000,1948532000,28689000,1919843000,72755000,4179000,956000,54237000,3043234000,2665360000,2220653000,444707000,28790000,3810000,47577000,2745537000,191729000,59402000,-4318000,297697000,297697000,3043234000,5365000,1143000,-12789000,14003000,7722000,15526000,7035000,17496000,109902000,215009000,-657000,-35399000,2000,-187242000,-223296000,-565000,-565000,-565000,9006000,32600000,41033000,0.14299,0.08274,0.01528,0.0015,9.01824,9.22259,0.01071,0.19148,0.19025,2.31424,10.38688,1.72683,0.02765,0.00171,0.01348,0.1444,-3.59349,-4.11586
"8","2012_Q3",11.0274603174603,"Up",37756000,28881000,33007000,-4126000,8875000,210056.684066918,5092000,3783000.00000001,-7225000,30531000,-26623000,-26623000,3908000,3908000,3908000,-1413000,2495000,2495000,2495000,1678000,60126000,111251000,681791000,1941028000,26198000,1914830000,75192000,3767000,956000,46200000,2920311000,2544672000,2115559000,429113000,19800000,3810000,51090000,2619372000,191840000,61081000,-3026000,300939000,300939000,2920311000,2495000,1188000,816000.000000004,12803000,17302000,13996000,10868000,-15805000,99136000,108195000,-657000,-8989999.99999999,999.999999999884,-120688000,-130334000,-4837000,-4837000,-4837000,5096000,23610000,33308000,0.10351,0.04444,0.00558,0.00057,19.84982,8.704,0.00808,0.0704499999999999,0.06999,1.58505,10.49097,1.39832,0.02758,8e-04,0.01141,0.39154,-7.16562,-9.34391
"9","2012_Q4",10.5561290322581,"Down",38069000,28238000,31651000,-3413000,9831000,319000.155686752,5452000,4379000,-6540000,31529000,-28810000,-28810000,2719000,2719000,2719000,-816000,1903000,1903000,1903000,1076000,57289000,66872000,684410000,1960195000,25901000,1934294000,75609000,3404000,956000,100648000,2949383000,2580117000,2115614000,464503000,17404000,-4.65661287307739e-10,52656000,2650177000,189337000,62156000,-3494000,299206000,299206000,2949383000,1903000,1254000,1147000,-385000,3919000,21688000,2496000,-55351000,49740000,174039000,-665000,-6206000,-2669000,-121255000,-180795000,-2837000,-2837000,-2837000,3973000,17404000,26092000,0.07142,0.02826,0.0036,0.00036,24.24907,8.85737,0.0059,0.04518,0.04489,1.59833,10.41225,1.09547,0.02792,0.00059,0.00885,0.61803,-10.03901,-14.669
"10","2013_Q1",12.3408333333333,"Up",41463000,29559000,32539000,-2980000,11904000,322000,5686000,5896000,-4442000,37021000,-29791000,-29791000,7230000,7230000,7230000,-2558000,4672000,4672000,4672000,3554000,80256000,84523165.1421623,844201000,1934754000,-23593000,1958347000,75983000,3040000,956000,79862000,3019052000,2624663000,2113912000,510751000,50120000,0,65252000,2740035000,190104000,65710000,-4459000,279017000,279017000,3019052000,4672000,1447000,-35590000,-7300000,-36771000,-2720000,8783000,-133053000,-94683000,-221673000,-663000,227269000,-24236000,44547000,281411000,22967000,22967000,22967000,8677000,50120000,1215000,0.17437,0.08571,0.01274,0.00118,0.34187,9.82032,0.0166,0.14893,0.15081,1.73747,10.53281,0.05091,0.02778,0.0014,0.000400000000000001,0.18655,-3.47309,-4.16819
