"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",28.6815873015873,"Up",13300000,-11985000,1315000,-16812000,-3482000,-15497000,-546000,-1094000,383000,165000,-16043000,-17636000,6590000,-11424000,-11424000,12000,-11412000,-11412000,-118331646.555716,-118331646.555716,215239969.74203,789482725.676109,49379208.8900293,49281865.9180898,838862246.00155,1054102215.74358,71151208.5970315,93474347.3001935,93474350.1033077,164625558.700339,923601108.751415,897060309.293682,-13917483.1735858,889152969.431977,323687.611263481,889476657.043241,1054102215.74358,-11424000,3482000,-4018000,-1089000,-13049000,-104000,4e+05,-1447000,-1151000,-3903657.19152404,-595000,3030000,-11170000,-11170000,-11170000,-12015000,0,-19798000,0.09887,-1.16519,-0.85805,0.0108294990041722,0.00904089260513071,1.73484,2.54671706077582,0.184541029645076,0.0894221116486736,-0.12484,-0.12484,0.14549,9.7876160273338,-0.21658,0.0112556586698358,-0.545084706029294,-85.4742080183533,-92.8536901407563
"2","2010_Q3",24.803125,"Down",22035000,-16483000,5552000,-19131000,-3457000,-13579000,520000,-1136000,452000,1204000,-13059000,-14719000,6139000,-8631000,-8631000,8000,-8623000,-8623000,138862000,138862000,282259000,761877000,29531000,29531000,791408000,1073667000,150970000,38898000,38898000,189868000,933254000,894327000,-13207000,883455000,344000,883799000,1073667000,-8631000,3457000,-725000,-4793000,-10692000,-141000,-9000,-4251000,-4401000,-1810194.31491442,-140000,1318000,-13775000,-13775000,-13775000,-10122000,38898000,-21195000,0.25196,-0.61625,-0.39133,-0.00976,-0.00803,2.45796,1.86964,0.21483,0.03623,-0.09414,-0.09414,0.24057,9.64525,-0.2314,-0.00935,-0.02297,9.87591,7.36166
"3","2010_Q4",19.9140625,"Down",27105000,-17925000,9180000,-25477000,-3356000,-16297000,-3698000,-5171000,392000,1081000,-19995000,-21649000,8573000,-13126000,-13126000,10000,-13116000,-13116000,196402000,196402000,273280000,760486000,25138000,25138000,785624000,1058904000,147328000,38323000,38323000,185651000,934553000,881211000,-11678000,872920000,333000,873253000,1058904000,-13126000,3356000,-2092000,74547000,62685000,-822000,10000,-3789000,-4601000,-722097.157457212,-544000,-544000,57540000,57540000,57540000,-12941000,38323000,52211000,0.33868,-0.60125,-0.4839,-0.01502,-0.01239,-3.98071,1.85491,0.2126,0.03619,-0.14301,-0.14301,0.29553,9.51765,0.56927,-0.01439,0.05728,12.21536,9.69988000000001
"4","2011_Q1",25.8661290322581,"Up",37100000,-15895000,21205000,-13198000,-3362000,8007000,-168000,-1211000,243000,8e+05,7839000,-1442000,2547000,-2724000,-2724000,11000,-2713000,-2713000,183827000,183827000,255831000,768406000,27458000,27458000,795864000,1051695000,124607000,54651000,54651000,179258000,935603000,878498000,-10546000,872124000,313000,872437000,1051695000,-2724000,3362000,7168000,-15656000,-7850000,-95000,249000,-5295000,-5141000,-290365.719152404,416000,416000,-12575000,-12575000,-12575000,11369000,54651000,-6929000.00000001,0.57156,0.21582,-0.07313,-0.00311,-0.00258,2.554,2.0531,0.20547,0.05196,-0.02956,-0.02956,0.40418,9.50111,-0.0754900000000001,-0.00293,-0.00747,-11.36213,-16.13288
"5","2011_Q2",22.6077777777778,"Down",73436000,-15087000,58349000,-31761000,-6504000,26588000,337000,-997000,207000,1127000,26925000,21667000,-7553000,14090000,14090000,9000,14099000,14099000,216226000,216226000,286069000,767621000,28559000,28559000,796180000,1082249000,139226000,53938000,53938000,193164000,942638000,892597000,-10377000,888781000,304000,889085000,1082249000,14090000,6504000,20034000,1052000,41680000,-288000,523712.946097381,-4234000,-4522000,-166000,-4593000,-4759000,32399000,32399000,32399000,33092000,53938000,41409000,0.79456,0.36206,0.19199,0.01586,0.01303,2.93702,2.05471,0.21726,0.04984,0.15269,0.15262,0.79532,9.6256,0.44846,0.01495,0.04391,-4.90415,-6.10381
"6","2011_Q3",17.0371875,"Down",25284000,-20254000,5030000,-17983000,-3446000,-12953000,303000,-985000,165000,1123000,-12650000,-20273000,6946000,-13343000,-13343000,7000,-13336000,-13336000,199829000,199829000,266294000,770902000,29349000,29349000,800251000,1066545000,133275000,53146000,53146000,186421000,942568000,879261000,-5854000,879836000,288000,880124000,1066545000,-13343000,3446000,-474000,5319000,-5052000,-1268000,675814.730272052,-10106000,-11374000,0,-71000,29000,-16397000,-16397000,-16397000,-9507000,53146000,-12402000,0.19894,-0.5123,-0.52745,-0.01515,-0.0125,0.92996,1.99808,0.21181,0.04983,-0.14422,-0.14427,0.27344,9.51507,-0.13412,-0.01429,-0.01329,15.42895,11.32425
"7","2011_Q4",14.3815873015873,"Down",26745000,-20052000,6693000,-10544000,-3020000,-3851000,299000,-1077000,436000,940000,-3552000,-3900000,1474000,-2437000,-2437000,6000,-2431000,-2431000,188242000,188242000,250668000,774894000,23101000,23101000,797995000,1048663000,120376000,52427000,52427000,172803000,942681000,876830000,-7793000,875579000,281000,875860000,1048663000,-2437000,3020000,5249000,-5896000,-64000,70000,552259.149310697,-11532000,-11462000,-61000,0,-61000,-11587000,-11587000,-11587000,-831000,52427000,-8131000,0.25025,-0.14399,-0.0909,-0.00277999999999997,-0.00231999999999998,3.34471,2.08238,0.1973,0.04999,-0.02644,-0.02645,0.29094,9.52469,-0.08845,-0.00262,-0.00875999999999999,163.43562,35.26746
"8","2012_Q1",16.7224193548387,"Up",19820000,-16079000,3741000,-5589000,-2870000,-1848000,-5000,-862000,322000,535000,-1853000,-383367000,54791000,-328618000,-328618000,7000,-328611000,-328611000,162391000,162391000,225447000,402148000,33696000,21981000,435844000,661291000,63941000,53458000,53458000,117399000,890314000,-336873000,-9880000,543561000,331000,543892000,661291000,-328618000,2870000,295770000,-16425000,-46403000,-612000,0,25832000,25220000,-1.16415321826935e-10,-4668000,-4668000,-25851000,-25851000,-25851000,1022000,53458000,-70806000,0.18875,-0.09324,-16.57977,-0.60418,-0.49692,0.21547,3.52586,0.21585,0.08084,-3.56367,-3.56367,0.21494,5.89473,-0.76787,-0.55011,-0.11853,-106.58806,58.94643
"9","2012_Q2",16.4063492063492,"Down",30518000,-21561000,8957000,-10558000,-2328000,-1601000,1379000,-831000,476000,1734000,-222000,-222000,-647000,-880000,-880000,6000,-874000,-874000,165689000,165689000,228599000,401001000,33270000,21676000,434271000,662870000,65780000,52776000,52776000,118556000,891438000,-337747000,-9442000,543989000,325000,544314000,662870000,-880000,2328000,7954000,2525000,11927000,-181000,-758657.193808019,-8296000,-8477000,5724129.24252241,-152000,-152000,3298000,3298000,3298000,727000,52776000,3718000,0.2935,-0.05246,-0.02864,-0.00161000000000011,-0.00131999999999999,-4.254,3.47521,0.21781,0.07962,-0.00947,-0.00947,0.33076,5.89594,0.0403,-0.00146000000000002,0.00623,-155.31362,70.52655
"10","2012_Q3",18.1049206349206,"Up",30355000,-21103000,9252000,-11619000,-2457000,-2367000,2529000,-657000,332000,2854000,162000,162000,22000,175000.00000003,175000.00000003,3000,178000,178000,169899000,169899000,230853000,401115000,34410000,22816000,435525000,666378000,69918000,51703000,51703000,121621000,891926000,-337569000,-9662000,544435000,322000,544757000,666378000,175000.00000003,2457000,-9818000.00000003,2918000,-4268000.00000001,-12000.0000000001,-2.3283064365387e-10,8296000,8284000,-431000,625000,194000,4210000,4210000,4210000,89999.9999999991,51703000,2973999.99999999,0.30479,-0.07798,0.00586000000000131,0.00033,0.00027,16.70787,3.30177,0.22326,0.07759,0.00193000000000052,0.00193000000000008,0.3289,5.89898,0.0322199999999999,3e-04,0.00499,-1313.28889,49.93494
