"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","claims_losses","long_term_charges","underwriting_expense_acquisition_cost","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","loans_mortgages","fixed_income_securities_htm","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","life_policy_benefits","other_insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","change_in_insurance_reserves","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.4820634920635,"Up",9.247e+09,4.242e+09,2.872e+09,2.133e+09,8.16e+08,3.89e+08,6.43e+08,9.28e+08,-5.995e+09,-4.243e+09,-1.752e+09,-2.243e+09,1.009e+09,1.009e+09,1.009e+09,-3.51e+08,1e+07,6.68e+08,6.71e+08,2.6e+07,6.97e+08,6.97e+08,2.66475e+11,2.07428e+11,1.0223e+10,5.016e+09,7.088e+09,3.672e+10,9.626e+09,1.4718e+10,2.01042e+11,4.91861e+11,4.11802e+11,2.27394e+11,1.84408e+11,3.066e+09,7.239e+09,2.1641e+10,2.0607e+10,4.64355e+11,0,2.3192e+10,6e+06,2.3186e+10,-1.129e+10,1.4478e+10,6.2e+08,2.7e+10,5.06e+08,2.7506e+10,4.91861e+11,6.71e+08,-3.1e+07,-2.86e+08,-2.86e+08,-4.05e+08,-5.1e+07,-3.846e+09,-3.08e+10,2.6954e+10,1.76e+08,-3.67e+09,-3.4e+07,4.95e+08,1.08e+08,3.87e+08,-1.02e+09,1.407e+09,3e+07,3e+07,-274488694.083085,-5.57e+08,3.51e+08,2.85e+08,-3.436e+09,-3.436e+09,-1.02e+08,-3.538e+09,9.78e+08,2.4707e+10,0.10912,0.07538,0.02534,0.00142,16.88195,0.05023,1.5054,1.47983,19.97192,58.31533,0.07343,0.00151,0.04878,15.42025,14.94648
"2","2010_Q3",35.14921875,"Down",1.0987e+10,4.604e+09,2.912e+09,3.471e+09,8.59e+08,1.786e+09,1.925e+09,8.26e+08,-6.636e+09,-4.887e+09,-1.749e+09,-2.845e+09,1.506e+09,1.506e+09,1.506e+09,-4.26e+08,9e+06,1.089e+09,1.104e+09,-2.7e+07,1.077e+09,1.077e+09,2.73617e+11,2.14035e+11,1.0321e+10,5.023e+09,6.641e+09,3.7597e+10,1.1352e+10,1.4213e+10,1.96806e+11,4.95988e+11,4.13124e+11,2.31235e+11,1.81889e+11,2.219e+09,7.843e+09,2.2399e+10,2.0134e+10,4.65719e+11,0,2.3205e+10,6e+06,2.3199e+10,-1.1236e+10,1.5555e+10,2.2e+09,2.9724e+10,5.45e+08,3.0269e+10,4.95988e+11,1.104e+09,-8e+06,5.54e+08,5.54e+08,9.52e+08,2.602e+09,-541999999.999999,-2.9608e+10,2.9066e+10,2.54e+08,-2.88e+08,-6e+06,-1.28e+08,2.76e+08,-4.04e+08,-1.435e+09,1.031e+09,29999999.9999999,3e+07,-91496231.3610283,2.26e+08,-6.72e+08,-5.5e+08,1.764e+09,1.764e+09,-3.8e+07,1.726e+09,1.498e+09,2.4618e+10,0.13707,0.09802,0.03558,0.00217,15.38601,0.04963,2.32613,2.27696,23.73002,64.1987,0.01296,0.00222,0.0055699999999998,8.85581,8.80876000000001
"3","2010_Q4",35.38484375,"Up",9.917e+09,4.654e+09,3.016e+09,2.247e+09,7.61e+08,2.9e+07,1.19e+08,1.457e+09,-6.224e+09,-4.538e+09,-1.686e+09,-1.943e+09,1.75e+09,1.75e+09,1.75e+09,-5.24e+08,1.4e+07,1.24e+09,1.242e+09,2e+06,1.244e+09,1.244e+09,2.87395e+11,2.26292e+11,1.0544e+10,5.233e+09,7.272e+09,3.8054e+10,1.1973e+10,1.5054e+10,2.12502e+11,5.26924e+11,4.37805e+11,2.38958e+11,1.98847e+11,2.572e+09,9.523e+09,2.2337e+10,2.0619e+10,4.92856e+11,0,2.3228e+10,6e+06,2.3222e+10,-1.1205e+10,1.6794e+10,4.729e+09,3.3546e+10,5.22e+08,3.4068e+10,5.26924e+11,1.242e+09,-1.7e+07,4.89e+08,4.89e+08,3.39e+08,2.053e+09,-2.256e+09,-2.0678e+10,1.8422e+10,8.4e+07,-2.172e+09,-2e+06,2.66e+08,1.7e+08,9.6e+07,-8.9e+07,1.85e+08,1.8e+07,1.8e+07,0,2.27e+08,1.4e+07,5.23e+08,4.04e+08,4.04e+08,2.17e+08,6.21e+08,1.733e+09,2.4909e+10,0.17646,0.12544,0.03652,0.00236,14.46683,0.04727,2.67642,2.62891,21.33606,72.17298,0.0043,0.00241,0.00161,7.46451,7.392
"4","2011_Q1",40.8108064516129,"Up",8.066e+09,4.738e+09,3.065e+09,2.63e+08,8.87e+08,-1.154e+09,-9.05e+08,5.3e+08,-5.828e+09,-4.617e+09,-1.211e+09,-2.363e+09,-1.25e+08,-1.25e+08,-1.25e+08,5.8e+07,4.9e+07,-1.8e+07,-5e+06,-1.2e+07,-1.7e+07,-1.7e+07,2.83912e+11,2.22276e+11,1.0667e+10,5.226e+09,7.741e+09,3.8002e+10,1.2915e+10,1.6435e+10,2.26592e+11,5.39854e+11,4.51469e+11,2.40315e+11,2.11154e+11,1.982e+09,8.524e+09,2.3653e+10,2.1298e+10,5.06926e+11,0,2.4229e+10,6e+06,2.4223e+10,-1.1173e+10,1.6381e+10,2.978e+09,3.2415e+10,5.13e+08,3.2928e+10,5.39854e+11,-5e+06,-4.8e+07,2.911e+09,2.911e+09,-9.2e+08,1.938e+09,-2.467e+09,-2.5037e+10,2.257e+10,75000000.0000001,-2.392e+09,-5.33e+08,8.74e+08,1.3e+08,7.44e+08,-1.194e+09,1.938e+09,9.9e+08,9.9e+08,0,1.99e+08,-1.75e+08,1.355e+09,9.01e+08,9.01e+08,4.1e+07,9.42e+08,-1.73e+08,2.5635e+10,-0.0155,-0.00211,-0.000519999999999993,-2.99999999999996e-05,15.39498,0.04749,-0.0356799999999997,-0.0350900000000003,16.93115,68.04156,1.11881,0.00097,-31.35294,-73.52601,-101.76
"5","2011_Q2",40.4133333333333,"Down",1.017e+10,5.51e+09,3.118e+09,1.542e+09,9.48e+08,-5e+07,5.4e+07,6.44e+08,-6.804e+09,-5.433e+09,-1.371e+09,-2.738e+09,6.28e+08,6.28e+08,6.28e+08,-1.6e+08,1.04e+08,5.72e+08,5.86e+08,-2.5e+07,5.61e+08,5.61e+08,3.2831e+11,2.60907e+11,1.1272e+10,5.102e+09,1.011e+10,4.0919e+10,1.0995e+10,1.6973e+10,2.4273e+11,5.99008e+11,5.08895e+11,2.86919e+11,2.21976e+11,2.432e+09,7.899e+09,2.4033e+10,2.2503e+10,5.65762e+11,0,2.4216e+10,6e+06,2.421e+10,-1.1062e+10,1.6978e+10,2.564e+09,3.2696e+10,5.5e+08,3.3246e+10,5.99008e+11,5.86e+08,-1.9e+07,2.083e+09,2.083e+09,-4.19e+08,2.231e+09,-1.389e+09,-1.8511e+10,1.7122e+10,-2.543e+09,-3.932e+09,-4.1e+07,3.47e+08,5.37e+08,-1.9e+08,-3.34e+08,1.44e+08,4.7e+07,4.7e+07,0,-3.6e+07,-4.88e+08,-1.71e+08,-1.872e+09,-1.872e+09,-4.8e+07,-1.92e+09,6.09e+08,2.6465e+10,0.06175,0.05516,0.01687,0.00094,17.01745,0.04418,1.15694,1.13586,20.9734,67.42834,0.08455,0.00102,0.07308,25.4023,24.63376
"6","2011_Q3",34.570625,"Down",1.2244e+10,6.27e+09,3.327e+09,2.647e+09,1.005e+09,4.68e+08,6.21e+08,1.174e+09,-7.96e+09,-6.035e+09,-1.925e+09,-3.2e+09,1.084e+09,1.084e+09,1.084e+09,-2.92e+08,1e+07,8.02e+08,8.18e+08,-2.9e+07,7.89e+08,7.89e+08,3.35509e+11,2.68028e+11,1.1372e+10,5.091e+09,9.671e+09,4.1347e+10,1.3909e+10,1.7289e+10,2.4667e+11,6.13377e+11,5.18175e+11,2.9124e+11,2.26935e+11,2.152e+09,9.711e+09,2.4578e+10,2.3125e+10,5.77741e+11,0,2.4245e+10,6e+06,2.4239e+10,-1.1027e+10,1.7811e+10,4.014e+09,3.5043e+10,5.93e+08,3.5636e+10,6.13377e+11,8.18e+08,1.86e+08,1.413e+09,1.413e+09,5.26e+08,2.943e+09,-2.525e+09,-2.8839e+10,2.6314e+10,1.5e+08,-2.375e+09,-7999999.99999994,2.84e+08,-3.77e+08,6.61e+08,-2.31e+08,8.92e+08,21999999.9999999,21999999.9999999,-2.98023223876953e-08,1.66e+08,1.755e+09,2.219e+09,2.787e+09,2.787e+09,1.27e+08,2.914e+09,1.27e+09,2.673e+10,0.08853,0.06444,0.02214,0.00129,16.21229,0.04358,1.62346,1.59458,25.19342,72.10494,0.01646,0.00132,0.0101399999999989,10.09528,11.82749
"7","2011_Q4",33.321746031746,"Down",1.4931e+10,6.084e+09,3.333e+09,5.514e+09,9.58e+08,2.528e+09,2.644e+09,2.028e+09,-8.35e+09,-6.208e+09,-2.142e+09,-4.175e+09,2.406e+09,2.406e+09,2.406e+09,-8.6e+08,6.7e+07,1.613e+09,1.604e+09,-1e+07,1.594e+09,1.594e+09,3.5256e+11,2.86116e+11,1.1483e+10,5.195e+09,7.462e+09,4.2304e+10,1.5526e+10,1.6278e+10,2.27109e+11,6.11473e+11,5.16737e+11,3.03951e+11,2.12786e+11,2.899e+09,1.1508e+10,2.392e+10,1.8605e+10,5.73669e+11,0,2.4263e+10,6e+06,2.4257e+10,-1.1738e+10,1.9332e+10,5.292e+09,3.7149e+10,6.55e+08,3.7804e+10,6.11473e+11,1.604e+09,3.5e+07,1.251e+09,1.251e+09,2.757e+09,5.647e+09,-5.055e+09,-3.7011e+10,3.1956e+10,3.78e+08,-4.677e+09,-2e+06,-8.6e+07,4.7e+07,-1.33e+08,-3.26e+08,1.93e+08,-6.75e+08,2e+07,-6.95e+08,1.455e+09,-1.47e+08,5.45e+08,1.515e+09,1.515e+09,1.02e+08,1.617e+09,2.441e+09,2.6819e+10,0.16114,0.10676,0.04216,0.00261,15.17482,0.04386,3.31255,3.25772,31.02868,77.20075,0.00416,0.00266,0.00125,4.62638,4.69368
"8","2012_Q1",40.036935483871,"Up",1.174e+10,6.437e+09,3.346e+09,1.957e+09,1.013e+09,-1.15e+08,46999999.9999995,1.059e+09,-7.707e+09,-5.938e+09,-1.769e+09,-3.187e+09,8.46e+08,8.46e+08,8.46e+08,-2.03e+08,999999.99999997,6.44e+08,6.58e+08,3e+07,6.88e+08,6.88e+08,3.56247e+11,2.88795e+11,1.1559e+10,5.107e+09,7.535e+09,4.3251e+10,1.4251e+10,1.2517e+10,2.37229e+11,6.20244e+11,5.29406e+11,3.05229e+11,2.24177e+11,2.86e+09,9.531e+09,2.4622e+10,1.8984e+10,5.85403e+11,0,2.4299e+10,6e+06,2.4293e+10,-1.192e+10,1.6629e+10,5.245e+09,3.4253e+10,5.88e+08,3.4841e+10,6.20244e+11,6.58e+08,8.8e+07,1.864e+09,1.864e+09,-1.054e+09,1.556e+09,-2.407e+09,-3.018e+10,2.7773e+10,9.6e+07,-2.311e+09,-6.53e+08,85999999.9999999,-1.03e+08,1.89e+08,-8.48e+08,1.037e+09,-2.71e+08,3.3e+07,-3.04e+08,1.87e+08,1.57e+08,-4.94e+08,-1.249e+09,-1.249e+09,-2.6e+07,-1.275e+09,9.34e+08,2.7482e+10,0.07206,0.0586,0.01975,0.00111,16.80213,0.04431,1.46789,1.44295,25.04801,73.08086,1.39322,0.0022,0.94913,14.16595,15.63948
"9","2012_Q2",35.3434920634921,"Down",9.623e+09,6.773e+09,3.32e+09,-4.7e+08,1.049e+09,-1.384e+09,-1.272e+09,-1.35e+08,-7.851e+09,-6.443e+09,-1.408e+09,-2.535e+09,-7.63e+08,-7.63e+08,-7.63e+08,-1.79e+08,7e+06,-9.35e+08,-9.28e+08,-1.1e+07,-9.39e+08,-9.39e+08,3.547e+11,2.87376e+11,1.1419e+10,4.775e+09,8.026e+09,4.3104e+10,1.4201e+10,1.3461e+10,2.55375e+11,6.37737e+11,5.43884e+11,3.01506e+11,2.42378e+11,3.655e+09,1.0502e+10,2.4379e+10,1.9779e+10,6.02199e+11,0,2.4294e+10,6e+06,2.4288e+10,-1.1917e+10,1.5339e+10,7.226e+09,3.4942e+10,5.96e+08,3.5538e+10,6.37737e+11,-9.28e+08,1.05e+08,3.713e+09,3.713e+09,-2.123e+09,7.67e+08,-2.366e+09,-2.7793e+10,2.5427e+10,1.42e+08,-2.224e+09,-4.4e+07,1.084e+09,1.45e+08,9.39e+08,-1.91e+08,1.13e+09,-1.62e+08,6.3e+07,-2.25e+08,-6.7e+08,1.311e+09,1.519e+09,6.2e+07,6.2e+07,-1.12e+08,-5e+07,-6.58e+08,2.8034e+10,-0.07929,-0.09758,-0.02642,-0.00147,16.94521,0.04396,-2.00128,-2.00128,20.50938,74.47144,0.09378,-0.00143,-0.04686,-21.0228,-18.12975
"10","2012_Q3",35.2860317460317,"Down",1.6136e+10,7.556e+09,3.358e+09,5.222e+09,1.062e+09,1.763e+09,1.856e+09,2.397e+09,-9.278e+09,-7.427e+09,-1.851e+09,-3.889e+09,2.969e+09,2.969e+09,2.969e+09,-7.43e+08,6e+06,2.232e+09,2.239e+09,-1.5e+07,2.224e+09,2.224e+09,3.66565e+11,2.98499e+11,1.1456e+10,4.771e+09,7.703e+09,4.4136e+10,1.4242e+10,1.3048e+10,2.53608e+11,6.47463e+11,5.50461e+11,3.08592e+11,2.41869e+11,3.226e+09,1.1669e+10,2.4299e+10,1.9178e+10,6.08833e+11,0,2.4324e+10,6e+06,2.4318e+10,-1.2117e+10,1.7524e+10,8.29e+09,3.8021e+10,6.09e+08,3.863e+10,6.47463e+11,2.239e+09,9.8e+07,2.458e+09,2.458e+09,4.74e+08,5.269e+09,-3.582e+09,-2.5731e+10,2.2149e+10,2.97e+08,-3.285e+09,-5999999.99999988,-5.86e+08,-3.56e+08,-2.3e+08,-4.11e+08,1.81e+08,-2.44e+08,3.1e+07,-2.75e+08,-2.4e+08,-9.37e+08,-2.013e+09,-2.9e+07,-2.9e+07,7e+07,4.1e+07,3.067e+09,2.7525e+10,0.184,0.13783,0.05757,0.00343,15.76063,0.04251,4.77151,4.69694,34.61918,81.57262,0.01287,0.00351,0.00270000000000005,4.33094000000001,4.4739
