"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",17.6075,"Up",119211000,-74087000,45124000,-24628000,-24628000,20496000,-57000,-57000,20439000,20439000,-7622000,12817000,12817000,12817000,12817000,35605659.2986747,35605659.2986747,60006985.4877197,60006985.4877197,124345050.723003,-1156594.73317823,-1156594.73317823,218801100.776219,25115065.5720982,38122662.626237,26552472.9019522,868233.442560489,63237728.1983352,282038828.974554,38963315.7606493,2228973.5888444,36734342.1718049,38963315.7606493,4906778.6461817,630770.013242336,4906778.6461817,43870094.406831,35015580.6283695,202715296.244535,238168734.567723,238168734.567723,282038828.974554,12817000,2137000,-83000,-16689000,-1818000,-3019000,-3019000,97000,190000,-4647000,-4647000,-4420000,22633000,0,10547000,0.37852,0.17193,0.10752,0.00400062252971006,0.00322425030536697,0.82289,5.71291447999036,0.19234323762144,3.06227031491132e-24,0.36001,0.35229,3.34844,6.63722526972437,0.29625,0.00420954163013347,0.197142000654649,-0.938580675975635,-1.01664604992112
"2","2011_Q1",16.9553225806452,"Down",105009000,-62306000,42703000,-21189000,-21189000,21514000,41000,41000,21555000,21555000,-7371000,14184000,12221000,12221000,12221000,30463000,30463000,101851000,101851000,120433000,2213000,2213000,254960000,28790000,39409000,26553000,721000,68199000,323159000,48160000,33978000,14182000,48160000,11846000,3210000,11846000,60006000,35102000,225299000,263153000,263153000,323159000,12221000,1996000,2155000,-585000,15787000,-4266000,-4266000,39000,27000,11548000,11548000,11573000,23510000,0,26030000,0.40666,0.20488,0.11638,0.04644,0.03782,2.12994,5.29402,0.22803,0,0.34288,0.3378,2.94622,7.38323,0.73032,0.04444,0.09465,-1.29575,-1.41596
"3","2011_Q2",17.9187301587302,"Up",124374000,-78962000,45412000,-26222000,-26222000,19190000,-70000,-70000,19120000,19120000,-6734000,12386000,12386000,12386000,12386000,32507363.5671084,32507363.5671084,109632421.504093,109632421.504093,124401483.092332,3272198.24439274,3272198.24439274,269813466.407927,32340644.8093006,39917445.7912543,26553175.6993493,722088.852479837,72258090.6005549,342071557.008482,49908144.7464502,42277675.4703852,7630469.27606502,49908144.7464502,13832323.7846061,4232909.99558589,13832323.7846061,63740468.5310563,35416639.7905435,239373401.251822,278331088.477426,278331088.477426,342071557.008482,12386000,1859000,78000,-5148000,9175000,-5154000,-5154000,-772000,-498000,3523000,3523000,3676000,21049000,0,17481000,0.36512,0.15429,0.09959,0.0540489591567633,0.0442135832315443,1.41135,5.37612017333655,0.228771420792853,-1.02075677163711e-24,0.34615,0.33977,3.47588,7.80313657675854,0.48854,0.0516776527899555,0.0624459997817837,-1.52176310800812,-1.66140048335963
"4","2011_Q3",16.27359375,"Down",122840000,-77812000,45028000,-23705000,-23705000,21323000,-13000,-13000,21310000,21310000,-7667000,13643000,12747000,12747000,12747000,38812000,38812000,102305000,102305000,129964000,2993000,2993000,274074000,35485000,40348000,26553000,821000,75833000,349907000,47927000,37608000,10319000,47927000,13240000,4249000,13240000,61167000,35891000,249418000,288740000,288740000,349907000,12747000,1867000,-150000,-4533000,9931000,-5238000,-5238000,-68000,14000,4707000,4707000,4673000,23190000,0,21086000,0.36656,0.17358,0.10377,0.04415,0.03643,1.65419,5.71857,0.21184,0,0.35596,0.3506,3.43033,8.06311,0.58883,0.04221,0.06983,-1.67365,-1.82019
"5","2011_Q4",17.7631746031746,"Up",130576000,-81979000,48597000,-25195000,-25195000,23402000,-12000,-12000,23390000,23390000,-8374000,15016000,11500000,11500000,11500000,45588000,45588000,101142000,101142000,129004000,2480000,2480000,278214000,37745000,41771000,26553000,957000,79516000,357730000,44773000,30586000,14187000,44773000,12901000,3788000,12901000,57674000,36523000,260563000,300056000,300056000,357730000,11500000,1984000,2381000,-4417000,11448000,-4522000,-4522000,-133000,80000,7006000,7006000,6776000,25386000,0,24821000,0.37217,0.17922,0.08807,0.03833,0.03215,2.15835,6.21388,0.19221,0,0.32003,0.31695,3.63377,8.3502,0.69074,0.03675,0.07931,-1.79579,-1.94804
"6","2012_Q1",21.3188709677419,"Up",135642000,-85412000,50230000,-26508000,-26508000,23722000,-8000,-8000,23714000,23714000,-8557000,15157000,16644000,16644000,16644000,50196000,50196000,124324000,124324000,115845000,2661000,2661000,293026000,38904000,44763000,26553000,1083000,83667000,376693000,44553000,31646000,12907000,44553000,15037000,3406000,15037000,59590000,37222000,277071000,317103000,317103000,376693000,16644000,2027000,-785000,-10377000,7509000,-3188000,-3188000,340000,4e+05,4721000,4721000,4608000,25749000,1.57772181044202e-30,20741000,0.37031,0.17489,0.12271,0.05249,0.04418,1.24615,6.57702,0.18792,7.3468396926393e-40,0.46313,0.45744,3.77433,8.82361,0.57713,0.05011,0.06245,-1.94943,-2.11601
"7","2012_Q2",22.9561904761905,"Up",134823000,-84347000,50476000,-26069000,-26069000,24407000,-14000,-14000,24393000,24393000,-9099000,15294000,15578000,15578000,15578000,59808000,59808000,140141000,140141000,117751000,2518000,2518000,320218000,41448000,45073000,26553000,1188000,86521000,406739000,58678000,42968000,15710000,58678000,15012000,3461000,15012000,73690000,37587000,292376000,333049000,333049000,406739000,15578000,1953000,25000,-3531000,14025000,-4495000,-4495000,-214000,-145000,9385000,9385000,9612000,26360000,0,27433000,0.37439,0.18103,0.11554,0.04677,0.0383,1.76101,5.45721,0.22126,0,0.43324,0.42678,3.74956,9.26242,0.76294,0.04476,0.07882,-2.26889,-2.45044
"8","2012_Q3",26.9547619047619,"Up",144172000,-91026000,53146000,-27419000,-27419000,25727000,-38000,-38000,25689000,25689000,-9583000,16106000,19742000,19742000,19742000,65246000,65246000,125580000,125580000,137294000,3010000,3010000,331130000,44403000,45643000,26553000,1070000,90046000,421176000,55446000,46510000,8936000,55446000,14558000,2918000,14558000,70004000,39505000,311667000,351172000,351172000,421176000,19742000,2003000,-3276000,-9083000,9386000,-4959000,-4959000,-11000,1211000,5638000,5638000,5438000,27730000,2.52435489670724e-29,23271000,0.36863,0.17845,0.13693,0.05622,0.04687,1.17876,5.97212,0.19934,1.17549435082229e-38,0.54731,0.53874,3.9969,9.73558,0.64514,0.05398,0.06363,-2.3529,-2.53609
"9","2012_Q4",31.4090322580645,"Up",156411000,-96665000,59746000,-28615000,-28615000,31131000,-38000,-38000,31093000,31093000,-11337000,19756000,20342000,20342000,20342000,66071000,66071000,140556000,140556000,134302000,3792000,3792000,344721000,47369000,46578000,26553000,1436000,93947000,438668000,51733000,38728000,13005000,51733000,14589000,3058000,14589000,66322000,40759000,331587000,372346000,372346000,438668000,20342000,2017000,-353000,-16816000,5190000,-4983000,-4983000,477000,574000,781000,781000,825000,33148000,0,22686000,0.38198,0.19903,0.13005,0.05463,0.04637,1.11523,6.66346,0.17812,0,0.56133,0.56006,4.3161,10.27473,0.62601,0.05257,0.05863,-1.99321,-2.12235
"10","2013_Q1",36.0388333333333,"Up",135014000,-83173000,51841000,-28875000,-28875000,22966000,-33000,-33000,22933000,22933000,-7684000,15249000,15300000,15300000,15300000,27708000,27708000,140180000,140180000,145270000,2332000,2332000,315490000,48758000,48435000,26553000,1323000,97193000,412683000,63685000,42387000,21298000,63685000,16126000,3447000,16126000,79811000,41372000,291500000,332872000,332872000,412683000,15300000,2252000,-494000,3252000,20310000,-3641000,-3641000,-532000,-55030000,-38361000,-38361000,-38363000,25218000,-2.01948391736579e-28,32513000,0.38397,0.1701,0.11332,0.04596,0.03707,2.12503,4.95391,0.23976,-1.88079096131566e-37,0.42231,0.41907,3.72668,9.188,0.89743,0.20062,0.09316,-1.09874,-1.20648
