"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","finished_goods","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",58.1466666666667,"Up",6.348e+09,-3.238e+09,3.11e+09,-1.665e+09,-1.323e+09,-3.42e+08,1.445e+09,-4.2e+07,1.403e+09,1.403e+09,-4.48e+08,9.55e+08,9.55e+08,-2.5e+07,9.3e+08,9.3e+08,4.607e+09,2.848e+09,1.759e+09,3.569e+09,3.569e+09,2.798e+09,8.83e+08,6.08e+08,1.307e+09,1.132e+09,1.132e+09,1.2106e+10,6.859e+09,1.9234e+10,-1.2375e+10,8.359e+09,1.287e+09,5.734e+09,1.255e+09,1.5916e+10,2.8022e+10,2.63e+09,1.582e+09,5.5e+08,4.98e+08,6.98e+08,6.98e+08,1.82e+09,1.82e+09,5.148e+09,5.08e+09,3.943e+09,2.164e+09,1.779e+09,9.023e+09,1.4171e+10,3.269e+09,9e+06,3.26e+09,-1.0187e+10,2.4231e+10,-3.747e+09,1.3566e+10,2.85e+08,1.3851e+10,2.8022e+10,9.55e+08,2.87e+08,1.07e+08,1.12e+08,2.6e+07,-3.1e+07,-2.67e+08,-3.56e+08,-1.9e+08,1.45e+08,1.34e+08,1.082e+09,-1.54e+08,3e+06,-1.57e+08,-1.57e+08,-7.53e+08,6.57e+08,-1.41e+09,-6.3e+07,-9.87e+08,-3.74e+08,-3.8e+07,-2.7e+07,-1.1e+07,-2e+07,1.31e+08,1.51e+08,-2e+07,6e+06,-2.75e+08,-1.8e+08,-1.8e+08,-1.2e+07,-1.92e+08,1.732e+09,5.778e+09,1.759e+09,0.48992,0.22763,0.1465,0.06714,0.03319,1.8914,2.35159,1.0231,0.2062,1.30655,1.28542,8.91824,19.05872,2.4712,0.52543,42.813087649868,0.05532,0.07462,0.40215,0.6761,0.81038
"2","2010_Q3",59.5503125,"Up",6.731e+09,-3.435e+09,3.296e+09,-1.7e+09,-1.35e+09,-3.5e+08,1.596e+09,-4.2e+07,1.554e+09,1.554e+09,-4.14e+08,1.14e+09,1.14e+09,-1.9e+07,1.121e+09,1.121e+09,4.931e+09,3.022e+09,1.909e+09,3.745e+09,3.745e+09,2.98e+09,9.14e+08,7e+08,1.366e+09,1.235e+09,1.235e+09,1.2891e+10,6.715e+09,1.9045e+10,-1.233e+10,8.173e+09,1.268e+09,5.62e+09,1.186e+09,1.5605e+10,2.8496e+10,2.758e+09,1.756e+09,3.86e+08,6.16e+08,7.28e+08,7.28e+08,1.951e+09,1.951e+09,5.437e+09,4.949e+09,3.847e+09,2.137e+09,1.71e+09,8.796e+09,1.4233e+10,3.345e+09,9e+06,3.336e+09,-1.0146e+10,2.4788e+10,-4.016e+09,1.3971e+10,2.92e+08,1.4263e+10,2.8496e+10,1.14e+09,2.72e+08,7.8e+07,5.9e+07,-8000000.00000003,2.7e+07,-3.52e+08,-2.3e+08,-2.38e+08,9.8e+07,1.8e+07,1.138e+09,-1.79e+08,1e+06,-1.8e+08,-1.8e+08,-2.59e+08,7.66e+08,-1.025e+09,6.3e+07,-3.88e+08,-3.75e+08,-3e+07,-5e+06,-2.5e+07,-2.5e+07,-1.38e+08,2.35e+08,-3.73e+08,5.7e+07,-4.86e+08,2.64e+08,2.64e+08,-9e+07,1.74e+08,1.868e+09,5.677e+09,1.751e+09,0.48967,0.23711,0.16654,0.07859,0.03934,1.562,2.37098,0.9979,0.19922,1.56893,1.54472,9.42057,19.55353,2.45066,0.52484,22.5003134132629,0.06289,0.07361,0.33452,0.39936,0.46742
"3","2010_Q4",61.968125,"Up",6.874e+09,-3.583e+09,3.291e+09,-1.715e+09,-1.361e+09,-3.54e+08,1.576e+09,-4e+07,1.536e+09,1.536e+09,-4.11e+08,1.125e+09,1.125e+09,-1.9e+07,1.106e+09,1.106e+09,5.853e+09,4.466e+09,1.387e+09,3.869e+09,3.869e+09,3.215e+09,9.93e+08,7.63e+08,1.459e+09,1.111e+09,1.111e+09,1.4048e+10,6.915e+09,1.9738e+10,-1.2823e+10,8.523e+09,1.279e+09,5.899e+09,1.241e+09,1.6017e+10,3.0065e+10,2.703e+09,1.649e+09,3.16e+08,7.38e+08,6.53e+08,6.53e+08,2.039e+09,2.039e+09,5.395e+09,5.105e+09,3.732e+09,1.853e+09,1.879e+09,8.837e+09,1.4232e+10,3.39e+09,9e+06,3.381e+09,-1.0013e+10,2.5493e+10,-3.366e+09,1.5504e+10,3.29e+08,1.5833e+10,3.0065e+10,1.125e+09,2.78e+08,-1.24e+08,5.7e+07,2e+06,-1.83e+08,4.4e+07,5.7e+07,-9.3e+07,-7e+07,1.5e+08,1.323e+09,-2.25e+08,3e+06,-2.28e+08,-2.28e+08,7.44e+08,1.256e+09,-5.12e+08,-3e+06,4.98e+08,-3.75e+08,-8.9e+07,1e+06,-9e+07,-9e+07,9.7e+07,1.19e+08,-2.2e+07,-9.7e+07,-4.64e+08,1.357e+09,1.357e+09,8.7e+07,1.444e+09,1.854e+09,5.758e+09,2.084e+09,0.47876,0.22927,0.1609,0.06985,0.03679,1.88427,2.60389,0.89888,0.19152,1.54902,1.5251,9.62745,21.71429,2.91877,0.52521,10.5626175299736,0.05848,0.0823,0.33906,-0.05124,-0.06028
"4","2011_Q1",64.7709677419355,"Up",6.709e+09,-3.575e+09,3.134e+09,-1.833e+09,-1.445e+09,-3.88e+08,1.301e+09,-3.9e+07,1.262e+09,1.262e+09,-3.19e+08,9.43e+08,9.43e+08,-1.5e+07,9.28e+08,9.28e+08,4.478e+09,3.377e+09,1.101e+09,3.615e+09,3.615e+09,3.155e+09,9.5e+08,7.29e+08,1.476e+09,9.67e+08,9.67e+08,1.2215e+10,7.279e+09,2.0253e+10,-1.2974e+10,9.976e+09,1.82e+09,6.82e+09,1.262e+09,1.7941e+10,3.0156e+10,2.798e+09,1.662e+09,3.58e+08,7.78e+08,1.269e+09,1.269e+09,2.022e+09,2.022e+09,6.089e+09,4.183e+09,3.867e+09,2.013e+09,1.854e+09,8.05e+09,1.4139e+10,3.477e+09,9e+06,3.468e+09,-1.0266e+10,2.5995e+10,-3.543e+09,1.5663e+10,3.54e+08,1.6017e+10,3.0156e+10,9.43e+08,2.83e+08,-2.57e+08,4.6e+07,-1.9e+08,-1.13e+08,6.62e+08,3.4e+08,1.17e+08,-2.7e+07,2.32e+08,1.631e+09,-5.08e+08,1.8e+07,-5.26e+08,-5.26e+08,5.41e+08,8.81e+08,-3.4e+08,0,-1.749e+09,-3.76e+08,-3.15e+08,7e+06,-3.22e+08,-4.21e+08,-2.78e+08,1.61e+08,-4.39e+08,1e+07,-9.59e+08,-1.077e+09,-1.077e+09,-1.2e+07,-1.089e+09,1.584e+09,5.452e+09,2.057e+09,0.46713,0.19392,0.13832,0.05794,0.03077,2.21659,2.00608,0.88275,0.18079,1.29881,1.27543,9.38978,21.92162,2.87894,0.52624,5,0.05147,0.08119,0.40517,0.6149,0.74865
"5","2011_Q2",67.6447619047619,"Up",7.311e+09,-3.802e+09,3.509e+09,-1.931e+09,-1.533e+09,-3.98e+08,1.578e+09,-3.3e+07,1.545e+09,1.545e+09,-4.42e+08,1.103e+09,1.103e+09,-2.2e+07,1.081e+09,1.081e+09,4.032e+09,2.747e+09,1.285e+09,4.209e+09,4.209e+09,3.489e+09,1.033e+09,8.17e+08,1.639e+09,9.15e+08,9.15e+08,1.2645e+10,7.503e+09,2.0785e+10,-1.3282e+10,1.0461e+10,2.004e+09,7.121e+09,1.258e+09,1.8484e+10,3.1129e+10,2.687e+09,1.815e+09,3.93e+08,4.79e+08,1.133e+09,1.133e+09,2.08e+09,2.08e+09,5.9e+09,4.486e+09,3.856e+09,1.964e+09,1.892e+09,8.342e+09,1.4242e+10,3.608e+09,9e+06,3.599e+09,-1.0398e+10,2.6521e+10,-3.237e+09,1.6494e+10,3.93e+08,1.6887e+10,3.1129e+10,1.103e+09,2.89e+08,1.39e+08,1.16e+08,3e+06,2e+07,-7.98e+08,-4.69e+08,-1.8e+08,8e+07,-2.29e+08,7.33e+08,-2.29e+08,2e+06,-2.31e+08,-2.31e+08,-1.8e+07,7.39e+08,-7.57e+08,-6e+06,-7.24e+08,-3.92e+08,1.5e+07,1.2e+07,3e+06,-1.04e+08,-3.02e+08,3.78e+08,-6.8e+08,-1.8e+07,-6.97e+08,-6.88e+08,-6.88e+08,5.8e+07,-6.3e+08,1.867e+09,5.619e+09,1.282e+09,0.47996,0.21584,0.14786,0.06401,0.03473,1.18594,2.14322,0.84337,0.18051,1.51933,1.48816,10.27547,23.18201,1.80183,0.55095,3.81246082334214,0.05588,0.04863,0.36263,0.85003,1.0057
"6","2011_Q3",61.22390625,"Down",7.68e+09,-4.04e+09,3.64e+09,-1.985e+09,-1.581e+09,-4.04e+08,1.655e+09,-4.1e+07,1.614e+09,1.614e+09,-4.37e+08,1.177e+09,1.177e+09,-1.7e+07,1.16e+09,1.16e+09,4.524e+09,3.376e+09,1.148e+09,4.385e+09,4.385e+09,3.717e+09,1.107e+09,9.07e+08,1.703e+09,9.11e+08,9.11e+08,1.3537e+10,7.624e+09,2.1188e+10,-1.3564e+10,1.0548e+10,2.025e+09,7.233e+09,1.208e+09,1.8745e+10,3.2282e+10,2.802e+09,1.851e+09,3.65e+08,5.86e+08,1.116e+09,1.116e+09,2.285e+09,2.285e+09,6.203e+09,4.484e+09,3.853e+09,1.932e+09,1.921e+09,8.337e+09,1.454e+10,3.692e+09,9e+06,3.683e+09,-1.0511e+10,2.711e+10,-2.961e+09,1.733e+10,4.12e+08,1.7742e+10,3.2282e+10,1.177e+09,3.19e+08,92999999.9999999,5.6e+07,2e+06,3.5e+07,-1.38e+08,-1.17e+08,-1.96e+08,2e+07,1.55e+08,1.451e+09,-2.92e+08,3e+06,-2.95e+08,-2.95e+08,2.23e+08,8.91e+08,-6.68e+08,1.86264514923096e-09,-84999999.9999999,-3.91e+08,-62000000.0000001,-2.5e+07,-37000000.0000001,-3.9e+07,-3.03e+08,3.75e+08,-6.78e+08,1.6e+07,-7.4e+08,6.26e+08,6.26e+08,3e+06,6.29e+08,1.974e+09,5.6e+09,1.981e+09,0.47396,0.21549,0.15104,0.06538,0.03593,1.70776,2.18233,0.81952,0.17347,1.62602,1.5967,10.76535,24.29212,2.77684,0.54808,5,0.05703,0.07284,0.33707,0.54509,0.65015
"7","2011_Q4",57.9533333333333,"Down",7.531e+09,-4.027e+09,3.504e+09,-1.923e+09,-1.534e+09,-3.89e+08,1.581e+09,-3.8e+07,1.543e+09,1.543e+09,-4.4e+08,1.103e+09,1.103e+09,-1.5e+07,1.088e+09,1.088e+09,4.862e+09,3.376e+09,1.486e+09,4.259e+09,4.259e+09,3.604e+09,1.088e+09,8.64e+08,1.652e+09,9.44e+08,9.44e+08,1.3669e+10,7.509e+09,2.1038e+10,-1.3529e+10,1.0332e+10,1.952e+09,7.14e+09,1.153e+09,1.8446e+10,3.2115e+10,2.764e+09,1.689e+09,4.21e+08,6.54e+08,1.204e+09,1.204e+09,2.197e+09,2.197e+09,6.165e+09,4.955e+09,3.583e+09,1.704e+09,1.879e+09,8.538e+09,1.4703e+10,3.734e+09,9e+06,3.725e+09,-1.1211e+10,2.7784e+10,-3.339e+09,1.6968e+10,4.44e+08,1.7412e+10,3.2115e+10,1.103e+09,3.11e+08,-1.29e+08,3.8e+07,-4.2e+07,-1.25e+08,7.7e+07,2.9e+07,1.2e+07,-1.3e+08,1.66e+08,1.362e+09,-3.29e+08,7e+06,-3.36e+08,-3.36e+08,-4.02e+08,7.65e+08,-1.167e+09,0,-7.75e+08,-3.88e+08,6.68e+08,0,6.68e+08,-3.31e+08,-7.37e+08,1.12e+08,-8.49e+08,-4e+06,-4.61e+08,1.26e+08,1.26e+08,-1.26e+08,0,1.892e+09,6.159e+09,2.08e+09,0.46528,0.20993,0.14447,0.06249,0.03388,1.91176,2.21719,0.84442,0.19178,1.53737,1.52061,10.64151,23.97626,2.9391,0.54825,6,0.05436,0.0766,0.35662,0.68552,0.82037
"8","2012_Q1",64.2898387096774,"Up",7.089e+09,-3.824e+09,3.265e+09,-1.901e+09,-1.522e+09,-3.79e+08,1.364e+09,-3.5e+07,1.329e+09,1.329e+09,-3.55e+08,9.74e+08,9.74e+08,-2e+07,9.54e+08,9.54e+08,3.68e+09,2.219e+09,1.461e+09,3.867e+09,3.867e+09,3.416e+09,1.061e+09,8.19e+08,1.536e+09,1.277e+09,1.277e+09,1.224e+10,7.666e+09,2.1166e+10,-1.35e+10,1.0659e+10,1.916e+09,7.047e+09,1.656e+09,1.9376e+10,3.1616e+10,2.674e+09,1.643e+09,3.55e+08,6.76e+08,6.82e+08,6.82e+08,2.085e+09,2.085e+09,5.441e+09,4.484e+09,5.829e+09,3.972e+09,1.857e+09,1.0313e+10,1.5754e+10,3.776e+09,9e+06,3.767e+09,-1.1679e+10,2.8348e+10,-5.025e+09,1.542e+10,4.42e+08,1.5862e+10,3.1616e+10,9.74e+08,3.17e+08,2.56e+08,4.3e+07,2.14e+08,-999999.99999997,1.91e+08,3.52e+08,1.68e+08,-5.3e+07,-2.76e+08,1.738e+09,-4.74e+08,4.3e+07,-5.17e+08,-5.17e+08,-5.48e+08,1.022e+09,-1.57e+09,6e+06,-1.134e+09,-3.84e+08,-9.28e+08,2.4e+07,-9.52e+08,-9.55e+08,-4.57e+08,3.7e+07,-4.94e+08,-8e+06,-1.777e+09,-1.173e+09,-1.173e+09,1.6e+07,-1.157e+09,1.681e+09,5.166e+09,1.753e+09,0.46057,0.19241,0.13457,0.06014,0.03017,1.83753,2.24959,0.99319,0.1634,1.36014,1.34822,10.10693,21.9846,2.49929,0.54748,5,0.04982,0.06527,0.40252,0.884,1.08944
"9","2012_Q2",64.3738095238095,"Up",7.486e+09,-3.889e+09,3.597e+09,-1.963e+09,-1.552e+09,-4.11e+08,1.634e+09,-3.1e+07,1.603e+09,1.603e+09,-4.62e+08,1.141e+09,1.141e+09,-1.6e+07,1.125e+09,1.125e+09,3.731e+09,2.332e+09,1.399e+09,4.323e+09,4.323e+09,3.561e+09,1.112e+09,8.4e+08,1.609e+09,1.238e+09,1.238e+09,1.2853e+10,7.755e+09,2.1484e+10,-1.3729e+10,1.0484e+10,1.865e+09,7.09e+09,1.486e+09,1.9162e+10,3.2015e+10,2.675e+09,1.779e+09,4.23e+08,4.73e+08,6.64e+08,6.64e+08,2.069e+09,2.069e+09,5.408e+09,4.51e+09,5.478e+09,3.686e+09,1.792e+09,9.988e+09,1.5396e+10,3.903e+09,9e+06,3.894e+09,-1.1794e+10,2.8858e+10,-4.785e+09,1.6182e+10,4.37e+08,1.6619e+10,3.2015e+10,1.141e+09,3.13e+08,-1.12e+08,1.03e+08,4.4e+07,-2.59e+08,-5.14e+08,-4.31e+08,-9.6e+07,1.18e+08,-1.05e+08,8.28e+08,-2.57e+08,4e+06,-2.61e+08,-2.61e+08,2.13e+08,1.113e+09,-9e+08,1e+06,-4.3e+07,-4.1e+08,-2.7e+07,-1.8e+07,-9e+06,-1.5e+07,-3.11e+08,2.13e+08,-5.24e+08,2.6e+07,-7.22e+08,6.3e+07,6.3e+07,5e+07,1.13e+08,1.947e+09,5.174e+09,1.638e+09,0.4805,0.21827,0.15028,0.06769,0.03514,1.456,2.37666,0.92641,0.16161,1.61452,1.59326,10.7434,23.22331,2.35075,0.5884,7,0.05629,0.06006,0.36444,0.74114,0.88311
"10","2012_Q3",68.3966666666667,"Up",7.534e+09,-3.87e+09,3.664e+09,-1.936e+09,-1.528e+09,-4.08e+08,1.728e+09,-3.3e+07,1.695e+09,1.695e+09,-5.09e+08,1.186e+09,1.186e+09,-1.9e+07,1.167e+09,1.167e+09,4.903e+09,3.308e+09,1.595e+09,4.364e+09,4.364e+09,3.656e+09,1.095e+09,8.73e+08,1.688e+09,1.165e+09,1.165e+09,1.4088e+10,7.706e+09,2.1443e+10,-1.3737e+10,1.0362e+10,1.842e+09,7.069e+09,1.406e+09,1.9251e+10,3.3339e+10,2.825e+09,1.792e+09,4.4e+08,5.93e+08,6.5e+08,6.5e+08,2.232e+09,2.232e+09,5.707e+09,5.657e+09,5.102e+09,3.355e+09,1.747e+09,1.0759e+10,1.6466e+10,3.963e+09,9e+06,3.954e+09,-1.201e+10,2.9465e+10,-5.012e+09,1.6406e+10,4.67e+08,1.6873e+10,3.3339e+10,1.186e+09,3.21e+08,-98000000.0000001,4.2e+07,4.2e+07,-1.82e+08,-19999999.9999999,-1.22e+08,-1.72e+08,3.2e+07,2.42e+08,1.389e+09,-3.54e+08,4e+06,-3.58e+08,-3.58e+08,-3.16e+08,1.095e+09,-1.411e+09,3e+06,-8.11e+08,-4.1e+08,1.219e+09,-1.6e+07,1.235e+09,-3e+06,-3.73e+08,2.66e+08,-6.39e+08,1.5e+07,4.51e+08,1.029e+09,1.029e+09,-5.3e+07,9.76e+08,2.049e+09,6.307e+09,2.184e+09,0.48633,0.22936,0.1549,0.06916,0.035,1.87147,2.46855,0.97588,0.18918,1.68083,1.66097,10.85122,23.62955,3.14561,0.59052,6,0.05576,0.07722,0.35133,0.68521,0.8125
