"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",22.4803174603175,"Down",7455000,-3074000,4381000,-2167000,-1944000,-223000,2214000,-12000,-12000,2202000,2202000,-882000,1320000,1320000,1320000,1320000,-81760485.865701,-81760485.865701,26754823.7972071,26754823.7972071,2828492.51988011,3697154.22375316,-10049322.4217135,-48480015.3248606,6784635.65029788,15958463.4854953,-112715476.001652,-108667247.517112,22743099.1357932,-25736916.1890675,-20502675.8240167,474090.116846462,31108742.244592,-49999153.9427786,5308407.78469046,-5916065.53374654,-5916065.5337469,-6202127.36483186,-56201281.3076105,-7620980.95191706,38085345.9735304,30464365.118543,30464365.118543,-25736916.1890675,1320000,417000,66000,783000,2586000,-12223000,-351000,22000,29000,1707000,-7930000,-7930000,-7930000,2631000,0,0.58766,0.29698,0.17706,0.613991073712313,0.501597722506663,6.97031099470232,-1.3384818601619,-0.381269196200696,0.41096,0.39903,2.32098,5.09217647388982,0.10928,0.534393280043337,0.26591,12.1076702722788,13.6500446542794
"2","2010_Q3",20.77125,"Down",7754000,-3202000,4552000,-2229000,-1887000,-342000,2323000,-34000,-34000,2289000,2289000,-860000,1429000,1429000,1429000,1429000,-34910242.9328505,-34910242.9328505,15783911.8986035,15783911.8986035,4737746.25994005,2353577.11187658,-4519661.21085675,-12035007.6624303,7091817.82514894,21208731.7427476,-57578238.000826,-44748470.8428402,28300549.5678966,16265541.9054663,-5848337.91200833,533045.058423231,16227371.122296,-15646576.9713893,3529203.89234523,-1390032.76687327,-1390032.76687345,-658063.682415932,-16304640.6538052,-903990.47595853,33474172.9867652,32570182.5592715,32570182.5592715,16265541.9054663,1429000,417000,96000,-454000,1488000,191000,-358000,-27000,47000,-645000,1034000,1034000,1034000,2740000,4.65661287307739e-10,0.58705,0.29959,0.18429,0.310300536856156,0.248808861253332,4.00474049735116,-0.34306093008095,-0.0860045981003479,0.44214,0.4312,2.39913,8.08673323694491,0.11077,0.271791640021668,0.25052,6.07234013613941,6.86721232713972
"3","2010_Q4",23.5746875,"Up",7652000,-3212000,4440000,-2439000,-2046000,-393000,2001000,-33000,-33000,1968000,1968000,-711000,1257000,1257000,1257000,1257000,-8291747.64428349,-8291747.64428349,9650970.63286784,9650970.63286784,5600248.75331335,1503525.70395886,-1217553.73695225,8462997.44585656,7251939.27504965,24424577.2475826,-16287746.0002753,-5549388.33713607,31676516.5226322,40139513.9684888,1742220.69599722,628681.686141077,7228790.37409866,2926141.0095369,2259734.63078174,1344655.74437558,1344655.74437552,2671978.77252802,5598119.78206492,3074669.84134716,31466724.3289217,34541394.1864238,34541394.1864238,40139513.9684888,1257000,465000,125000,1110000,2957000,-6369000,-388000,58000,61000,1966000,-1446000,-1446000,-1446000,2466000,0,0.58024,0.2615,0.16427,0.137070178952052,0.105619620417777,2.34300016578372,0.19240302330635,0.077958467299884,0.38868,0.37466,2.36611,10.0378010789816,0.11998,0.121997213340556,0.30867,2.60133337871314,2.96623744237991
"4","2011_Q1",27.2653225806452,"Up",11366000,-5171000,6195000,-2869000,-2386000,-483000,3326000,-34000,-34000,3292000,3292000,-1115000,2177000,2177000,2177000,2177000,3546000,3546000,7017000,7017000,5714000,1041000,396000,17318000,7308000,25934000,11484000,14450000,33242000,50560000,4331000,723000,2708000,9931000,1500000,2712000,2712000,4212000,14143000,5068000,31349000,36417000,36417000,50560000,2177000,545000,-318000,-567000,1837000,-2217000,-391000,38000,59000,1797000,1417000,1417000,1417000,3871000,7100000,0.54505,0.29263,0.19154,0.05978,0.04306,1.74383,0.38836,0.14043,0.67067,0.65121,3.50154,11.21904,0.12046,0.05555,0.1796,0.91811,1.06855
"5","2011_Q2",28.482380952381,"Up",9297000,-3909000,5388000,-2695000,-2287000,-408000,2693000,-50000,-50000,2643000,2643000,-964000,1679000,1679000,1679000,1679000,6054000,6054000,6543000,6543000,5377000,860000,860000,18834000,7303000,26065000,26065000,20769694.168568,33368000,52202000,3980000,778000,1260000,9580000,1250000,3136000,3136000,4386000,13966000,5829000,32407000,38236000,38236000,52202000,1679000,541000,96000,585000,2901000,-2e+05,-394000,451000,478000,-193000,2508000,2508000,2508000,3234000,6850000,0.57954,0.28966,0.1806,0.04391,0.03216,1.96597,0.36526,0.13122,0.52273,0.50756,2.89446,11.90411,0.12267,0.04299,0.23466,0.24613,0.29558
"6","2011_Q3",32.1971875,"Up",9701000,-3927000,5774000,-2488000,-2182000,-306000,3286000,-49000,-49000,3237000,3237000,-1183000,2054000,2054000,2054000,2054000,4952000,4952000,6680000,6680000,4992000,824000,824000,17448000,7300000,25783000,25783000,18929694.168568,33083000,50531000,3059000,751000,1379000,6409000,1e+06,3136000,3136000,4136000,10545000,5846000,34140000,39986000,39986000,50531000,2054000,561000,96000,-1007000,1704000,-143000,-394000,-19000,34000,-2663000,-1102000,-1102000,-1102000,3847000,4350000,0.5952,0.33873,0.21173,0.05137,0.04065,2.72242,0.26372,0.08609,0.63552,0.61979,3.00155,12.37191,0.12191,0.05157,0.19182,-0.15649,-0.1832
"7","2011_Q4",35.9853968253968,"Up",9650000,-3765000,5885000,-2723000,-2381000,-342000,3162000,-31000,-31000,3131000,3131000,-1144000,1987000,1987000,1987000,1987000,5691000,5691000,6089000,6089000,4857000,827000,827000,17464000,7342000,25416000,10966000,14450000,32758000,50222000,3630000,604000,1660000,4630000,750000,3136000,3136000,3886000,8516000,5872000,35834000,41706000,41706000,50222000,1987000,534000,157000,1626000,4304000,-914000,-428000,27000,7000,-2651000,739000,739000,739000,3696000,1750000,0.60984,0.32767,0.20591,0.04764,0.03956,3.77192,0.20419,0.03485,0.61441,0.59225,2.98392,12.8961,0.13234,0.05183,0.2154,-1.06629,-1.24636
"8","2012_Q1",45.9691935483871,"Up",10968000,-4504000,6464000,-3128000,-2475000,-303000,3336000,-16000,-16000,3320000,3320000,-1121000,2199000,2199000,2199000,2199000,7191000,7191000,6486000,6486000,4438000,1046000,336000,19161000,7266000,24269000,9819000,14450000,31535000,50696000,4262000,573000,2638000,4262000,6367644.84818798,2519000,2519000,2519000,6781000,8170000,35745000,43915000,43915000,50696000,2199000,579000,207000,595000,3580000,-163000.000000001,-429000,262000,799000,-1917000,1500000,1500000,1500000,3915000,0,0.58935,0.30416,0.20049,0.05007,0.04338,4.49578,0.15441,0,0.67745,0.65779,3.37893,13.52896,0.13216,0.0566,0.19509,-1.83678,-2.15558
"9","2012_Q2",45.2971428571429,"Down",10559000,-4104000,6455000,-3236000,-2856000,-380000,3219000,-34000,-34000,3185000,3185000,-1086000,2099000,2099000,2099000,2099000,4593000,4593000,7147000,7147000,5575000,969000,969000,18284000,7311000,41116000,17466000,23650000,48427000,66711000,7194000,985000,4310000,7194000,1.1e+07,2519000,2519000,13519000,20713000,6867000,39131000,45998000,45998000,66711000,2099000,784000,149000,380000,3412000,-16845000,-434000,269000,312000,10835000,-2598000,-2598000,-2598000,4003000,1.1e+07,0.61133,0.30486,0.19879,0.04563,0.03146,2.54156,0.4503,0.16489,0.64111,0.61482,3.22511,14.04948,0.13256,0.04256,0.20677,1.60055,1.99037
"10","2012_Q3",44.5901587301587,"Down",11707000,-4458000,7249000,-3760000,-3241000,-519000,3489000,-36000,-36000,3453000,3453000,-1204000,2249000,2249000,2249000,2249000,2772000,2772000,7416000,7416000,5630000,940000,940000,16758000,7274000,40409000,16769000,23640000,47683000,64441000,5527000,667000,4162000,5527000,8e+06,2519000,2519000,10519000,16046000,7207000,41188000,48395000,48395000,64441000,2249000,891000,289000,-1915000,1514000,-184999.999999996,-437000,287000,301000,-3150000,-1821000,-1821000,-1821000,4380000,8e+06,0.6192,0.29803,0.19211,0.04647,0.0349,3.03202,0.33156,0.12414,0.68525,0.65132,3.56703,14.74558,0.13315,0.04559,0.19431,1.19361,1.49842
