"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",15.3425396825397,"Up",46883000,-12211000,34672000,-19299000,-3186000,-12155000,-3958000,15373000,-13593000,-12991000,-602000,1780000,13265000,13265000,13596000,13596000,13596000,-18183530.8529976,-18183530.8529976,2775473.31135325,2775473.31135325,422005111.742112,193759516.88126,405254707.700552,779937535.374528,424610183.612864,424610183.612864,1240153319.56473,1645408027.26528,-14619969.7063679,-14619969.7063679,780205454.759004,910982473.397278,46288084.9665538,46288084.9665538,40762554.2824875,951745027.679765,651972569.154172,634761218.862483,58901780.7230295,693662999.585512,1645408027.26528,13265000,12155000,-7580000,-3258000,15270000,-129839000,-1609000,-149549000,-9784000,-337143000,-56892000,192722000,58443000,58443000,58443000,27528000,0,0.73954,0.3279,0.29,-0.0135387196485444,-0.00543082970618205,0.420172117737252,1.3709871299085,0.473962711711297,0.43966,0.43966,1.51607,16.4203926741556,0.31639,0.00251174669497378,0.71962,60.9834307610263,141.077724130445
"2","2011_Q3",14.32359375,"Down",51100000,-14322000,36778000,-23252000,-3866000,-13934000,-5452000,13526000,-13533000,-14063000,530000,-7000,-7000,-7000,455000,454999.999999998,454999.999999998,92535000,92535000,4944000,4944000,8077000,8077000,105556000,1402584000,183180000,183180000,1617209000,1722765000,20007000,20007000,944279000,964286000,61224000,61224000,61224000,1025510000,652613000,637445000,59810000,697255000,1722765000,-6000,13934000,-308000,-770000,13437000,127383000,-92372000,-92143000,-12114000,78002999.9999999,4956000,70845000,-7860999.99999999,-7860999.99999999,-7860999.99999999,27460000,944279000,0.71973,0.2647,0.00889999999999996,0.00065,0.00026,0.10947,1.47078,0.54812,0.0117599999999999,0.01176,1.32049,16.47238,0.31304,0.00738,26.62418,31.01763,62.97087
"3","2011_Q4",14.2385714285714,"Down",56293000,-16187000,40106000,-24950000,-3733000,-15827000,-5390000,15156000,-14846000,-14738000,-108000,310000,4291000,4291000,4618000,3052000,3052000,123222000,123222000,6525000,6525000,8760000,8759999.99999999,138507000,1456745000,99913000,99913000,1586254000,1724761000,27769000,27769000,943900000,971669000,62619000,62619000,62619000,1034288000,653325000,633092000,57381000,690473000,1724761000,310000,15827000,1364000,5142000,23116000,-3415000,90556000,20786000,-12112000,-1103000,0,-13215000,30687000,30687000,30687000,30983000,943900000,0.71245,0.26923,0.05422,0.00442,0.00177,0.14255,1.49794,0.54726,0.07887,0.03385,1.4547,16.3601,0.31299,0.00894,3.96855,26.48801,54.14872
"4","2012_Q1",15.9198387096774,"Up",48509000,-15413000,33096000,-20808000,-2842000,-14020000,-3946000,12288000,-12396000,-12788000,392000,-108000,103000,103000,655000,2221000,2221000,112723000,112723000,6810000,6810000,60799000,8978000,180332000,1403946000,96768000,96768000,1528949000,1709281000,24805000,24805000,912067000,969883000,59670000,59670000,59670000,1029553000,654038000,626031000,53697000,679728000,1709281000,102000,14020000,445000,-5442000,13541000,-4905999.99999999,-2087999.99999997,-10783000,-12113000,-7219000,6075000,-13257000,-10499000,-10499000,-10499000,26308000,912067000,0.68227,0.25331,0.04579,0.00327,0.0013,0.18593,1.51465,0.5336,0.05743,0.03891,1.25424,16.18654,0.31319,0.00868,5.45385,30.38407,65.05078
"5","2012_Q2",17.018253968254,"Up",55449000,-14818000,40631000,-23820000,-3725000,-14854000,-5241000,16811000,-14047000,-13901000,-146000,2764000,2764000,2764000,2871000,1856000,1856000,100652000,100652000,5313000,5313000,10178999.9999999,10179000.0000001,116144000,1480467000,99534000,99534000,1606327000,1722471000,25922000,25922000,964942000,990864000,60422000,60422000,60422000,1051286000,654737000,620468000,50717000,671185000,1722471000,2764000,14854000,526000,-272000,18500000,-5990000,-606000,-37912000,-12113000,20739000,-1285000,7341000,-12071000,-12071000,-12071000,31665000,964942000,0.73276,0.30318,0.03347,0.00277,0.00108,0.11721,1.56631,0.56021,0.04801,0.03253,1.43438,16.05053,0.31334,0.00823,6.5264,27.2948,51.41217
"6","2012_Q3",19.4796825396825,"Up",56131000,-15506000,40625000,-23983000,-3911000,-14329000,-5743000,16642000,-14245000,-14028000,-217000,2397000,2397000,2397000,2624000,2624000,2624000,98584000,98584000,4997000,4997000,1706604000,1706604000,1810185000,-227873000,106849000,106849000,-96737000,1713448000,27317000,27317000,964538000,991855000,59190000,59190000,59190000,1051045000,655480000,614781000,47622000,662403000,1713448000,2397000,14329000,512000,-19999.9999999991,16842000,-5961000,-1201000,-5643000,-12113000,-1154000,0,-13267000,-2068000,-2068000,-2068000,30971000,964538000,0.72375,0.29649,0.04675,0.00396,0.00153,1.82505,1.58672,0.56292,0.06788,0.04599,1.45195,15.9026,0.31333,0.00874,4.61623,27.96016,52.03425
"7","2012_Q4",20.3651612903226,"Up",60765000,-16478000,44287000,-26082000,-3894000,-16094000,-6094000,18205000,-14239000,-14247000,8000,3966000,3966000,3966000,4285000,4285000,4285000,34917000,34917000,6076000,6076000,1931966000,1931966000,1972959000,-233471000,121449000,121449000,-112022000,1860937000,33950000,33950000,964068000,998018000,66622000,66622000,207622000,1205640000,656818000,610814000,44483000,655297000,1860937000,3966000,16094000,296000,-356000,20052000,-13677000,-1802000,-211400000,-12114000,139803000,-8000,127681000,-63667000,-63667000,-63667000,34299000,1105068000,0.72882,0.2996,0.07052,0.00654,0.0023,1.97688,1.83984,0.59382,0.1108,0.0751,1.57122,15.79403,0.31324,0.00898,2.82707,31.20065,58.78336
"8","2013_Q1",22.5683333333333,"Up",63121000,-16500407.4704143,46221715.1025356,-89675000,-4063000,-16576000,-69036000,20248000,-15426000,-15152000,-274000,4822000,41542000,41542000,41821000,42307000,26173000,42479000,42479000,6440000,6440000,1906493000,1906493000,1955412000,-238311000,110486000,110486000,-127825000,1827587000,29509000,29509000,1044682000,1074191000,67667000,67667000,67667000,1141858000,663986000,638361000,47368000,685729000,1827587000,4822000,16576000,884000,-1809000,20551000,-8954000,2710000,60660000,-12112000,-61114000,-423000,-73649000,7562000.00000001,7562000.00000001,7562000.00000001,36824000,1044682000,0.737398032575386,0.32078,0.41465,0.03817,0.01432,1.82036,1.66517,0.57162,0.67189,0.45875,1.62038,16.38739,0.31093,0.02129,0.46277,27.21603,49.49639
"9","2013_Q2",24.9525,"Up",62180000,-16286000,45894000,-26014000,-4201000,-17013000,-4800000,19880000,-15015000,-14736000,-279000,4865000,4865000,4865000,4865000,4865000,4865000,43972000,43972000,7479000,7479000,1913077000,1913077000,1964528000,-248522000,108464000,108464000,-140058000,1824470000,35599000,35599000,1044467000,1080066000,65248000,65248000,65248000,1145314000,664662000,634078000,45078000,679156000,1824470000,4865000,17013000,-1206000,5e+06,25672000,-9902000,180000,-9722000,-12114000,-943000,-1400000,-14457000,1493000,1493000,1493000,36893000,1044467000,0.73808,0.31972,0.07824,0.00716000000000001,0.00267,1.8189,1.68638,0.57248,0.12464,0.08527,1.59301,16.24466,0.31035,0.00949,2.49003,27.11883,50.32671
"10","2013_Q3",24.01671875,"Down",62914000,-16686000,46228000,-26855000,-4426000,-16953000,-5476000,19373000,-14809000,-14744000,-65000,4564000,4564000,4564000,4564000,4564000,4564000,63340000,63340000,7338000,7338000,1779280280.94965,1779360629.91877,70678000,1661955000,104126000,104126000,1766081000,1836759000,31285000,31285000,1049392000,1080677000,59558000,59558000,59558000,1140235000,690912000,655044000,41480000,696524000,1836759000,4564000,16953000,1392000,-2908000,20001000,-11302000,-1091000,-12393000,-12266000,-896000,24922000,11760000,19368000,19368000,19368000,36326000,1049392000,0.73478,0.30793,0.07254,0.00655,0.00248,0.0654,1.63704,0.57133,0.11565,0.07947,1.59428,16.59917,0.31083,0.00932,2.68755,27.14452,50.89826
"11","2013_Q4",24.55546875,"Up",65318000,-17430000,47888000,-26447000,-4031000,-16648000,-5768000,21441000,-15183000,-14764000,-419000,6258000,6258000,6258000,6258000,6258000,6258000,65722000,65722000,7579000,7579000,1909191000,1909191000,1982492000,-243402000,101756000,101756000,-141646000,1840846000,41256000,41256000,1044117000,1085373000,64229000,64229000,64229000,1149602000,691794000,651787000,39457000,691244000,1840846000,6258000,16648000,544000,5367000,28817000,-12299000,-761000,-13060000,-12265000,-910000,-24990000,-13375000,2382000,2382000,2382000,38089000,1044117000,0.73315,0.32826,0.09581,0.00905,0.0034,1.82655,1.66309,0.56719,0.15715,0.1083,1.64021,16.3671,0.30799,0.01029,1.95989,25.68708,45.63197
