"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.7221875,"Up",909323,-204586,704737,-721835,-721835,-17098,21842,21842,4744,4744,-5000,-256,-256,-256,-256,1253812,1253812,2203006,2203006,343613,279267,190216,4079698,22254,384288,367999,343608,774541,4854239,242000,242000,706215,44209,959122,1272196,1277649,2236771,1879617,-1422,739273,2617468,2617468,4854239,-256,13334,5000,628771,646849,0,-2727,644122,644122,644122,-3764,16360,0.77501,-0.0188,-0.00028,-1e-04,-5e-05,4.25358,0.85456,0.00337,-5e-05,-5e-05,0.19104,0.54991,-7e-05,328.75983,72.37408
"12","2013_Q3",0.82390625,"Up",1425043,-421306,1003737,-711169,-711169,292568,16447,16447,309015,309015,-113500,195515,195515,195515,195515,722887,722887,2913488,2913488,358579,210840,120702,4205794,16764,588378,459011,432961,1064153,5269947,294804,294804,801603,37647,1107314,1343099,1345825,2453139,1883442,-1422,934788,2816808,2816808,5269947,195515,13334,117325,-854372,-528198,7.105427357601e-15,-2727,-530925,-530925,-530925,305902,13633,0.70436,0.2053,0.1372,0.06941,0.0371,3.79819,0.87089,0.00259,0.04107,0.04107,0.29933,0.59167,0.04685,-2.31857000000002,-2.42424000000001
"13","2013_Q4",0.89859375,"Up",1221370,-384422,836948,-659163,-659163,177785,28180,28180,205965,205965,-50155,155810,155810,155810,155810,904423,904423,3043802,3043802,404772,170767,79477,4523764,11274,1038047,539433,515724,1588754,6112518,413533,413533,866641,39819,1291081,1848819,1848819,3139900,1883442,-1422,1090598,2972618,2972618,6112518,155810,13334,49500,-34382,184262,0,-2726,181536,181536,181536,191119,10907,0.68525,0.14556,0.12757,0.05242,0.02549,3.50386,1.05627,0.00178,0.03268,0.03268,0.25619,0.62353,0.03224,-4.67518,-5.02582
"14","2014_Q1",1.01688524590164,"Up",1766628,-542787,1223841,-872839,-872839,351002,29092,29092,380094,380094,-150800,229294,229294,229294,229294,1038288,1038288,3240412,3240412,474778,232284,146733,4985762,10953,904410,457626,433259,1372989,6358751,567051,567051,1037996,35299,1613227,1536862,1536862,3150089,1890192,-1422,1319892,3208662,3208662,6358751,229294,8166,709007,-809875,136592,0,-2727,133865,133865,133865,359168,8180,0.69276,0.19868,0.12979,0.07146,0.03606,3.09055,0.98175,0.00129,0.04809,0.04809,0.37048,0.67289,0.04823,-2.86804,-2.93476
"15","2014_Q2",0.923333333333333,"Down",1168210,-322034,846176,-750344,-750344,95832,24613,24613,120445,120445,-44000,76445,76445,76445,76445,1517242,1517242,2484924,2484924,477288,209453,164032,4688907,9752,775000,385553,363527,1170305,5859212,263832,257132,1047202,53521,1316487,1257618,1257618,2574105,1890192,-1422,1396337,3285107,3285107,5859212,76445,8486,-14000,412935,483866,-2185,-2727,478954,478954,478954,104318,5453,0.72434,0.08203,0.06544,0.02327,0.01305,3.56168,0.78357,0.00093,0.01601,0.01601,0.24466,0.68801,0.01681,-14.49212,-15.77541
"16","2014_Q3",1.0034375,"Up",907302,-209514,697788,-642640,-642640,55148,11459,11459,66607,66607,-19000,47607,47607,47607,47607,1361146,1361146,2509048,2509048,645445,198640,152421,4714279,6305,681123,387094,368409,1074522,5788801,210683,165983,1024627,52980,1238037,1211300,1211300,2449337,1896942,-1422,1443944,3339464,3339464,5788801,47607,3788,-12250,-192515,-153370,0,-2726,-156096,-156096,-156096,58936,2727,0.76908,0.06078,0.05247,0.01426,0.00822,3.80787,0.73345,0.00047,0.00997,0.00997,0.18998,0.69924,0.01046,-23.04905,-24.63224
"17","2014_Q4",0.8390625,"Down",870744,-125020,745724,-689767,-689767,55957,17289,17289,73246,73246,-20012,53234,53234,53234,53234,1538599,1538599,2216921,2216921,708986,197040,150994,4661546,2858,687986,342363,326019,1033207,5694753,310375,162862,903471,43824,1213846,1088209,1088209,2302055,1896942,-1422,1497178,3392698,3392698,5694753,53234,3788,-87800,210958,180180,0,-2727,177453,177453,177453,59745,0,0.85642,0.06426,0.06114,0.01569,0.00935,3.84031,0.67853,0,0.01113,0.01113,0.18208,0.70943,0.01188,-25.75277,-27.4961
"18","2015_Q1",0.882131147540984,"Up",532324,20894,553218,-783008,-783008,-229790,9794,9794,-219996,-219996,76000,-143996,-143996,-143996,-143996,1208201,1208201,2224576,2224576,893743,115217,98607,4441737,2138,675683,366819,344816,1044640,5486377,327319,217352,866648,60726,1193967,1090746,1090746,2284713,1849904,-1422,1353182,3201664,3201664,5486377,-143996,-1124,-75100,-69200,-289420,2185,-43163,-330398,-330398,-330398,-230914,0,1.03925,-0.43167,-0.2705,-0.04498,-0.02625,3.72015,0.7136,0,-0.03018,-0.03018,0.11157,0.67102,-0.03355,5.23226,5.25785
"19","2015_Q2",1.01507936507937,"Up",1347484,-400524,946960,-819386,-819386,127574,7588,7588,135162,135162,-48000,87162,87162,87162,87162,957203,957203,2506938,2506938,794092,161835,109787,4420068,4668,606974,321717,301055,933359,5353427,302552,302552,887731,61934,1190283,954556,954556,2144839,1805904,-37665,1440349,3208588,3208588,5353427,87162,1061,24000,-270978,-158755,-3250,-88993,-250998,-250998,-250998,128635,0,0.70276,0.09468,0.06468,0.02717,0.01628,3.71346,0.66847,0,0.0187,0.0187,0.28915,0.68852,0.02094,-7.44123,-7.50312
"20","2015_Q3",1.18453125,"Up",726135,-250322,475813,-795011,-795011,-319198,9416,9416,-309782,-309782,115000,-194782,-194782,-194782,-194782,601285,601285,3291808,3291808,837398,171923,88822,4902414,16941,1213823,824092,776825,2054856,6957270,490405,490405,841079,77607,1331484,2639224,2639224,3970708,1805904,-65167,1245825,2986562,2986562,6957270,-194782,2026,-83947,-37757,-314460,-13957,-27501,-355918,-355918,-355918,-317172,1.81898940354586e-12,0.65527,-0.43958,-0.26824,-0.06522,-0.028,3.68192,1.32952,-2.16840434497101e-19,-0.04221,-0.04221,0.15737,0.64725,-0.03462,1.89577,1.88374
