"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",1.825625,"Down",1081268,-303695,777573,-1010474,-1010474,-232901,21799,21799,-211102,-213836,34000,-179836,-179836,-179836,-179836,1296298,1296298,2422406,2422406,516919,529659,529659,4765282,81375,1294862,805285,805285,2181522,6946804,469945,300318,646206,646206,1116151,2748409,2748409,3864560,1770779,-188512,1499977,3082244,3082244,6946804,-179836,11027,-133656,389375,86910,-20615,-92740,-26445,-26445,-26445,-221874,0,0.71913,-0.2154,-0.16632,-0.05835,-0.02589,4.26939,1.25381,0,-0.04008,-0.03968,0.241,0.687,-0.03084,5.8425,5.56588
"32","2018_Q3",2.17285714285714,"Up",3003135,-1196531,1806604,-1229436,-1229436,577168,18464,18464,595632,594537,-184000,410537,410537,410537,410537,892449,892449,3026118,3026118,490027,653430,569657,5062024,69001,1161112,636059,636059,1866172,6928196,220890,220890,660799,660799,881689,2554632,2554632,3436321,1787489,-206128,1910514,3491875,3491875,6928196,410537,12373,318897,-1126156,-384349,0,-19500,-403849,-403849,-403849,589541,9.09494701772928e-13,0.60157,0.19219,0.1367,0.11757,0.05926,5.74128,0.98409,-2.16840434497101e-19,0.09187,0.09282,0.67206,0.78144,0.0679,-1.5138,-1.54626
"33","2018_Q4",2.79881355932203,"Up",2329681,-582760,1746921,-1112317,-1112317,634604,11824,11824,646428,645008,-180600,464408,464408,464408,464408,633753,633753,3518573,3518573,503034,489969,424596,5145329,57679,1163823,599538,599538,1821040,6966369,176117,176117,171986,171986,348103,2654639,2654639,3002742,1794833,-206128,2374922,3963627,3963627,6966369,464408,11322,167633,-902059,-258696,0,-7.27595761418343e-12,-258696,-258696,-258696,645926,0,0.74985,0.2724,0.19934,0.11717,0.06666,14.78105,0.75757,0,0.10393,0.1034,0.52136,0.88701,0.07017,-0.98115,-0.99866
"34","2019_Q1",2.88947368421053,"Up",1404613,-417421,987192,-1258870,-1258870,-271678,18360,18360,-253318,-257744,77599.9999999999,-180144,-180144,-180144,-180144,1290797,1290797,2866474,2866474,762165,291837,291837,5211273,86656,1030354,528401,528401,1645411,6856684,440895,387868,369172,369172,812288,2245660,2245660,3057948,1800484,-196526,2194778,3798736,3798736,6856684,-180144,11123,-139934,1003878,694923,-30100,-7779,657044,657044,657044,-260555,2221,0.70282,-0.19342,-0.12825,-0.04742,-0.02627,6.41555,0.80499,0.00032,-0.04029,-0.03988,0.31418,0.84968,-0.02979,4.9455,4.74303
"35","2019_Q2",2.7575,"Down",1368630,-253465,1115165,-1140008,-1140008,-24843,16798,16798,-8045,-8045,16000,7955,7955,7955,7955,707350,707350,2855897,2855897,1040059,586430,586430,5189736,75652,1020398,628854,628854,1724904,6914640,322225,244198,484234,484234,806459,2289083,2289083,3095542,1812891,-196526,2202733,3819098,3819098,6914640,7955,11004,-54306,-545879,-581226,0,-2221,-583447,-583447,-583447,-13839,0,0.8148,-0.01815,0.00581,0.00208,0.00115,6.43521,0.81054,0,0.00177,0.00177,0.30438,0.84935,0.0013,51.1128,28.47281
"36","2019_Q3",3.08190476190476,"Up",2254338,-720978,1533360,-1217111,-1217111,316249,11514,11514,327763,327763,-61000,266763,266763,266763,266763,206311,206311,3115233,3115233,1400970,461064,442791,5183578,64535,903482,512841,512841,1480858,6664436,250034,250034,314719,314719,564753,2001417,2001417,2566170,1825296,-196526,2469496,4098266,4098266,6664436,266763,11117,73405,-859324,-508039,7000,0,-501039,-501039,-501039,327366,0,0.68018,0.14028,0.11833,0.06509,0.04003,9.17849,0.62616,0,0.05927,0.05914,0.50087,0.91056,0.04373,-0.630220000000008,-0.652370000000001
"37","2019_Q4",2.98890625,"Down",2438820,-602885,1835935,-1185652,-1185652,650283,10752,10752,661035,661035,-130000,531035,531035,531035,531035,1729795,1729795,2754624,2754624,1412711,377270,377270,6274400,88105,897781,496816,496816,1482702,7757102,449235,211508,798087,798087,1247322,1919573,1919573,3166895,1837677,-248001,3000531,4590207,4590207,7757102,531035,11875,1406,1066111,1610427,-35445,-51500,1523482,1523482,1523482,662158,0,0.7528,0.26664,0.21774,0.11569,0.06846,5.0303,0.68992,0,0.11814,0.11817,0.54257,1.02119,0.08157,-2.61236,-2.66006
"38","2020_Q1",3.42883333333333,"Up",1846673,-879749,966924,-985796,-985796,-18872,17384,17384,-1488.00000000012,-1488,999.999999999971,-488,-488,-488,-488,1263762,1263762,2251619,2251619,1263589,547655,379982,5326625,74149,90869.9999999999,77922.0000000001,77921.9999999999,242941,5569566,367730,367730,351745,351745,719475,492867,492867,1212342,1852101,-245631,2750754,4357224,4357224,5569566,-487.999999999884,13956,13594,-493093,-466031,-7.27595761418343e-12,0,-466031,-466031,-466031,-4916.00000000012,-3.63797880709171e-12,0.5236,-0.0102200000000001,-0.00026000000000001,-0.000109999999999985,-9.00000000000067e-05,7.40349,0.27824,0,-0.000110000000000013,-0.000109999999999999,0.41292,0.97428,-9.9999999999989e-05,257.0712,66.96492
"39","2020_Q2",2.87444444444444,"Down",1125630,-227148,898482,-937790,-937790,-39308,58114,58114,18806,18806,-29000,-10194,-10194,-10194,-10194,1204805,1204805,2125919,2125919,1899927,295044,264371,5525695,60193,1756931,926134,926134,2743258,8268953,148876,148876,413662,413662,562538,3083013,3083013,3645551,1859445,-245631,3009588,4623402,4623402,8268953,-10194,13956,-95656,32937,-58957,0,0,-58957,-58957,-58957,-25352,0,0.7982,-0.03492,-0.00906,-0.0022,-0.00123,9.82279,0.7885,0,-0.00227,-0.00227,0.25088,1.03045,-0.00132,47.52308,30.65038
"40","2020_Q3",2.91984375,"Up",1133071,-97284.9999999999,1035786,-957255,-957255,78531,11263,11263,89794,89794,9800.00000000001,99594,99594,99594,99594,1507922,1507922,2347177,2347177,1955223,273590,212353,6083912,48514,1410185,825470,825470,2284169,8368081,121820,121820,390131,390131,720191,2718410,2983570,3703761,1866789,-245631,3043162,4664320,4664320,8368081,99594,11679,34719,-316275,-170283,1.81898940354586e-12,473400,303117,303117,303117,90210,473400,0.91414,0.06931,0.0879,0.02135,0.0119,8.44764,0.79406,0.05657,0.0222,0.02213,0.25253,1.03957,0.01268,-11.46793,-13.17342
"41","2020_Q4",2.81265625,"Down",1188612,-314399,874213,-843781,-843781,30432,11263,11263,41695,41695,-12182,29513,29513,29513,29513,1954885,1954885,2118370,2118370,1843238,135974,135974,6052467,38857,1302362,801605,801605,2142824,8195291,117407,111344,290159,290159,695148,2563798,2749616,3444764,1874133,-245631,3122023,4750525,4750525,8195289,29513,9657,-53653,461446,446963,0,5.82076609134674e-11,446963,446963,446963,40089,473400,0.73549,0.0256,0.02483,0.00621,0.0036,8.70673,0.72513,0.05776,0.00658,0.00656,0.26491,1.05878,0.00379,-36.9549,-48.68182
"42","2021_Q1",2.92967213114754,"Up",954128,-434691,519437,-932086,-932086,-412649,472247,-1153,59598,59598,128382,187980,187980,187980,187980,1731869,1731869,1303724,1303724,1748414,408443,311170,5192450,30843,33783,46810,46809.9999999999,111436,5303886,104362,104362,246092,246092,350454,259939,259939,610393,1881477,-245631,3057647,4693493,4693493,5303886,187980,8014,-479056,60046,-223016,0,0,-223016,-223016,-223016,-404635,0,0.54441,-0.43249,0.19702,0.04005,0.03544,14.81635,0.13005,6.93889390390723e-18,0.0419,0.04174,0.21265,1.04607,0.03795,4.28008,4.19695
"43","2021_Q2",3.02539682539683,"Up",2176973,-460460,1716513,-935985,-935985,780528,47979,47979,828507,828507,-212500,616007,616007,616007,616007,2946441,2946441,1467097,1467097,1530014,290140,252500,6233692,23417,390174,32788,32788,446379,6680071,351592,150642,274957,274957,626549,257616,731016,1357565,1882451,-233599,3673654,5322506,5322506,6680071,616007,7426,14006,160733,798172,-57000,473400,1214572,1214572,1214572,787954,473400,0.78849,0.35854,0.28296,0.11574,0.09222,9.94925,0.25506,0.07087,0.13729,0.13696,0.4852,1.18626,0.10176,-3.13856,-3.16842
"44","2021_Q3",3.49765625,"Up",1447046,-333401,1113645,-948584,-948584,165061,12073,12073,177134,177134,-23499.9999999999,153634,153634,153634,153634,3568149,3568149,1117110,1117110,1552470,250496,212287,6488225,17123,437704,203205,203205,658032,7146257,356517,158490,474345,474345,830862,320667,794067,1624929,1927638,-233599,3827289,5521328,5521328,7146257,153634,6294,-35813.0000000001,693118,817233,-195525,0,621708,621708,621708,171355,473400,0.7696,0.11407,0.10617,0.02783,0.0215,7.80903,0.2943,0.06624,0.03408,0.03397,0.32098,1.22471,0.02433,-18.06045,-18.74912
"45","2021_Q4",3.464375,"Down",1449881,-407174,1042707,-753980,-753980,288727,-45416,11584,243311,243311,-56500,186811,186811,186811,186811,4360237,4360237,1435231,1435231,1607097,229617,187705,7632182,10831,327031,188513,188513,526375,8158557,684216,289694,1106947,1106947,1791163,164804,638204,2429367,1948689,-233599,4014100,5729190,5729190,8158557,186812,6292,-63949,656722,785877,6211,0,792088,792088,792088,295019,473400,0.71917,0.19914,0.12885,0.03261,0.0229,4.26102,0.42403,0.05802,0.04144,0.04131,0.32161,1.27082,0.02934,-13.17487,-13.46198
"46","2022_Q1",3.36032258064516,"Down",1892783,-694698,1198085,-923454,-923454,274631,485068,11668,759699,759699,-5500.00000000003,754199,754199,754199,754199,4945913,4945913,1017533,1017533,1582358,838893,799524,8384697,7879,426002,183096,174096,616977,9001674,696786,258764,1653416,1653416,2350202,124114,124114,2474316,1992659,-233599,4768298,6527358,6527358,9001674,754198,2952,-467430,106642,396362,189314,0,585676,585676,585676,277583,5.82076609134674e-11,0.63298,0.14509,0.39846,0.11554,0.08378,3.56765,0.37907,0,0.17054,0.17223,0.428,1.47598,0.11339,-17.81778,-18.0093
"47","2022_Q2",3.87241935483871,"Up",3351834,-661622,2690212,-1086396,-1086396,1603816,51524,40913,1655340,1655340,-393500,1261840,1261840,1261840,1261840,5659781,5659781,1279672,1279672,1308430,1053073,1013111,9300956,4927,833153,159587,159587,997667,10298623,951094,193122,1369273,1369273,2320367,175351,175351,2495718,2006366,-233599,6030138,7802905,7802905,10298623,1261840,2952,85707,-636631,713868,0,0,713868,713868,713868,1606768,0,0.80261,0.47849,0.37646,0.16171,0.12253,4.0084,0.31984,0,0.27966,0.27879,0.74287,1.72937,0.15816,-3.52246,-3.52895
"48","2022_Q3",3.77015625,"Down",2459004,-1601891,857113,-1133410,-1133410,-276297,15473,15473,-260824,-260824,18500,-242324,-242324,-242324,-242324,4362599,4362599,1588476,1588476,1567954,498207,372984,8017236,1975,1069723,144987,144987,1216685,9233921,384153,384153,995515,995515,1379668,262514,262514,1642182,2037524,-233599,5787814,7591739,7591739,9233921,-242324,2952,130158,-1207358,-1316572,19390,0,-1297182,-1297182,-1297182,-273345,0,0.34856,-0.11236,-0.09855,-0.03192,-0.02624,5.81099,0.21631,0,-0.05359,-0.05359,0.54379,1.67885,-0.03085,15.96005,15.78953
