"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",29.57328125,"Up",63910000,-43677000,20233000,-7215000,-6422000,-4023000,-2399000,-793000,13018000,-73000,49000,-122000,12945000,12945000,-4452000,8493000,8493000,8493000,8493000,96849374.7408036,96849374.7408036,18329282.2137637,18329282.2137637,9076632.22369937,-7435865.43905051,322087.740955475,1764117.42048122,116819423.739216,40012922.9150956,56528478.4638079,27699834.7808127,28514730.6633854,313913.019609845,96541401.3789035,213360825.11812,16033919.3763161,-3381918.20921097,15725736.0615892,17144802.7719071,11352963.3790474,5944554.30498539,5944554.30498539,8.85541801997307e-09,17297517.6840328,34442320.4559399,29881677.4121478,152323278.602984,-3286451.35270484,178918504.66218,178918504.66218,213360825.11812,8493000,2190000,763000,2338000,13784000,-1542000,-1542000,-1570000,0,-265000,1450000,1450000,0,2677000,14891000,14891000,182000,15073000,15208000,0,20456000,0.31659,0.20369,0.13289,0.081198693931981,0.068013198577327,2.40857,6.97713976730338,0.206925912144512,0.053237667910468,0.30371,0.28673,2.28541,6.57192828790213,0.7315,0,0.0778863067166141,0.256472222051037,0,-2.97862723501808,-3.1637119670613
"2","2011_Q1",32.7425806451613,"Up",69800000,-48526000,21274000,-7457000,-6598000,-4112000,-2486000,-859000,13817000,157000,50000,107000,13974000,13974000,-4558000,9416000,9416000,9416000,9416000,77253000,77253000,32050000,32050000,15720000,4629000,2328000,550000,129652000,43388000,55584000,26649000,28515000,420000,98972000,228624000,28026000,9755000,13960000,29508000,6007000,5642000,5642000,5.31325081198384e-09,11649000,41157000,40474000,147542000,-549000,187467000,187467000,228624000,9416000,2225000,1456000,-3398000,9699000,-1502000,-1502000,-377000,-9.31322574615479e-10,-383000,920000,1857000,-937000,2549000,11871000,11871000,-65000,11806000,16042000,7489000,15700000,0.30479,0.19795,0.1349,0.05023,0.04119,1.66737,4.39379,0.21954,0.03276,0.33671,0.31789,2.49604,6.70379,0.56143,0,0.04694,0.07827,0,-4.34883,-5.04914
"3","2011_Q2",37.5930158730159,"Up",73008000,-52228000,20780000,-7482000,-6606000,-4138000,-2468000,-876000,13298000,78000,54000,24000,13376000,13376000,-4464000,8912000,8912000,8912000,8912000,77670041.7530655,77670041.7530655,37858322.5954121,37858322.5954121,18484705.9254335,6915788.4796835,2487054.08634818,96794.1931729281,140928858.753595,44769192.3616348,54602757.1787307,25645305.0730624,28515089.7788715,442362.326796718,99371949.5403655,240300808.29396,29265526.8745613,12065889.4030703,14709837.9794703,30871149.076031,4903845.54031754,5160148.56500487,5160148.56500487,2.65662540599192e-09,10063994.1053224,40935143.1813534,44950024.1959507,153998740.465672,416900.450901613,199365665.112607,199365665.112607,240300808.29396,8912000,2232000,756000,-2229000,9671000,-1786000,-1786000,-1786000,-4311000,-385000,979000,979000,0,-3219000,4666000,4666000,133000,4799000,15530000,0,15979000,0.28463,0.18214,0.12207,0.0417087686893396,0.0344856004742243,1.79298,4.3756817442322,0.203830529285163,0.0275432773631773,0.31345,0.29616,2.56783,7.02840557069929,0.56201,0.15163,0.0384253977611286,0.0349034259829878,0.48373,-4.86875592166064,-5.70884601097957
"4","2011_Q3",38.4540625,"Up",74687000,-52926000,21761000,-7702000,-6969000,-4151000,-2818000,-733000,14059000,293000,46000,247000,14352000,14352000,-4780000,9572000,9572000,9572000,9572000,89742000,89742000,38527000,38527000,18887000,4304000,1808000,129000,151460000,44894000,53608000,24668000,28515000,425000,98502000,249962000,25359000,9063000,16133000,26924000,5772000,4787000,4787000,8.85541801997307e-10,10559000,37483000,46186000,166027000,266000,212479000,212479000,249962000,9572000,2260000,899000,-5285000,7446000,-1399000,-1427000,-1399000,1000,-405000,1227000,1335000,-108000,1607000,7654000,7654000,36000,7690000,16319000,7337000,14415000,0.29136,0.18824,0.12816,0.04505,0.03829,1.50595,5.62546,0.17641,0.02935,0.33533,0.31661,2.61647,7.44368,0.50499,-4.00000000000122e-05,0.04261,0.06418,-9.9999999999989e-05,-5.04964,-5.86137
"5","2011_Q4",36.6939682539683,"Down",74439000,-51822000,22617000,-7442000,-6794000,-4042000,-2752000,-648000,15175000,63000,7000,56000,15238000,15238000,-4453000,10785000,10785000,10785000,10785000,104872000,104872000,36415000,36415000,18431000,3168000,1608000,315000,162886000,44484000,52632000,23695000,28515000,422000,97116000,260002000,23785000,7144000,16062000,25252000,5768000,4985000,4985000,0,10753000,36005000,47596000,176812000,-411000,223997000,223997000,260002000,10785000,2380000,1889000,1909000,16963000,-1661000,-1661000,-1661000,0,-392000,286000,286000,0,4000,15306000,15306000,-176000,15130000,17555000,7235000,22256000,0.30383,0.20386,0.14488,0.04815,0.04148,2.06361,6.45042,0.16074,0.02783,0.37685,0.35581,2.60107,7.82697,0.77768,0,0.04566,0.09422,0,-5.56178,-6.43407
"6","2012_Q1",32.4403225806452,"Down",69733000,-48890000,20843000,-7150000,-6517000,-3953000,-2564000,-633000,13693000,79000,-7000,86000,13772000,13772000,-4276000,9496000,9496000,9496000,9496000,114781000,114781000,34433000,34433000,18637000,7889000,2793000,398000,175740000,44282000,51695000,22706000,28515000,474000,95977000,271717000,29526000,11526000,12763000,30913000,2811000,5984000,5984000,0,8795000,39708000,51877000,181070000,-938000,232009000,232009000,271717000,9496000,2419000,1532000,-2625000,10822000,-1763000,-1763000,-1763000,-1000,-2375000,1850000,1851000,-1000,976000,10035000,10035000,-126000,9909000,16112000,4198000,1.6e+07,0.2989,0.19636,0.13618,0.04093,0.03495,1.68492,5.68499,0.17115,0.01545,0.33083,0.31296,2.42945,8.08303,0.55743,2.99999999999858e-05,0.03921,0.06606,0.000109999999999999,-6.86339,-8.07588
"7","2012_Q2",28.2044444444444,"Down",76203000,-55045000,21158000,-7483000,-6707000,-4087000,-2620000,-776000,13675000,13000,4000,9000,13688000,13688000,-4420000,9268000,9268000,9268000,9268000,121291000,121291000,37977000,37977000,20057000,3521000,2172000,762000,182846000,44569000,50706000,21715000,28515000,476000,95275000,278121000,24965000,13140000,11187000,26061000,2931000,5679000,5679000,0,8610000,34671000,53675000,190338000,-563000,243450000,243450000,278121000,9268000,2420000,827000,140000,12655000,-1401000,-1401000,-1401000,-5237000,-173000,-460000,504000,-964000,-4784000,6470000,6470000,40000,6510000,16095000,4027000,19254000,0.27765,0.17945,0.12162,0.03807,0.03332,2.07747,7.01608,0.14242,0.01448,0.32041,0.30553,2.63448,8.41653,0.66565,0.18105,0.0573,0.07606,0.56506,-7.28574,-8.57506
"8","2012_Q3",33.3657142857143,"Up",79014000,-56430000,22584000,-7759000,-6812000,-4169000,-2643000,-947000,14825000,-1000,-2000,1000.00000000001,14824000,14824000,-4852000,9972000,9972000,9972000,9972000,138060000,138060000,36847000,36847000,20095000,3257000,2025000,633000,198259000,44329000,49723000,20735000,28515000,473000,94052000,292311000,29272000,12397000,14288000,29968000,2978000,5185000,5185000,-2.06795153138257e-25,8163000,38131000,55228000,200311000,-1359000,254180000,254180000,292311000,9972000,2386000,771000,5439000,18568000,-1807000,-1807000,-1807000,0,-344000,373000,373000,0,124999.999999999,16886000,16886000,-117000,16769000,17211000,3674000,25695000,0.28582,0.18762,0.12621,0.03923,0.03411,2.57671,6.61569,0.15002,0.01257,0.34438,0.3294,2.72871,8.77799,0.88736,-5.55111512312578e-17,0.03791,0.09769,0,-7.80815,-9.06482
"9","2012_Q4",33.2417741935484,"Down",75116000,-51718000,23398000,-7158000,-6261000,-3810000,-2451000,-897000,16240000,-15000,-1000,-14000,16225000,16225000,-5352000,10873000,10873000,10873000,10873000,147182000,147182000,36931000,36931000,20311000,3028000,1869000,580000,207452000,47468000,48736000,19747000,28515000,474000,96204000,303656000,28334000,11906000,14347000,28334000,3187000,4853000,4853000,0,8040000,36374000,57135000,211184000,-1037000,267282000,267282000,303656000,10873000,2407000,869000,-1011000,13138000,-4296000,-4296000,-4296000,0,-682000,435000,435000,0,239000,9081000,9081000,41000,9122000,18647000,3187000,18692000,0.31149,0.2162,0.14475,0.04068,0.03581,1.71912,7.32166,0.13609,0.0105,0.37492,0.35747,2.59015,9.21641,0.64454,0,0.03949,0.06789,0,-7.72215,-8.86669
"10","2013_Q1",37.4591666666667,"Up",80060000,-57661000,22399000,-7362000,-6560000,-3868000,-2692000,-802000,15037000,70000,-1000,71000,15107000,15107000,-5215000,9892000,9892000,9892000,9892000,144737000,144737000,41999000,41999000,20693000,4480000,3048000,513000,211909000,52725000,47911000,18858000,28515000,538000,100636000,312545000,30234000,14276000,15958000,30234000,3431000,5868000,5868000,3.30872245021211e-24,9299000,39533000,59162000,214609000,-759000,273012000,273012000,312545000,9892000,2428000,2011000,-4911000,9420000,-6500000,-6500000,-6500000,-6466000,-9000,-142000,593000,-735000,-5423000,-2503000,-2503000,58000,-2445000,17465000,3431000,11269000,0.27978,0.18782,0.12356,0.03623,0.03165,1.1392,7.00896,0.1448,0.01098,0.34,0.32554,2.75173,9.38365,0.38732,0.22224,0.05794,0.03992,0.65366,-8.09081,-9.39722
