"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",10.9707936507937,"Down",87230000,-67624000,19606000,-14898000,-14898000,4708000,101000,101000,4809000,3793000,-1450000,2343000,2343000,2343000,2343000,99068051.2608648,99068051.2609349,-4880372.8636255,-4880372.8636255,44653440.7096929,11194597.638609,15480344.7395804,150035716.745541,55041260.2196071,42893625.7886987,39224724.2817134,97934886.0083059,247970602.753847,55878129.8617612,55878129.8617488,36189393.8180716,36189393.8180716,92067460.7995067,16596303.1474142,17632957.0763598,16596303.1474142,108663763.946921,16760778.9478133,116305741.730357,139306838.806926,139306838.806926,247970602.753847,2343000,722000,304000,-6974000,-3605000,-366000,127000,-239000,-332000,155000,155000,-177000,-4021000,-4021000,-4021000,5430000,0,-460000,0.22476,0.05397,0.02686,0.283965107326227,0.215642297666479,-0.19633,-5.17947861953792,0.814672934942858,-2.67578220677307e-07,0.3518,0.34259,13.0976,19.185570612862,-0.06907,0.04985,0.303147530888142,2.63172414487943,0.1417,14.8718678664456,23.9396835004837
"2","2011_Q3",11.09328125,"Up",82821000,-63996000,18825000,-15508000,-15508000,3317000,14000,14000,3331000,3331000,-1200000,2131000,2131000,2131000,2131000,56409025.6304324,56409025.6304674,15572313.5681872,15572313.5681872,56712220.3548465,7749798.81930449,7712672.36979022,136443358.372771,36392630.1098036,27607812.8943494,24468362.1408567,64000443.004153,200443801.376924,31328064.9308806,31328064.9308744,24315196.9090358,24315196.9090358,55643230.3997533,12480151.5737071,9983478.53817989,12480151.5737071,68123381.9734604,14754889.4739066,114972370.865178,132320419.403463,132320419.403463,200443801.376924,2131000,686000,689000,341000,3847000,-177000,-316000,-493000,-502000,51000,51000,-451000,2903000,2903000,2903000,4003000,0,5367000,0.2273,0.04005,0.02573,0.145717553663114,0.11105614883324,2.51854,0.327095690231037,0.518436467471429,-1.33789110338654e-07,0.31844,0.30781,12.37612,19.071910306431,0.802,0.07501,0.154408765444071,1.22121707243972,0.23557,4.79106893322279,8.66024175024184
"3","2011_Q4",10.4111111111111,"Down",85175000,-66969000,18206000,-14560000,-14560000,3646000,129000,129000,3775000,3775000,-1320000,2455000,2455000,2455000,2455000,30673008.5434775,30673008.5434891,26806104.5227291,26806104.5227291,66423073.4516155,5955266.2731015,3412890.78993007,129857452.790924,25800543.3699345,18840937.6314498,16067787.3802856,44641481.0013843,174498933.792308,18928021.6436269,18928021.6436248,16712732.3030119,16712732.3030119,35640743.4665844,9845383.85790237,5393159.51272663,9845383.85790237,45486127.3244868,13713629.8246355,114829790.288393,129012806.467821,129012806.467821,174498933.792308,2455000,620000,-176000,2878000,5777000,-305000,-41000,-346000,-502000,112000,112000,-390000,5041000,5041000,5041000,4266000,0,8159000,0.21375,0.04281,0.02882,0.0648591845543713,0.0498220496110799,3.32342,3.38129189674368,0.351825489157143,-4.45963701128845e-08,0.36593,0.35232,12.69563,19.0638201021437,1.21613,0.07482,0.068359588481357,0.418585690813239,0.20448,-0.772873688925738,0.140253916747279
"4","2012_Q1",11.9596774193548,"Up",84200000,-63535000,20665000,-15456000,-15456000,5209000,99000,99000,5308000,5308000,-1820000,3488000,3488000,3488000,3488000,17889000,17889000,31451000,31451000,73680000,5333000,1633000,128353000,21387000,14937000,12377000,36324000,164677000,15103000,15103000,12567000,12567000,27670000,8434000,3164000,8434000,36104000,13409000,115699000,128573000,128573000,164677000,3488000,662000,1160000,2471000,7781000,-1538000,-58000,-1596000,-503000,6000,6000,-497000,5688000,5688000,5688000,5871000,0,8624000,0.24543,0.06186,0.04143,0.02713,0.02118,2.47248,4.63871,0.28081,0,0.51974,0.49928,12.54657,19.15855,1.28505,0.07495,0.02913,0.06295,0.14421,-3.04701,-3.43425
"5","2012_Q2",15.1506349206349,"Up",81520000,-62556000,18964000,-15331000,-15331000,3633000,125000,125000,3758000,3758000,-1380000,2378000,2378000,2378000,2378000,14086000,14086000,32137000,32137000,78377000,5405000,1425000,130005000,21274000,14240000,11750000,35514000,165519000,16278000,16278000,11063000,11063000,27341000,7988000,2598000,7988000,35329000,13613000,117401000,130190000,130190000,165519000,2378000,690000,12000,-6034000,-2954000,-577000,145000,-432000,-503000,86000,86000,-417000,-3803000,-3803000,-3803000,4323000,0,-908000,0.23263,0.04457,0.02917,0.01827,0.01437,-0.38183,4.75495,0.27136,0,0.3535,0.34123,12.11833,19.35335,-0.13498,0.07477,0.02085,-0.00657000000000002,0.21152,-3.25839,-3.87724
"6","2012_Q3",16.1744444444444,"Up",85002000,-64544000,20458000,-15765000,-15765000,4693000,45000,45000,4738000,4738000,-1790000,2948000,2948000,2948000,2948000,15871000,15871000,32055000,32055000,79012000,5715000,1775000,132653000,23348000,14920000,12450000,38268000,170921000,18157000,18157000,11678000,11678000,29835000,8069000,2758000,8069000,37904000,14007000,119673000,133017000,133017000,170921000,2948000,714000,214000,1084000,4960000,-2083000,-435000,-2518000,-677000,20000,20000,-657000,1785000,1785000,1785000,5407000,8.88178419700125e-16,6198000,0.24068,0.05521,0.03468,0.02216,0.01725,2.10244,4.44622,0.28496,0,0.4359,0.42314,12.56868,19.66834,0.91646,0.1001,0.02569,0.04393,0.22965,-2.93527,-3.38185
"7","2012_Q4",15.4537096774194,"Down",91631000,-69533000,22098000,-16975000,-16975000,5123000,140000,140000,5263000,5263000,-1920000,3343000,3343000,3343000,3343000,19273000,19273000,33835000,33835000,75479000,5785000,1735000,134372000,25731000,15321000,12831000,41052000,175424000,17165000,17165000,13597000,13597000,30762000,8419000,2946000,8419000,39181000,14363000,122336000,136243000,136243000,175424000,3343000,709000,1000,2561000,6614000,-2563000,-54000,-2617000,-676000,81000,81000,-595000,3402000,3402000,3402000,5832000,0,7750000,0.24116,0.05591,0.03648,0.02454,0.01906,2.31828,4.36812,0.28758,0,0.49321,0.47935,13.51888,20.10077,1.14341,0.09973,0.02778,0.05357,0.20221,-3.3047,-3.76205
"8","2013_Q1",18.1651666666667,"Up",93936000,-70177000,23759000,-16962000,-16962000,6797000,112000,112000,6909000,6909000,-2510000,4399000,4399000,4399000,4399000,13970000,13970000,33601000,33601000,82689000,5333000,1583000,135593000,29867000,16212000,13052000,46079000,181672000,19372000,19372000,12477000,12477000,31849000,10381000,4768000,10381000,42230000,15382000,125699000,139442000,139442000,181672000,4399000,722000,675000,-5439000,357000,-5682000,-28000.0000000001,-5710000,-679000,729000,729000,50000,-5303000,-5303000,-5303000,7519000,-1.4210854715202e-14,-1092000,0.25293,0.07236,0.04683,0.03155,0.02421,-0.24824,4.25737,0.30285,0,0.64163,0.61766,13.70128,20.33868,-0.15928,0.09904,0.03389,-0.00729,0.15435,-1.85796,-2.05532
"9","2013_Q2",17.38015625,"Down",91237000,-70136000,21101000,-16710000,-16710000,4391000,161000,161000,4552000,4552000,-1680000,2872000,2872000,2872000,2872000,6528000,6528000,35791000,35791000,85540000,5822000,1902000,133681000,33241000,16372000,13407000,49613000,183294000,20475000,20475000,10455000,10455000,30930000,10445000,4484000,10445000,41375000,15966000,127520000,141919000,141919000,183294000,2872000,792000,322000,-7503000,-3517000,-3004000,-158000,-3162000,-1036000,273000,273000,-763000,-7442000,-7442000,-7442000,5183000,0,-3644000,0.23128,0.04813,0.03148,0.02024,0.01567,-1.2688,4.32205,0.29154,-2.11758236813575e-22,0.41395,0.39663,13.15033,20.45532,-0.52522,0.14932,0.02565,-0.02392,0.36072,-1.2595,-1.48668
"10","2013_Q3",19.03671875,"Up",94590000,-71843000,22747000,-18150000,-18150000,4597000,64000,64000,4661000,4661000,-1740000,2921000,2921000,2921000,2921000,8149000,8149000,34084000,34084000,87731000,7236000,3176000,137200000,32624000,15953000,12758000,48577000,185777000,20896000,20896000,10504000,10504000,31400000,9580000,4568000,9580000,40980000,17042000,129380000,144797000,144797000,185777000,2921000,980000,270000,1411000,5582000,-1911000,-465000,-2376000,-2112000,527000,527000,-1585000,1621000,1621000,1621000,5577000,1.13686837721616e-13,6817000,0.24048,0.0486,0.03088,0.02017,0.01572,2.33379,4.36943,0.28302,0,0.4155,0.40295,13.45519,20.59701,0.9697,0.30043,0.0326,0.04416,0.72304,-1.46118,-1.77268
