"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",1.7031746031746,"Up",15674000,-8657000,7017000,-5618000,-4641000,-941000,-36000,1399000,-39000,-40000,1000,1360000,1360000,-563000,797000,797000,797000,797000,341398499.15925,341398499.15925,-101980951.77739,-101980951.77739,-62966924.9332286,30350853.7102946,6502953.11619145,15958981.5172402,206801476.158926,-2716664.4436398,-146826956.45606,-9792409.89826256,-213030808.536911,156038015.560396,-149543620.8997,57257855.2592261,-60764616.715722,-46532732.6779473,-14231884.0377747,19061219.9997193,-36204148.3932225,10166781.5378092,10166781.5393117,14730315.5857127,-21473832.8075098,141488264.704975,-62756576.6382386,78731688.0667359,78731688.0667359,57257855.2592261,797000,797000,280000,558000,281000,1916000,-101000,-101000,19000,19000,-544000,1271000,1271000,1271000,1679000,0,2422000,0.44768,0.08926,0.05085,0.858706745354602,0.66429530608478,3.0389,25.1363214974639,-0.535163116750014,0.147440160537441,0.02322,0.02297,0.45658,2.12156424503294,0.07055,0.784946183089777,1.01062746755296,376.300216092284,2632.09486577578
"2","2010_Q3",1.41671875,"Down",10697000,-5783000,4914000,-3771000,-3524000,-233000,-14000,1143000,-23000,-42000,19000,1120000,1120000,-460000,660000,542000,542000,542000,152289249.579625,152289249.579625,-40283475.8886949,-40283475.8886949,-26634962.4666143,17451426.8551473,2914476.55809573,9391490.7586201,102822238.079463,293167.7781801,-38293478.22803,-2863204.94913128,-85588404.2684556,78135507.7801978,-38000310.4498499,64821927.6296131,-21209308.357861,-19072366.3389736,-2136942.01888737,9910109.99985966,-7794574.19661125,5822890.7689046,5822890.76965587,8559657.79285634,765083.596245091,141298632.352487,-77241788.3191193,64056844.033368,64056844.033368,64821927.6296131,542000,542000,204000,501000,6000,1253000,-148000,-148000,0,0,-458000,647000,647000,647000,1347000,-2.3283064365387e-10,1665000,0.45938,0.10685,0.0506699999999999,0.375638372677301,0.29037265304239,3.07196,11.8255157487319,-0.041406558375007,0.0905550802687205,0.01579,0.01576,0.31158,1.79497712251647,0.0485,0.343263091544888,0.438163733776482,156.448753046142,1102.74278288789
"3","2010_Q4",1.52203125,"Up",11953000,-7059000,4894000,-4801000,-4120000,-657000,-24000,93000,-45000,-38000,-7000,48000,-7922000,836000,-7086000,-7027000,-7027000,-7027000,50598416.5265416,50598416.5265416,-5564825.29623163,-5564825.29623163,-6276654.15553809,10320142.2850491,1045158.85269858,5658830.25287337,49077079.359821,1888389.25939337,17970507.2573233,662598.350289574,-14084134.7561519,31299835.9267326,19858896.5167167,68935975.8765377,641230.547379665,-3656788.77965788,4298019.32703754,4517703.33328655,7740808.60112958,3535630.25630153,3535630.25655196,4995885.93095211,12736694.5320817,141289544.117496,-85090262.7730398,56199281.344456,56199281.344456,68935975.8765377,-7027000,-7027000,246000,7437000,489000,1145000,-49000,-49000,0,0,-957000,139000,139000,139000,339000,0,-57000,0.40944,0.00778,-0.58789,0.1129994575591,0.0871642176807967,0.00811,4.78155858291065,0.224037813874998,0.0578883600895735,-0.20468,-0.20718,0.34816,1.61812570750549,-0.00166,0.103161030514963,0.131177911258827,37.905684348714,292.097307629297
"4","2011_Q1",1.64177419354839,"Up",13642000,-7583000,6059000,-5411000,-4696000,-613000,-102000,648000,-27000,-32000,5000,621000,566000,-91000,475000.000000002,479000,479000,479000,11818000,11818000,9419000,9419000,2392000,7429000,392000,4070000,31058000,2461000,37049000,1845000,16522000,7875000,39510000,70568000,9689000,2985000,6704000,1946000,13959000,2673000,2673000,3313000,17272000,141374000,-88078000,53296000,53296000,70568000,479000,479000,3e+05,415000,-162000,1032000,-116000,-1232000,38000,38000,-444000,-644000,-644000,-644000,948000,2964000,761000,0.44414,0.0475,0.03511,0.00899,0.00679,1.58873,2.22494,0.32408,0.042,0.01395,0.01395,0.39718,1.55169,0.02216,0.00813,0.01291,-9.33966,-13.66358
"5","2011_Q2",1.35603174603175,"Down",13892000,-8023000,5869000,-5554000,-4701000,-753000,-1e+05,315000,-26000,-29000,3000,289000,272000,-117000,155000,97000,97000,97000,11440000,11440000,11912000,11912000,3655000,7250000,452000,3934000,34257000,2403000,34026000,1744000,21270000,205000,36429000,70686000,10836000,4124000,6712000,1257000,14417000,2603000,2603000,2785000,17202000,141465000,-87981000,53484000,53484000,70686000,97000,97000,269000,274000,-249000,391000,-65000,-202000,3000,3000,-567000,-378000,-378000,-378000,584000,2506000,387000,0.42247,0.02267,0.00698,0.00181,0.00137000000000001,3.98969,2.37615,0.32163,0.03545,0.00282,0.00281,0.40425,1.55635,0.01126,0.00166,0.0066,-15.29795,-28.3619
"6","2011_Q3",1.2078125,"Down",14393000,-8388000,6005000,-5386000,-4429000,-855000,-102000,619000,-24000,-22000,-2000,595000,970000,-861000,109000,1310000,1310000,1310000,22843000,22843000,9561000,9561000,2066000,8241000,695000,4619000,42711000,2151000,25679000,1643000,16522000,202000,27830000,70541000,9636000,3363000,6273000,1529000,13214000,2536000,2536000,2536000,15750000,141462000,-86671000,54791000,54791000,70541000,1310000,1310000,227000,-1020000,95000,612000,-108000,11338000,-90000,60000,-547000,11403000,11403000,11403000,846000,2049000,1694000,0.41722,0.04301,0.09102,0.02391,0.01857,1.29313,3.23225,0.28746,0.02905,0.03805,0.03797,0.41806,1.59147,0.0492,0.02206,0.02853,-24.5792,-33.59289
"7","2011_Q4",1.2468253968254,"Up",14881000,-9417000,5464000,-5380000,-4371000,-868000,-141000,84000,-10000,-13000,3000,74000,355000,263000,618000,747000,747000,747000,21519000,21519000,9610000,9610000,1909000,8874000,618000,5434000,41912000,2097000,27092000,2602000,17318000,210000,29189000,71101000,10991000,3973000,7018000,1824000,13907000,1840000,1840000,1840000,15747000,141278000,-85924000,55354000,55354000,71101000,747000,747000,220000,-320000,194000,841000,-122000,-962000,-246000,0,-1203000,-1324000,-1324000,-1324000,304000,1092000,113000,0.36718,0.00564,0.0502,0.01349,0.01051,0.15127,3.01373,0.28448,0.01536,0.02183,0.0218,0.4349,1.61773,0.0033,0.01282,0.00194,-67.19408,-243.17857
"8","2012_Q1",1.44806451612903,"Up",15240000,-9507000,5733000,-5353000,-4485000,-707000,-161000,380000,-8000,-8000,0,372000,352000,72000.0000000001,424000,360000,360000,360000,18701000,18701000,11081000,11081000,2454000,8689000,425000,5360000,40925000,1948000,26867000,2578000,17318000,210000,28815000,69740000,10384000,4044000,6340000,1542000,12560000,1708000,1708000,1708000,14268000,141036000,-85564000,55472000,55472000,69740000,360000,360000,695000,-115000,-2116000,-1176000,-42000,-172000,-336000,22000,-1470000,-2818000,-2818000,-2818000,1075000,634000,-1155000,0.37618,0.02493,0.02362,0.00649,0.00516,-3.20833,3.25836,0.25721,0.00909,0.01058,0.01053,0.44789,1.63028,-0.03394,0.00623,-0.01998,-16.80651,-47.54474
"9","2012_Q2",1.39904761904762,"Down",16304000,-10040000,6264000,-5695000,-4901000,-633000,-161000,569000,0,-5000,5000,569000,903000,-314000,589000,676000,676000,676000,18546000,18546000,10211000,10211000,2370000,9297000,751000,5642000,40424000,1838000,26404000,2471000,17318000,213000,28242000,68666000,9970000,3892000,6078000,1872000,11842000,926000,926000,926000,12768000,140786000,-84888000,55898000,55898000,68666000,676000,676000,223000,166000,-102000,963000,-113000,-167000,-317000,125000,-951000,-155000,-155000,-155000,792000,0,891000,0.3842,0.0349,0.04146,0.01209,0.00984,1.31805,3.41361,0.22842,0,0.01999,0.01996,0.48224,1.65335,0.02635,0.0119,0.01568,-23.41667,-32.59402
"10","2012_Q3",1.52444444444444,"Up",15504000,-9433000,6071000,-5221000,-4226000,-834000,-161000,850000,-6000,-9000,3000,844000,831000,-281000,550000,550000,550000,550000,19974000,19974000,8536000,8536000,2117000,9692000,963000,6160000,40319000,1873000,26377000,2383000,17318000,208000,28250000,68569000,8873000,3325000,5548000,2039000,10912000,1377000,1377000,1377000,12289000,140618000,-84338000,56280000,56280000,68569000,550000,550000,562000,197000,711000,2020000,-275000,-348000,-217000,25000,-244000,1428000,1428000,1428000,1412000,0,2129000,0.39158,0.05482,0.03547,0.00977,0.00802,3.87091,3.69492,0.21835,0,0.01635,0.01629,0.461,1.67346,0.0633,0.00954,0.03693,-14.14589,-23.49882
