"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",24.6474193548387,"Up",45413000,-27761000,17652000,-7858000,-7858000,9794000,97000,97000,9891000,-858000,9033000,-3630000,5403000,5403000,5403000,5403000,56764000,56764000,9252000,9252000,24317000,26121000,23991000,116454000,9577000,10070000,2571000,4839000,19647000,136101000,28676000,12446000,9910000,22140000,22140000,50816000,1042000,1010000,32000,1042000,51858000,73011000,12214000,-982000,84243000,84243000,136101000,5403000,480000,-1018000,5070000,9935000,165000,165000,165000,1165000,-29000,1173000,1173000,1327000,12427000,12427000,1673000,14100000,10274000,0,19139000,0.3887,0.21567,0.11897,0.06414,0.0397,3.54229,2.29168,0.61558,0,0.57503,0.57503,4.83323,8.96584,2.03693,0.06335,0.22441,-5.52501,-5.79579
"2","2011_Q2",21.2290476190476,"Down",53712000,-34115000,19597000,-10397000,-10397000,9200000,-30000,-30000.0000000001,9170000,-848000,8322000,-3330000,4992000,4992000,4992000,4992000,40115705.4576741,40115705.4576741,23745802.5469785,23745802.5469785,51074134.4041134,42352582.9367389,49772026.6909468,157288225.345505,12524098.7632062,21888130.2238031,4521176.15535132,10060519.8510861,34412228.9856098,191700454.331115,42433371.5762854,30592872.4446173,3781315.98205003,46344408.0049872,46344408.0049872,88777779.5873378,531713.222491691,518993.117511865,12720.104979826,531713.21950299,89309492.8068408,72760277.0901439,19341186.4837866,5915327.43609719,98016791.0100276,102390961.524274,191700454.331115,4992000,647000,2340000,-12280000,-4301000,-609000,-609000,-609000,-609000,-31000,1223000,1223000,1919000,-2991000,-2991000,-566000,-3557000.00000001,9847000,0,288000,0.36485,0.17128,0.09294,0.0927887013853793,0.0503826765338141,0.0576899999999978,1.90432115340913,0.831300594984471,2.5847466091893e-10,0.53805,0.51951,5.78918,10.4237512151077,0.03104,0.0915959016220254,0.0847699481897257,-18.6497326231527,-37.03534057653
"3","2011_Q3",13.66421875,"Down",61253000,-36551000,24702000,-11249000,-11249000,13453000,76000,76000,13529000,-934000,12595000,-5100000,7495000,7495000,7517000,7517000,45790305.4576741,45790305.4576741,26081702.5469785,26081702.5469785,54869834.4041134,52753682.9367389,56688126.6909469,179495525.345505,13579198.7632062,24463130.2238031,5312776.15535132,12641919.8510861,38042328.9856098,217537854.331115,49022671.5762854,30021072.4446173,7747415.98205003,52651508.0049872,52651508.0049872,101674179.587338,1105113.22249169,1101993.11751186,3120.10497982595,1105113.21950299,102779292.806841,75754077.0901439,26380586.4837866,6332727.43609719,108467391.010028,114758561.524274,217537854.331115,7495000,575000,-7698000,15162000,15534000,-2257000,-2257000,-2257000,-3312000,-31000,93000,93000,63000,12285000,12285000,2036000,14321000,14028000,0,32033000,0.40328,0.21963,0.12272,0.0876067013853793,0.0469086765338141,4.26141,1.80473115340913,0.879743594984471,2.5847466091893e-10,0.79235,0.76853,6.45652,11.4303782151077,3.37652,0.0863459016220254,0.0508739481897257,-14.5803306231527,-27.80704557653
"4","2011_Q4",9.11555555555556,"Down",71871000,-45755000,26116000,-12034000,-12034000,14082000,72000,72000,14154000,-1935000,12219000,-5160000,7059000,7059000,7298000,7298000,60232000,60232000,21238000,21238000,46311000,57415000,51715000,185196000,13442000,21811000,5336000,13431000,35253000,220449000,49255000,19601000,15094000,47589000,47589000,96844000,2103000,2103000,-3.63797880709171e-12,2103000,98947000,80004000,32021000,2923000,114948000,121502000,220449000,7059000,774000,-3150000,-10555000,-5872000,-1677000,-1677000,-1677000,-1677000,-32000,13999.9999999999,14000,-18000.0000000002,-7567000,-7567000,271000,-7296000,14856000,0,7784000,0.36337,0.19593,0.10154,0.06006,0.03311,1.06659,1.91231,0.81437,0,0.76211,0.74076,7.50533,12.00376,0.81287,0.05904,0.0629699999999999,-4.05438999999998,-4.27723000000003
"5","2012_Q1",9.29435483870968,"Up",59869000,-39627000,20242000,-12914000,-10059000,7328000,-88000,-88000,7240000,-2067000,5173000,-2600000,2573000,2573000,3075000,3075000,67382000,67382000,14447000,14447000,37162000,55860000,42040000,174851000,12680000,18334000,5021000,13313000,31014000,205865000,43059000,8928000,17461000,37735000,37735000,80794000,2740000,2740000,0,2740000,83534000,83301000,35096000,-2078000,116319000,122331000,205865000,2573000,818000,10375000,-3701000,10065000,-640000,-640000,-640000,-640000,-33000,0,0,94000,9519000,9519000,-2369000,7150000,8146000,0,6405000,0.3381,0.1224,0.05136,0.02514,0.01494,2.08293,2.16416,0.68285,0,0.32101,0.31333,6.25003,12.14313,0.66865,0.02459,0.05121,-8.27179,-9.19514
"6","2012_Q2",5.67746031746032,"Down",24728000,-17527000,7201000,-6292000,-6292000,909000,87000.0000000001,87000,996000,-2753000,-1757000,320000,-1437000,-1437000,-876000,-876000,54936000,54936000,10560000,10560000,37451000,48463000,34533000,151410000,12059000,17855000,4738000,13117000,29914000,181324000,31687000,6510000,8957000,29592000,29592000,61279000,2420000,2420000,2.8421709430404e-14,2420000,63699000,83767000,34222000,-5809000,112180000,117625000,181324000,-1437000,769000,142999.999999998,-5588000,-6113000,-465000,-465000,-465000,-465000,-11000,-4080000,-27220.9287265073,-4091000,-10669000,-10669000,-1777000,-12446000,1678000,-1.73472347597681e-18,-4695000,0.29121,0.03676,-0.03543,-0.00745,-0.00483,5.35959,2.47083,0.54154,0,-0.09274,-0.0927399999999999,2.61783,11.87593,-0.49704,-0.0073,-0.03911,-32.73897,-60.43564
"7","2012_Q3",3.97539682539683,"Down",21566000,-17518000,4048000,-6046000,-6046000,-1998000,39000,39000,-1959000,-3987000,-5946000,220000,-5726000,-5726000,-5079000,-5079000,48769000,48769000,11290000,11290000,36866000,42118000,28988000,139043000,12998000,17552000,4316000,13236000,30550000,169593000,27464000,6733000,8641000,25111000,25111000,52575000,2480000,2480000,0,2480000,55055000,84207000,29143000,-3607000,109743000,114538000,169593000,-5726000,759000,5789000,-7364000,-6542000,-597000,-597000,-597000,-641000,-11000,0,-13971.0151010418,-11000,-7194000,-7194000,1027000,-6167000,-1239000,0,-9420000,0.1877,-0.09265,-0.23551,-0.04434,-0.02995,1.8547,2.64466,0.48067,0,-0.53582,-0.53582,2.27513,11.57749,-0.99378,-0.0434,-0.0805,39.36158,24.40891
"8","2012_Q4",3.14564516129032,"Down",24300000,-19496000,4804000,-6360000,-6360000,-1556000,68999.9999999999,69000,-1487000,-3694000,-5181000,1110000,-4071000,-4071000,-2965000,-2965000,42326000,42326000,16608000,16608000,33075000,30120000,19630000,122129000,11980000,17227000,4221000,13006000,29207000,151336000,23738000,6024000,10034000,18114000,18114000,41852000,2430000,2430000,0,2430000,44282000,84645000,26176000,-7458000,103363000,107054000,151336000,-4071000,727000,2992000,-4507000,-4859000,-167000,-167000,-167000,-362000,-8000,3000.00000000047,3000,-5000,-5226000,-5226000,-1217000,-6443000,-829000,-2.77555756156289e-17,-6613000,0.1977,-0.0640300000000001,-0.12202,-0.0277,-0.01959,2.23035,2.91812,0.41364,-1.65436122510606e-24,-0.3128,-0.3128,2.56356,10.90442,-0.69765,-0.02708,-0.0604,51.05669,27.2018
"9","2013_Q1",3.91883333333333,"Up",10945000,-15350000,-4405000,-4357000,-4357000,-8762000,-2584000,-129000,-11346000,-8688000,-20034000,3670000,-16364000,-16364000,-14111000,-14111000,46726000,46726000,7486000,7486000,25670000,21561000,18101000,101443000,12387000,15192000,4096000,8355000,27579000,129022000,25730000,5780000,12810000,16881000,16881000,42611000,2360000,2360000,0,2360000,44971000,77472000,12065000,-6817000,82720000,84051000,129022000,-16364000,603000,16964000,3873000,5076000,-77000,-77000,-77000,-74000,-1000,0,0,-1000,5001000,5001000,-601000,4400000,-8159000,0,-8033000,-0.40247,-0.80055,-1.28926,-0.16789,-0.10937,0.56927,2.38068,0.53504,0,-1.4885,-1.4885,1.15454,8.72574,-0.84736,-0.1633,-0.09296,5.72693,5.3328
"10","2013_Q2",4.4796875,"Up",9357000,-7979000,1378000,-4272000,-4272000,-2894000,4000,4000,-2890000,-1858000,-4748000,480000,-4268000,-4268000,-4194000,-4194000,42615000,42615000,5824000,5824000,24730000,25606000,20686000,98775000,12265000,13860000,3982000,8423000,26125000,124900000,27093000,2729000,17704000,13840000,13840000,40933000,2360000,2360000,0,2360000,43293000,77905000,7871000,-5414000,80362000,81607000,124900000,-4268000,699000,-229999.999999996,-753000,-4552000,-121000,-121000,-121000,-121000,2280.71474438135,0,0,0,-4673000,-4673000,562000,-4111000,-2195000,0,-3549000,0.14727,-0.30929,-0.44822,-0.05139,-0.03358,0.84621,2.41309,0.53051,0,-0.44175,-0.44175,0.98557,8.4645,-0.37382,-0.04995,-0.04227,19.41458,14.72529
