"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.8714285714286,"Down",9.92e+08,3.4e+08,3.91e+08,-5.1e+07,6.52e+08,2.09e+08,4.2e+08,3.1e+07,9.78e+08,-7.69e+08,-8e+07,-6.89e+08,2.09e+08,2.09e+08,1.3e+07,-7e+06,6e+06,6e+06,6e+06,6e+06,6.294e+09,5.2214e+10,2.3429e+10,2.0022e+10,7.666e+09,7.666e+09,6.28e+08,5.28e+08,1.1007e+10,7.8337e+10,4.2055e+10,2.7966e+10,1.309e+09,1.336e+09,7.2666e+10,0,2.88e+09,-4.275e+09,7.177e+09,-1.11e+08,5.671e+09,5.671e+09,7.8337e+10,6e+06,3.7e+07,5.8e+07,-7.04e+08,-5.89e+08,-2.9e+07,-4.131e+09,-2.75e+08,19792939.5174237,-4.435e+09,-7.2e+07,-2.01e+08,5.55e+08,2.793e+09,2e+06,3.077e+09,-1.947e+09,-1.947e+09,-1.947e+09,2.46e+08,2.9275e+10,-4.8e+08,0.21069,0.00605,0.00106,8e-05,-80,12.81361,0.37371,0.00507,0.00505,0.83855,4.79374,-0.40575,0.06086,0.001,-0.00613,12,93.4187,109.95694
"2","2010_Q3",12.27484375,"Down",1.081e+09,3.83e+08,4.28e+08,-4.5e+07,6.98e+08,2.33e+08,4.37e+08,3.6e+07,1.08e+09,-7.42e+08,-8.4e+07,-6.58e+08,3.38e+08,3.38e+08,3.38e+08,-1.33e+08,2.05e+08,2.05e+08,2.05e+08,2.05e+08,9.51e+09,5.2447e+10,2.3703e+10,1.9274e+10,7.874e+09,7.874e+09,6.17e+08,5.28e+08,1.1319e+10,8.2295e+10,4.5887e+10,2.7821e+10,1.308e+09,1.4e+09,7.6416e+10,0,2.902e+09,-4.268e+09,7.31e+09,-6.5e+07,5.879e+09,5.879e+09,8.2295e+10,2.05e+08,3.6e+07,4.4e+07,5.79e+08,8.65e+08,-2.5e+07,-1.166e+09,-2.29e+08,4e+06,-1.416e+09,-7.1e+07,-2e+06,7e+06,3.832e+09,1e+06,3.767e+09,3.216e+09,3.216e+09,3.216e+09,3.74e+08,2.9129e+10,1.061e+09,0.31267,0.18964,0.03487,0.00249,5.17561000000001,12.99813,0.35396,0.17212,0.17155,0.90764,4.93619,0.89085,0.05961,0.00335,0.01289,0.34634,52.45722,58.04438
"3","2010_Q4",13.4515625,"Up",1.066e+09,3.87e+08,4.42e+08,-5.5e+07,6.79e+08,1.82e+08,4.68e+08,3.2e+07,1.063e+09,-7.32e+08,-8.5e+07,-6.47e+08,3.31e+08,3.31e+08,1.99e+08,-7.5e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,5.701e+09,6.0814e+10,2.6017e+10,2.0407e+10,8.299e+09,8.299e+09,6.1e+08,5.28e+08,1.1346e+10,8.7298e+10,4.8836e+10,2.9159e+10,2.008e+09,1.26e+09,8.1263e+10,0,2.926e+09,-4.257e+09,7.363e+09,3e+06,6.035e+09,6.035e+09,8.7298e+10,1.24e+08,3.5e+07,-3.5e+07,3.9e+07,1.66e+08,-2.8e+07,-7.13e+09,-3.93e+08,0,-7.551e+09,-7.2e+07,7e+08,4e+06,2.949e+09,-5e+06,3.576e+09,-3.809e+09,-3.809e+09,-3.809e+09,3.66e+08,3.1167e+10,4.52e+08,0.31051,0.11632,0.02055,0.00142,3.64516,13.46529,0.35702,0.10394,0.10385,0.89355,5.05868,0.37888,0.06035,0.00225,0.00518,0.58065,69.57923,76.93656
"4","2011_Q1",15.9288709677419,"Up",1.136e+09,4.14e+08,4.62e+08,-4.8e+07,7.22e+08,2.06e+08,4.97e+08,3.6e+07,1.127e+09,-7.74e+08,-9.2e+07,-6.82e+08,3.53e+08,3.53e+08,2.29e+08,-1.1e+08,1.19e+08,1.19e+08,1.19e+08,1.19e+08,4.931e+09,6.4841e+10,2.3993e+10,2.3086e+10,8.91e+09,8.91e+09,6.24e+08,6.31e+08,1.2577e+10,9.2568e+10,5.059e+10,3.225e+10,2.006e+09,1.496e+09,8.6342e+10,1.45519152283669e-11,3.048e+09,-4.247e+09,7.409e+09,1.6e+07,6.226e+09,6.226e+09,9.2568e+10,1.19e+08,3.8e+07,-3.5e+07,-5.82e+08,-4.51e+08,-4.7e+07,-1.372e+09,-5.46e+08,1e+06,-2.008e+09,-7.3e+07,-1e+06,1.2e+07,1.754e+09,-3e+06,1.689e+09,-769999999.999999,-769999999.999999,-769999999.999999,3.91e+08,3.4256e+10,-1.28e+08,0.31074,0.10475,0.01911,0.00129,-1.07563,13.86797,0.37006,0.09942,0.09925,0.94904,5.20134,-0.10693,0.06099,0.00207,-0.00138,0.61345,75,83.07365
"5","2011_Q2",15.1549206349206,"Down",1.211e+09,4.36e+08,4.81e+08,-4.5e+07,7.75e+08,2.41e+08,5.02e+08,3.9e+07,1.207e+09,-8.13e+08,-9.2e+07,-7.21e+08,3.94e+08,3.94e+08,3.94e+08,-1.51e+08,2.43e+08,2.43e+08,2.43e+08,2.43e+08,5.548e+09,6.6149e+10,2.6046e+10,2.3457e+10,9.164e+09,9.164e+09,6.27e+08,6.31e+08,1.2764e+10,9.4883e+10,5.1259e+10,3.3732e+10,2.005e+09,1.4e+09,8.8396e+10,0,3.075e+09,-4.202e+09,7.58e+09,3.4e+07,6.487e+09,6.487e+09,9.4883e+10,2.43e+08,3.5e+07,2.02e+08,8.19e+08,1.303e+09,-3.8e+07,-9.35e+08,-4.14e+08,1e+06,-1.386e+09,-7.2e+07,5.7e+07,3.8e+07,6.69e+08,8e+06,7e+08,6.17e+08,6.17e+08,6.17e+08,4.29e+08,3.5737e+10,1.361e+09,0.32535,0.20066,0.03746,0.00256,5.60082,13.62664,0.37664,0.202,0.20133,1.00665,5.39235,1.13134,0.05985,0.00332,0.01434,0.2963,70.37063,76.62183
"6","2011_Q3",11.510625,"Down",1.191e+09,4.51e+08,4.96e+08,-4.5e+07,7.4e+08,2.05e+08,5.02e+08,3.5e+07,1.19e+09,-7.97e+08,-9.2e+07,-7.05e+08,3.93e+08,3.93e+08,3.86e+08,-1.48e+08,2.38e+08,2.38e+08,2.38e+08,2.38e+08,6.466e+09,6.7259e+10,2.7208e+10,2.4252e+10,9.52e+09,9.52e+09,6.39e+08,6.31e+08,1.3057e+10,9.7572e+10,5.2339e+10,3.5273e+10,2.004e+09,1.222e+09,9.0838e+10,0,3.101e+09,-4.157e+09,7.745e+09,4.5e+07,6.734e+09,6.734e+09,9.7572e+10,2.38e+08,3.3e+07,2.7e+07,3.16e+08,6.15e+08,-3.9e+07,-3.08e+08,-3.39e+08,5e+06,-6.81e+08,-7.3e+07,-6e+07,3.5e+07,1.08e+09,2e+06,9.84e+08,9.18e+08,9.18e+08,9.18e+08,4.26e+08,3.7277e+10,8.51e+08,0.32997,0.19983,0.03534,0.00244,3.57563,13.48946,0.38205,0.19718,0.19669,0.98674,5.57912,0.70505,0.06048,0.00319,0.00872,0.30672,72.32629,78.39949
"7","2011_Q4",10.3734920634921,"Down",1.189e+09,4.43e+08,4.87e+08,-4.4e+07,7.46e+08,2.48e+08,4.66e+08,4.5e+07,1.181e+09,-8.21e+08,-1.04e+08,-7.17e+08,3.6e+08,3.6e+08,3.6e+08,-1.4e+08,2.2e+08,2.2e+08,2.2e+08,2.2e+08,6.376e+09,7.2194e+10,2.8962e+10,2.7457e+10,9.784e+09,9.784e+09,6.65e+08,1.138e+09,1.2417e+10,1.02906e+11,5.4078e+10,3.7953e+10,2.002e+09,1.218e+09,9.5251e+10,0,3.837e+09,-4.13e+09,7.892e+09,5.6e+07,7.655e+09,7.655e+09,1.02906e+11,2.2e+08,3.9e+07,3.7e+07,-2.1e+08,9.4e+07,-6e+07,-1.539e+09,-2.44e+08,5e+06,-1.754e+09,-7.3e+07,-1.12e+08,1.6e+07,1.739e+09,0,1.57e+09,-9e+07,-9e+07,-9e+07,3.99e+08,3.9955e+10,2.69e+08,0.30278,0.18503,0.02874,0.00214,1.22273,12.44298,0.38827,0.17901,0.17901,0.96745,6.22864,0.21888,0.0594,0.00285,0.00261,0.33182,84.15789,93.275
"8","2012_Q1",11.6212903225806,"Up",1.118e+09,3.95e+08,4.36e+08,-4.1e+07,7.23e+08,2.33e+08,4.58e+08,4.1e+07,1.113e+09,-8.61e+08,-9.9e+07,-7.62e+08,2.52e+08,2.52e+08,2.52e+08,-8.9e+07,1.63e+08,1.63e+08,1.63e+08,1.63e+08,8.679e+09,7.57e+10,3.3965e+10,2.6627e+10,9.882e+09,9.882e+09,6.85e+08,1.161e+09,1.212e+10,1.08553e+11,6.0854e+10,3.6587e+10,2.001e+09,1.397e+09,1.00839e+11,81687739.8145302,3.841e+09,-4.113e+09,7.978e+09,8000000.00000001,7.714e+09,7.714e+09,1.08553e+11,1.63e+08,4.8e+07,1.9e+08,4.6e+07,4.52e+08,-4.3e+07,-4.641e+09,-1.28e+08,-4e+06,-4.846e+09,-7.7e+07,-1e+06,6999999.99999999,6.776e+09,-8e+06,6.697e+09,2.303e+09,2.303e+09,2.303e+09,3e+08,3.8588e+10,3.92e+08,0.2254,0.1458,0.02113,0.0015,2.40491,13.07221,0.35548,0.12845,0.12835,0.88101,6.0788,0.3089,0.06068,0.00221,0.00361,0.47239,99.69667,118.68651
"9","2012_Q2",11.6357142857143,"Up",1.189e+09,4.34e+08,4.72e+08,-3.8e+07,7.55e+08,2.43e+08,4.84e+08,4.6e+07,1.189e+09,-8.76e+08,-9.6e+07,-7.8e+08,3.13e+08,3.13e+08,3.13e+08,-1.18e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,6.794e+09,8.0134e+10,3.7818e+10,2.7361e+10,9.812e+09,9.812e+09,6.84e+08,1.164e+09,1.2578e+10,1.11482e+11,6.2259e+10,3.7576e+10,2e+09,1.31e+09,1.03145e+11,3.94e+08,3.857e+09,-4.087e+09,8.097e+09,7.6e+07,8.337e+09,8.337e+09,1.11482e+11,1.95e+08,4.8e+07,1.14e+08,-2.59e+08,9.8e+07,-4.2e+07,-3.712e+09,3.4e+07,1326806.7416311,-3.72e+09,-7.7e+07,-1e+06,4.09e+08,1.405e+09,1e+06,1.737e+09,-1.885e+09,-1.885e+09,-1.885e+09,3.61e+08,3.9576e+10,1.78e+08,0.26325,0.164,0.02339,0.00175,0.91282,12.37196,0.355,0.1533,0.15318,0.93475,6.2445,0.13994,0.06053,0.00244,0.0016,0.39487,90.80886,104.73482
"10","2012_Q3",11.648253968254,"Up",1.287e+09,4.58e+08,4.97e+08,-3.9e+07,8.29e+08,2.19e+08,4.96e+08,1.21e+08,1.283e+09,-8.51e+08,-9.3e+07,-7.58e+08,4.32e+08,4.32e+08,4.32e+08,-1.57e+08,2.75e+08,2.75e+08,2.75e+08,2.61e+08,8.089e+09,7.8703e+10,4.0049e+10,2.3148e+10,9.839e+09,9.839e+09,6.77e+08,1.165e+09,1.3039e+10,1.11816e+11,6.6257e+10,3.3165e+10,1.999e+09,1.285e+09,1.02706e+11,8.63e+08,3.885e+09,-4.072e+09,8.28e+09,1.54e+08,9.11e+09,9.11e+09,1.11816e+11,2.75e+08,4.8e+07,1.34e+08,-7.91e+08,-3.3e+08,-3.4e+07,-2.638e+09,-9.6e+07,12354212.7440226,-2.768e+09,-7.7e+07,-2e+06,4.75e+08,3.998e+09,-1e+06,4.393e+09,1.295e+09,1.295e+09,1.295e+09,4.8e+08,3.5164e+10,-1.88e+08,0.33566,0.2028,0.02865,0.00233,-0.72031,11.27398,0.31448,0.20519,0.20487,1.01179,6.48349,-0.1478,0.06053,0.00302,-0.00168,0.29502,56.40625,62.67361
