"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",26.8030158730159,"Up",52380000,-19490000,32890000,-24758000,-13799000,-10959000,8132000,-276000,40000,-316000,7856000,7856000,-3044000,4812000,4812000,4812000,4812000,105411603.122693,97803815.9376859,14965669.8542223,14965669.8542223,58641695.5894942,4865240.43651784,179018968.56641,20701025.6846006,-6840786.71451731,-18556188.6283578,11583000.4668338,17877490.0328845,196896458.599294,71247656.3400554,24323744.7020698,46923911.6379856,36004115.1261984,31868393.8570431,4135721.26915531,107251771.466254,38213756.3529494,26197296.2972581,12016460.0556913,38213756.3529155,145465527.819169,79926526.2301188,-27726315.0817745,-769280.368219428,51430930.7801249,51430930.7801249,196896458.599294,4812000,679000,6131000,-38707000,-27085000,-490000,-14746667.1835335,-490000,402000,402000,-571000,-28146000,-28146000,-308000,-28454000,8811000,0,-27342000,0.62791,0.15525,0.09187,0.159522452944722,0.100251689428691,-5.68204,1.21559001685912,1.16347246526058,-1.89083250598507e-14,0.33062,0.22748,3.5989,23.5112086320085,-1.8786,0.148847507816946,0.747890634076081,262.830832218695,-3952.8178993553
"2","2012_Q3",27.7134920634921,"Up",55097000,-20741000,34356000,-28999000,-16837000,-12162000,5357000,-246000,73000,-319000,5111000,5111000,-1420000,3691000,3691000,3691000,3691000,169633000,169633000,34602000,34602000,10997000,4960000,215232000,4264000,25356000,22073000,3283000,29620000,244852000,20668000,5905000,14763000,50177000,46396000,3781000,70845000,15233000,14992000,241000,15233000,86078000,189041000,-29868000,-399000,158774000,158774000,244852000,3691000,685000,7314000,3127000,14817000,-510000,0,-510000,125141000,125141000,124425000,138732000,138732000,-270000,138462000,6042000,0,10079000,0.62355,0.09723,0.06699,0.02325,0.01507,2.7307,3.03807,0.54214,0,0.20011,0.14412,2.98711,8.60802,0.54644,0.02121,0.05792,-28.07564,-31.66567
"3","2012_Q4",30.1490322580645,"Up",56995000,-23973000,33022000,-28180000,-15194000,-12986000,4842000,271000,107000,164000,5113000,5113000,-1964000,3149000,3149000,3149000,3149000,201850000,201850000,35468000,35468000,10507000,6354000,247825000,5614000,22632000,22073000,559000,28246000,276071000,23546000,5563000,17983000,58137000,54279000,3858000,81683000,7337000,6953000,384000,7337000,89020000,214156000,-26719000,-386000,187051000,187051000,276071000,3149000,783000,6050000,270000,10252000,-1118000,0,1205000,21519000,21519000,20626000,32083000,32083000,134000,32217000,5625000,0,6741000,0.57938,0.08495,0.05525,0.01683,0.01141,2.14068,3.03399,0.47591,0,0.05996,0.05427,1.08521,3.56153,0.12835,0.0162,0.03468,-35.88444,-41.6873199999999
"4","2013_Q1",34.1088333333333,"Up",67589000,-25801000,41788000,-31185000,-18236000,-12949000,10603000,-167000,88000,-255000,10436000,10436000,-3424000,7012000,7012000,7012000,7012000,205718000,205718000,32313000,32313000,24434000,7266000,262465000,11924000,9858000,9313000,545000,21782000,284247000,36283000,9781000,26502000,56904000,52947000,3957000,93187000,7098000,2569000,4529000,7098000,100285000,207629000,-23171000,-496000,183962000,183962000,284247000,7012000,770000,177000,11151000,19110000,-3501000,0,-3501000,1391000.00000001,1391000.00000001,-11473000,4135999.99999999,4135999.99999999,-268000,3868000,11373000,1.6940658945086e-21,22447000,0.61827,0.15687,0.10374,0.03812,0.02467,3.20123,2.81654,0.54514,0,0.13087,0.11264,1.26144,3.43336,0.41894,0.0367,0.11749,-18.08828,-19.40187
"5","2013_Q2",39.960625,"Up",63301000,-27557000,35744000,-35806000,-21042000,-14764000,-62000,231000,90000,141000,169000,169000,278000,447000,447000,447000,447000,185472000,185472000,38132000,38132000,22755000,6275000,246359000,11535000,9847000,9313000,534000,21382000,267741000,21212000,6517000,14695000,45491000,41549000,3942000,66703000,7419000,2057000,5362000,7419000,74122000,216855000,-22724000,-512000,193619000,193619000,267741000,447000,1100000,8753000,-26579000,-16279000,-4810000,-3.72529029846191e-09,-3205000,3163000,3163000,-887000,-20371000,-20371000,125000,-20246000,1038000,0,-30629000,0.56467,-0.00098,0.00706,0.00231,0.00167,-68.52125,3.69337,0.38282,6.3108872417681e-30,0.00815,0.00731,1.15483,3.53229,-0.55878,0.00222000000000001,-0.15235,-178.68208,2991.48387
"6","2013_Q3",44.98265625,"Up",72188000,-31388000,40800000,-35719000,-19834000,-15885000,5081000,155000,132000,22999.9999999999,5236000,5236000,265000,5501000,5501000,5501000,5501000,165849000,101465000,41779000,41779000,22234000,6598000,229862000,11608000,9824000,9313000,511000,58826000,288688000,25192000,6384000,18808000,48891000,43043000,5848000,74083000,7569000,2014000,5555000,7569000,81652000,224736000,-17223000,-477000,207036000,207036000,288688000,5501000,945000,9299000,3643000,19388000,-1046000,-101840000,-100971000,2468000,2468000,-2493000,-84076000,-84076000,68999.9999999999,-84007000,6026000,-5.42101086242752e-20,8358000,0.56519,0.07039,0.0762,0.02657,0.01906,1.51936000000001,3.10276,0.39439,0,0.09846,0.08913,1.29211,3.70579,0.1496,0.02563,0.03895,-27.52224,-32.64102
"7","2013_Q4",47.1784375,"Up",68250000,-35992000,32258000,-36620000,-19766000,-16854000,-4362000,-131000,137000,-268000,-4493000,-4493000,1823000,-2670000,-2670000,-2670000,-2670000,154121000,90530000,48137000,48137000,25308000,6906000,227566000,12348000,9780000,9313000,467000,71599000,299165000,28135000,7034000,21101000,53146000,48439000,4707000,81281000,8410000,3022000,5388000,8410000,89691000,230019000,-19893000,-652000,209474000,209474000,299165000,-2670000,1137000,5548000,988000,5003000,-1205000,-11417000,-12622000,2333000,2333000,-3028000,-10647000,-10647000,-288000,-10935000,-3225000,0,-5265000,0.47264,-0.06391,-0.03912,-0.01275,-0.00892000000000001,1.97191,2.79974,0.42817,-5.04870979341448e-29,-0.04686,-0.04683,1.19777,3.67621,-0.0924,-0.01225,-0.02416,47.78946,35.3326499999999
"8","2014_Q1",50.1334426229508,"Up",96910000,-30714000,66196000,-37114000,-21626000,-15488000,29082000,129000,139000,-10000,29211000,29211000,-7831000,21380000,21380000,21380000,21380000,156699000,79767000,40885000,40885000,12509000,9612000,210093000,12914000,31626000,14494000,1205000,95580000,305673000,32819000,6517000,26302000,41965000,37351000,4614000,74784000,9057000,3845000,5212000,9057000,83841000,215157000,8249000,-1574000,221832000,221832000,305673000,21380000,1639000,-392000,1808000,24435000,-2167000,-15211000,-32115000,1158999.99999999,1158999.99999999,-2213000.00000001,-9893000,-9893000,-870000,-10763000,30721000,8.67361737988404e-19,38193000,0.68307,0.30009,0.22062,0.09638,0.06994,1.78639,2.80933,0.37795,0,0.37079,0.32221,1.68069,3.84719,0.66237,0.0926,0.16542,-5.10071,-5.38818
"9","2014_Q2",39.6380952380952,"Down",66529000,-37857000,28672000,-41299000,-23772000,-17527000,-12627000,273000,158000,115000,-12354000,-12354000,5899000,-6455000,-6455000,-6455000,-6455000,528706000,437145000,47093000,47093000,11332000,8263000,587131000,12434000,45291000,28526000,1103000,105917000,693048000,23439000,6925000,16514000,43538000,39819000,3719000,66977000,8715000,3686000,5029000,8715000,75692000,636911000,-18403000,-1152000,617356000,617356000,693048000,-6455000,1591000,3203000,-12922000,-14583000,-1206000,-12055000,-13356000,392012000,392012000,384735000,356796000,356796000,582000,357378000,-11036000,0,-31063000,0.43097,-0.1898,-0.09703,-0.01046,-0.00930999999999998,4.81224,8.76616,0.12261,8.07793566946316e-28,-0.11006,-0.11006,1.13435,10.52622,-0.52964,-0.01031,-0.04962,47.90739,41.87107
"10","2014_Q3",42.29296875,"Up",83475000,-36167000,47308000,-42827000,-25302000,-17525000,4480999.99999999,288000,346000,-58000,4768999.99999999,4768999.99999999,-1437000,3332000,3332000,3332000,3332000,444192000,217629000,56471000,56471000,11616000,8708000,512279000,12651000,47158000,30822000,1034000,204012000,716291000,27031000,5728000,21303000,50260000,46273000,3987000,77291000,10111000,5211000,4900000,10111000,87402000,650155000,-19295000,-1971000,628889000,628889000,716291000,3332000,1617000,13036000,2327000,20312000,-1375000,-231818000,-233193000,2080000,2080000,-5962000,-218843000,-218843000,-673000,-219516000,6098000.00000001,0,8486999.99999999,0.56673,0.05368,0.03992,0.0053,0.00465,2.54712,6.62793,0.13898,0,0.04946,0.04699,1.23922,9.33613,0.12599,0.00521,0.01328,-72.84224,-99.12787
