"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",11.2296875,"Up",119900000,-95600000,24300000,-16900000,-16400000,-5e+05,7400000,-6200000,-6400000,2e+05,1200000,1e+06,2200000,1100000,3300000,-1e+05,-1e+05,3200000,3200000,3200000,-27272078.004001,-27272078.004001,388199287.968382,388199287.968382,31853219.5182915,-14311230.0815808,13245314.0412453,-11956463.5532656,378469199.401092,66718267.0058398,759261159.663642,138887438.345508,613740661.389785,10941768.8144749,825979426.669481,1204448626.07057,315079723.260759,163734605.85048,157691110.270042,140403739.376809,161755558.649416,454116278.028909,291098923.431836,-32924033.7466788,-60208897.3984144,258174889.685157,712291167.714066,871935022.215865,-380651807.615415,492157458.356508,492157458.356508,1204448626.07057,3300000,3200000,1e+05,3900000,-7e+05,11600000,18100000,2828231.97203718,-9400000,0,-3e+05,-3e+05,8400000,-5e+05,7900000,-527894.136130359,7900000,11300000,0,-66359720.0411478,0.20267,0.06172,0.02669,0.0632527596157346,0.0146145777492422,-47.5108898220643,-2.73664636068577,-0.366346774847021,0.0473311087378659,0.19876,0.19632,7.4472,18.5645528357621,-2.90051465856821,0.0162503741814134,0.0926456411507429,11.9012525769836,-11.384834247247
"2","2011_Q1",13.841935483871,"Up",120800000,-9.6e+07,24800000,-16600000,-1.6e+07,-6e+05,8200000,-6200000,-6500000,3e+05,2e+06,-1600000,4e+05,2e+05,6e+05,-2e+05,-2e+05,4e+05,4e+05,4e+05,10800000,10800000,125800000,125800000,25900000,21100000,7100000,11200000,183600000,28400000,323700000,89100000,226800000,7800000,352100000,535700000,86700000,43600000,43100000,30800000,28700000,118100000,226100000,21600000,8600000,247700000,365800000,553500000,-383600000,169900000,169900000,535700000,6e+05,4e+05,2e+05,4200000,14300000,-15500000,3600000,-2300000,-67000000.0000001,-3300000,-1900000,21200000.0000001,-42200000,1700000,-40500000,0,-40500000,12400000,226700000,-5600000,0.2053,0.06788,0.00331,0.00235,0.00075,-14,1.55461,2.15303,0.42318,0.02424,0.02367,7.32121,10.29697,-0.33939,0.00096,-0.01339,17.41129,26.32927
"3","2011_Q2",12.5361904761905,"Down",122800000,-95400000,27400000,-20200000,-19600000,-6e+05,7200000,-6400000,-6700000,3e+05,8e+05,-5800000,-5e+06,1200000,-3800000,3e+05,3e+05,-3500000,-3500000,-3500000,59590692.6680003,59590692.6680003,84208570.6772058,84208570.6772058,40823926.8272362,27820410.0271936,6384895.31958491,16352154.5177552,212443600.199636,34552244.3313867,303396280.112119,89095853.8848306,201503112.870072,11961077.0618417,337948524.443506,550392124.643142,45298425.5797471,18705131.3831735,25752963.2433193,815420.207730286,-4876852.88313878,46819573.9903636,334883692.189388,43733011.248893,39494632.4661381,378616703.438281,425436277.428645,512613325.928045,-387482730.794862,124955847.214497,124955847.214497,550392124.643142,-3800000,-3500000,-3e+05,4800000,1e+06,-5200000,-3200000,-5e+05,-325700000,3.14e+08,-11800000,363700000,34800000,-1e+05,34700000,117631.37871012,34700000,1.2e+07,0,5100000,0.22313,0.05863,-0.0285,-0.0217225865385782,-0.00504819258308074,-1.45714,3.03496378689526,3.05946475828234,0.565208797087378,-0.16432,-0.16432,5.76526,8.23114905474596,0.23944,-0.0056226247271378,-0.0250385470502476,19.1156216410055,39.4087930824156
"4","2011_Q3",9.5496875,"Down",171100000,-125700000,45400000,-34900000,-33700000,-1200000,10500000,-13100000,-13100000,0,-2600000,-1800000,-4400000,-9e+05,-5300000,1e+05,1e+05,-5200000,-5200000,-5200000,100400000,100400000,162900000,162900000,6.4e+07,20600000,8700000,11900000,347900000,61500000,5.03e+08,113500000,370300000,19200000,564500000,912400000,1.05e+08,44500000,60500000,18800000,18800000,123800000,516300000,45300000,45300000,561600000,685400000,619300000,-392300000,2.27e+08,2.27e+08,912400000,-5300000,-5200000,-1e+05,11400000,1700000,-14700000,-6900000,5e+05,77700000,-11200000,-1800000,-13400000,57400000,-2500000,54900000,0,54900000,21900000,516300000,8600000,0.26534,0.06137,-0.03039,-0.02291,-0.0057,-1.65385,2.81018,3.01938,0.56587,-0.21757,-0.21757,7.159,9.49791,0.35983,-0.00659,0.01091,18.99087,39.60952
"5","2011_Q4",5.94698412698413,"Down",206600000,-147600000,5.9e+07,-45600000,-42400000,-3200000,13400000,-15300000,-1.5e+07,-3e+05,-1900000,-3700000,-5600000,-1600000,-7200000,3e+05,3e+05,-6900000,-6900000,-6900000,109400000,109400000,248700000,248700000,79800000,16500000,11600000,4900000,454400000,81600000,705400000,133400000,547500000,24500000,7.87e+08,1241400000,1.65e+08,68500000,96500000,51500000,51500000,216500000,654900000,38600000,38600000,693500000,9.1e+08,730500000,-399200000,331400000,331400000,1241400000,-7200000,-6900000,-3e+05,15200000,2300000,12400000,22700000,-5300000,-127800000,122200000,-5500000,116700000,11600000,-2700000,8900000,-2e+05,8700000,28600000,654900000,37300000,0.28558,0.06486,-0.0334,-0.02082,-0.00556,-5.4058,2.09885,2.74593,0.52755,-0.22403,-0.22403,6.70779,10.75974,1.21104,-0.00673,0.03639,19.07343,40.70896
"6","2012_Q1",6.37870967741936,"Up",213400000,-1.54e+08,59400000,-48500000,-44900000,-3600000,10900000,-16300000,-16300000,0,-5400000,-1200000,-6600000,-6e+05,-7200000,-1400000,-1400000,-8600000,-8600000,-8600000,69600000,69600000,245300000,245300000,76600000,29500000,12700000,4200000,4.21e+08,72500000,722500000,124600000,571600000,23900000,7.95e+08,1.216e+09,144400000,48800000,90500000,67800000,5.3e+07,213800000,654300000,35300000,32300000,689600000,903400000,720600000,-407800000,312600000,312600000,1.216e+09,-7200000,-8600000,1400000,16600000,7e+05,-17500000,-7400000.00000001,-2200000,-19800000.0000001,-2000000.00000003,-3700000,-14600000,-41800000,2600000,-39200000,-3e+05,-39500000,27500000,655900000,8400000,0.27835,0.05108,-0.0403,-0.02751,-0.00707,-0.97674,1.96913,2.88996,0.53939,-0.25595,-0.25595,6.35119,9.30357,0.25,-0.00857,0.00837000000000001,21.32,53.78899
"7","2012_Q2",5.38333333333333,"Down",209500000,-151700000,57800000,-47800000,-44200000,-3600000,1e+07,-15700000,-16100000,4e+05,-5700000,-9e+05,-6600000,4100000,-2500000,-5e+05,-5e+05,-3e+06,-3e+06,-3e+06,74200000,74200000,255500000,255500000,8.4e+07,34800000,11600000,23200000,448500000,72200000,716600000,116100000,575400000,25100000,788800000,1237300000,169300000,58700000,89900000,69600000,69600000,238900000,652300000,35400000,35400000,687700000,926600000,721700000,-410800000,310700000,310700000,1237300000,-2500000,-3e+06,5e+05,13600000,1700000,12200000,2.5e+07,-2700000,-23800000,-3e+05,-1e+05,-4e+05,8e+05,3900000,4700000,-1e+05,4600000,23600000,652300000,2.9e+07,0.27589,0.04773,-0.01432,-0.00966,-0.00242,-9.66667,1.87735,2.9823,0.5272,-0.09231,-0.09231,6.44615,9.56,0.89231,-0.003,0.02905,24.49576,57.81
"8","2012_Q3",5.40730158730159,"Up",219800000,-162500000,57300000,-4.7e+07,-42200000,-4800000,10300000,-15700000,-16200000,5e+05,-5400000,-2900000,-8300000,-6600000,-14900000,-2300000,-2300000,-17200000,-17200000,-17200000,145700000,145700000,256800000,256800000,86400000,32200000,12600000,19600000,521100000,72400000,705600000,107200000,575400000,2.3e+07,7.78e+08,1299100000,153700000,61900000,86700000,69200000,69200000,222900000,6.51e+08,33700000,33700000,684700000,907600000,819900000,-4.28e+08,391500000,391500000,1299100000,-14900000,-17200000,2300000,12300000,2600000,-15200000,-15200000,-3500000,-3600000,-200000.000000004,-3700000,93100000,74300000,-2600000,71700000,-2e+05,71500000,22600000,6.51e+08,10500000,0.26069,0.04686,-0.07825,-0.04393,-0.01324,-0.61047,2.33782,2.31826,0.50112,-0.41247,-0.41247,5.27098,9.38849,0.2518,-0.01598,0.00975999999999999,22.35841,49.05825
"9","2012_Q4",5.03774193548387,"Down",276300000,-202200000,74100000,-5.9e+07,-54500000,-4500000,15100000,-17200000,-17600000,4e+05,-2100000,-1e+06,-3100000,-1300000,-4400000,2e+05,2e+05,-4200000,-4200000,-4200000,37600000,37600000,281400000,281400000,99900000,37700000,17600000,20100000,456600000,84600000,831700000,132200000,678500000,2.1e+07,916300000,1372900000,196300000,8.1e+07,93600000,77800000,77800000,274100000,649700000,36500000,36500000,686200000,960300000,845400000,-432200000,412600000,412600000,1372900000,-4400000,-4200000,-2e+05,16600000,2800000,10300000,25300000,-5800000,-133500000,-3e+05,-8e+05,-1100000,-109300000,8e+05,-108500000,4e+05,-108100000,31700000,649700000,37500000,0.26819,0.05465,-0.0152,-0.01018,-0.00306,-8.92857,1.66582,2.32744,0.47323,-0.07343,-0.0742,4.83042,7.21329,0.65559,-0.00382,0.03413,19.30915,40.53642
"10","2013_Q1",4.63383333333333,"Down",263600000,-195600000,6.8e+07,-57100000,-52200000,-4900000,10900000,-16200000,-16200000,0,-5300000,-91200000,-96500000,5400000,-91100000,1100000,1100000,-9e+07,-9e+07,-9e+07,4.9e+07,4.9e+07,271900000,271900000,94300000,40200000,17400000,12500000,455400000,85600000,742900000,106100000,596400000,39600000,828500000,1283900000,184100000,83600000,94200000,93200000,59400000,278800000,648800000,32200000,31900000,6.81e+08,959800000,847100000,-522200000,324100000,324100000,1283900000,-91100000,-9e+07,-1100000,15500000,96700000,-3900000,17200000,-4600000,-4499999.99999997,-2e+05,-5e+05,-700000.000000015,1.2e+07,-5e+05,11500000,-1e+05,11400000,26400000,650300000,12500000,0.25797,0.04135,-0.34143,-0.27769,-0.0701,-0.13889,1.63343,2.96143,0.5065,-1.60142,-1.58451,4.69039,5.7669,0.22242,-0.08941,0.01242,22.77652,55.16514
