"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.10578125,"Up",74431000,-57106000,-33732000,-4611000,-18763000,17325000,-12144000,-12093000,-51000,5181000,6965000,-4760000,2205000,2048000,-1010000,1038000,1038000,21571000,21571000,60840000,60840000,4817000,4739000,43574505.5032063,87228000,35318000,921838000,137493000,698645000,2565000,957156000,1044384000,27603000,2719000,22440000,9533000,7105000,689274000,1e+06,100909000,90762000,10147000,101909000,791183000,982733000,-771894000,209154000,44047000,253201000,1044384000,2048000,2048000,4611000,3079000,663000,9889000,-1335000,-1335000,-1262000,-1335000,-3947000,-8031000,523000,523000,523000,21936000,653138000,26024000,0.23277,0.01395,0.0041,0.00099,25.07129,0.12655,3.12472,0.62538,0.01994,0.01994,1.4296,4.01724,0.49985,0.00103,0.02584,28.79135,36.45408
"2","2011_Q1",1.68483870967742,"Up",70735000,-90561000,-33217000,-3229000,-54115000,-19826000,-15870000,-15743000,-127000,-35696000,-27324000,714000.000000015,-26610000,-26570000,-581000,-27151000,-27151000,9191999.99999999,9192000,58427000,58427000,8532000,6809000,1564000,76151000,33041000,890020000,121502000,677407000,1980999.99999999,923061000,999212000,19959000,3009000,15279000,11738000,11704000,50099000,623820000,100323000,89392000,10894000,724143000,774242000,994804000,-799045000,194335000,30635000,224970000,999212000,-26570000,-26570000,3229000,28589000,-4461000,1061000,-1072000,-1072000,-1071000,-1072000,-953000,-12368000,-12379000,-12379000,-12379000,-16597000,642222000,-22844000,-0.28029,-0.38384,-0.12069,-0.02717,0.841369999999998,1.52001,3.44153,0.64273,-0.52126,-0.52126,1.358,3.73094,-0.43857,-0.02806,-0.02361,-38.14123,-31.9292799999999
"3","2011_Q2",2.37761904761905,"Up",65009000,-59432000,-36517000,-4084000,-18831000,5577000,-19300000,-19325000,25000,-13723000,-18387000,-45619000,-64006000,-64042000,-203000,-64245000,-64245000,33817000,33817000,47312000,47312000,5836000,4569000,1203000,86965000,32484000,887978000,121414000,678697000,2215000,920462000,1007427000,19115000,1673000,15189000,8409000,8359000,32384000,667769000,143985000,134413000,9572000,811754000,844138000,995310000,-863290000,132020000,31269000,163289000,1007427000,-64042000,-64042000,4084000,58754000,8893000,7711000,-1812000,-1812000,-1812000,-1812000,24599000,18726000,24625000,24625000,24625000,9661000,672629000,62361000,0.08579,-0.98825,-0.39344,-0.06377,-0.97067,2.68543,5.1696,0.66767,-1.23269,-1.23269,1.24735,2.53312,1.19655,-0.06556,0.06364,66.12276,114.54402
"4","2011_Q3",1.4353125,"Down",97061000,-81271000,-40316000,-10237000,-30718000,15790000,-22954000,-22907000,-47000,-7164000,139923000,-38611000,101312000,101267000,-2717000,98550000,98550000,30473000,29889000,83181000,83181000,23521000,4185000,19207000,137175000,33629000,1346916000,285932000,677407000,92806000,1386681000,1523856000,23517000,4648000,16955000,33660000,33580000,62037000,792773000,206981000,172536000,34412000,999754000,1061791000,991935000,-764740000,227251000,234814000,462065000,1523856000,101267000,101267000,10237000,-90675000,-29343000,-7920000,-1798000,-1798000,-1798000,63447000,0,-59455000,-3928000,-3928000,-3928000,26027000,797633000,33497000,0.16268,1.01534,0.21328,0.06467,0.3399,2.21118,2.29793,0.52343,1.93876,1.86277,1.90946,4.47067,0.65898,0.06719,0.02284,29.47554,48.58518
"5","2011_Q4",1.17904761904762,"Down",104446000,-91325000,-47079000,-11504000,-32742000,13121000,-22851000,-22870000,19000,-9730000,-9730000,2325000,-7405000,-7395000,-2483000,-9878000,-9878000,34074000,33171000,86284000,86284000,38609000,6157000,32347000,158967000,32745000,1320213000,285932000,677407000,75389000,1362054000,1521021000,27047000,7282000,17491000,33279000,33192000,65186000,798795000,205534000,169307000,36196000,1004329000,1069515000,990707000,-774618000,215925000,235581000,451506000,1521021000,-7395000,-7395000,11504000,15057000,-2281000,16559000,-1800000,-1800000,-1800000,-1800000,-1930000,-11477000,3282000,3282000,3282000,24625000,803655000,18219000,0.12562,-0.09458,-0.02188,-0.00649,-1.8444,2.43867,2.36877,0.52837,-0.1965,-0.1965,2.07768,4.29526,0.36242,-0.00676,0.01247,31.25202,58.65262
"6","2012_Q1",1.0608064516129,"Down",97781000,-106914000,-40451000,-11317000,-55146000,-9133000,-22985000,-22664000,-321000,-32118000,-32118000,15219000,-16899000,-16927000,-4611000,-21538000,-21538000,36700000,35939000,83843000,83843000,35927000,6934000,28859000,156470000,33920000,1288664000,272037000,674307000,74694000,1330012000,1486482000,25104000,5626000,17684000,33294000,33023000,62258000,805044000,188239000,153521000,34687000,993283000,1055541000,1001890000,-796156000,205535000,225406000,430941000,1486482000,-16927000,-16927000,11317000,27381000,-6602000,15256000,-4035000,-4035000,-4035000,-4035000.00000001,-1965000,-8453000.00000001,2768000,2768000,2768000,2184000,808904000,-23672000,-0.0934,-0.22027,-0.04998,-0.01449,1.09908,2.51325,2.44939,0.54417,-0.43303,-0.39971,1.96592,4.13234,-0.47593,-0.01508,-0.01658,353.57326,-84.55097
"7","2012_Q2",1.01603174603175,"Down",102964000,-89162000,-48365000,-9685000,-31112000,13802000,-23718000,-23725000,7000,-9916000,-9916000,-65254000,-75170000,-75185000,-4057000,-79242000,-79242000,44445000,43884000,80346000,80346000,34402000,5416000,28892000,159193000,34258000,1283497000,272037000,677407000,77489000,1321968000,1481161000,28008000,8236000,18409000,32569000,32329000,65184000,810707000,253486000,219103000,34357000,1064193000,1129377000,998604000,-875398000,123104000,228680000,351784000,1481161000,-75185000,-75185000,9685000,84234000,-6225000,12485000,-2960000,-2960000,-2960000,551000,-965000,-5091000,7945000,7945000,7945000,23487000,815314000,79556000,0.13405,-0.76961,-0.22526,-0.0535,-1.00396,2.44221,3.21043,0.55046,-1.585,-1.585,2.05949,2.46233,1.59128,-0.05578,0.056,32.82109,55.85198
"8","2012_Q3",0.865396825396825,"Down",105830000,-84363000,-41392000,-9742000,-33229000,21467000,-23513000,-22903000,-610000,-2046000,-2046000,48491000,46445000,46465000,-3797000,42668000,42668000,42992000,42760000,88089000,88089000,32494000,3499000,28906000,163575000,34718000,1273174000,272037000,677094000,75372000,1310812000,1474387000,23896000,6107000,16863000,30247000,29964000,58730000,815343000,203663000,170752000,32887000,1019006000,1077736000,1003756000,-832730000,170947000,225704000,396651000,1474387000,46465000,46465000,9742000,-27626000,-22867000,5697000,-3752000,-3752000,-3752000,-2226000,-2924000,-4595000,-1124000,-1124000,-1124000,31209000,819930000,-43901000,0.20284,0.40317,0.10757,0.02894,-1.0289,2.7852,2.71709,0.55612,0.85326,0.85124,2.11635,3.41853,-0.87791,0.03004,-0.03091,24.89468,36.1922
"9","2012_Q4",0.821451612903226,"Down",109894000,-88555000,-46267000,-9734000,-32554000,21339000,-22482000,-21801000,-681000,-1143000,-1143000,-9051000,-10194000,-10255000,-2809000,-13064000,-13064000,48825000,48660000,89255000,89255000,37172000,4802000,32285000,175252000,35230000,1266074000,272037000,677094000,76153000,1303671000,1478923000,28514000,10187000,17290000,35047000,34861000,68148000,814733000,211541000,179361000,32159000,1026274000,1094422000,1000418000,-845794000,154572000,229929000,384501000,1478923000,-10255000,-10255000,9734000,23059000,-11844000,11005000,-2823000,-2823000,-2823000,-2203000,-940000,-2902000,5900000,5900000,5900000,31073000,819320000,25457000,0.19418,-0.11888,-0.03398,-0.00883,-1.94864,2.57164,2.84634,0.554,-0.26118,-0.26118,2.19704,3.09026,0.50895,-0.00923,0.01799,24.79629,36.10736
"10","2013_Q1",1.41766666666667,"Up",105885000,-91284000,-42276000,-9616000,-39392000,14601000,-22193000,-22120000,-73000,-7592000,-7592000,-7421000,-15013000,-15141000,-2086000,-17227000,-17227000,58852000,57255000,81983000,81983000,34889000,5059000,29757000,175724000,35282000,1249189000,272037000,675195000,64780000,1284471000,1460195000,22445000,5431000,17014000,33943000,33861000,60975000,814131000,217738000,188249000,29489000,1031869000,1092844000,1006923000,-863021000,143800000,223551000,367351000,1460195000,-15141000,-15141000,9616000,30996000,-8848000,16206000,-2950000,-2950000,-2950000,-4112000,-960000,-3499000,8595000,8595000,8595000,24217000,818718000,19840000,0.13789,-0.1627,-0.0469,-0.0118,-1.15168,2.8819,2.97493,0.56069,-0.34426,-0.34507,2.11597,2.87364,0.39648,-0.01227,0.01413,31.37738,52.04205
