"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"37","2019_Q2",81.2096825396825,"Up",740530000,-230588000,509942000,-449858000,-245634000,-148707000,-55517000,60084000,-57842000,-60653000,2811000,2242000,22967000,25209000,-2418000,22791000,22791000,-4873000,17918000,17918000,6109000,6109000,247113000,247113000,307151000,280857000,26294000,201939000,763000,201176000,876389000,13845423000,20243935000,-6398512000,919309000,919309000,2212986000,267998000,1944988000,16977718000,17854107000,513679000,263656000,250023000,494050000,583575000,583575000,1591304000,4886108000,5994970000,384492000,384492000,155894000,2037783000,3416801000,10881078000,12472382000,2644063000,2644063000,2659086000,-46501000,5251062000,130663000,5381725000,17854107000,22791000,167801000,4153000,-21313000,173432000,-259792000,5279000,-254513000,-80897000,164974000,-2653000,81424000,343000,343000,343000,227885000,5380158000,-50802000,0.68862,0.08114,0.0242,0.00332999999999999,0.001,-2.83525,0.55074,2.31754,0.30134,0.1595,0.15894,6.59204,46.74383,-0.45223,0.72013,0.0059,-0.00303,4.51485,23.58228,89.44226
"38","2019_Q3",80.8975,"Down",869501000,-242222000,627279000,-430690000,-227543000,-147374000,-55773000,196589000,-48930000,-57465000,8535000,147659000,18440000,166099000,-17080000,149019000,149019000,-4874000,144145000,144145000,1648000,1648000,260741000,260741000,315381000,289928000,25453000,257140000,459000,256681000,1028567000,13991836000,20462771000,-6470935000,950448000,950448000,2194815000,261584000,1933231000,17137099000,18165666000,620295000,327969000,209502000,682373000,598293000,598293000,1900961000,4886879000,6020583000,356928000,356928000,174411000,2062165000,3427079000,10907462000,12808423000,2648234000,2648234000,2637620000,-47636000,5233078000,124165000,5357243000,18165666000,149019000,164384000,-7518000,-133383000,172502000,-281609000,8484000,-273125000,-81082000,188323000,-11079000,96162000,-4461000,-4461000,-4461000,360973000,5569252000,-36939000,0.72142,0.22609,0.16578,0.02691,0.00794,-0.256259999999999,0.54108,2.39086,0.30658,1.28214,1.27864,7.73405,46.54728,-0.32857,0.72121,0.01329,-0.00218,0.5625,15.42388,28.32104
"39","2019_Q4",78.0959375,"Down",1190787000,-344862000,845925000,-442635000,-238582000,-149450000,-54603000,403290000,-48030000,-57481000,9451000,355260000,15155000,370415000,-53266000,317149000,317149000,-4873000,312276000,312276000,29852000,29852000,354669000,354669000,312426000,293899000,18527000,280372000,817000,265492000,1133155000,14108864000,20661041000,-6552177000,967673000,967673000,2167874000,266587000,1901287000,17244411000,18377566000,548040000,276117000,271923000,507375000,531331000,531331000,1586746000,4984996000,6124119000,297843000,297843000,192374000,2175448000,3458454000,11109115000,12695861000,2654430000,2654430000,2949891000,-46538000,5552666000,129039000,5681705000,18377566000,317149000,168616000,71589000,-68527000,488827000,-316482000,12107000,-304375000,-81137000,-77341000,2230000,-156248000,28204000,28204000,28204000,571906000,5492371000,240163000,0.71039,0.33868,0.26224,0.05496,0.01699,0.76907,0.71414,2.23452,0.29886,2.77672,2.76966,10.58835,49.37371,2.1355,0.72146,0.02274,0.01388,0.25982,9.55143,13.54489
"40","2020_Q1",79.183064516129,"Up",670391000,-224565000,445826000,-433829000,-229857000,-145398000,-58574000,11997000,-29538000,-41124000,11586000,-17541000,-2142000,-19683000,88537000,68854000,68854000,-4873000,63981000,63981000,10283000,10283000,258255000,258255000,345920000,331091000,14829000,287407000,515000,265165000,1030030000,14231974000,20869831000,-6637857000,1010775000,1010775000,2206468000,290564000,1915904000,17449217000,18479247000,632863000,346448000,198433000,914675000,530827000,530827000,2078365000,4832558000,6015136000,280185000,280185000,215330000,2194996000,3324625000,10847694000,12926059000,2659561000,2659561000,2837610000,-57096000,5430648000,122540000,5553188000,18479247000,68854000,163339000,-37188000,-73040000,121965000,-333564000,34600000,-298964000,-86527000,254507000,-10550000,157430000,-19569000,-19569000,-19569000,175336000,5747233000,-319805000,0.66502,0.0179,0.09544,0.01152,0.00346,-4.99844,0.4956,2.32768,0.31101,0.56848,0.56713,5.95649,48.25184,-2.8415,0.7688,0.00869,-0.01847,1.35239,32.71975,478.19872
"41","2020_Q2",66.558253968254,"Down",661930000,-188521000,473409000,-432987000,-221318000,-154079000,-57590000,40422000,-51449000,-59234000,7785000,-11027000,25684000,14657000,20209000,34866000,34866000,-4873000,29993000,29993000,63139000,63139000,250508000,250508000,340475000,323545000,16930000,330751000,2108000,308044000,1078307000,14358169000,21142636000,-6784467000,920426000,920426000,2204858000,279238000,1925620000,17483453000,18561760000,549665000,301325000,248340000,1.213e+09,532823000,532823000,2295488000,4833324000,5836116000,273284000,273284000,212545000,2219172000,3131115000,10669440000,12964928000,2664387000,2664387000,2867610000,-55579000,5469418000,127414000,5596832000,18561760000,34866000,173168000,-27559000,3153000,183628000,-340014000,-1146000,-341160000,-86257000,298325000,-1680000,210388000,52856000,52856000,52856000,213590000,6046324000,-143480000,0.71519,0.06107,0.04531,0.00536,0.00162,-4.78378,0.46975,2.31648,0.32574,0.26638,0.26575,5.87891,48.57646,-1.27431,0.76609,0.00665,-0.00821,2.8759,28.01248,148.01803
"42","2020_Q3",68.1528125,"Up",929590000,-238382000,691208000,-429334000,-219392000,-152482000,-57460000,261874000,-50056000,-62690000,12634000,211818000,27702000,239520000,-41061000,198459000,198459000,-4874000,193585000,193585000,6763000,6763000,267901000,267901000,335625000,318368000,17257000,345222000,710000,327390000,1147089000,14513983000,21419032000,-6905049000,1024033000,1024033000,2622283000,275028000,2347255000,18160299000,19307388000,609286000,316230000,204990000,291900000,595177000,595177000,1496363000,5922161000,6278387000,284585000,284585000,213572000,2270147000,3510083000,12200548000,13696911000,2665518000,2665518000,2885109000,-57875000,5489562000,120915000,5610477000,19307388000,198459000,170005000,7736000,-190796000,185404000,-336959000,25598000,-311361000,-86309000,167786000,-11896000,69581000,-56376000,-56376000,-56376000,431879000,6214061000,-54815000,0.74356,0.28171,0.20825,0.0345,0.01003,-0.283159999999999,0.76658,2.44131,0.32185,1.71865,1.71496,8.2529,48.73632,-0.48665,0.76625,0.01546,-0.00303,0.44585,14.37277,23.70338
"43","2020_Q4",74.105625,"Up",1254501000,-353171000,901330000,-446322000,-236971000,-152696000,-56655000,455008000,-53454000,-61497000,8043000,401554000,26925000,428479000,-77234000,351245000,351245000,-4873000,346372000,346372000,181926000,181926000,399346000,399346000,339077000,322017000,17060000,358996000,13875000,340796000,1454686000,14653345000,21653340000,-6999995000,1069837000,1069837000,2573553000,266220000,2307333000,18296735000,19751421000,570265000,288265000,2.82e+08,57925000,616594000,616594000,1244784000,6316420000,6223042000,177855000,177855000,224924000,2356989000,3463274000,12539462000,13784246000,2670358000,2670358000,3231485000,-57491000,5841386000,125789000,5967175000,19751421000,351245000,172569000,80531000,-201358000,402987000,-294079000,-8903000,-302982000,-86358000,160961000,555000,75158000,175163000,175163000,175163000,627577000,6374345000,209374000,0.71848,0.3627,0.2761,0.05805,0.01754,0.60448,1.16863,2.31001,0.32273,3.07381,3.0654,11.13281,51.83819,1.85805,0.76637,0.02331,0.01128,0.24932,9.86719,13.60947
"44","2021_Q1",70.2852459016393,"Down",740961000,-213345000,527616000,-496768000,-281229000,-155121000,-60418000,30848000,-75085000,-45550000,-29535000,-44237000,9806000,-34431000.0000001,19913000,-14518000,-14518000,-4873000,-19391000,-19391000,59968000,59968000,293794000,293794000,334297000,314745000,19552000,510260000,2931000,500537000,1198319000,14876640000,21986950000,-7110310000,1138435000,1138435000,2807027000,282570000,2522639000,18822102000,20020421000,469078000,318585000,56962000,1.69e+08,722355000,562804000,1360433000,6314266000,6592929000,166484000,166484000,221032000,2332609000,3872804000,12907195000,14267628000,2677482000,2677482000,3025106000,-62796000,5633503000,119290000,5752793000,20020421000,-14518000,170511000,-23866000,62219000,194346000,-355532000,33217000,-322315000,-91653000,108775000,-11111000,6011000,-121958000,-121958000,-121958000,201359000,6483266000,-111867000,0.71207,0.04163,-0.02617,-0.00337,-0.00097,5.76902,0.88084,2.48012,0.32383,-0.17199,-0.17155,6.57189,49.96588,-0.99219,0.81291,0.00384,-0.00594,-4.72657,31.89973,208.22413
"45","2021_Q2",77.6192063492064,"Up",696475000,-198227000,498248000,-450714000,-230055000,-157820000,-62839000,47534000,-53362000,-61938000,8576000,-5828000,41992000,36164000,4350000,40514000,40514000,-4873000,35641000,35641000,17202000,17202000,242721000,242721000,339098000,314702000,24396000,570763000,22611000,548152000,1169784000,15037475000,22227183000,-7189708000,1159699000,1159699000,2817700000,278226000,2539474000,19014874000,20184658000,581390000,309145000,272245000,214750000,534403000,534403000,1330543000,6465045000,6582390000,164230000,164230000,220999000,2331183000,3865978000,13047435000,14377978000,2687052000,2687052000,3060752000,-61512000,5682516000,124164000,5806680000,20184658000,40514000,176409000,-10040000,-4871000,202012000,-363775000,15706000,-348069000,-91721000,195750000,-738000,103291000,-42766000,-42766000,-42766000,223943000,6679795000,-149053000,0.71539,0.06825,0.05117,0.00614,0.00177,-4.18207,0.87918,2.47611,0.33093,0.31589,0.31515,6.17284,50.36397,-1.32105,0.81292,0.00668,-0.00782,2.57347,29.75129,140.16479
"46","2021_Q3",73.46265625,"Down",1000249000,-269835000,730414000,-452028000,-229690000,-158750000,-63588000,278386000,-55754000,-62777000,7022999.99999999,222632000,43364000,265996000,-46560000,219436000,219436000,-3739000,215697000,215697000,14146000,14146000,334361000,334361000,365746000,340672000,25074000,808930000,82309000,726621000,1523183000,15226050000,22504927000,-7278877000,1223088000,1223088000,3089257000,279911000,2809346000,19538395000,21061578000,710668000,377157000,239901000,654700000,657900000,657900000,2023268000,6315927000,6887484000,163207000,163207000,247531000,2385891000,4090855000,13203411000,15226679000,2692015000,2692015000,3089266000,-60578000,5717624000,117275000,5834899000,21061578000,219436000,174127000,41735000,-324960000,110338000,-317373000,15874000,-301499000,-91779000,289950000,-10066000,188105000,-3056000,-3056000,-3056000,452513000,6970627000,-143260000,0.73023,0.27832,0.21564,0.03697,0.01024,-0.66417,0.75283,2.60959,0.33096,1.91172,1.90725,8.86518,50.67513,-1.26971,0.81343,0.01561,-0.00727,0.425499999999999,15.373,24.98862
