"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",43.3334920634921,"Down",1.5631e+10,-4.528e+09,1.1103e+10,-6.336e+09,-4.779e+09,-1.557e+09,4.767e+09,1.513e+09,-8.1e+07,1.594e+09,6.28e+09,18767729265.9176,6.28e+09,-1.754e+09,4.526e+09,4.526e+09,4.526e+09,4.526e+09,1.801e+10,1.3743e+10,4.267e+09,1.0018e+10,1.0018e+10,5.308e+09,5.525e+09,3.293e+09,3.8861e+10,1.4277e+10,4.0303e+10,1.6799e+10,1.4977e+10,4.905e+09,3.622e+09,5.458e+10,9.3441e+10,1.4455e+10,5.126e+09,1.373e+09,7.956e+09,4.044e+09,1.8499e+10,8.059e+09,1.3969e+10,6.254e+09,1.672e+09,6.043e+09,2.2028e+10,4.0527e+10,3.12e+09,-1.9553e+10,7.3184e+10,-3.837e+09,5.2914e+10,5.2914e+10,9.3441e+10,4.526e+09,7.34e+08,1.195e+09,-2.765e+09,3.69e+09,-2.95e+08,-8.06e+08,-7.72e+08,-9e+06,-1.882e+09,-1.35e+09,-2.336e+09,-1.36e+08,2.47e+08,-3.83e+08,36918355.6336638,-3.822e+09,-2.014e+09,-2.014e+09,-5.3e+07,-2.067e+09,5.501e+09,1.2103e+10,4.195e+09,0.71032,0.30497,0.28955,0.08554,0.04844,0.92687,2.10071,0.7659,0.12953,1.64259,1.61799,5.67286,19.20375,1.52246,0.48995,4.45391881415126,0.07439,0.05311,0.29828,-1.0738,-1.23914
"2","2010_Q3",41.83859375,"Down",1.533e+10,-4.63e+09,1.07e+10,-6.404e+09,-4.756e+09,-1.648e+09,4.296e+09,-7.6e+07,-5.8e+07,-1.8e+07,4.22e+09,8969255608.4894,4.22e+09,-7.71e+08,3.449e+09,3.449e+09,3.449e+09,3.449e+09,1.8901e+10,1.2713e+10,6.188e+09,9.629e+09,9.629e+09,5.071e+09,5.422e+09,3.172e+09,3.9023e+10,1.3881e+10,3.9396e+10,1.6459e+10,1.4628e+10,5.109e+09,3.2e+09,5.3277e+10,9.23e+10,1.3449e+10,4.871e+09,7.91e+08,7.787e+09,3.715e+09,1.7164e+10,7.937e+09,1.4348e+10,6.32e+09,1.669e+09,6.359e+09,2.2285e+10,3.9449e+10,3.12e+09,-1.9816e+10,7.5252e+10,-5.705e+09,5.2851e+10,5.2851e+10,9.23e+10,3.449e+09,7.11e+08,-2.4e+08,-8.3e+07,3.837e+09,-4.93e+08,-2.089e+09,-9.9e+07,-1.2e+07,-2.693e+09,-1.489e+09,-3.18e+08,-2.58e+08,1.39e+08,-3.97e+08,18459177.8168319,-2.065e+09,-9.21e+08,-9.21e+08,-1.09e+08,-1.03e+09,5.007e+09,1.1652e+10,5.202e+09,0.69798,0.28023,0.22498,0.06526,0.03737,1.50826,2.27354,0.74642,0.12624,1.25145,1.23403,5.56241,19.17671,1.88752,0.54028,4.70875670088067,0.06262,0.06597,0.43172,-1.44777,-1.68738
"3","2010_Q4",44.7421875,"Up",1.4982e+10,-4.594e+09,1.0388e+10,-6.366e+09,-4.709e+09,-1.657e+09,4.022e+09,1.97e+08,-9.5e+07,2.92e+08,4.219e+09,3002845853.18353,4.219e+09,-8.02e+08,3.417e+09,3.417e+09,3.417e+09,3.417e+09,2.2126e+10,1.4338e+10,7.788e+09,1.029e+10,1.029e+10,5.409e+09,4.892e+09,2.474e+09,4.2717e+10,1.436e+10,4.117e+10,1.7068e+10,1.5375e+10,5.175e+09,3.552e+09,5.553e+10,9.8247e+10,1.4571e+10,5.477e+09,7.81e+08,8.313e+09,2.843e+09,1.7414e+10,9.182e+09,1.436e+10,6.409e+09,1.725e+09,6.226e+09,2.3542e+10,4.0956e+10,3.12e+09,-2.0177e+10,7.7272e+10,-2.924e+09,5.7291e+10,5.7291e+10,9.8247e+10,3.417e+09,7.25e+08,1.93e+08,6.99e+08,5.034e+09,-3.13e+08,-1.115e+09,-3.98e+08,-4.9e+07,-1.875e+09,-1.484e+09,2.18e+08,-4.33e+08,2.99e+08,-7.32e+08,6153059.27227731,-1.699e+09,1.46e+09,1.46e+09,1.65e+08,1.625e+09,4.747e+09,1.2025e+10,5.935e+09,0.69337,0.26846,0.22807,0.05964,0.03478,1.7369,2.45303,0.71488,0.1224,1.242,1.22746,5.44562,20.824,2.15724,0.5394,4.89078376283025,0.05857,0.07093,0.4343,-2.12787,-2.51144
"4","2011_Q1",43.4593548387097,"Down",1.5644e+10,-5.04e+09,1.0604e+10,-7.162e+09,-5.18e+09,-1.982e+09,3.442e+09,-1.214e+09,-1.14e+08,-1.1e+09,2.228e+09,0,2.228e+09,-2.86e+08,1.942e+09,1.942e+09,1.942e+09,1.942e+09,2.7658e+10,1.9355e+10,8.303e+09,9.774e+09,9.774e+09,5.378e+09,4.497e+09,2.273e+09,4.7307e+10,1.4553e+10,4.1048e+10,1.6716e+10,1.5294e+10,5.096e+09,3.942e+09,5.5601e+10,1.02908e+11,1.5455e+10,5.623e+09,5.78e+08,9.254e+09,7.617e+09,2.3072e+10,9.156e+09,1.4101e+10,6.087e+09,1.447e+09,6.567e+09,2.3257e+10,4.6329e+10,3.12e+09,-2.0783e+10,7.7773e+10,-3.531e+09,5.6579e+10,5.6579e+10,1.02908e+11,1.942e+09,7.69e+08,-1.66e+08,1.279e+09,3.824e+09,-7.59e+08,-6.77e+08,-1.19209289550781e-07,3.2e+07,-1.404e+09,-1.481e+09,4.831e+09,-7.44e+08,5.41e+08,-1.285e+09,0,2.606e+09,5.026e+09,5.026e+09,-9e+06,5.017e+09,4.211e+09,1.6773e+10,5.017e+09,0.67783,0.22002,0.12414,0.03432,0.01887,2.58342,2.05041,0.81884,0.16299,0.70798,0.69876,5.70324,20.62669,1.82902,0.53992,5,0.03914,0.05737,0.76262,-2.5849,-3.16241
"5","2011_Q2",46.7844444444444,"Up",1.6173e+10,-4.778e+09,1.1395e+10,-6.794e+09,-5.056e+09,-1.738e+09,4.601e+09,-9.1e+07,-1.04e+08,1.3e+07,4.51e+09,-907781951.061175,4.51e+09,-1.034e+09,3.476e+09,3.476e+09,3.476e+09,3.476e+09,2.6867e+10,2.2356e+10,4.511e+09,1.0861e+10,1.0861e+10,6.2e+09,5.293e+09,3.021e+09,4.9221e+10,1.5084e+10,4.3845e+10,1.8687e+10,1.6126e+10,5.327e+09,3.705e+09,5.8929e+10,1.0815e+11,1.5436e+10,5.701e+09,1.007e+09,8.728e+09,8.575e+09,2.4011e+10,9.255e+09,1.5021e+10,6.125e+09,1.895e+09,7.001e+09,2.4276e+10,4.8287e+10,3.12e+09,-2.0752e+10,7.9515e+10,-2.02e+09,5.9863e+10,5.9863e+10,1.0815e+11,3.476e+09,7.55e+08,1.32e+08,-2.047e+09,2.316e+09,-3.15e+08,3.861e+09,-2.049e+09,-5.7e+07,1.44e+09,-1.48e+09,9.05e+08,-2.5e+08,1.85e+08,-4.35e+08,0,-8.25e+08,2.931e+09,2.931e+09,7e+07,3.001e+09,5.356e+09,1.783e+10,4.028e+09,0.70457,0.28449,0.21493,0.05807,0.03214,1.1588,2.04994,0.80663,0.16486,1.26935,1.25365,5.906,21.86058,1.47093,0.54046,5.03640541238992,0.05345,0.04345,0.42578,-1.68727,-1.96414
"6","2011_Q3",47.1509375,"Up",1.6597e+10,-5.172e+09,1.1425e+10,-7.097e+09,-5.215e+09,-1.882e+09,4.328e+09,-3.17e+08,-1.11e+08,-2.06e+08,4.011e+09,-5.89e+08,3.422e+09,-6.46e+08,2.776e+09,2.776e+09,2.776e+09,2.776e+09,2.9682e+10,1.4974e+10,1.4708e+10,1.0982e+10,1.0982e+10,6.413e+09,5.596e+09,3.29e+09,5.2673e+10,1.4974e+10,4.4467e+10,1.8378e+10,1.6243e+10,5.653e+09,4.193e+09,5.9441e+10,1.12114e+11,1.5939e+10,5.689e+09,8.08e+08,9.442e+09,5.046e+09,2.0985e+10,1.368e+10,1.5317e+10,6.202e+09,1.888e+09,7.227e+09,2.8997e+10,4.9982e+10,3.12e+09,-2.0632e+10,8.0836e+10,-1.192e+09,6.2132e+10,6.2132e+10,1.12114e+11,2.776e+09,7.77e+08,-1.7e+08,5.26e+08,3.909e+09,-5.96e+08,-1.0099e+10,0,-5e+06,-1.07e+10,-1.563e+09,8.86e+08,3.8e+07,5.32e+08,-4.94e+08,0,-6.39e+08,-7.43e+09,-7.43e+09,4.8e+07,-7.382e+09,5.105e+09,1.8726e+10,5.681e+09,0.68838,0.26077,0.16726,0.04468,0.02476,2.04647,2.51003,0.80445,0.16703,1.01295,0.99809,6.05619,22.67178,2.07298,0.57033,5,0.04512,0.05907,0.56304,-2.14613,-2.53142
"7","2011_Q4",47.044126984127,"Down",1.6005e+10,-5.072e+09,1.0933e+10,-7.013e+09,-5.24e+09,-1.773e+09,3.92e+09,1.91e+08,-1.17e+08,3.08e+08,4.111e+09,0,4.111e+09,-9.09e+08,3.202e+09,3.202e+09,3.202e+09,3.202e+09,3.0927e+10,1.5617e+10,1.531e+10,1.0552e+10,1.0552e+10,6.428e+09,5.536e+09,3.056e+09,5.3443e+10,1.4635e+10,4.3743e+10,1.8225e+10,1.6049e+10,5.564e+09,3.905e+09,5.8378e+10,1.11821e+11,1.636e+10,5.73e+09,1.336e+09,9.294e+09,5.326e+09,2.1686e+10,1.3031e+10,1.5577e+10,6.215e+09,1.889e+09,7.473e+09,2.8608e+10,5.0294e+10,3.12e+09,-2.1159e+10,8.2634e+10,-3.068e+09,6.1527e+10,6.1527e+10,1.11821e+11,3.202e+09,7.83e+08,-1.88e+08,8.25e+08,4.622e+09,-1.33e+08,-7.68e+08,-4.2e+08,-2.69e+08,-1.59e+09,-1.558e+09,-1.6e+08,-5.14e+08,2.29e+08,-7.43e+08,-1.86264514923096e-09,-2.232e+09,8e+08,8e+08,-1.57e+08,6.43e+08,4.703e+09,1.8357e+10,6.304e+09,0.6831,0.24492,0.20006,0.05204,0.02864,1.96877,2.4644,0.81743,0.16416,1.16989,1.15254,5.84764,22.47972,2.30325,0.56924,5,0.04986,0.06604,0.48657,-2.67276,-3.20663
"8","2012_Q1",48.3174193548387,"Up",1.6255e+10,-5.338e+09,1.0917e+10,-7.613e+09,-5.458e+09,-2.155e+09,3.304e+09,-3.006e+09,-1.48e+08,-2.858e+09,2.98e+08,2e+07,3.18e+08,-1e+08,2.18e+08,2.18e+08,2.18e+08,2.18e+08,3.2261e+10,2.4542e+10,7.719e+09,1.0581e+10,1.0581e+10,6.285e+09,5.189e+09,2.633e+09,5.4316e+10,1.4739e+10,4.4589e+10,1.8138e+10,1.6138e+10,6.54e+09,3.773e+09,5.9328e+10,1.13644e+11,1.6153e+10,5.725e+09,8.54e+08,9.574e+09,6.658e+09,2.2811e+10,1.2969e+10,2.0784e+10,8.353e+09,1.8e+09,1.0631e+10,3.3753e+10,5.6564e+10,3.12e+09,-2.1659e+10,8.1251e+10,-5.632e+09,5.708e+10,5.708e+10,1.13644e+11,2.18e+08,8.43e+08,2.03e+08,2.187e+09,3.451e+09,-5.07e+08,7.52e+09,-3.28e+08,-4.47e+08,6.238e+09,-1.555e+09,1.352e+09,-5.53e+08,3e+08,-8.53e+08,0,-7.56e+08,8.933e+09,8.933e+09,-8000000.00000003,8.925e+09,4.147e+09,1.9627e+10,5.927e+09,0.67161,0.20326,0.01341,0.00382,0.00192000000000001,27.18807,2.38113,0.99096,0.17271,0.0799099999999999,0.07873,5.95836,20.92299,2.17257,0.56999,5,0.01819,0.0608,7.13303,-3.04654,-3.82385
"9","2012_Q2",48.2198412698413,"Down",1.6139e+10,-4.915e+09,1.1224e+10,-6.66e+09,-5.015e+09,-1.645e+09,4.564e+09,4.81e+08,-1.3e+08,6.11e+08,5.045e+09,0,5.045e+09,-1.135e+09,3.91e+09,3.91e+09,3.91e+09,3.91e+09,3.3847e+10,3.0267e+10,3.58e+09,1.0982e+10,1.0982e+10,6.8e+09,5.378e+09,2.683e+09,5.7007e+10,1.4824e+10,4.4363e+10,1.8157e+10,1.6339e+10,5.911e+09,3.956e+09,5.9187e+10,1.16194e+11,1.4759e+10,5.085e+09,9.14e+08,8.76e+09,6.439e+09,2.1198e+10,1.301e+10,2.062e+10,8.236e+09,1.846e+09,1.0538e+10,3.363e+10,5.4828e+10,3.12e+09,-2.0317e+10,8.3103e+10,-4.54e+09,6.1366e+10,6.1366e+10,1.16194e+11,3.91e+09,7.73e+08,7.72e+08,-2.66e+09,2.795e+09,-1.44e+08,4.202e+09,0,-2e+06,4.056e+09,-1.565e+09,-2.71e+08,8.13e+08,8.8e+08,-6.7e+07,-1.6e+08,-1.183e+09,5.668e+09,5.668e+09,5.7e+07,5.725e+09,5.337e+09,1.9449e+10,3.668e+09,0.69546,0.28279,0.24227,0.06372,0.03365,0.93811,2.68926,0.89346,0.16738,1.42862,1.40906,5.89682,22.42172,1.3402,0.57181,4,0.05398,0.03616,0.40026,-2.69777,-3.15469
"10","2012_Q3",51.6309523809524,"Up",1.6475e+10,-5.143e+09,1.1332e+10,-6.731e+09,-4.965e+09,-1.766e+09,4.601e+09,-2.137e+09,-1.29e+08,-2.008e+09,2.464e+09,-4.29e+08,2.035e+09,-6.27e+08,1.408e+09,1.408e+09,1.408e+09,1.408e+09,1.6915e+10,1.4042e+10,2.873e+09,1.0992e+10,1.0992e+10,7.697e+09,6.011e+09,2.894e+09,4.1615e+10,1.5622e+10,5.8513e+10,2.9199e+10,2.1412e+10,4.011e+09,3.891e+09,7.4135e+10,1.1575e+11,1.7808e+10,5.145e+09,1.259e+09,1.1404e+10,6.04e+09,2.3848e+10,1.1525e+10,1.9943e+10,8.18e+09,2.276e+09,9.487e+09,3.1468e+10,5.5316e+10,3.12e+09,-2.0012e+10,8.353e+10,-6.204e+09,6.0434e+10,6.0434e+10,1.1575e+11,1.408e+09,8.52e+08,5.37e+08,1.448e+09,4.245e+09,-2.66e+08,4.7e+08,-4.324e+09,-6e+06,-4.126e+09,-1.676e+09,-1.995e+09,-1.2584e+10,2.68e+08,-1.2852e+10,0,-1.6255e+10,-1.6136e+10,-1.6136e+10,-8.9e+07,-1.6225e+10,5.453e+09,1.7565e+10,7.262e+09,0.68783,0.27927,0.08546,0.0233,0.01216,5.15767,1.74501,0.91531,0.15175,0.51248,0.50318,5.99658,21.9968,2.64323,0.61003,4,0.03149,0.07415,1.19034,0.1192,0.14127
