"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q1",17.1140983606557,"Up",65454000,-52101000,13353000,-9846000,-11213000,3507000,-36000,-32000,3471000,9917000,-793000,9124000,9124000,9131000,9131000,54069000,54069000,5402000,5402000,141983000,205157000,845000,15008000,1992000,15853000,221010000,56636000,14001000,42635000,56636000,56636000,157264000,7110000,164374000,164374000,221010000,9124000,93000,-5650000,-33775000,-30208000,158000,-29981000,8101000,-5871000,104866000,44677000,44677000,44677000,3600000,0,0.20401,0.05358,0.1395,0.05555,0.04131,3.62238,0.34456,0,0.43976,0.43767,3.15237,7.91651,0.05555,-15.01917,-15.41745
"2","2014_Q2",16.5214285714286,"Down",75919000,-56389000,19530000,-12467000,-12467000,7063000,4000,4000,7067000,7067000,-2473000,4594000,4594000,4594000,4594000,25658000,25658000,5541000,5541000,177538000,222793000,1049000,15726000,2674000,16775000,239568000,69833000,13369000,56464000,69833000,69833000,158031000,11704000,169735000,169735000,239568000,4594000,144000,37000,-46173000,-41398000,-298000,-298000,13285000,-4455009.48453103,13285000,-28411000,-28411000,-28411000,7207000,0,0.25725,0.09303,0.06051,0.02707,0.01918,3.19037,0.41142,0,0.22125,0.2202,3.65638,8.1747,0.02707,-3.56015,-3.63273
"3","2014_Q3",19.31078125,"Up",106413000,-78016000,28397000,-14524000,-14524000,13873000,31000,31000,13904000,13904000,-4867000,9037000,9037000,9037000,9037000,42851000,42851000,9225000,9225000,220637000,286031000,1195000,16879000,3829000,18074000,304105000,125078000,19352000,105726000,125078000,125078000,158286000,20741000,179027000,179027000,304105000,9037000,157000,194000,-35466000,-26078000,-241000,-241000,45106000,-1594000,43512000,17193000,17193000,17193000,14030000,0,0.26686,0.13037,0.08492,0.05048,0.02972,2.28682,0.69865,0,0.43524,0.43304,5.12502,8.62222,0.05048,-3.05424,-3.08881
"4","2014_Q4",16.9503125,"Down",92516000,-67256000,25260000,-15354000,-15354000,9906000,628000,628000,10534000,10534000,-3488000,7046000,7046000,7046000,7046000,46161000,46161000,9713000,9713000,291988000,360591000,1373000,17740000,4730000,19113000,379704000,193384000,15449000,177935000,193384000,193384000,158533000,27787000,186320000,186320000,379704000,7046000,170000,231000,-69556000,-62109000,-289000,-289000,66262000,-554000,65708000,3310000,3310000,3310000,10076000,0,0.27303,0.10707,0.07616,0.03782,0.01856,1.86464,1.03791,0,0.33935,0.33742,4.45571,8.97346,0.03782,-4.58128,-4.6599
"5","2015_Q1",14.0375409836066,"Down",108420000,-78820000,29600000,-18071000,-18071000,11529000,45000,45000,11574000,11574000,-4040000,7534000,7534000,7534000,7534000,31370000,31370000,7365000,7365000,367908000,416521000,1610000,19996000,7515000,21606000,438127000,252943000,15479000,237464000,255628000,255628000,163728000,35321000,182499000,182499000,438127000,7534000,354000,59000,-51576000,-43629000,-367000,-15536000,64216000,-3292000,44374000,-14791000,-14791000,-14791000,11883000,0,0.27301,0.10634,0.06949,0.04128,0.0172,1.6294,1.40071,0,0.36974,0.33939,5.32079,8.95627,0.04128,-2.63991,-2.72096
"6","2015_Q2",17.965873015873,"Up",120690000,-89228000,31462000,-19787000,-19787000,11675000,46000,46000,11721000,11721000,-4019000,7702000,7702000,7702000,7702000,39008000,39008000,12983000,12983000,387059000,446120000,1663000,18676000,6257000,20339000,466459000,272755000,17556000,255199000,275685000,275685000,164301000,43023000,190774000,190774000,466459000,7702000,206000,580000,-13896000,-5408000,-189000,-189000.000000004,13519000,-284000,13235000,7638000,7638000,7638000,11881000,1.73472347597681e-18,0.26068,0.09674,0.06382,0.04037,0.01651,1.61822,1.44509,0,0.38798,0.32349,6.07958,9.60996,0.04037,-3.28323,-3.34116
"7","2015_Q3",23.58953125,"Up",158826000,-116253000,42573000,-21336000,-21336000,21237000,9000,9000,21246000,21246000,-7269000,13977000,13977000,13977000,13977000,49747000,49747000,14773000,14773000,407072000,479528000,2076000,21545000,9187000,23621000,503149000,296107000,24685000,271422000,298087000,298087000,164612000,5.7e+07,205062000,205062000,503149000,13977000,216000,-588000,-10039000,3566000,-228000,-228000,9577000,-2176000,7401000,10739000,10739000,10739000,21453000,0,0.26805,0.13371,0.088,0.06816,0.02778,1.60868,1.45364,0,0.70206,0.65784,7.97781,10.30023,0.06816,-2.31888,-2.34247
"8","2015_Q4",29.16734375,"Up",173956000,-127949000,46007000,-22959000,-22959000,23048000,173000,173000,23221000,23221000,-7801000,15420000,15420000,15420000,15420000,36465000,36465000,15822000,15822000,460475000,520641000,2052000,24273000,11977000,26325000,546966000,321265000,28865000,292400000,322743000,322743000,168353000,72420000,224223000,224223000,546966000,15420000,225000,470000,-38625000,-22510000,-475000,-475000,7500000,-565000,9703000,-13282000,-13282000,-13282000,23273000,-1.38777878078145e-17,0.26447,0.13249,0.08864,0.06877,0.02819,1.61318,1.43938,-1.29246970711411e-26,0.77398,0.75891,8.73138,11.25444,0.06877,-1.56684,-1.58213
"9","2016_Q1",22.2577049180328,"Down",176764000,-129874000,46890000,-23176000,-23176000,23714000,378000,378000,24092000,24092000,-8361000,15731000,15731000,15731000,15731000,37568000,37568000,17325000,17325000,531228000,593122000,2108000,23472000,11238000,25580000,618702000,368587000,24020000,344567000,371313000,371313000,175788000,88151000,247389000,247389000,618702000,15731000,236000,1812000,-82583000,-64804000,-225000,-225000,6e+07,-693000,66132000,1103000,1103000,1103000,23950000,0,0.26527,0.13416,0.08899,0.06359,0.02543,1.59736,1.50093,0,0.78358,0.72867,8.80483,12.32275,0.06359,-1.5686,-1.58421
"10","2016_Q2",27.71015625,"Up",162463000,-121094000,41369000,-24043000,-24043000,17326000,503000,503000,17829000,17829000,-6129000,11700000,11700000,11700000,11700000,47574000,47574000,13769000,13769000,561010000,631615000,1991000,19451000,7278000,21442000,653057000,386448000,20480000,365968000,389568000,389568000,180188000,99851000,263489000,263489000,653057000,11700000,366000,1184000,-23796000,-10546000,-185000,-185000,1.8e+07,-749000,20737000,10006000,10006000,10006000,17692000,2.22044604925031e-16,0.25464,0.10665,0.07202,0.0444,0.01792,1.62132,1.4785,0,0.57668,0.57182,8.00759,12.98703,0.0444,-2.68901,-2.74582
"11","2016_Q3",35.26796875,"Up",222723000,-163628000,59095000,-28355000,-28355000,30740000,668000,668000,31408000,31408000,-10749000,20659000,20659000,20659000,20659000,49666000,49666000,15073000,15073000,609925000,687382000,1950000,18116000,6005000,20066000,707448000,404123000,21993000,382130000,406516000,406516000,196972000,120510000,300932000,300932000,707448000,20659000,283000,-16000,-44845000,-23919000,-173000,-173000,1.2e+07,-2134000,26184000,2092000,2092000,2092000,31023000,0,0.26533,0.13802,0.09276,0.06865,0.0292,1.69091,1.35086,0,1.00556,0.96146,10.84084,14.64759,0.06865,-1.60094,-1.61568
"12","2016_Q4",31.4888888888889,"Down",216304000,-159483000,56821000,-27722000,-27722000,29099000,389000,389000,29488000,29488000,-10021000,19467000,19467000,19467000,19467000,45915000,45915000,15641000,15641000,676917000,749923000,2037000,16652000,4603000,18689000,768612000,436283000,18572000,417711000,438057000,438057000,207128000,139977000,330555000,330555000,768612000,19467000,223000,216000,-52404000,-32498000,-213000,-213000,2e+07,-393000,28960000,-3751000,-3751000,-3751000,29322000,3.5527136788005e-15,0.26269,0.13453,0.09,0.05889,0.02533,1.71193,1.32522,-1.65436122510606e-24,0.92428,0.85856,10.26993,15.69447,0.05889,-1.56589,-1.57789
"13","2017_Q1",30.4795161290323,"Down",236830000,-172502000,64328000,-30022000,-30022000,34306000,641000,641000,34947000,34947000,-11742000,23205000,23205000,23205000,23205000,49518000,49518000,17055000,17055000,717681000,794905000,1960000,17649000,5631000,19609000,814514000,459149000,12277000,446872000,459313000,459313000,208569000,163182000,355201000,355201000,814514000,23205000,217000,-687000,-63955000,-41220000,-151000,-151000,4.5e+07,-317000,44974000,3603000,3603000,3603000,34523000,0,0.27162,0.14485,0.09798,0.06533,0.02849,1.73064,1.29311,0,1.08954,0.98948,11.11981,16.67765,0.06533,-1.43435,-1.44342
"14","2017_Q2",33.5573015873016,"Up",162911000,-119412000,43499000,-27372000,-27372000,16127000,715000,715000,16842000,16842000,-5062000,11780000,11780000,11780000,11780000,31648000,31648000,17150000,17150000,788758000,849118000,1947000,16561000,4543000,18508000,867626000,493245000,19948000,473297000,494386000,494386000,214828000,174962000,373240000,373240000,867626000,11780000,211000,2207000,-61382000,-47184000,-171000,-171000,2.5e+07,-445000,29485000,-17870000,-17870000,-17870000,16338000,5.6843418860808e-14,0.26701,0.09899,0.07231,0.03156,0.01358,1.71752,1.32458,0,0.55149,0.51695,7.62686,17.47365,0.03156,-1.93708,-1.96242
"15","2017_Q3",44.4415873015873,"Up",324178000,-237830000,86348000,-37873000,-37873000,48475000,167000,167000,48642000,48642000,-16443000,32199000,32199000,32199000,32199000,27300000,27300000,34137000,34137000,835985000,910866000,1877000,18937000,6453000,20814000,931680000,525319000,19007000,506312000,525319000,525319000,215750000,207161000,406361000,406361000,931680000,32199000,195000,-1258000,-51614000,-20478000,-152000,-152000,2e+07,-4291000,16282000,-4348000,-4348000,-4348000,48670000,0,0.26636,0.14953,0.09933,0.07924,0.03456,1.73393,1.29274,0,1.49054,1.38534,15.00667,18.81104,0.07924,-0.56092,-0.56318
"16","2017_Q4",63.5066666666667,"Up",365896000,-2.74e+08,91896000,-41449000,-41449000,50447000,430000,430000,50877000,50877000,-17190000,33687000,33687000,33687000,33687000,47968000,47968000,32716000,32716000,902568000,997411000,1862000,23659000,9452000,25521000,1022932000,576278000,26071000,550207000,576278000,576278000,222356000,240848000,446654000,446654000,1022932000,33687000,194000,-625000,-37767000,-4511000,-179000,-179000,2e+07,-188000,25358000,20668000,20668000,20668000,50641000,0,0.25115,0.13787,0.09207,0.07542,0.03293,1.73078,1.29021,0,1.55465,1.40068,16.88601,20.61297,0.07542,-0.94722,-0.95086
