"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.1312698412698,"Up",3057395000,-412013000,2645382000,-2158210000,-150820000,-239662000,487172000,-102515000,-107170000,-112947000,5777000,4655000,384657000,354464000,-123549000,230915000,230915000,32000,230947000,230947000,2447875000,99917000,2347958000,750963000,750963000,356149000,220010000,72919000,3774997000,3135077000,172171000,1606741000,1606741000,4913989000,8688986000,2179194000,160795000,2018399000,26629000,1264063000,840304000,3469886000,6462856000,606498000,289240000,317258000,7069354000,10539240000,2132209000,-2529642000,23605000,-1850705000,451000,-1850254000,8688986000,230915000,239662000,-28800000,284237000,726014000,-320370000,-287699000,-103005000,-711074000,-10288438045.3736,-13788000,709000,-7079000,-20867000,-5927000,-5927000,-5927000,726834000,6489485000,814250000,0.86524,0.15934,0.07554,-0.12482,0.02658,3.5257,1.08793,-5.6961,0.74686,0.51697,0.51605,6.84391,-4.14276,1.82268,-18.4855127804876,0.04403,0.15522,5.56057,8.29606
"2","2010_Q3",16.94578125,"Down",3169042000,-405390000,2763652000,-2207133000,-155016000,-264446000,556519000,-112104000,-108376000,-114690000,6314000,-3728000,444415000,413706000,-156722000,256984000,256984000,6000,256990000,256990000,2594478000,308447000,2286031000,826793000,826793000,464912000,215322000,71208000,4101505000,3150962000,170760000,1607792000,1607792000,4929514000,9031019000,2189256000,156490000,2032766000,28694000.0000001,1274993000,820525000,3492943000,6477876000,640507000,357709000,282798000,7118383000,10611326000,2167975000,-2272652000,802000,-1580752000,445000,-1580307000,9031019000,256984000,264446000,40081000,-171664000,389847000,-216909000,41581000,-3415000,-178743000,-2775288681.7912,3127000,3127000,-5701000,-2574000,208530000,208530000,208530000,820965000,6506570000,589114000,0.87208,0.17561,0.08109,-0.16262,0.02846,2.29236,1.17423,-6.71472,0.72047,0.57366,0.57253,7.07398,-3.52857,1.31503,-4.92560681626005,0.04617,0.10583,4.76524,7.02957
"3","2010_Q4",17.2878125,"Up",3207728000,-446473000,2761255000,-2215501000,-155425000,-242859000,545754000,-80027000,-102354000,-108619000,6265000,22327000,465727000,374630000,-129652000,244978000,244978000,-14000,244964000,244964000,2659551000,714357000,1945194000,799559000,799559000,522838000,341286000,193776000,4323234000,3195564000,167937000,1606148000,1606148000,4969649000,9292883000,2205351000,165944000,2039407000,26170000,1358589000,813023000,3590110000,6489201000,630083000,403683000,226400000,7119284000,10709394000,2172135000,-2081504000,61462000,-1416970000,459000,-1416511000,9292883000,244978000,242859000,-33307000,-36449000,418081000,-295001000,384313000,-1261000,88051000,-21979000,-91039000,1147000,12796000,-100222000,405910000,405910000,405910000,788613000,6515371000,586815000,0.86081,0.17014,0.07637,-0.17293,0.02636,2.39552,1.20421,-7.5604,0.70111,0.54966,0.54884,7.19767,-3.17947,1.31673,3.15289744390248,0.04276,0.10243,4.88937,7.06512
"4","2011_Q1",20.2985483870968,"Up",3206579000,-389618000,2816961000,-2240122000,-164582000,-236998000,576839000,-103977000,-111719000,-118521000,6802000,7742000,472862000,399405000,-147550000,251855000,251855000,-27000,251828000,251828000,2940377000,640672000,2299705000,786053000,786053000,487575000,359388000,142489000,4573393000,3232348000,224517000,1601895000,1601895000,5058760000,9632153000,2045616000,161767000,1883849000,1030895000,1422790000,803768000,4499301000,5484041000,782254000,567686000,214568000,6266295000,10765596000,2176792000,-1834619000,93357000,-1133929000,486000,-1133443000,9632153000,251855000,236998000,80752000,36255000,605860000,-280939000,-396757000,1941000,-675755000,-4931000,1141000,1537000,3.72529029846191e-09,-3789999.99999994,-73685000.0000001,-73685000,-73685000,813837000,6514936000,716703000,0.87849,0.17989,0.07853,-0.22218,0.02614,2.846,1.01647,-9.49814,0.67637,0.56836,0.56762,7.23702,-2.5592,1.61755,7,0.04086,0.11628,4.39223,6.19681
"5","2011_Q2",24.6487301587302,"Up",3224131000,-354899000,2869232000,-2226556000,-161784000,-229697000,642676000,-102260000,-113893000,-120179000,6286000,11633000,540416000,881093000,-331767000,549326000,549326000,68000,549394000,549394000,3413737000,1163522000,2250215000,740833000,740833000,427699000,414486000,180841000,4996755000,3255356000,369535000,1658967000,1658967000,5283858000,10280613000,2133906000,120726000,2013180000,1027622000,1130145000,845799000,4291673000,5478723000,1012689000,806856000,205833000,6491412000,10783085000,2195733000,-1285225000,154861000,-504090000,1618000,-502472000,10280613000,549326000,229697000,216619000,-151347000,844295000,-232952000,43503000,-42291000,-316865000,-8498000,3596000,3596000,322000,-4580000,522850000,522850000,522850000,872373000,6506345000,819841000,0.88992,0.19933,0.1704,-1.09338,0.05344,1.49226,1.16429,-21.46007,0.63288,1.23916,1.224,7.27204,-1.13698,1.84915,7.8657008520325,0.0783,0.11684,3.54505,4.81208
"6","2011_Q3",24.10203125,"Down",3590161000,-342801000,3247360000,-2505850000,-325262000,-237049000,741510000,-154757000,-134963000,-143564000,8601000,-19794000,586753000,563025000,-228187000,334838000,334838000,-78000,334760000,334760000,4592942000,1855250000,2737692000,830906000,830906000,568657000,420270000,189263000,6412775000,3221685000,1398691000,1794551000,1794551000,6414927000,12827702000,2312934000,199062000,2113872000,1030492000,905184000,839604000,4248610000,7470954000,1200743000,989960000,210783000,8671697000,12920307000,2247735000,-950465000,177888000,-94301000,1696000,-92604999.9999999,12827702000,334838000,237049000,202682000,-360519000,414050000,-169792000,-380391000,-1625000.00000001,-1709166000,1990898000,20301000,20301000,-23559000,1987640000,692524000,691728000,691728000,978559000,8501446000,676435000,0.90452,0.20654,0.09324,-3.61492,0.0261,2.02066,1.50938,-139.52062,0.66274,0.75129,0.74841,8.05729,-0.21164,1.5181,7,0.03484,0.07039,3.99414,5.27101
"7","2011_Q4",24.0552380952381,"Down",3602651000,-394818000,3207833000,-2582994000,-382620000,-229146000,624839000,-126776000,-147074000,-155601000,8527000,20298000,498063000,498063000,-179085000,318978000,318978000,121000,319099000,319099000,3364662000,1045516000,2319146000,825417000,825417000,667490000,565723000,354291000,5423292000,4529594000,1393055000,1689549000,1689549000,7612198000,13035490000,2235446000,205691000,2029755000,945886000,890571000,824991000,4071903000,7461596000,1398656000,1156434000,242222000,8860252000,12932155000,2257701000,-631366000,44875000,101751000,1584000,103335000,13035490000,318978000,229146000,148056000,36631000,732811000,-191168000,31381000,67471000,-1448454000,-93964000,3027000,3027000,366000,-90571000,-806214000,-809734000,-809734000,853985000,8407482000,878533000,0.89041,0.17344,0.08857,3.08801,0.02448,2.75317,1.33188,125.14787,0.64497,0.71526,0.7127,8.07528,0.22807,1.96922,6,0.0322,0.08866,5.90505,8.07059
"8","2012_Q1",28.9738709677419,"Up",2657120000,-412613000,2244507000,-1641498000,232301000,-216311000,603009000,-132051000,-128154000,-138622000,10468000,-3897000,470958000,470958000,-151726000,319232000,312436000,218000,312654000,312654000,2040853000,609108000,1431745000,794817000,794817000,707151000,205002000,131988000,3747823000,4514891000,1409746000,1797771000,1797771000,7722408000,11470231000,2286896000,225556000,1936433000,35644999.9999999,897970000,832390000,3220511000,7458134000,1210589000,974414000,236175000,8668723000,11889234000,2279036000,-1211990000,82043000,-420370000,1367000,-419003000,11470231000,319232000,216311000,157663000,-65202000,628004000,-166246000,1108370000,-131647000,691313000,79328000.0000002,13071000,13071000,-998097000,-1798976000,-479659000,-475343000,-475343000,819320000,7493779000,739598000,0.84471,0.22694,0.11767,-0.746190000000001,0.02726,2.36555,1.16374,-28.37506,0.65332,0.69998,0.70484,5.94881,-0.94113,1.65583,6,0.14555,0.08927,6.65543,9.04286
"9","2012_Q2",28.9785714285714,"Up",3581869000,-399538000,3182331000,-2609920000,-376175000,-208698000,572411000,-20642000,-130924000,-138013000,7089000,110282000,551769000,551769000,-191643000,360126000,360126000,184000,360310000,360310000,2693214000,1358668000,1334546000,776567000,776567000,670008000,209688000,136674000,4349477000,4313678000,121349000,3625008000,3625008000,8060035000,12409512000,2631464000,239358000,2392106000,35980000,903675000,832676000,3571119000,7474426000,1419550000,1188206000,231344000,8893976000,12465095000,2308943000,-851680000,55430000,-56766000,1183000,-55583000,12409512000,360126000,208698000,-73730000,363456000,858550000,-168928000,139132000,-2484000,-109237000,-8458000,5751000,5751000,1045000,-1662000,747651000,749560000,749560000,781109000,7510406000,1167280000,0.88846,0.15981,0.10059,-6.48238,0.02903,3.23965,1.21796,-224.26093,0.60521,0.80554,0.8009,8.00795,-0.12691,2.60968,4,0.0406,0.13153,6.16712,8.41562
"10","2012_Q3",29.7871428571429,"Up",3571766000,-406642000,3165124000,-2696772000,-327667000,-299119000,468352000,-96545000,-89097000,-109301000,20204000,-7448000.00000003,371807000,371807000,-146211000,225596000,225596000,136000,225732000,225732000,4839187000,2595694000,2243493000,830826000,830826000,647222000,179793000,135376000,6497028000,4347672000,106518000,3569945000,3569945000,8024135000,14521163000,2568830000,209429000,2359401000,34498000,912369000,841370000,3515697000,9364972000,1468116000,1259928000,208188000,10833088000,14348785000,2385752000,-625948000,-19063000,171282000,1096000,172378000,14521163000,225596000,299119000,69034000,-104235000,489514000,-251257000,-914048000,-14918000,-1180223000,1889509000,44101000,44101000,-4839000.00000012,1928771000,1238062000,1237026000,1237026000,767471000,9399470000,558190000,0.88615,0.13113,0.0632,1.30952,0.01555,2.4728,1.84801,83.24023,0.64729,0.5013,0.49822,7.93211,0.38038,1.23962,4,0.02045,0.05056,5.94196,9.73687
