"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",7.61640625,"Up",66785000,-32395000,-17658000,-14737000,3752000,-4126000,-4126000,-374000,-374000,-88000,-462000,-462000,-462000,-462000,-238727396.335564,-238727396.335564,13526849.909951,13526849.909951,214555.035364449,214555.035364449,-224985991.390248,223005929.37693,-10935450.4507447,-10920577.115737,212070478.926186,-12915512.4640626,3842374.7318101,13207838.9785493,-9365464.24673916,5990745.90725981,9833120.6361424,-132618841.5865,-4148474.25159173,-4148474.25159173,-136767315.838092,-126934195.201949,470080794.322111,-343141128.737179,-12920982.8470451,114018682.737887,114018682.737887,-12915512.4640626,0,0.05618,-0.00692,-0.0755382864168178,-0.0153037218385042,-0.667607691706009,-0.185062317330511,0.301947749997132,-0.01036,-0.01036,1.49792,2.64127402338466,-0.0155224462071822,29.1631628950078
"2","2011_Q1",9.30290322580645,"Up",69461000,-32606000,-17794000,-14812000,5793000,-4118000,-4118000,1675000,1675000,909000,2584000,2584000,2584000,2584000,56283000,56283000,23702000,23702000,8654000,8654000,88639000,280455000,7009000,7009000,287464000,376103000,35517000,15979000,19538000,6143000,41660000,176782000,5860000,5860000,182642000,224302000,482783000,-332026000,1044000,151801000,151801000,376103000,182925000,0.0834,0.0372,0.01702,0.00687,2.12768,1.47761,0.48637,0.05747,0.05668,1.54496,3.37637,0.00759,21.86121
"3","2011_Q2",9.64952380952381,"Up",73460000,-34329000,-19538000,-14791000,7358000,-7355000,-7355000,3000,3000,-281000,-278000,-278000,-278000,-278000,192490298.778521,192490298.778521,27034966.696683,27034966.696683,11510398.3215452,11510398.3215452,231035663.796749,306432273.541023,12289400.1502482,12284442.3719123,318721673.691271,549757337.488021,41800208.42273,14182553.6738169,27617654.748913,6975001.36424673,48775209.7879525,328890447.1955,7930074.75053058,7930074.75053058,336820521.946031,385595731.733983,487453735.225963,-329100623.754274,5808494.28234836,164161605.754038,164161605.754038,549757337.488021,0,0.10016,-0.00378,0.0343569288056059,0.0100004072795014,4.486662563902,2.32693243911017,0.598736583334289,-0.00621,-0.00621,1.64223,3.62915949220511,0.0106849820690607,18.6935982016641
"4","2011_Q3",9.61078125,"Down",75579000,-33661000,-18927000,-14734000,8670000,-8836000,-8836000,-166000,2573000,-458000,2115000,2115000,2115000,2115000,227246000,227246000,26352000,26352000,11135000,11135000,264733000,312149000,11014000,11014000,323163000,587896000,34904000,10938000,23966000,8204000,43108000,376302000,6232000,6232000,382534000,425642000,487569000,-330189000,4874000,162254000,162254000,587896000,384506000,0.11471,0.02798,0.01304,0.0036,6.14116,2.62331,0.65404,0.04698,0.04643,1.67873,3.60392,0.00382,18.13841
"5","2011_Q4",10.368253968254,"Up",77367000,-34174000,-18985000,-15189000,9576000,-8872000,-8872000,704000,704000,-423000,281000,281000,281000,281000,224051000,224051000,24774000,24774000,9863000,9863000,258688000,308941000,10475000,10475000,319416000,578104000,29186000,9971000,19215000,9914000,39100000,374309000,6056000,6056000,380365000,419465000,486991000,-329908000,1556000,158639000,158639000,578104000,384223000,0.12377,0.00363,0.00177,0.00049,6.61606,2.64415,0.66463,0.00623,0.00617,1.71618,3.51899,0.00051,16.7264
"6","2012_Q1",11.63,"Up",79094000,-34670000,-19534000,-15136000,10902000,-8600000,-8600000,2302000,2302000,3122000,5424000,5424000,5424000,5424000,238207000,238207000,25029000,25029000,10051000,10051000,273287000,307978000,16386000,16386000,324364000,597651000,36143000,14199000,21944000,11700000,47843000,374608000,11199000,11199000,385807000,433650000,489067000,-324484000,-582000,164001000,164001000,597651000,386308000,0.13784,0.06858,0.03307,0.00908,5.71216,2.64419,0.64638,0.1182,0.11546,1.72364,3.57396,0.00966,13.58476
"7","2012_Q2",12.011746031746,"Up",76888000,-36582000,-21343000,-15239000,5968000,-8618000,-8618000,-2650000,-2650000,560000,-2090000,-2090000,-2090000,-2090000,232294000,232294000,24915000,24915000,12318000,12318000,269527000,311122000,16640000,16640000,327762000,597289000,35796000,15316000,20480000,9741000,45537000,376389000,10376000,10376000,386765000,432302000,490520000,-326574000,1041000,164987000,164987000,597289000,386130000,0.07762,-0.02718,-0.01267,-0.0035,5.91886,2.62022,0.64647,-0.0462,-0.0462,1.6995,3.64681,-0.00372,25.77681
"8","2012_Q3",13.0346031746032,"Up",77816000,-34904000,-19400000,-15504000,7801000,-8840000,-8840000,-1039000,-1039000,-752000,-1791000,-1791000,-1791000,-1791000,237227000,237227000,25652000,25652000,11852000,11852000,274731000,304823000,15663000,15663000,320486000,595217000,36755000,11287000,25468000,9218000,45973000,376835000,11260000,11260000,388095000,434068000,491541000,-328365000,-2027000,161149000,161149000,595217000,386053000,0.10025,-0.02302,-0.01111,-0.00301,5.97592,2.69358,0.64859,-0.03952,-0.03952,1.71727,3.55629,-0.00321,19.07781
"9","2012_Q4",14.3527419354839,"Up",79656000,-35084000,-19474000,-15610000,8029000,-8614000,-8614000,-585000,-585000,491000,-94000,-94000,-94000,-94000,232064000,232064000,27980000,27980000,11025000,11025000,271069000,306635000,15181000,15181000,321816000,592885000,34687000,13880000,20807000,7415000,42102000,379887000,9913000,9913000,389800000,431902000,494505000,-332996000,-526000,160983000,160983000,592885000,387302000,0.1008,-0.00118,-0.00058,-0.00016,6.43839,2.6829,0.65325,-0.00207,-0.00207,1.7554,3.54762,0.00796,19.33466
"10","2013_Q1",16.4811666666667,"Up",82613000,-35793000,-19668000,-16125000,9170000,-8396000,-8396000,774000,774000,-1050000,-276000,-276000,-276000,-276000,247285000,247285000,23990000,23990000,9978000,9978000,281253000,311175000,14103000,8557000,325278000,606531000,41253000,14734000,26519000,10487000,51740000,384945000,10067000,10067000,395012000,446752000,497396000,-338284000,667000,159779000,159779000,606531000,395432000,0.111,-0.00334,-0.00173,-0.00046,5.43589,2.79606,0.65196,-0.00598,-0.00598,1.79101,3.46394,0.00838,16.15562
"11","2013_Q2",18.5759375,"Up",84553000,-37339000,-21465000,-15874000,9905000,-9211000,-9211000,694000,694000,-333000,361000,361000,361000,361000,234960000,234960000,26831000,26831000,12411000,12411000,274202000,328080000,13955000,13955000,342035000,616237000,41011000,16665000,24346000,6701000,47712000,402226000,10438000,10438000,412664000,460376000,500399000,-343412000,-1126000,155861000,155861000,616237000,408927000,0.11715,0.00427,0.00232,0.00059,5.74702,2.95376,0.66359,0.00793,0.00777,1.85677,3.42269,0.01017,17.56355
"12","2013_Q3",20.50421875,"Up",85804000,-37126000,-21226000,-15900000,11602000,-9628000,-9628000,1974000,1974000,-367000,1607000,1607000,1607000,1607000,237335000,237335000,27179000,27179000,14428000,14428000,278942000,328702000,13728000,13728000,342430000,621372000,43531000,15979000,27552000,92627000,136158000,319848000,10828000,10828000,330676000,466834000,503288000,-347950000,-8e+05,154538000,154538000,621372000,412475000,0.13522,0.01873,0.0104,0.00259,2.04866,3.02084,0.66381,0.0349,0.03436,1.86366,3.35655,0.01342,15.09567
"13","2013_Q4",24.495,"Up",87761000,-37743000,-21719000,-16024000,12578000,-10277000,-10277000,2301000,2301000,-179000,2122000,2122000,2122000,2122000,304775000,304775000,28703000,28703000,12843000,12843000,346321000,331763000,14169000,14169000,345932000,692253000,36111000,12176000,23935000,95800000,131911000,394532000,10775000,10775000,405307000,537218000,505834000,-352340000,1541000,155035000,155035000,692253000,490332000,0.14332,0.02418,0.01369,0.00307,2.62541,3.46514,0.70831,0.04596,0.04532,1.90077,3.35783,0.01316,14.7525
"14","2014_Q1",26.5183606557377,"Up",89861000,-39392000,-22832000,-16560000,12069000,-10051000,-10051000,2018000,2018000,50581000,52599000,52599000,52599000,52599000,304866000,304866000,30628000,30628000,18777000,18777000,354271000,341193000,59637000,8776000,400830000,755101000,45563000,14098000,31465000,98131000,143694000,397950000,19965000,19965000,417915000,561609000,508303000,-316947000,2136000,193492000,193492000,755101000,496081000,0.13431,0.58534,0.27184,0.06966,2.46545,2.90249,0.65697,1.10974,1.09674,1.8959,4.08233,0.09838,15.84348
