"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",41.3161904761905,"Up",4918855000,-4658297000,260558000,-30908000,-30908000,229650000,3438000,3438000,-3172000,6610000,233088000,233088000,-79416000,153672000,153672000,-17037000,136635000,136635000,1968234000,1608989000,359245000,1138132000,1841917000,1695805000,5252447000,830755000,292027000,878597000,268307000,229036000,381254000,2001379000,7253826000,2198228000,1311823000,886405000,1058408000,1058408000,3256636000,17745000,536190000,536190000,553935000,3810571000,670533000,2956498000,-210834000,3416197000,3443255000,7253826000,153672000,45948000,-460413000,14726000,-246067000,-38420000,9578000,-47998000,282205000,479886000,-197681000,-2783000,-4957000,236045000,-22555000,-10080000,-23693000,-72872000,-82894000,-82894000,4855000,-78039000,275598000,17745000,331320000,0.05297,0.04669,0.02778,0.03968,0.01884,2.42485,1.61284,1.10668,0.00245,0.76691,0.75585,27.60873,19.17456,1.85965,0.1266,4,0.03983,0.08289,0.16507,-7.0773,-8.49331
"2","2010_Q3",40.25609375,"Down",5152121000,-4868354000,283767000,-27827000,-27827000,255940000,3201000,3201000,-2304000,5505000,259141000,259141000,-80724000,178417000,178417000,-21042000,157375000,157375000,1761207000,1437118000,324089000,1197892000,1936534000,1792693000,5201409000,838179000,323642000,904655000,269410000,250535000,384710000,2066476000,7267885000,2220439000,1335744000,884695000,961659000,961659000,3182098000,17749000,506974000,506974000,524723000,3706821000,684832000,3091348000,-247466000,3528714000,3561064000,7267885000,178417000,45549000,-190275000,-15008000,18683000,-68207000,7206000,-75413000,-15062999.9999999,335963000,-351026000,-2271000,1321000,-84219999.9999999,-22517000,-32230000,-19015000,-72658000,-138195000,-138195000,-33676000,-171871000,301489000,17749000,298998000,0.05508,0.04968,0.03055,0.04419,0.02165,1.89991,1.63458,1.04093,0.00244,0.88307,0.87098,28.90974,19.80043,1.67775,0.12635,5,0.04403,0.07318,0.14308,-5.78281999999999,-6.81197999999997
"3","2010_Q4",48.47125,"Up",5511488000,-5449681000,61807000,-39563000,-39563000,22244000,2635000,2635000,-2183000,4818000,24879000,24879000,-54967000,-30088000,-30088000,-23548000,-53636000,-53636000,2166687000,1977145000,189542000,1092250000,2008927000,1848620000,5564114000,874555000,309277000,944464000,295168000,222429000,426867000,2128296000,7692410000,2556432000,1441347000,1115085000,1041746000,1041746000,3598178000,17754000,523250000,523250000,541004000,4139182000,697234000,3015205000,-193261000,3519178000,3553228000,7692410000,-30088000,47732000,424296000,-4140000,437800000,-65541000,22395000,-87936000,147944000,308676000,-160732000,-3181000,1060000,80282000,-22504000,-420000,-21316000,-43564000,474518000,474518000,65509000,540027000,69976000,17754000,55262000,0.01121,0.00404,-0.00973,-0.0151,-0.00697,-1.03032,1.54637,1.16491,0.00231,-0.30091,-0.30091,30.92034,19.74316,0.31003,0.12625,5,-0.0076,0.0135,-0.41957,-30.70957,-96.60731
"4","2011_Q1",60.4896774193548,"Up",5266885000,-5167767000,99118000,-57970000,-57970000,41148000,1340000,1340000,-2957000,4297000,42488000,42488000,96593000,139081000,139081000,-21959000,117122000,117122000,2328276000,2134997000,193279000,1215007000,1605670000,1470897000,5562825000,866343000,413986000,771769000,87849000,214317000,469603000,2052098000,7614923000,2351695000,1432502000,919193000,1171688000,1171688000,3523383000,17759000,545156000,545156000,562915000,4086298000,563353000,3109957000,-176311000,3496999000,3528625000,7614923000,139081000,50121000,100388000,50908000,340498000,-39550000,14513000,-54063000,22451000,166634000,-144183000,-1800000,5222000,-13677000,-22517000,-2530000,-29477000,-200778000,126043000,126043000,31809000,157852000,91269000,17759000,6034000.00000003,0.01882,0.00781,0.02224,0.03319,0.01538,0.05152,1.57883,1.15804,0.00233,0.65961,0.63568,29.66206,19.69441,0.0339800000000001,0.12681,5,0.03413,0.00147000000000001,0.19225,-25.31546,-56.15138
"5","2011_Q2",57.7161904761905,"Down",5057776000,-4787543000,270233000,-33825000,-33825000,236408000,4670000,4670000,-2549000,7219000,241078000,241078000,-79865000,161213000,161213000,-21502000,139711000,139711000,2345767000,2191665000,154102000,1221143000,1562138000,1453755000,5450396000,865352000,309030000,925430000,247652000,198245000,479533000,2099812000,7550208000,2256071000,1416084000,839987000,1277865000,1277865000,3533936000,17763000,549851000,549851000,567614000,4101550000,341841000,3227008000,-153283000,3415566000,3448658000,7550208000,161213000,48477000,110019000,50824000,370533000,-42749000,12883000,-55632000,7425000,183014000,-175589000,-1826000,3762000,-33388000,-22789000,-31505000,-35772000,-315437000,21708000,21708000,34960000,56668000,284885000,17763000,372825000,0.05343,0.04674,0.02762,0.04051,0.0185,2.66854,1.5423,1.18932,0.00235,0.79463,0.78041,28.76695,19.4266,2.1205,0.12962,6,0.04046,0.09283,0.16312,-8.17173,-9.8474
"6","2011_Q3",51.2553125,"Down",6033876000,-5727032000,306844000,-31106000,-31106000,275738000,5454000,5454000,-3558000,9012000,281192000,281192000,-89733000,191459000,191459000,-25960000,165499000,165499000,2222927000,1945965000,276962000,1420967000,1667048000,1555825000,5592494000,901186000,265799000,909560000,243790000,169938000,495832000,2076545000,7669039000,2363318000,1468624000,894694000,1178051000,1178051000,3541369000,17768000,556319000,556319000,574087000,4115456000,242092000,3371112000,-127065000,3486139000,3553583000,7669039000,191459000,49198000,-182228000,-1052000,57377000,-86521000,15808000,-102329000,-78927000,152527000,-231454000,8681000,-1399000,-158166000,-21122000,-39691000,8336000.00000001,-160418000,-261207000,-261207000,15507000,-245700000,324936000,17768000,327096000,0.05085,0.0457,0.02743,0.04657,0.02158,1.97642,1.57919,1.15811,0.00232,0.9543,0.94432,34.79242,20.10171,1.88609,0.12179,5,0.04521,0.07924,0.12763,-6.78644,-7.9973
"7","2011_Q4",45.7631746031746,"Down",6037613000,-5775527000,262086000,-37258000,-37258000,224828000,6109000,6109000,-2027000,8136000,230937000,230937000,-69348000,161589000,161589000,-26227000,135362000,135362000,2465435000,2386289000,79146000,1344172000,1970587000,1814201000,6049361000,877164000,293969000,969325000,243730000,214823000,510772000,2140458000,8189819000,2541612000,1649471000,892141000,1254300000,1254300000,3795912000,513386000,514870000,514870000,1028256000,4824168000,9578000,3485144000,-198965000,3295757000,3365651000,8189819000,161589000,50367000,127363000,-56050000,283269000,-64515000,14928000,-79443000,166728000,317694000,-150966000,-3401000,-11920000,86892000,-22440000,493752000,-53689000,176387000,546548000,546548000,-106224000,440324000,275195000,513386000,223978000,0.04341,0.03724,0.02242,0.04022,0.01653,1.65466,1.59365,1.43335,0.06269,0.78893,0.78164,35.18915,19.20873,1.30542,0.13079,8,0.03591,0.05097,0.16578,-7.09333,-8.68241
"8","2012_Q1",50.9396774193548,"Up",6252134000,-5942381000,309753000,-61271000,-61271000,248482000,127000,127000,-7467000,7594000,248609000,248609000,-64783000,183826000,183826000,-30670000,153156000,153156000,2257849000,2161411000,96438000,1234023000,2154421000,1946747000,5878711000,921585000,632849000,835219000,95947000,167387000,571885000,2389653000,8268364000,2726034000,1734686000,991348000,1112165000,1112165000,3838199000,513500000,456759000,456759000,970259000,4808458000,4263999.99999997,3590553000,-199292000,3395525000,3459906000,8268364000,183826000,51323000,-22461999.9999999,-34097000,178590000,-90630000,10133000,-100763000,-228604000,71174000,-299778000,-526999.999999998,-12001000,-331762000,-21327000,-4195000,-31237000,-96357000,-249529000,-249529000,24651000,-224878000,299805000,513500000,239861000,0.04954,0.03974,0.0245,0.04427,0.01852,1.56612,1.53163,1.38977,0.0621,0.90526,0.8967,36.95464,20.07001,1.41775,0.12606,7,0.03939,0.05414,0.13925,-5.81828,-7.02002
"9","2012_Q2",45.9865079365079,"Down",6290108000,-6014210000,275898000,-37842000,-37842000,238056000,2744000,2744000,-6881000,9625000,240800000,240800000,-63625000,177175000,177175000,-22293000,154882000,154882000,2228424000,1922286000,306138000,1420646000,2249449000,2077657000,6164929000,906200000,422259000,1027789000,247396000,177155000,603238000,2356248000,8521177000,2552589000,1705146000,847443000,1351508000,1351508000,3904097000,513615000,491042000,491042000,1004657000,4908754000,1691000,3704025000,-163604000,3542112000,3612423000,8521177000,177175000,51755000,-303185000,27177000,-47078000,-17071000,37248000,-54319000,-133175000,198317000,-331492000,-389000,-1575000,-152210000,-21388000,-301000,-20016000,-64185000,-263473000,-263473000,24348000,-239125000,289811000,513615000,363542000,0.04386,0.03785,0.02462,0.04287,0.01818,2.34722,1.57909,1.35885,0.06028,0.91726,0.9089,37.2522,20.97761,2.15302,0.12667,4,0.03818,0.07874,0.13809,-5.91699,-7.20338
"10","2012_Q3",45.971746031746,"Down",7128249000,-6809783000,318466000,-31206000,-31206000,287260000,921000,921000,-6610000,7531000,288181000,288181000,-95660000,192521000,192521000,-31331000,161190000,161190000,2230619000,1803569000,427050000,1270842000,2389977000,2212634000,6171173000,913196000,318740000,989027000,238351000,160424000,590252000,2220963000,8392136000,2830334000,1896809000,933525000,913607000,913607000,3743941000,513730000,495993000,495993000,1009723000,4753664000,1670000,3743262000,-190375000,3554557000,3638472000,8392136000,192521000,51270000,-131307000,16257000,128741000,-52742000,13364000,-66106000,-19166000,294544000,-313710000,-2814000,-2918000,-77640000,-27185000,-2000,-18631000,-150536000,-99435000,-99435000,-19282000,-118717000,338530000,513730000,397705000,0.04468,0.0403,0.02261,0.0443,0.01921,2.46731,1.64831,1.3065,0.06122,0.95796,0.95131,42.36348,21.12488,2.36358,0.16156,5,0.04053,0.08556,0.16865,-5.0716,-5.97678
