"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",355.773770491803,"Up",-6838000,-1866000,-4972000,-6838000,5000,5000,-6833000,-6833000,-6833000,-6833000,-6833000,-6833000,101969000,101969000,1894000,1894000,103863000,861000,46000,46000,907000,104770000,4121000,693000,3428000,4121000,283000,283000,283000,4404000,152220000,-51854000,100366000,100366000,104770000,-6833000,104000,314000,1944000,-4471000,-70000,71658000,71658000,71658000,67117000,67117000,67117000,-6734000,0,-0.06808,-0.06522,25.20335,0.04388,0,-7.63976,-7.63976,112.21601,-0.06789,15.14241,14.91211
"2","2015_Q2",231.82380952381,"Down",-7867000,-2237000,-5630000,-7867000,9000.00000000001,9000,-7858000,-7858000,-7858000,-7858000,-7858000,-7858000,88582000,73877000,1728000,1728000,90310000,824000,46000,46000,6563000,96873000,3521000,559000,2962000,3521000,248000,248000,248000,3769000,152822000,-59712000,93104000,93104000,96873000,-7858000,109000,589000,-469000,-7629000,-20470000,7000,7000,7000,-28092000,-28092000,-28092000,-7758000,0,-0.0844,-0.08112,25.64896,0.04048,0,-8.75738,-8.75738,103.76017,-0.08418,11.41815,11.25995
"3","2015_Q3",129.60625,"Down",-7874000,-2341000,-5533000,-7874000,56000,56000,-7818000,-7818000,-7818000,-7818000,-7818000,-7818000,77701000,11319000,1700000,1700000,79401000,816000,46000,46000,11348000,90749000,4221000,923000,3298000,4221000,213000,213000,213000,4434000,153886000,-67530000,86315000,86315000,90749000,-7818000,119000,899000,802000,-5998000,-56836000,276000,276000,276000,-62558000,-62558000,-62558000,-7755000,0,-0.09058,-0.08615,18.81095,0.05137,0,-8.70456,-8.70456,96.1031,-0.09035,10.01947,9.86805
"4","2015_Q4",149.9734375,"Up",-8950000,-2198000,-6752000,-8950000,50000,50000,-8900000,-8900000,-8900000,-8900000,-8900000,-8900000,81887000,8431000,1796000,1796000,83683000,801000,46000,46000,847000,84530000,5757000,565000,5192000,5757000,178000,178000,178000,5935000,155025000,-76430000,78595000,78595000,84530000,-8900000,92000,1033000,1383000,-6392000,3242000.00000001,262000.000000001,262000.000000001,261999.999999999,-2887999.99999999,-2887999.99999999,-2887999.99999999,-8858000,0,-0.11324,-0.10529,14.53587,0.07551,0,-9.83154,-9.83154,86.82132,-0.11298,9.24441,9.14939
"5","2016_Q1",113.311475409836,"Down",-8128000,-2295000,-5833000,-8128000,60000,60000,-8068000,-8068000,-8068000,-8068000,-8068000,-8068000,69928000,6105000,2567000,2567000,72495000,931000,327000,327000,3255000,75750000,3833000,562000,3271000,3833000,129000,129000,129000,3962000,156355000,-84498000,71788000,71788000,75750000,-8068000,84000,1190000,-3120000,-9914000,7288000,3e+05,3e+05,3e+05,-2326000,-2326000,-2326000,-8044000,0,-0.11239,-0.10651,18.91338,0.05519,0,-8.88253,-8.88253,79.03556,-0.11218,8.69319,8.60335
"6","2016_Q2",100.153125,"Down",-9657000,-2591000,-7066000,-9657000,75000,75000,-9582000,-9582000,-9582000,-9582000,-9582000,-9582000,66192000,12166000,2346000,2346000,68538000,875000,45999.9999999999,45999.9999999999,3024000,71562000,4030000,1050000,2980000,4030000,264000,264000,264000,4294000,161344000,-94080000,67268000,67268000,71562000,-9582000,85000,1202000,689000,-7606000,9424000,4243000,4243000,4243000,6061000,6061000,6061000,-9572000,0,-0.14245,-0.1339,17.00695,0.06383,0,-10.42145,-10.42145,73.16113,-0.14189,6.91517,6.8543
"7","2016_Q3",64.465625,"Down",-10441000,-2665000,-7776000,-10441000,83000,83000,-10358000,-10358000,-10358000,-10358000,-10358000,-10358000,60380000,7326000,1915000,1915000,62295000,854000,80000,80000,934000,63229000,4694000,1446000,3248000,4694000,316000,316000,316000,5010000,162639000,-104438000,58219000,58219000,63229000,-10358000,67000,1255000,1394000,-7642000,2875000,-73000,-73000,-73000,-4840000,-4840000,-4840000,-10374000,0,-0.17791,-0.16382,13.2712,0.08605,0,-10.91062,-10.91062,61.32512,-0.17695,5.82032,5.78297
"8","2016_Q4",62.4603174603175,"Down",-8632000,-2319000,-6313000,-8632000,88000,88000,-8544000,-8544000,-8544000,-8544000,-8544000,-8544000,56271000,11600000,1616000,1616000,57887000,915000,122000,122000,1037000,58924000,4745000,1265000,3480000,4745000,368000,368000,368000,5113000,167044000,-112982000,53811000,53811000,58924000,-8544000,70000,1215000,255000,-7004000,8193000,3085000,3085000,3085000,4274000,4274000,4274000,-8562000,0,-0.15878,-0.145,12.19958,0.09502,0,-8.75993,-8.75993,55.17096,-0.1577,6.57218,6.51888
"9","2017_Q1",172.741935483871,"Up",-9604000,-3011000,-6593000,-9604000,84000,84000,-9520000,-9520000,-9520000,-9520000,-9520000,-9520000,51781000,10601000,1780000,1780000,53561000,899000,336000,336000,1235000,54796000,4453000,398000,4055000,4453000,437000,437000,437000,4890000,172421000,-122502000,49906000,49906000,54796000,-9520000,75000,1168000,-496000,-8773000,3213000,4561000,4561000,4561000,-999000,-999000,-999000,-9529000,0,-0.19076,-0.17374,12.02807,0.09798,0,-9.04041,-9.04041,47.39186,-0.1891,5.43404,5.39161
"10","2017_Q2",267.444444444444,"Up",-9948000,-3308000,-6640000,-5756000,169000,169000,-5587000,-5587000,-5587000,-5587000,-5587000,-5587000,155327000,89072000,1805000,1805000,170682000,913000,570000,570000,53226000,223908000,4827000,6e+05,4227000,33844000,24333000,24333000,24333000,58177000,293856000,-128094000,165731000,165731000,223908000,-5587000,80000,1228000,39530000,35251000,-76965000,120579000,120579000,120579000,78865000,78865000,78865000,-5676000,0,-0.03371,-0.02495,5.0432,0.35103,0,-4.42027,-4.42027,131.12148,-0.0294,27.36557,26.98523
"11","2017_Q3",315.444444444444,"Up",-12990000,-2848000,-10142000,-5735000,541000,541000,-5194000,-5194000,-5194000,-5194000,-5194000,-5194000,166231000,57997000,1853000,1853000,170387000,977000,765000,765000,43695000,214082000,5417000,410000,5007000,34434000,17184000,17184000,17184000,51618000,295885000,-133287000,162464000,162464000,214082000,-5194000,84000,1512000,4766000,1168000,-32621000,378000,378000,378000,-31075000,-31075000,-31075000,-5651000,0,-0.03197,-0.02426,4.94822,0.31772,0,-2.93878,-2.93878,91.9226,-0.02891,29.41621,28.98535
"12","2017_Q4",256.071428571429,"Down",-13907000,-3074000,-10833000,-6653000,582000,582000,-6071000,-6071000,-6071000,-6071000,-6071000,-6071000,165613000,39411000,4263000,4263000,172053000,1372000,1198000,1198000,33490000,205543000,8406000,1260000,7146000,37423000,10028000,10028000,10028000,47451000,297573000,-139358000,158092000,158092000,205543000,-6071000,90000,1590000,-6914000.00000001,-11305000,-7504000,223000.000000015,223000.000000015,223000,-18586000,-18586000,-18586000,-6563000,0,-0.0384,-0.02954,4.59752,0.30015,0,-3.42269,-3.42269,89.12868,-0.03611,25.23434,24.89298
"13","2018_Q1",155.934426229508,"Down",-18796000,-3300000,-15496000,-11542000,568000,568000,-10974000,-10974000,-10974000,-10974000,-10974000,-10974000,163793000,48475000,2732000,2732000,167667000,1759000,668000,668000,24788000,192455000,10010000,1072000,8938000,39027000,3121000,3121000,3121000,42148000,300910000,-150333000,150307000,150307000,192455000,-10974000,111000,1661000,-2161000,-11363000,18659000,1768000,1768000,1768000,9064000,9064000,9064000,-11431000,0,-0.07301,-0.05702,4.29618,0.28041,0,-6.14755,-6.14755,84.20089,-0.07153,14.32884,14.19104
"14","2018_Q2",113.28125,"Down",-19001000,-3508000,-15493000,-13812000,606000,606000,-13206000,-13206000,-13206000,-13206000,-13206000,-13206000,150964000,54841000,3024000,3024000,155812000,1660000,842000,842000,22772000,178584000,12525000,2169000,10356000,29590000,1127000,1127000,1127000,30717000,302941000,-154748000,147867000,147867000,178584000,-13206000,124000,1917000,-3787000,-14952000,21168000,150000,150000,150000,6366000,6366000,6366000,-13688000,0,-0.08931,-0.07395,5.2657,0.20773,0,-7.38198,-7.38198,82.65575,-0.08863,11.02893,10.92992
"15","2018_Q3",95.2142857142857,"Down",-20803000,-3498000,-17305000,-3738000,663000,663000,-3075000,-3075000,-3075000,-3075000,-3075000,-3075000,141414000,55870000,1513000,1513000,145438000,1631000,1078000,1078000,13537000,158975000,10648000,1115000,9533000,10648000,1162000,1162000,1162000,11810000,305239000,-157823000,147165000,147165000,158975000,-3075000,124000,1889000,-18378000,-19440000,20091000,378000,378000,378000,1029000,1029000,1029000,-3614000,0,-0.02089,-0.01934,13.65872,0.08025,0,-1.71433,-1.71433,82.04549,-0.02073,39.1295,37.83146
