"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.1747619047619,"Down",3.569e+09,-1.252e+09,2.317e+09,-1.559e+09,-4.08e+08,-1.151e+09,7.58e+08,-2.33e+08,-2.47e+08,1.4e+07,5.25e+08,2.4e+07,5.49e+08,-2.07e+08,4e+06,3.46e+08,3.46e+08,-1e+06,3.45e+08,3.44e+08,1.056e+09,8.18e+08,2.38e+08,1.656e+09,1.656e+09,1.566e+09,1.238e+09,2.39e+08,3.23e+08,2.16e+08,5.516e+09,3.4526e+10,5.2013e+10,-1.7487e+10,9.583e+09,7.6e+07,9.507e+09,4.4109e+10,4.9625e+10,1.208e+09,9.54e+08,2.54e+08,2.316e+09,1.063e+09,1.253e+09,1.991e+09,1.51e+08,6.21e+08,1.219e+09,5.515e+09,1.6281e+10,1.4444e+10,6.587e+09,7.857e+09,3.0725e+10,3.624e+10,9.091e+09,4.597e+09,-3.64e+08,1.3385e+10,0,1.3385e+10,4.9625e+10,3.46e+08,3.46e+08,4.08e+08,-1.06e+08,-6.46e+08,2e+06,2.8e+07,-5.97e+08,-4.3e+08,-1.98e+08,9.28e+08,2.6e+07,2.6e+07,-13645389.685432,7.56e+08,3.28e+08,3.28e+08,3.28e+08,1.166e+09,1.8597e+10,0.6492,0.21238,0.09639,0.0257,0.00693,1.00018,2.70751,0.37475,0.71902,0.7184,7.45982,27.84945,0.41385,0.01167,0.57558,15.04374,23.14116
"2","2010_Q3",22.036875,"Up",3.36e+09,-1.122e+09,2.238e+09,-1.844e+09,-4.05e+08,-1.439e+09,3.94e+08,-2.12e+08,-2.31e+08,1.9e+07,1.82e+08,1.9e+07,2.01e+08,-6.5e+07,1e+06,1.37e+08,1.37e+08,-1e+06,1.36e+08,1.36e+08,1961902556.02143,1767894020.27007,194008535.75136,1633096376.60689,1633096376.60689,1378410436.10943,719445552.554776,186677851.725207,315496041.705803,188324148.538434,5692854921.29252,34365990227.6196,52151270905.0833,-17785280677.4637,9348683519.17424,76009499.9709898,9272674019.43297,43714673746.7938,49407528668.0863,924376833.305182,702375795.440963,222001037.864219,2786247010.10003,1477390504.15778,1308856505.94225,1821894348.91931,121050654.941281,313714845.638281,1387128848.33975,5532518192.32453,16496042160.4869,13666841209.7233,6538744758.00974,7128096451.86775,30162883370.2102,35695401562.5347,9105623708.1174,4894445755.07759,-348337597.545674,13712129689.9904,28317.7253352804,13712127105.5516,49407528668.0863,1.37e+08,1.37e+08,4.05e+08,1.88e+08,-1.5e+08,5.8e+08,-1.7e+07,-5.41e+08,-5.62e+08,-2.02e+08,1.89e+08,1.6e+07,1.6e+07,-1e+06,1999999.99999988,20000000.0000002,20000000.0000002,20000000.0000002,7.99e+08,0,0.66607,0.11726,0.04048,0.0631787807952695,0.017377456065936,1.00901123954411,2.60354713232935,0.389964862816317,0.28389,0.28382,7.01382,28.5089889478159,0.42166,0.0226146224924003,1.48529,4.85513066631155,-1.53050316592683
"3","2010_Q4",22.679375,"Up",4.064e+09,-1.436e+09,2.628e+09,-1.603e+09,-4.24e+08,-1.179e+09,1.025e+09,-2.3e+08,-2.48e+08,1.8e+07,7.95e+08,1.7e+07,8.12e+08,-2.58e+08,3e+06,5.57e+08,5.57e+08,-1e+06,5.56e+08,5.55e+08,1.416e+09,1.09e+09,3.26e+08,1.816e+09,1.816e+09,1.409e+09,7.8e+08,1.55e+08,2.79e+08,1.81e+08,5.421e+09,3.4998e+10,5.2927e+10,-1.7929e+10,9.473e+09,7.6e+07,9.397e+09,4.4471e+10,4.9892e+10,1.139e+09,8.84e+08,2.55e+08,2.752e+09,1.466e+09,1.286e+09,2.257e+09,1.24e+08,4.7e+08,1.663e+09,6.148e+09,1.5995e+10,1.4033e+10,6.928e+09,7.105e+09,3.0028e+10,3.6176e+10,9.133e+09,4.887e+09,-3.64e+08,1.3716e+10,0,1.3716e+10,4.9892e+10,5.57e+08,5.57e+08,4.24e+08,-3.23e+08,4.62e+08,1.12e+09,-7.6e+07,-5.16e+08,-5.83e+08,-2.04e+08,-1.04e+08,2.3e+07,2.3e+07,0,-2.85e+08,2.52e+08,2.52e+08,2.52e+08,1.449e+09,1.8747e+10,0.64665,0.25221,0.13656,0.04046,0.01112,0.88175,2.6375,0.37575,1.15724,1.15683,8.47395,28.47448,0.42537,0.01632,0.36757,11.96066,16.90829
"4","2011_Q1",22.5540322580645,"Down",3.434e+09,-1.219e+09,2.215e+09,-1.729e+09,-4.04e+08,-1.325e+09,4.86e+08,-2.16e+08,-2.35e+08,1.9e+07,2.7e+08,1.7e+07,2.87e+08,-1.13e+08,4e+06,1.78e+08,1.78e+08,-1e+06,1.77e+08,1.76e+08,7.1e+08,2.94e+08,4.16e+08,1.923e+09,1.923e+09,1.448e+09,9.35e+08,1.45e+08,2.32e+08,1.69e+08,5.016e+09,3.5674e+10,5.374e+10,-1.8066e+10,9.765e+09,7.6e+07,9.689e+09,4.5439e+10,5.0455e+10,1.342e+09,1.061e+09,2.81e+08,2.655e+09,1.346e+09,1.309e+09,2.521e+09,1.29e+08,7.02e+08,1.69e+09,6.518e+09,1.5502e+10,1.4753e+10,7.359e+09,7.394e+09,3.0255e+10,3.6773e+10,9.161e+09,4.842e+09,-3.81e+08,1.3682e+10,0,1.3682e+10,5.0455e+10,1.78e+08,1.78e+08,4.04e+08,2.98e+08,8e+07,9.6e+08,-3.6e+07,-8e+08,-9.48e+08,-2.23e+08,-6.11e+08,2.8e+07,2.8e+07,-2e+06,-8.08e+08,-7.96e+08,-7.96e+08,-7.96e+08,8.9e+08,1.8157e+10,0.64502,0.14153,0.05125,0.01286,0.00349,0.76956,2.68769,0.35987,0.36634,0.36619,7.14788,28.35423,0.46418,0.00856,1.26705,19.60337,35.89918
"5","2011_Q2",23.7036507936508,"Up",3.73e+09,-1.331e+09,2.399e+09,-1.567e+09,-4.03e+08,-1.164e+09,8.32e+08,-2.25e+08,-2.4e+08,1.5e+07,6.07e+08,2e+07,6.27e+08,-2.78e+08,6e+06,3.55e+08,3.55e+08,-1e+06,3.54e+08,3.53e+08,9.21e+08,6.25e+08,2.96e+08,1.749e+09,1.749e+09,1.328e+09,7.91e+08,1.57e+08,1.93e+08,1.4e+08,4.789e+09,3.5766e+10,5.4096e+10,-1.833e+10,1.0005e+10,7.6e+07,9.929e+09,4.5771e+10,5.056e+10,1.132e+09,8.84e+08,2.48e+08,2.854e+09,1.433e+09,1.421e+09,2.003e+09,1.09e+08,6.69e+08,1.225e+09,5.989e+09,1.5631e+10,1.5101e+10,7.49e+09,7.611e+09,3.0732e+10,3.6721e+10,9.179e+09,4.973e+09,-3.73e+08,1.3839e+10,207109.975235095,1.3839e+10,5.056e+10,3.55e+08,3.55e+08,4.03e+08,3e+07,4.2e+07,8.3e+08,3e+07,-7.1e+08,-6.13e+08,-2.24e+08,3.07e+08,3.1e+07,3.1e+07,0,1.14e+08,3.31e+08,3.31e+08,3.31e+08,1.235e+09,1.8485e+10,0.64316,0.22306,0.09464,0.02551,0.00698,0.79963,2.65344,0.36561,0.73367,0.73333,7.75235,28.63798,0.46556,0.01217,0.63456,14.22186,21.11058
"6","2011_Q3",24.355625,"Up",3.609e+09,-1.267e+09,2.342e+09,-1.625e+09,-4.1e+08,-1.215e+09,7.17e+08,-2.19e+08,-2.36e+08,1.7e+07,4.98e+08,2.3e+07,5.21e+08,-1.74e+08,6e+06,3.53e+08,3.53e+08,-1e+06,3.52e+08,3.52e+08,7.28e+08,4.17e+08,3.11e+08,1.866e+09,1.866e+09,1.305e+09,8.55e+08,1.72e+08,1.73e+08,1.79e+08,4.754e+09,3.6064e+10,5.4669e+10,-1.8605e+10,9.934e+09,7.6e+07,9.858e+09,4.5998e+10,5.0752e+10,1.251e+09,9.69e+08,2.82e+08,2.71e+09,1.639e+09,1.071e+09,1.926e+09,9.4e+07,5.97e+08,1.235e+09,5.887e+09,1.5564e+10,1.5302e+10,7.716e+09,7.586e+09,3.0866e+10,3.6753e+10,9.198e+09,5.103e+09,-3.62e+08,1.3999e+10,544037.973950518,1.3999e+10,5.0752e+10,3.53e+08,3.53e+08,4.1e+08,2.6e+08,-1.21e+08,9.02e+08,3.7e+07,-7.21e+08,-6.67e+08,-2.23e+08,-2.38e+08,1.8e+07,1.8e+07,0,-4.43e+08,-2.08e+08,-2.08e+08,-2.08e+08,1.127e+09,1.8274e+10,0.64893,0.19867,0.09753,0.02514,0.00694,0.80754,2.6254,0.36006,0.7304,0.72998,7.48866,28.92338,0.46272,0.01209,0.63352,15.56877,24.47141
"7","2011_Q4",25.7268253968254,"Up",4.333e+09,-1.665e+09,2.668e+09,-1.688e+09,-4.45e+08,-1.243e+09,9.8e+08,6.8e+07,-2.23e+08,2.91e+08,1.048e+09,-6.4e+07,9.84e+08,-3.34e+08,7e+06,6.57e+08,9.3e+08,-1e+06,9.29e+08,9.28e+08,7.86e+08,5.46e+08,2.4e+08,1.86e+09,1.86e+09,1.173e+09,5.55e+08,1.73e+08,1.64e+08,1.4e+08,4.374e+09,3.6417e+10,5.5097e+10,-1.868e+10,1.0396e+10,7.6e+07,1.032e+10,4.6813e+10,5.1187e+10,1.238e+09,1.003e+09,2.35e+08,2.546e+09,1.279e+09,1.267e+09,1.9e+09,1.13e+08,5.01e+08,1.286e+09,5.684e+09,1.5183e+10,1.5607e+10,8.108e+09,7.499e+09,3.079e+10,3.6474e+10,9.223e+09,5.81e+09,-3.8e+08,1.4713e+10,858946.985690682,1.4713e+10,5.1187e+10,9.3e+08,9.3e+08,4.45e+08,-2.42e+08,4.73e+08,1.606e+09,3e+06,-7.12e+08,-6.87e+08,-2.23e+08,-5.91e+08,2.1e+07,2.1e+07,3e+06,-7.9e+08,1.29e+08,1.29e+08,1.29e+08,1.425e+09,1.7729e+10,0.61574,0.22617,0.21417,0.06307,0.01813,0.76953,2.47903,0.34636,1.92332,1.92213,8.98033,30.36899,0.46218,0.02395,0.2403,11.88982,17.28878
"8","2012_Q1",26.2777419354839,"Up",3.444e+09,-1.349e+09,2.095e+09,-1.703e+09,-3.97e+08,-1.306e+09,3.92e+08,-1.37e+08,-2.07e+08,7e+07,2.55e+08,-2e+07,2.35e+08,-3.2e+07,8e+06,2.11e+08,3.11e+08,-1.16415321826935e-10,3.11e+08,3.08e+08,5.15e+08,2.21e+08,2.94e+08,1.834e+09,1.834e+09,1.292e+09,5.41e+08,2.16e+08,1.93e+08,1.32e+08,4.182e+09,3.6971e+10,5.567e+10,-1.8699e+10,1.107e+10,7.6e+07,1.0994e+10,4.8041e+10,5.2223e+10,1.374e+09,1.095e+09,2.79e+08,3.083e+09,1.65e+09,1.433e+09,2.154e+09,1.5e+08,7.17e+08,1.287e+09,6.611e+09,1.5083e+10,1.5864e+10,8.227e+09,7.637e+09,3.0947e+10,3.7558e+10,9.244e+09,5.89e+09,-4.7e+08,1.4664e+10,1e+06,1.4665e+10,5.2223e+10,3.11e+08,3.11e+08,3.97e+08,-5.57e+08,2.99e+08,4.5e+08,-1.2e+07,-9.09e+08,-9.23e+08,-2.3e+08,4.18e+08,2.2e+07,2.2e+07,-6.2e+07,1.48e+08,-3.25e+08,-3.25e+08,-3.25e+08,7.89e+08,1.8166e+10,0.6083,0.11382,0.08943,0.021,0.0059,0.63258,2.56106,0.34785,0.63754,0.63705,7.12888,30.35361,0.47609,0.01105,0.74675,22.37136,45.02806
"9","2012_Q2",26.0346031746032,"Down",3.625e+09,-1.313e+09,2.312e+09,-1.558e+09,-4.23e+08,-1.135e+09,7.54e+08,-2.07e+08,-2.27e+08,2e+07,5.47e+08,2.3e+07,5.7e+08,-1.89e+08,9e+06,3.9e+08,3.9e+08,-1e+06,3.89e+08,3.89e+08,5.03e+08,2.86e+08,2.17e+08,1.67e+09,1.67e+09,1.418e+09,6.23e+08,1.85e+08,2.46e+08,1.45e+08,4.214e+09,3.7432e+10,5.6223e+10,-1.8791e+10,1.1256e+10,9e+07,1.1166e+10,4.8688e+10,5.2902e+10,1.215e+09,9.78e+08,2.37e+08,3.03e+09,1.05e+09,1.98e+09,2.097e+09,1.85e+08,6.79e+08,1.233e+09,6.342e+09,1.534e+10,1.6363e+10,8.493e+09,7.87e+09,3.1703e+10,3.8045e+10,9.278e+09,6.05e+09,-4.72e+08,1.4856e+10,1e+06,1.4857e+10,5.2902e+10,3.9e+08,3.9e+08,4.23e+08,3.25e+08,-2.62e+08,8.76e+08,-1.9e+07,-6.96e+08,-7.92e+08,-2.29e+08,1.75e+08,3.1e+07,3.1e+07,4e+06,-1.9e+07,6.5e+07,6.5e+07,6.5e+07,1.177e+09,1.837e+10,0.63779,0.208,0.10731,0.02618,0.00735,0.66446,2.56075,0.34725,0.804,0.80331,7.49233,30.70512,0.47331,0.01246,0.58869,15.18012,23.69629
"10","2012_Q3",29.1080952380952,"Up",3.551e+09,-1.172e+09,2.379e+09,-1.638e+09,-4.6e+08,-1.178e+09,7.41e+08,-2.22e+08,-2.33e+08,1.1e+07,5.19e+08,2.4e+07,5.43e+08,-1.9e+08,1e+07,3.63e+08,3.63e+08,-1e+06,3.62e+08,3.62e+08,5.94e+08,2.97e+08,2.97e+08,1.762e+09,1.762e+09,1.494e+09,6.33e+08,1.79e+08,2.19e+08,1.89e+08,4.483e+09,3.7828e+10,5.6784e+10,-1.8956e+10,1.111e+10,9e+07,1.102e+10,4.8938e+10,5.3421e+10,1.187e+09,9.06e+08,2.81e+08,3.191e+09,1.208e+09,1.983e+09,2.029e+09,1.65e+08,6.17e+08,1.247e+09,6.407e+09,1.5319e+10,1.6687e+10,8.627e+09,8.06e+09,3.2006e+10,3.8413e+10,9.297e+09,6.185e+09,-4.75e+08,1.5007e+10,1e+06,1.5008e+10,5.3421e+10,3.63e+08,3.63e+08,4.6e+08,2.45e+08,-2.31e+08,8.37e+08,-1e+07,-7.25e+08,-7.38e+08,-2.29e+08,1.21e+08,1.9e+07,1.9e+07,1e+06,-8.8e+07,1.1e+07,10999999.9999999,10999999.9999999,1.201e+09,1.851e+10,0.66995,0.20867,0.10194,0.02412,0.00678,0.6997,2.5595,0.34649,0.74716,0.74661,7.3292,30.9742,0.47265,0.01177,0.6326,14.91757,24.17814
